,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-AX-A062-01A,0.000,0.000,0.000,0.002,0.000,0.000,0.874,0.003,0.027,0.086,0.000,0.006,0.001,0.000,0.001,0.000
TCGA-A5-A0G5-01A,0.076,0.000,0.028,0.055,0.008,0.000,0.565,0.018,0.036,0.021,0.020,0.170,0.001,0.000,0.001,0.000
TCGA-AP-A0LH-01A,0.002,0.000,0.004,0.001,0.000,0.000,0.939,0.008,0.009,0.009,0.000,0.027,0.000,0.000,0.001,0.000
TCGA-BS-A0WQ-01A,0.000,0.000,0.001,0.002,0.003,0.000,0.913,0.002,0.014,0.052,0.000,0.010,0.001,0.000,0.001,0.000
TCGA-FI-A2EY-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.985,0.000,0.007,0.001,0.002,0.000,0.003,0.000,0.001,0.000
TCGA-EY-A549-01A,0.018,0.000,0.002,0.013,0.003,0.000,0.882,0.013,0.022,0.013,0.003,0.026,0.001,0.000,0.002,0.000
TCGA-FI-A2D0-01A,0.002,0.000,0.004,0.017,0.000,0.000,0.872,0.002,0.041,0.056,0.000,0.001,0.000,0.000,0.003,0.000
TCGA-BS-A0V7-01A,0.007,0.000,0.009,0.007,0.014,0.005,0.348,0.015,0.067,0.449,0.027,0.046,0.006,0.000,0.002,0.000
TCGA-B5-A1MW-01A,0.004,0.000,0.001,0.007,0.000,0.000,0.936,0.002,0.037,0.009,0.000,0.002,0.001,0.000,0.002,0.000
TCGA-D1-A17D-01A,0.011,0.000,0.002,0.002,0.000,0.000,0.908,0.007,0.020,0.017,0.000,0.031,0.001,0.000,0.001,0.000
TCGA-BS-A0TA-01A,0.021,0.001,0.004,0.113,0.063,0.000,0.608,0.022,0.017,0.020,0.006,0.122,0.002,0.000,0.000,0.000
TCGA-AX-A05Z-01A,0.010,0.000,0.004,0.033,0.002,0.000,0.799,0.010,0.010,0.047,0.000,0.084,0.000,0.000,0.001,0.000
TCGA-D1-A17L-01A,0.025,0.001,0.000,0.003,0.005,0.000,0.853,0.020,0.039,0.009,0.004,0.039,0.000,0.000,0.001,0.000
TCGA-A5-A0GQ-01A,0.016,0.001,0.004,0.000,0.002,0.000,0.833,0.045,0.036,0.011,0.000,0.046,0.000,0.000,0.006,0.000
TCGA-AX-A3G1-01A,0.097,0.000,0.008,0.018,0.010,0.000,0.759,0.005,0.044,0.005,0.002,0.046,0.001,0.001,0.002,0.000
TCGA-BK-A0CC-01A,0.005,0.000,0.002,0.014,0.000,0.000,0.789,0.004,0.063,0.065,0.018,0.012,0.008,0.000,0.012,0.009
TCGA-D1-A1O8-01A,0.095,0.000,0.038,0.042,0.036,0.000,0.531,0.033,0.026,0.058,0.009,0.130,0.001,0.001,0.000,0.000
TCGA-DI-A1NN-01A,0.008,0.000,0.015,0.011,0.000,0.000,0.785,0.042,0.025,0.040,0.006,0.064,0.001,0.000,0.001,0.000
TCGA-B5-A0K9-01A,0.010,0.000,0.009,0.016,0.001,0.000,0.861,0.014,0.018,0.033,0.003,0.026,0.001,0.000,0.007,0.000
TCGA-FI-A2CY-01A,0.001,0.000,0.029,0.018,0.000,0.000,0.772,0.043,0.029,0.007,0.003,0.094,0.000,0.000,0.002,0.000
TCGA-AP-A1DR-01A,0.000,0.000,0.000,0.009,0.000,0.000,0.943,0.003,0.017,0.017,0.000,0.010,0.000,0.000,0.000,0.000
TCGA-B5-A11Q-01A,0.000,0.000,0.000,0.002,0.000,0.000,0.962,0.002,0.012,0.013,0.002,0.000,0.005,0.000,0.001,0.000
TCGA-BS-A0U7-01A,0.013,0.000,0.011,0.007,0.000,0.000,0.730,0.004,0.044,0.093,0.031,0.060,0.001,0.000,0.004,0.000
TCGA-A5-A0VQ-01A,0.008,0.000,0.004,0.001,0.001,0.000,0.865,0.024,0.028,0.049,0.009,0.007,0.003,0.000,0.002,0.000
TCGA-BS-A0TE-01A,0.000,0.000,0.005,0.013,0.001,0.000,0.907,0.007,0.015,0.007,0.004,0.038,0.000,0.000,0.001,0.000
TCGA-BS-A0T9-01A,0.003,0.000,0.002,0.004,0.005,0.000,0.740,0.010,0.017,0.188,0.000,0.026,0.004,0.000,0.001,0.000
TCGA-AW-A1PO-01A,0.025,0.000,0.003,0.007,0.000,0.000,0.910,0.003,0.023,0.005,0.001,0.020,0.000,0.000,0.002,0.000
TCGA-AJ-A3I9-01A,0.002,0.000,0.002,0.000,0.001,0.000,0.956,0.000,0.011,0.006,0.003,0.018,0.000,0.000,0.000,0.000
TCGA-AJ-A8CV-01A,0.004,0.000,0.007,0.019,0.002,0.000,0.840,0.013,0.026,0.018,0.004,0.063,0.000,0.001,0.002,0.000
TCGA-B5-A121-01A,0.011,0.000,0.002,0.003,0.008,0.000,0.856,0.012,0.041,0.041,0.000,0.023,0.000,0.001,0.001,0.000
TCGA-AX-A1CN-01A,0.000,0.000,0.007,0.000,0.001,0.000,0.851,0.002,0.027,0.097,0.000,0.014,0.000,0.000,0.000,0.000
TCGA-BK-A139-01A,0.014,0.002,0.027,0.036,0.001,0.000,0.744,0.016,0.066,0.004,0.007,0.065,0.005,0.000,0.012,0.000
TCGA-EY-A1G7-01A,0.001,0.000,0.005,0.003,0.000,0.000,0.924,0.000,0.028,0.024,0.000,0.009,0.003,0.000,0.002,0.000
TCGA-BK-A6W3-01A,0.009,0.000,0.010,0.031,0.002,0.000,0.777,0.026,0.042,0.035,0.000,0.063,0.001,0.001,0.003,0.000
TCGA-FI-A2CX-01A,0.106,0.010,0.049,0.003,0.060,0.000,0.117,0.043,0.050,0.006,0.019,0.536,0.000,0.001,0.001,0.001
TCGA-DI-A2QU-01A,0.008,0.000,0.001,0.000,0.000,0.000,0.919,0.005,0.019,0.017,0.001,0.029,0.000,0.000,0.001,0.000
TCGA-AP-A0LT-01A,0.009,0.000,0.002,0.012,0.000,0.000,0.943,0.001,0.004,0.013,0.001,0.014,0.000,0.000,0.001,0.000
TCGA-EO-A3AS-01A,0.028,0.000,0.001,0.001,0.001,0.000,0.763,0.004,0.036,0.082,0.000,0.082,0.000,0.000,0.001,0.000
TCGA-E6-A1LZ-01A,0.008,0.000,0.004,0.017,0.000,0.000,0.882,0.000,0.021,0.000,0.013,0.047,0.002,0.000,0.005,0.000
TCGA-AP-A1DO-01A,0.001,0.000,0.003,0.021,0.002,0.000,0.955,0.001,0.012,0.001,0.002,0.002,0.000,0.000,0.001,0.000
TCGA-AX-A2HC-01A,0.018,0.000,0.001,0.001,0.000,0.000,0.823,0.000,0.059,0.082,0.000,0.014,0.000,0.000,0.001,0.000
TCGA-EC-A1QX-01A,0.007,0.000,0.000,0.037,0.000,0.000,0.800,0.000,0.026,0.083,0.000,0.043,0.001,0.000,0.002,0.000
TCGA-A5-A0GB-01A,0.001,0.000,0.002,0.016,0.001,0.000,0.942,0.001,0.016,0.008,0.004,0.007,0.000,0.000,0.001,0.000
TCGA-B5-A11Y-01A,0.016,0.000,0.010,0.046,0.003,0.000,0.735,0.006,0.044,0.019,0.000,0.118,0.001,0.000,0.003,0.000
TCGA-AJ-A3IA-01A,0.008,0.000,0.013,0.011,0.002,0.000,0.710,0.020,0.041,0.115,0.013,0.062,0.003,0.000,0.001,0.000
TCGA-D1-A1NS-01A,0.005,0.000,0.001,0.000,0.000,0.000,0.912,0.025,0.018,0.019,0.000,0.018,0.000,0.000,0.001,0.000
TCGA-AX-A2H2-01A,0.038,0.000,0.015,0.018,0.001,0.000,0.832,0.012,0.023,0.013,0.013,0.031,0.000,0.000,0.002,0.000
TCGA-D1-A162-01A,0.018,0.000,0.005,0.000,0.001,0.000,0.829,0.027,0.035,0.025,0.003,0.053,0.000,0.000,0.002,0.000
TCGA-AP-A0LG-01A,0.005,0.000,0.002,0.001,0.000,0.000,0.920,0.011,0.020,0.030,0.004,0.008,0.000,0.000,0.000,0.000
TCGA-DF-A2KN-01A,0.011,0.000,0.012,0.018,0.012,0.000,0.743,0.011,0.037,0.033,0.005,0.113,0.001,0.000,0.003,0.000
TCGA-AX-A1C4-01A,0.001,0.000,0.000,0.003,0.000,0.000,0.948,0.001,0.010,0.034,0.000,0.001,0.001,0.000,0.000,0.000
TCGA-AJ-A3EJ-01A,0.006,0.000,0.019,0.000,0.000,0.000,0.787,0.001,0.043,0.081,0.003,0.058,0.001,0.000,0.002,0.000
TCGA-BK-A26L-01C,0.004,0.010,0.018,0.026,0.001,0.013,0.702,0.011,0.057,0.119,0.014,0.012,0.006,0.000,0.005,0.000
TCGA-A5-A2K3-01A,0.191,0.019,0.064,0.059,0.026,0.000,0.347,0.019,0.012,0.009,0.002,0.250,0.001,0.001,0.001,0.001
TCGA-AP-A05H-01A,0.002,0.000,0.004,0.005,0.000,0.000,0.829,0.001,0.009,0.125,0.021,0.001,0.000,0.000,0.001,0.000
TCGA-AX-A3FV-01A,0.009,0.000,0.004,0.014,0.021,0.000,0.898,0.000,0.013,0.001,0.007,0.022,0.008,0.000,0.003,0.000
TCGA-D1-A16F-01A,0.003,0.000,0.002,0.004,0.000,0.000,0.788,0.042,0.071,0.056,0.010,0.016,0.001,0.000,0.006,0.000
TCGA-JU-AAVI-01A,0.015,0.000,0.001,0.038,0.002,0.000,0.859,0.000,0.017,0.017,0.000,0.049,0.001,0.000,0.000,0.000
TCGA-AX-A06L-01A,0.020,0.000,0.017,0.019,0.001,0.001,0.688,0.044,0.036,0.119,0.007,0.035,0.007,0.005,0.002,0.001
TCGA-BG-A3PP-01A,0.007,0.000,0.002,0.007,0.000,0.000,0.882,0.001,0.012,0.065,0.005,0.018,0.000,0.000,0.001,0.000
TCGA-B5-A1MU-01A,0.011,0.000,0.010,0.013,0.005,0.000,0.624,0.003,0.039,0.203,0.001,0.086,0.003,0.001,0.003,0.000
TCGA-A5-A0RA-01A,0.008,0.000,0.004,0.000,0.000,0.000,0.876,0.037,0.030,0.023,0.001,0.017,0.001,0.000,0.002,0.000
TCGA-BG-A0MK-01A,0.008,0.000,0.006,0.000,0.002,0.000,0.808,0.016,0.051,0.059,0.005,0.041,0.001,0.001,0.002,0.000
TCGA-EO-A3L0-01A,0.004,0.000,0.004,0.006,0.000,0.000,0.891,0.006,0.041,0.031,0.006,0.007,0.000,0.001,0.002,0.000
TCGA-B5-A3F9-01A,0.009,0.000,0.003,0.005,0.006,0.000,0.814,0.004,0.031,0.077,0.000,0.049,0.001,0.000,0.001,0.000
TCGA-AJ-A2QO-01A,0.006,0.000,0.002,0.003,0.000,0.000,0.932,0.002,0.015,0.006,0.003,0.029,0.000,0.000,0.002,0.000
TCGA-D1-A0ZO-01A,0.008,0.000,0.015,0.002,0.004,0.000,0.721,0.039,0.079,0.084,0.014,0.030,0.001,0.001,0.001,0.000
TCGA-AP-A1DM-01A,0.004,0.000,0.008,0.010,0.003,0.000,0.890,0.001,0.013,0.060,0.005,0.004,0.001,0.000,0.000,0.000
TCGA-SL-A6JA-01A,0.006,0.000,0.001,0.003,0.001,0.000,0.956,0.000,0.012,0.001,0.003,0.015,0.000,0.000,0.002,0.000
TCGA-EO-A22T-01A,0.014,0.000,0.019,0.025,0.001,0.000,0.764,0.006,0.055,0.045,0.015,0.051,0.001,0.001,0.001,0.000
TCGA-B5-A11V-01A,0.012,0.000,0.007,0.001,0.001,0.000,0.861,0.007,0.033,0.063,0.007,0.007,0.001,0.000,0.001,0.000
TCGA-AP-A051-01A,0.012,0.001,0.017,0.000,0.013,0.000,0.830,0.007,0.024,0.039,0.012,0.043,0.000,0.000,0.000,0.000
TCGA-AJ-A2QL-01A,0.010,0.000,0.009,0.007,0.000,0.000,0.783,0.041,0.042,0.021,0.000,0.071,0.001,0.013,0.001,0.000
TCGA-BS-A0TC-01A,0.007,0.000,0.000,0.003,0.000,0.000,0.927,0.008,0.018,0.008,0.000,0.027,0.000,0.000,0.001,0.000
TCGA-B5-A1MS-01B,0.000,0.001,0.000,0.014,0.001,0.000,0.866,0.009,0.037,0.048,0.003,0.013,0.001,0.004,0.003,0.000
TCGA-A5-A0R9-01A,0.014,0.000,0.002,0.002,0.007,0.000,0.822,0.009,0.031,0.084,0.002,0.023,0.004,0.000,0.001,0.000
TCGA-A5-A0GV-01A,0.006,0.000,0.000,0.002,0.002,0.000,0.942,0.002,0.014,0.024,0.000,0.006,0.001,0.000,0.001,0.000
TCGA-B5-A1MZ-01A,0.006,0.000,0.012,0.000,0.000,0.000,0.781,0.043,0.024,0.101,0.000,0.029,0.002,0.000,0.002,0.000
TCGA-D1-A1NW-01A,0.011,0.000,0.001,0.019,0.001,0.000,0.853,0.017,0.023,0.040,0.001,0.027,0.003,0.001,0.001,0.000
TCGA-AX-A2HF-01A,0.007,0.005,0.011,0.013,0.006,0.000,0.856,0.001,0.015,0.053,0.001,0.029,0.002,0.000,0.001,0.000
TCGA-A5-A2K2-01A,0.000,0.000,0.000,0.011,0.000,0.000,0.927,0.000,0.025,0.000,0.000,0.035,0.000,0.000,0.002,0.000
TCGA-D1-A102-01A,0.010,0.000,0.016,0.002,0.010,0.000,0.735,0.010,0.033,0.130,0.000,0.051,0.001,0.000,0.001,0.000
TCGA-BS-A0UL-01A,0.021,0.000,0.019,0.003,0.026,0.000,0.496,0.040,0.126,0.155,0.070,0.040,0.001,0.001,0.001,0.001
TCGA-BG-A0MA-01A,0.012,0.000,0.003,0.003,0.007,0.000,0.814,0.006,0.038,0.091,0.008,0.011,0.005,0.000,0.001,0.000
TCGA-EO-A1Y5-01A,0.006,0.000,0.010,0.016,0.003,0.000,0.803,0.021,0.025,0.045,0.008,0.059,0.001,0.000,0.001,0.000
TCGA-EY-A1GL-01A,0.000,0.000,0.001,0.001,0.003,0.000,0.888,0.000,0.013,0.082,0.000,0.008,0.000,0.000,0.003,0.000
TCGA-A5-A2K7-01A,0.002,0.000,0.000,0.015,0.000,0.000,0.873,0.003,0.017,0.046,0.006,0.033,0.002,0.000,0.001,0.000
TCGA-EO-A2CH-01A,0.000,0.000,0.001,0.008,0.000,0.000,0.939,0.007,0.019,0.002,0.002,0.019,0.000,0.000,0.001,0.000
TCGA-A5-A3LO-01A,0.000,0.000,0.004,0.009,0.000,0.000,0.926,0.003,0.029,0.013,0.007,0.003,0.000,0.000,0.005,0.000
TCGA-EO-A3B1-01A,0.012,0.000,0.026,0.009,0.006,0.000,0.715,0.027,0.064,0.084,0.008,0.041,0.003,0.000,0.003,0.000
TCGA-AJ-A3NC-01A,0.001,0.000,0.004,0.000,0.000,0.000,0.882,0.001,0.029,0.052,0.002,0.024,0.001,0.000,0.003,0.000
TCGA-B5-A11U-01A,0.004,0.000,0.006,0.002,0.001,0.000,0.480,0.005,0.176,0.289,0.023,0.011,0.001,0.000,0.002,0.000
TCGA-D1-A168-01A,0.000,0.000,0.008,0.000,0.000,0.000,0.793,0.005,0.034,0.146,0.003,0.009,0.000,0.000,0.002,0.000
TCGA-AP-A0LV-01A,0.003,0.000,0.001,0.008,0.000,0.000,0.815,0.012,0.032,0.107,0.001,0.018,0.002,0.000,0.001,0.000
TCGA-A5-A0VP-01A,0.017,0.000,0.000,0.009,0.003,0.000,0.915,0.003,0.029,0.004,0.000,0.016,0.000,0.001,0.003,0.000
TCGA-BK-A0C9-01A,0.011,0.000,0.010,0.010,0.001,0.000,0.866,0.006,0.027,0.031,0.007,0.030,0.002,0.000,0.001,0.000
TCGA-D1-A16N-01A,0.019,0.000,0.002,0.006,0.010,0.000,0.877,0.000,0.035,0.013,0.006,0.030,0.001,0.000,0.002,0.000
TCGA-K6-A3WQ-01A,0.006,0.000,0.001,0.008,0.000,0.000,0.851,0.001,0.013,0.088,0.010,0.018,0.002,0.000,0.001,0.000
TCGA-D1-A3JP-01A,0.004,0.001,0.011,0.000,0.007,0.000,0.772,0.030,0.031,0.039,0.000,0.101,0.003,0.000,0.001,0.000
TCGA-QS-A744-01A,0.002,0.000,0.001,0.001,0.000,0.000,0.898,0.001,0.021,0.070,0.000,0.001,0.002,0.000,0.003,0.000
TCGA-BK-A4ZD-01A,0.000,0.001,0.000,0.000,0.000,0.000,0.936,0.000,0.023,0.031,0.000,0.004,0.003,0.000,0.001,0.000
TCGA-AJ-A2QM-01A,0.007,0.000,0.001,0.006,0.000,0.000,0.883,0.001,0.033,0.042,0.001,0.023,0.001,0.000,0.003,0.000
TCGA-FI-A2F8-01A,0.002,0.000,0.002,0.007,0.000,0.000,0.877,0.009,0.038,0.031,0.014,0.016,0.002,0.000,0.002,0.000
TCGA-AX-A1CA-01A,0.010,0.000,0.001,0.014,0.000,0.000,0.861,0.006,0.024,0.028,0.010,0.039,0.002,0.000,0.003,0.000
