,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-BP-4766-01A,0.001,0.000,0.001,0.000,0.000,0.005,0.236,0.000,0.344,0.002,0.175,0.217,0.002,0.009,0.008,0.001
TCGA-A3-3352-01A,0.001,0.001,0.005,0.001,0.000,0.016,0.098,0.013,0.426,0.003,0.163,0.241,0.004,0.025,0.004,0.000
TCGA-G6-A8L7-01A,0.005,0.000,0.004,0.005,0.000,0.000,0.775,0.000,0.042,0.006,0.134,0.019,0.001,0.006,0.002,0.000
TCGA-A3-A6NN-01A,0.000,0.000,0.013,0.002,0.000,0.002,0.005,0.023,0.505,0.096,0.094,0.229,0.002,0.027,0.001,0.000
TCGA-T7-A92I-01A,0.001,0.000,0.025,0.005,0.000,0.000,0.205,0.007,0.128,0.008,0.043,0.577,0.000,0.000,0.000,0.000
TCGA-B0-5713-01A,0.000,0.000,0.008,0.011,0.000,0.000,0.001,0.001,0.593,0.003,0.197,0.169,0.001,0.013,0.001,0.001
TCGA-CZ-4860-01A,0.000,0.000,0.012,0.002,0.007,0.000,0.542,0.000,0.044,0.141,0.019,0.233,0.000,0.000,0.000,0.000
TCGA-A3-3351-01A,0.000,0.001,0.044,0.004,0.049,0.000,0.081,0.085,0.304,0.030,0.137,0.256,0.007,0.000,0.001,0.000
TCGA-B8-4148-01A,0.006,0.000,0.025,0.074,0.042,0.000,0.010,0.063,0.350,0.002,0.141,0.270,0.003,0.012,0.001,0.000
TCGA-BP-4345-01A,0.001,0.000,0.021,0.001,0.010,0.004,0.000,0.014,0.230,0.202,0.312,0.195,0.003,0.007,0.000,0.000
TCGA-BP-5010-01A,0.000,0.000,0.006,0.003,0.006,0.000,0.007,0.005,0.308,0.109,0.435,0.116,0.000,0.003,0.001,0.000
TCGA-BP-4325-01A,0.001,0.000,0.004,0.025,0.024,0.000,0.267,0.003,0.267,0.000,0.072,0.329,0.001,0.005,0.002,0.000
TCGA-B0-5102-01A,0.007,0.000,0.004,0.002,0.008,0.000,0.371,0.000,0.269,0.001,0.087,0.248,0.000,0.002,0.000,0.000
TCGA-BP-5185-01A,0.002,0.001,0.000,0.025,0.000,0.000,0.008,0.000,0.326,0.004,0.329,0.300,0.000,0.002,0.001,0.000
TCGA-CZ-5986-01A,0.001,0.007,0.002,0.006,0.000,0.001,0.017,0.027,0.434,0.037,0.177,0.270,0.009,0.009,0.003,0.000
TCGA-CW-5590-01A,0.001,0.000,0.025,0.008,0.000,0.002,0.061,0.002,0.372,0.075,0.212,0.226,0.004,0.011,0.001,0.000
TCGA-CJ-4904-01A,0.000,0.000,0.008,0.007,0.008,0.000,0.001,0.020,0.513,0.046,0.225,0.165,0.003,0.003,0.001,0.000
TCGA-BP-4987-01A,0.001,0.002,0.007,0.018,0.008,0.000,0.006,0.005,0.485,0.008,0.181,0.253,0.006,0.019,0.001,0.000
TCGA-B0-4849-01A,0.001,0.000,0.009,0.012,0.000,0.000,0.014,0.011,0.408,0.000,0.362,0.160,0.003,0.011,0.004,0.003
TCGA-BP-4329-01A,0.001,0.000,0.010,0.000,0.000,0.006,0.062,0.018,0.398,0.026,0.247,0.217,0.005,0.010,0.000,0.000
