,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-E7-A6ME-01A,0.011,0.004,0.018,0.033,0.027,0.000,0.008,0.014,0.003,0.016,0.038,0.003,0.000,0.000,0.000,0.826,0.826
TCGA-DK-AA6M-01A,0.003,0.000,0.026,0.024,0.001,0.000,0.040,0.039,0.072,0.010,0.088,0.008,0.000,0.000,0.000,0.690,0.690
TCGA-CF-A47W-01A,0.000,0.000,0.003,0.002,0.000,0.000,0.000,0.030,0.000,0.016,0.005,0.001,0.000,0.000,0.000,0.944,0.944
TCGA-XF-A9ST-01A,0.000,0.000,0.000,0.002,0.003,0.000,0.001,0.022,0.002,0.010,0.007,0.000,0.000,0.000,0.000,0.953,0.953
TCGA-FD-A3SN-01A,0.010,0.000,0.000,0.023,0.000,0.000,0.000,0.027,0.085,0.009,0.059,0.005,0.000,0.000,0.000,0.781,0.781
TCGA-FD-A3B6-01A,0.001,0.000,0.026,0.053,0.014,0.000,0.005,0.028,0.038,0.001,0.101,0.008,0.000,0.000,0.000,0.724,0.724
TCGA-ZF-A9R7-01A,0.028,0.013,0.050,0.086,0.015,0.000,0.067,0.031,0.002,0.007,0.044,0.005,0.000,0.001,0.000,0.650,0.650
TCGA-BT-A3PK-01A,0.001,0.000,0.018,0.019,0.000,0.000,0.004,0.060,0.087,0.041,0.028,0.007,0.000,0.002,0.003,0.730,0.730
TCGA-FD-A62P-01A,0.001,0.000,0.012,0.017,0.014,0.000,0.011,0.020,0.063,0.031,0.063,0.010,0.000,0.001,0.002,0.753,0.753
TCGA-LC-A66R-01A,0.025,0.000,0.037,0.037,0.018,0.000,0.019,0.061,0.034,0.019,0.028,0.003,0.000,0.002,0.000,0.715,0.715
TCGA-DK-AA76-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.019,0.000,0.010,0.006,0.000,0.000,0.000,0.000,0.963,0.963
TCGA-DK-AA6T-01A,0.000,0.681,0.020,0.001,0.031,0.000,0.021,0.009,0.016,0.014,0.027,0.001,0.000,0.000,0.000,0.181,0.181
TCGA-XF-AAMH-01A,0.008,0.000,0.007,0.004,0.000,0.000,0.002,0.009,0.048,0.018,0.011,0.001,0.000,0.000,0.000,0.893,0.893
TCGA-FD-A43U-01A,0.036,0.000,0.018,0.010,0.005,0.000,0.011,0.010,0.204,0.020,0.195,0.006,0.000,0.000,0.001,0.483,0.483
TCGA-GC-A6I3-01A,0.033,0.000,0.030,0.014,0.020,0.000,0.014,0.002,0.035,0.011,0.086,0.002,0.000,0.000,0.000,0.752,0.752
TCGA-GC-A6I1-01A,0.071,0.000,0.035,0.021,0.019,0.000,0.003,0.018,0.022,0.004,0.129,0.002,0.000,0.001,0.000,0.675,0.675
TCGA-FD-A3B8-01A,0.007,0.018,0.043,0.037,0.021,0.000,0.035,0.106,0.233,0.096,0.124,0.007,0.000,0.003,0.005,0.266,0.266
TCGA-XF-A8HD-01A,0.016,0.000,0.011,0.083,0.000,0.000,0.029,0.043,0.062,0.009,0.090,0.004,0.000,0.000,0.000,0.653,0.653
TCGA-ZF-A9R2-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.021,0.000,0.003,0.001,0.000,0.000,0.000,0.000,0.974,0.974
TCGA-FD-A62S-01A,0.013,0.000,0.028,0.003,0.003,0.000,0.037,0.062,0.298,0.020,0.075,0.005,0.000,0.001,0.000,0.455,0.455
