sample_id,cancer_type,reference_dataset,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,NK,Neutrophils
TCGA-78-7220-01A,LUAD,simu_bulk_2ds_ref,0,0,0.013,0.836,0,0.046,0.048,0.051,0.001,0.001,0.004
TCGA-44-3917-01B,LUAD,simu_bulk_2ds_ref,0.077,0.043,0.039,0.426,0.021,0.068,0.12,0.147,0.002,0,0.058
TCGA-78-7153-01A,LUAD,simu_bulk_2ds_ref,0.026,0.013,0.007,0.829,0.007,0.026,0.047,0.044,0,0,0
TCGA-55-7910-01A,LUAD,simu_bulk_2ds_ref,0.032,0.031,0,0.726,0.007,0.048,0.092,0.038,0.005,0.001,0.019
TCGA-64-5778-01A,LUAD,simu_bulk_2ds_ref,0.081,0.058,0.064,0.6,0.001,0.014,0.017,0.163,0,0,0
TCGA-55-7815-01A,LUAD,simu_bulk_2ds_ref,0.03,0.084,0.01,0.428,0,0.038,0.154,0.253,0.002,0,0
TCGA-55-6985-01A,LUAD,simu_bulk_2ds_ref,0.027,0.037,0.028,0.478,0.028,0.055,0.157,0.163,0.012,0.013,0.002
TCGA-69-7761-01A,LUAD,simu_bulk_2ds_ref,0.076,0.049,0.058,0.474,0.007,0.024,0.098,0.194,0.006,0.002,0.012
TCGA-MN-A4N4-01A,LUAD,simu_bulk_2ds_ref,0.026,0.007,0.009,0.547,0.001,0.051,0.217,0.131,0.001,0.008,0.003
TCGA-55-6972-01A,LUAD,simu_bulk_2ds_ref,0,0.008,0,0.972,0,0.019,0,0,0,0,0
TCGA-49-6743-01A,LUAD,simu_bulk_2ds_ref,0.026,0.021,0.014,0.563,0.001,0.048,0.158,0.166,0.001,0.001,0.003
TCGA-50-6597-01A,LUAD,simu_bulk_2ds_ref,0.049,0.07,0.008,0.717,0.007,0.01,0.039,0.097,0,0.003,0
TCGA-55-A490-01A,LUAD,simu_bulk_2ds_ref,0.02,0.032,0,0.628,0,0.031,0.119,0.169,0,0,0
TCGA-99-8032-01A,LUAD,simu_bulk_2ds_ref,0.061,0.035,0.001,0.545,0.006,0.07,0.2,0.068,0.007,0.002,0.004
TCGA-55-8299-01A,LUAD,simu_bulk_2ds_ref,0.031,0.016,0.071,0.316,0.003,0.111,0.206,0.231,0.002,0.01,0.004
TCGA-64-1676-01A,LUAD,simu_bulk_2ds_ref,0.009,0.012,0.016,0.55,0,0.014,0.059,0.34,0,0,0
TCGA-86-8279-01A,LUAD,simu_bulk_2ds_ref,0,0.001,0,0.668,0,0.031,0.179,0.121,0,0,0
TCGA-97-A4M5-01A,LUAD,simu_bulk_2ds_ref,0.024,0.025,0.001,0.471,0.014,0.103,0.132,0.188,0.015,0.025,0.002
TCGA-78-7536-01A,LUAD,simu_bulk_2ds_ref,0.006,0.016,0.02,0.689,0,0.019,0.031,0.218,0,0,0
TCGA-55-8208-01A,LUAD,simu_bulk_2ds_ref,0.091,0.042,0.031,0.262,0.018,0.065,0.132,0.333,0.001,0.018,0.007
TCGA-95-7562-01A,LUAD,simu_bulk_2ds_ref,0.002,0.017,0.014,0.715,0,0.026,0.057,0.167,0.001,0,0
TCGA-MP-A4TK-01A,LUAD,simu_bulk_2ds_ref,0.061,0.039,0.006,0.345,0.001,0.05,0.275,0.214,0.002,0.008,0
TCGA-49-6761-01A,LUAD,simu_bulk_2ds_ref,0.028,0.035,0.029,0.65,0.005,0.028,0.083,0.14,0,0.001,0
TCGA-50-6593-01A,LUAD,simu_bulk_2ds_ref,0.01,0.015,0,0.52,0.009,0.031,0.15,0.262,0.002,0,0
TCGA-55-7728-01A,LUAD,simu_bulk_2ds_ref,0.042,0.038,0.004,0.378,0.015,0.016,0.018,0.465,0.001,0.022,0
TCGA-86-8055-01A,LUAD,simu_bulk_2ds_ref,0.019,0.023,0.001,0.452,0,0.034,0.267,0.193,0.005,0.006,0
TCGA-73-4668-01A,LUAD,simu_bulk_2ds_ref,0.012,0.007,0,0.69,0,0.039,0.158,0.085,0.007,0,0
TCGA-55-8090-01A,LUAD,simu_bulk_2ds_ref,0.009,0.03,0,0.66,0.005,0.042,0.086,0.161,0.005,0.002,0
TCGA-38-7271-01A,LUAD,simu_bulk_2ds_ref,0.21,0.101,0.051,0.151,0.014,0.101,0.152,0.207,0.006,0.007,0
TCGA-55-8514-01A,LUAD,simu_bulk_2ds_ref,0.009,0.026,0,0.707,0.009,0.046,0.04,0.16,0.001,0.002,0
TCGA-50-5932-01A,LUAD,simu_bulk_2ds_ref,0.002,0.005,0,0.843,0,0.036,0.046,0.067,0.001,0,0
TCGA-95-A4VN-01A,LUAD,simu_bulk_2ds_ref,0.018,0.029,0.044,0.537,0.007,0.057,0.066,0.234,0.002,0.003,0.004
TCGA-86-7954-01A,LUAD,simu_bulk_2ds_ref,0.013,0.046,0.021,0.456,0.023,0.041,0.076,0.305,0.002,0.016,0.001
TCGA-91-A4BC-01A,LUAD,simu_bulk_2ds_ref,0.066,0.02,0.175,0.283,0.011,0.062,0.214,0.144,0.003,0.018,0.005
TCGA-MP-A4TJ-01A,LUAD,simu_bulk_2ds_ref,0.113,0.096,0.052,0.261,0.029,0.066,0.153,0.191,0.007,0.018,0.013
TCGA-75-5126-01A,LUAD,simu_bulk_2ds_ref,0.002,0.006,0.025,0.453,0.005,0.059,0.056,0.388,0.003,0.003,0
TCGA-75-6211-01A,LUAD,simu_bulk_2ds_ref,0.02,0.029,0.002,0.707,0.014,0.048,0.113,0.055,0.001,0.007,0.004
TCGA-62-A470-01A,LUAD,simu_bulk_2ds_ref,0,0.008,0,0.741,0.004,0.039,0.046,0.151,0.005,0.001,0.005
TCGA-73-4677-01A,LUAD,simu_bulk_2ds_ref,0.018,0.039,0.003,0.711,0.001,0.064,0.053,0.106,0.006,0,0
TCGA-55-7911-01A,LUAD,simu_bulk_2ds_ref,0.028,0.065,0.052,0.616,0.011,0.032,0.029,0.166,0,0,0
TCGA-50-8460-01A,LUAD,simu_bulk_2ds_ref,0.077,0.069,0.011,0.472,0.005,0.074,0.093,0.174,0.019,0.007,0
TCGA-55-6981-01A,LUAD,simu_bulk_2ds_ref,0.028,0.014,0,0.685,0.001,0.063,0.088,0.113,0.008,0.001,0
TCGA-44-8120-01A,LUAD,simu_bulk_2ds_ref,0.019,0.032,0,0.532,0.006,0.085,0.201,0.116,0.005,0.002,0.001
TCGA-55-8614-01A,LUAD,simu_bulk_2ds_ref,0.014,0.012,0.004,0.615,0.007,0.05,0.212,0.065,0.002,0.012,0.007
TCGA-64-1677-01A,LUAD,simu_bulk_2ds_ref,0.069,0.033,0.02,0.759,0,0.017,0.028,0.072,0,0,0
TCGA-97-8552-01A,LUAD,simu_bulk_2ds_ref,0.049,0.043,0.001,0.455,0.001,0.057,0.093,0.277,0.011,0.011,0.001
TCGA-69-8253-01A,LUAD,simu_bulk_2ds_ref,0.029,0.024,0,0.75,0,0.071,0.041,0.079,0.005,0.001,0.001
TCGA-86-8668-01A,LUAD,simu_bulk_2ds_ref,0.075,0.049,0.008,0.389,0.013,0.085,0.174,0.187,0.011,0.009,0
TCGA-86-8074-01A,LUAD,simu_bulk_2ds_ref,0.002,0.025,0.004,0.566,0.002,0.03,0.169,0.191,0.005,0.006,0.001
TCGA-69-7765-01A,LUAD,simu_bulk_2ds_ref,0.068,0.034,0.014,0.375,0,0.072,0.24,0.191,0.005,0,0
TCGA-55-8092-01A,LUAD,simu_bulk_2ds_ref,0.153,0.006,0.075,0.507,0.001,0.032,0.109,0.113,0,0.002,0.001
TCGA-NJ-A4YQ-01A,LUAD,simu_bulk_2ds_ref,0.163,0.054,0.07,0.412,0.009,0.036,0.054,0.19,0.001,0.005,0.005
TCGA-55-6983-01A,LUAD,simu_bulk_2ds_ref,0.099,0.056,0.017,0.481,0.019,0.058,0.143,0.114,0.007,0.006,0
TCGA-62-8394-01A,LUAD,simu_bulk_2ds_ref,0.005,0.024,0.002,0.731,0.012,0.043,0.062,0.107,0.001,0.013,0
TCGA-44-2661-01A,LUAD,simu_bulk_2ds_ref,0.09,0.07,0.032,0.264,0.001,0.034,0.097,0.389,0.018,0.003,0
TCGA-44-7659-01A,LUAD,simu_bulk_2ds_ref,0.061,0.034,0.001,0.684,0.001,0.041,0.049,0.109,0.005,0.009,0.005
TCGA-55-6712-01A,LUAD,simu_bulk_2ds_ref,0.06,0.046,0.057,0.523,0,0.039,0.082,0.192,0.001,0,0
TCGA-05-4403-01A,LUAD,simu_bulk_2ds_ref,0.004,0.014,0,0.615,0.009,0.036,0.059,0.25,0.003,0.01,0
TCGA-97-7553-01A,LUAD,simu_bulk_2ds_ref,0.035,0.028,0.031,0.226,0.014,0.099,0.09,0.43,0.017,0.02,0.009
TCGA-78-8655-01A,LUAD,simu_bulk_2ds_ref,0.009,0.03,0.012,0.553,0.01,0.063,0.055,0.255,0.002,0.011,0
TCGA-55-7724-01A,LUAD,simu_bulk_2ds_ref,0.043,0.018,0.02,0.397,0,0.092,0.112,0.299,0.01,0.003,0.005
TCGA-73-4659-01A,LUAD,simu_bulk_2ds_ref,0,0.011,0,0.563,0.003,0.067,0.137,0.207,0.004,0.001,0.006
TCGA-50-6673-01A,LUAD,simu_bulk_2ds_ref,0.012,0.022,0,0.606,0.009,0.063,0.134,0.151,0.002,0.002,0
TCGA-78-7542-01A,LUAD,simu_bulk_2ds_ref,0.001,0.009,0.012,0.887,0,0.025,0.009,0.058,0,0,0
TCGA-38-4625-01A,LUAD,simu_bulk_2ds_ref,0.023,0.008,0.016,0.674,0,0.023,0.06,0.193,0.003,0,0
TCGA-55-7570-01A,LUAD,simu_bulk_2ds_ref,0.009,0.003,0.015,0.835,0.001,0.028,0.069,0.037,0.001,0.001,0
TCGA-69-7979-01A,LUAD,simu_bulk_2ds_ref,0,0,0,0.782,0.002,0.019,0.104,0.086,0,0.005,0.002
TCGA-55-A4DF-01A,LUAD,simu_bulk_2ds_ref,0.043,0.032,0.048,0.547,0.009,0.032,0.065,0.213,0.001,0.005,0.005
TCGA-67-3773-01A,LUAD,simu_bulk_2ds_ref,0.02,0.043,0.014,0.49,0,0.048,0.067,0.294,0.014,0.008,0
TCGA-55-7573-01A,LUAD,simu_bulk_2ds_ref,0.105,0.061,0.017,0.438,0.012,0.063,0.114,0.173,0.012,0.005,0.003
TCGA-50-5068-01A,LUAD,simu_bulk_2ds_ref,0.071,0.043,0.031,0.462,0,0.024,0.071,0.298,0.001,0,0
TCGA-49-AARN-01A,LUAD,simu_bulk_2ds_ref,0.063,0.023,0.009,0.699,0.011,0.051,0.078,0.058,0.001,0.006,0
TCGA-78-7150-01A,LUAD,simu_bulk_2ds_ref,0,0.002,0.006,0.774,0,0.014,0.151,0.052,0,0,0
TCGA-MP-A4TA-01A,LUAD,simu_bulk_2ds_ref,0.016,0.012,0.018,0.722,0.003,0.024,0.067,0.123,0,0.012,0.003
TCGA-55-7907-01A,LUAD,simu_bulk_2ds_ref,0.021,0.034,0.032,0.598,0.007,0.032,0.102,0.166,0.001,0.008,0
TCGA-55-5899-01A,LUAD,simu_bulk_2ds_ref,0,0.031,0.015,0.561,0.021,0.052,0.136,0.174,0.003,0.007,0
TCGA-55-7574-01A,LUAD,simu_bulk_2ds_ref,0.132,0.091,0.026,0.222,0.013,0.135,0.227,0.131,0.007,0.013,0.005
TCGA-C5-A7UI-01A,CESC,simu_bulk_2ds_ref,0.023,0.047,0.041,0.737,0.007,0.027,0.009,0.087,0,0.021,0
TCGA-C5-A902-01A,CESC,simu_bulk_2ds_ref,0,0.004,0.111,0.777,0.007,0.019,0,0.048,0,0.034,0
TCGA-DS-A1OB-01A,CESC,simu_bulk_2ds_ref,0,0.01,0,0.846,0,0.007,0.007,0.13,0,0,0
TCGA-Q1-A6DW-01A,CESC,simu_bulk_2ds_ref,0,0.002,0.01,0.849,0,0.038,0.027,0.059,0,0.014,0
TCGA-EK-A2R7-01A,CESC,simu_bulk_2ds_ref,0.023,0.02,0.036,0.782,0.014,0.024,0.03,0.059,0.004,0.006,0
TCGA-C5-A7X8-01A,CESC,simu_bulk_2ds_ref,0.011,0.016,0.008,0.676,0.015,0.053,0.176,0.029,0.004,0.013,0
TCGA-Q1-A5R3-01A,CESC,simu_bulk_2ds_ref,0.001,0.015,0.016,0.898,0.01,0.008,0,0.035,0,0.017,0
TCGA-C5-A7X5-01A,CESC,simu_bulk_2ds_ref,0,0,0,0.961,0,0.009,0.007,0.022,0,0,0
TCGA-ZJ-A8QR-01A,CESC,simu_bulk_2ds_ref,0,0,0,0.916,0,0.021,0.002,0.037,0,0.011,0.012
TCGA-HM-A3JK-01A,CESC,simu_bulk_2ds_ref,0,0.022,0.003,0.567,0.001,0.043,0.249,0.104,0,0.011,0
TCGA-EA-A556-01A,CESC,simu_bulk_2ds_ref,0,0.003,0.001,0.819,0.008,0.024,0.112,0.027,0.001,0.005,0
TCGA-VS-A9V4-01A,CESC,simu_bulk_2ds_ref,0,0.007,0,0.967,0.004,0,0.008,0.006,0,0,0.006
TCGA-IR-A3L7-01A,CESC,simu_bulk_2ds_ref,0,0,0,0.927,0.001,0.014,0.043,0.011,0,0.004,0
TCGA-EK-A2RL-01A,CESC,simu_bulk_2ds_ref,0,0,0.01,0.958,0.007,0.014,0.005,0.003,0,0,0.003
TCGA-VS-A94X-01A,CESC,simu_bulk_2ds_ref,0,0.001,0.014,0.928,0.004,0.007,0,0.041,0,0.004,0
TCGA-VS-A9V3-01A,CESC,simu_bulk_2ds_ref,0.003,0.025,0.026,0.762,0.004,0.023,0.021,0.112,0,0.019,0.003
TCGA-EK-A2RO-01A,CESC,simu_bulk_2ds_ref,0,0,0,0.83,0,0.012,0.115,0.036,0,0.006,0
TCGA-JW-A5VJ-01A,CESC,simu_bulk_2ds_ref,0,0.009,0,0.892,0,0.012,0.005,0.076,0,0.005,0
TCGA-MA-AA42-01A,CESC,simu_bulk_2ds_ref,0.039,0.007,0.154,0.466,0.002,0.014,0,0.301,0,0.017,0
TCGA-C5-A1MK-01A,CESC,simu_bulk_2ds_ref,0,0.019,0.003,0.768,0.001,0.017,0.1,0.088,0,0.004,0.001
TCGA-UC-A7PG-01A,CESC,simu_bulk_2ds_ref,0,0.018,0.001,0.847,0,0.024,0.048,0.052,0,0.004,0.007
TCGA-VS-A9UH-01A,CESC,simu_bulk_2ds_ref,0.014,0.004,0.064,0.578,0.011,0.025,0.046,0.236,0,0.021,0
TCGA-4J-AA1J-01A,CESC,simu_bulk_2ds_ref,0,0,0,0.832,0.001,0.027,0.097,0.03,0,0.007,0.006
TCGA-C5-A1ME-01A,CESC,simu_bulk_2ds_ref,0,0.014,0.018,0.907,0.014,0.016,0.001,0.026,0.003,0.002,0
TCGA-C5-A8YR-01A,CESC,simu_bulk_2ds_ref,0,0,0.04,0.756,0,0.022,0.008,0.17,0,0.004,0
TCGA-EA-A5FO-01A,CESC,simu_bulk_2ds_ref,0,0,0.003,0.989,0,0.008,0,0,0,0,0
TCGA-MA-AA3Z-01A,CESC,simu_bulk_2ds_ref,0,0.001,0.063,0.805,0.004,0.013,0,0.089,0,0.026,0
TCGA-C5-A8XJ-01A,CESC,simu_bulk_2ds_ref,0,0.005,0.029,0.739,0.015,0.048,0.095,0.061,0.001,0.007,0
TCGA-R2-A69V-01A,CESC,simu_bulk_2ds_ref,0.018,0.033,0.101,0.428,0.006,0.021,0.017,0.36,0,0.014,0
TCGA-C5-A1BM-01A,CESC,simu_bulk_2ds_ref,0,0.02,0.009,0.641,0,0.021,0.006,0.292,0,0.01,0
TCGA-ZJ-AAXD-01A,CESC,simu_bulk_2ds_ref,0,0.012,0.008,0.817,0,0.028,0.104,0.022,0,0.005,0.004
TCGA-HM-A4S6-01A,CESC,simu_bulk_2ds_ref,0,0.013,0.042,0.658,0,0.022,0.037,0.208,0,0.02,0.001
TCGA-EA-A5ZF-01A,CESC,simu_bulk_2ds_ref,0,0,0.001,0.837,0.002,0.024,0.099,0.037,0,0,0
TCGA-C5-A1M6-01A,CESC,simu_bulk_2ds_ref,0,0,0.001,0.952,0,0.007,0.037,0.001,0,0,0.001
TCGA-DG-A2KK-01A,CESC,simu_bulk_2ds_ref,0,0,0.023,0.884,0.005,0.006,0.002,0.071,0,0.008,0.002
TCGA-HG-A2PA-01A,CESC,simu_bulk_2ds_ref,0.005,0.001,0.035,0.781,0.004,0.035,0.063,0.053,0.009,0.01,0.005
TCGA-VS-A8EH-01A,CESC,simu_bulk_2ds_ref,0,0,0,0.93,0,0.012,0,0.048,0,0.011,0
TCGA-FU-A5XV-01A,CESC,simu_bulk_2ds_ref,0,0.009,0.006,0.89,0.001,0.023,0.014,0.048,0.003,0.004,0.003
TCGA-C5-A1MF-01A,CESC,simu_bulk_2ds_ref,0.01,0.016,0.017,0.87,0,0.008,0.012,0.057,0,0.009,0
TCGA-EX-A449-01A,CESC,simu_bulk_2ds_ref,0.003,0.001,0.002,0.966,0.012,0.009,0,0.001,0,0.006,0
TCGA-C5-A2LX-01A,CESC,simu_bulk_2ds_ref,0.027,0.113,0.067,0.606,0.03,0.007,0.032,0.113,0,0.005,0
TCGA-HM-A3JJ-01A,CESC,simu_bulk_2ds_ref,0,0.009,0.011,0.733,0.005,0.032,0.097,0.1,0,0.012,0
TCGA-LP-A4AW-01A,CESC,simu_bulk_2ds_ref,0,0.004,0,0.618,0.002,0.096,0.235,0.038,0.001,0.005,0.001
TCGA-C5-A8XH-01A,CESC,simu_bulk_2ds_ref,0,0.023,0.011,0.832,0.002,0.011,0.016,0.097,0,0.01,0
TCGA-EK-A2RE-01A,CESC,simu_bulk_2ds_ref,0,0.001,0,0.929,0,0.019,0.026,0.025,0,0,0
TCGA-EK-A2RC-01A,CESC,simu_bulk_2ds_ref,0,0.021,0.027,0.742,0.004,0.021,0.058,0.104,0,0.021,0
TCGA-EA-A3HU-01A,CESC,simu_bulk_2ds_ref,0.018,0,0.163,0.572,0.002,0.031,0.014,0.165,0,0.036,0
TCGA-EK-A2PI-01A,CESC,simu_bulk_2ds_ref,0,0.001,0,0.891,0,0.015,0.067,0.023,0,0.002,0
TCGA-EX-A8YF-01A,CESC,simu_bulk_2ds_ref,0.034,0.008,0.071,0.777,0.016,0.023,0.001,0.062,0,0.002,0.007
TCGA-C5-A7UC-01A,CESC,simu_bulk_2ds_ref,0,0,0,0.969,0,0.009,0.021,0,0,0,0
TCGA-EA-A3QE-01A,CESC,simu_bulk_2ds_ref,0.019,0.053,0.096,0.595,0.006,0.024,0.02,0.147,0,0.034,0.005
TCGA-EA-A4BA-01A,CESC,simu_bulk_2ds_ref,0,0.002,0,0.882,0.005,0.029,0.082,0,0,0,0
TCGA-EA-A411-01A,CESC,simu_bulk_2ds_ref,0.003,0.006,0.002,0.678,0.001,0.042,0.166,0.095,0.001,0.006,0
TCGA-IR-A3LL-01A,CESC,simu_bulk_2ds_ref,0,0.013,0.096,0.628,0,0.01,0,0.249,0,0.005,0
TCGA-IR-A3LF-01A,CESC,simu_bulk_2ds_ref,0.009,0.015,0.027,0.811,0.015,0.028,0.044,0.039,0.004,0.007,0.001
TCGA-EK-A3GJ-01A,CESC,simu_bulk_2ds_ref,0,0.001,0.06,0.744,0,0.003,0,0.192,0,0.001,0
TCGA-ZJ-AAXI-01A,CESC,simu_bulk_2ds_ref,0,0,0.001,0.924,0,0.011,0,0.052,0,0.012,0
TCGA-C5-A1BI-01B,CESC,simu_bulk_2ds_ref,0.012,0.041,0.039,0.632,0.001,0.033,0.046,0.173,0,0.02,0.003
TCGA-EK-A3GK-01A,CESC,simu_bulk_2ds_ref,0,0,0.034,0.926,0.008,0.002,0,0.029,0,0.001,0
TCGA-EA-A3HT-01A,CESC,simu_bulk_2ds_ref,0,0.013,0,0.686,0,0.016,0.139,0.138,0,0.006,0.002
TCGA-C5-A2M1-01A,CESC,simu_bulk_2ds_ref,0.001,0.002,0.061,0.825,0.007,0.011,0,0.093,0,0,0
TCGA-VS-AA62-01A,CESC,simu_bulk_2ds_ref,0.016,0.02,0.069,0.664,0.001,0.022,0.027,0.174,0,0.004,0.002
TCGA-JW-A5VL-01A,CESC,simu_bulk_2ds_ref,0,0,0.035,0.743,0,0.02,0,0.172,0,0.03,0
TCGA-EK-A2IR-01A,CESC,simu_bulk_2ds_ref,0,0,0,0.965,0,0.015,0.014,0.005,0,0,0
TCGA-VS-A9UD-01A,CESC,simu_bulk_2ds_ref,0.009,0.028,0.087,0.606,0.013,0.013,0,0.233,0,0.013,0
TCGA-VS-A9UR-01A,CESC,simu_bulk_2ds_ref,0,0,0.009,0.966,0.012,0.008,0.002,0,0,0,0.002
TCGA-FU-A3EO-01A,CESC,simu_bulk_2ds_ref,0,0.009,0.002,0.902,0.009,0.005,0,0.07,0.001,0.002,0
TCGA-JX-A3Q0-01A,CESC,simu_bulk_2ds_ref,0,0.025,0.023,0.795,0.001,0.009,0,0.131,0,0.015,0.001
TCGA-VS-A8QH-01A,CESC,simu_bulk_2ds_ref,0,0.003,0,0.972,0.003,0.007,0.006,0.003,0,0.006,0
TCGA-EK-A2RM-01A,CESC,simu_bulk_2ds_ref,0,0,0,0.854,0.001,0.008,0.095,0.042,0,0,0
TCGA-ZJ-AAX8-01A,CESC,simu_bulk_2ds_ref,0.001,0.031,0.039,0.639,0.007,0.032,0.124,0.099,0.004,0.02,0.006
TCGA-DR-A0ZL-01A,CESC,simu_bulk_2ds_ref,0.006,0.013,0,0.948,0.001,0.015,0,0.012,0,0,0.003
TCGA-2W-A8YY-01A,CESC,simu_bulk_2ds_ref,0.002,0.008,0.004,0.868,0.014,0.013,0.017,0.074,0,0,0
TCGA-BI-A0VR-01A,CESC,simu_bulk_2ds_ref,0.02,0.028,0.049,0.688,0.007,0.027,0.04,0.125,0,0.016,0
TCGA-FU-A23L-01A,CESC,simu_bulk_2ds_ref,0.008,0.022,0.056,0.733,0.015,0.027,0.023,0.096,0,0.021,0
TCGA-VS-A8EJ-01A,CESC,simu_bulk_2ds_ref,0.001,0.012,0.006,0.921,0.011,0.008,0.003,0.038,0,0,0
TCGA-DS-A0VK-01A,CESC,simu_bulk_2ds_ref,0,0,0.001,0.871,0.001,0.043,0.046,0.038,0,0.001,0
TCGA-LP-A4AX-01A,CESC,simu_bulk_2ds_ref,0.015,0.003,0.103,0.655,0.002,0.054,0.039,0.12,0,0.006,0.004
TCGA-EK-A2RJ-01A,CESC,simu_bulk_2ds_ref,0.006,0,0.071,0.74,0,0.024,0.016,0.139,0,0.002,0.003
TCGA-JW-A852-01A,CESC,simu_bulk_2ds_ref,0,0.012,0,0.916,0.005,0.006,0,0.051,0,0.01,0
TCGA-Q1-A73S-01A,CESC,simu_bulk_2ds_ref,0,0,0,0.951,0,0.003,0.011,0.035,0,0,0
TCGA-ZJ-AAXU-01A,CESC,simu_bulk_2ds_ref,0.049,0.038,0.046,0.793,0.001,0.02,0.008,0.044,0,0.001,0
TCGA-C5-A1MI-01A,CESC,simu_bulk_2ds_ref,0.009,0.033,0.041,0.759,0.018,0.028,0.053,0.055,0.001,0.002,0
TCGA-VS-A8QA-01A,CESC,simu_bulk_2ds_ref,0,0,0.029,0.947,0.006,0.001,0,0.017,0,0,0
TCGA-EA-A5ZD-01A,CESC,simu_bulk_2ds_ref,0,0.023,0.006,0.723,0.001,0.029,0.032,0.169,0,0.012,0.006
TCGA-XS-A8TJ-01A,CESC,simu_bulk_2ds_ref,0.001,0.01,0.008,0.773,0,0.047,0.032,0.115,0,0.013,0.002
TCGA-C5-A7CO-01A,CESC,simu_bulk_2ds_ref,0,0.011,0.012,0.896,0.002,0.013,0,0.059,0,0.008,0
TCGA-MY-A5BF-01A,CESC,simu_bulk_2ds_ref,0,0,0.06,0.776,0,0.02,0,0.144,0,0,0
TCGA-C5-A1BL-01A,CESC,simu_bulk_2ds_ref,0.01,0,0.048,0.781,0,0.008,0,0.141,0,0.011,0
TCGA-C5-A1M5-01A,CESC,simu_bulk_2ds_ref,0.02,0.04,0.031,0.748,0.002,0.031,0.027,0.086,0,0.013,0
TCGA-DS-A5RQ-01A,CESC,simu_bulk_2ds_ref,0,0.002,0.012,0.817,0,0.023,0.01,0.125,0,0.01,0
TCGA-JW-A5VG-01A,CESC,simu_bulk_2ds_ref,0,0,0.026,0.859,0.001,0.014,0,0.073,0,0.026,0
TCGA-WL-A834-01A,CESC,simu_bulk_2ds_ref,0,0.006,0,0.884,0,0.031,0.043,0.036,0,0,0
TCGA-DS-A1OD-01A,CESC,simu_bulk_2ds_ref,0.027,0.063,0.128,0.525,0.026,0.025,0.069,0.134,0.001,0.002,0
TCGA-Q1-A5R1-01A,CESC,simu_bulk_2ds_ref,0.005,0.004,0.008,0.911,0.012,0.018,0.001,0.033,0.007,0.002,0
TCGA-ZJ-AAXF-01A,CESC,simu_bulk_2ds_ref,0.028,0.069,0.024,0.626,0.02,0.048,0.073,0.09,0,0.019,0.003
TCGA-LP-A5U2-01A,CESC,simu_bulk_2ds_ref,0,0.004,0.024,0.925,0.005,0.008,0,0.032,0,0,0
TCGA-C5-A7CK-01A,CESC,simu_bulk_2ds_ref,0,0,0,0.855,0,0.027,0.099,0.017,0,0,0.002
TCGA-ZJ-AB0H-01A,CESC,simu_bulk_2ds_ref,0.025,0.036,0.034,0.631,0.007,0.028,0.041,0.182,0,0.012,0.004
TCGA-EK-A2R9-01A,CESC,simu_bulk_2ds_ref,0,0.017,0.049,0.666,0.019,0.023,0.123,0.103,0,0,0
TCGA-VS-A954-01A,CESC,simu_bulk_2ds_ref,0,0.021,0.01,0.838,0.001,0.01,0.036,0.085,0,0,0
TCGA-Q1-A73O-01A,CESC,simu_bulk_2ds_ref,0,0.001,0.041,0.84,0,0.018,0.018,0.07,0,0.01,0
TCGA-VS-A9U6-01A,CESC,simu_bulk_2ds_ref,0.001,0.009,0.026,0.773,0.005,0.021,0.044,0.103,0.001,0.009,0.008
TCGA-EK-A3GM-01A,CESC,simu_bulk_2ds_ref,0,0,0,0.988,0.009,0,0,0,0,0,0.003
TCGA-C5-A7CJ-01A,CESC,simu_bulk_2ds_ref,0.008,0.038,0.025,0.575,0.013,0.056,0.117,0.136,0.005,0.015,0.011
TCGA-FU-A3WB-01A,CESC,simu_bulk_2ds_ref,0,0,0.01,0.909,0.003,0.024,0.032,0.022,0,0,0
TCGA-VS-A9V1-01A,CESC,simu_bulk_2ds_ref,0.005,0,0.004,0.949,0.009,0.01,0,0,0,0.006,0.017
TCGA-C5-A1ML-01A,CESC,simu_bulk_2ds_ref,0,0.003,0.005,0.847,0.003,0.038,0.02,0.074,0.001,0.009,0
TCGA-IR-A3LB-01A,CESC,simu_bulk_2ds_ref,0,0.003,0.009,0.828,0.001,0.015,0.118,0.023,0.002,0,0
TCGA-VS-A9U7-01A,CESC,simu_bulk_2ds_ref,0.003,0.023,0.035,0.737,0,0.022,0.008,0.156,0,0.017,0
TCGA-EK-A2RK-01A,CESC,simu_bulk_2ds_ref,0,0.025,0.021,0.836,0,0.021,0,0.095,0,0.002,0
TCGA-C5-A905-01A,CESC,simu_bulk_2ds_ref,0,0.014,0,0.929,0.001,0.015,0,0.034,0,0.006,0
TCGA-C5-A3HL-01A,CESC,simu_bulk_2ds_ref,0,0,0.008,0.893,0.001,0.023,0.018,0.047,0,0.009,0
TCGA-C5-A1MH-01A,CESC,simu_bulk_2ds_ref,0.011,0.033,0.032,0.583,0,0.043,0.036,0.249,0,0.012,0
TCGA-Q1-A5R2-01A,CESC,simu_bulk_2ds_ref,0.001,0.003,0.028,0.8,0,0.007,0.015,0.131,0,0.014,0
TCGA-FU-A3HY-01A,CESC,simu_bulk_2ds_ref,0,0.002,0,0.957,0,0.012,0.007,0.012,0,0.006,0.005
