Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Macrophages,NK,T Cells,P-value,Correlation,RMSE
TCGA-58-A46N-01A,0,0.865509470221692,0.0308112420739846,0.0957369154849756,0.00794237221934794,0,0,0,0.112583624117045,1.03521431204854
TCGA-22-1017-01A,0,0.679635795999475,0.0471740138610095,0.0635389811990097,0.19256973795725,0.0170814709832561,0,0,0.34585632955607,0.938254232206799
TCGA-XC-AA0X-01A,0.0341980117912889,0.477482825708853,0.085723101766646,0.175948980657935,0.226647080075277,0,0,0,0.201892509993311,0.99914774528421
TCGA-94-A5I4-01A,0.00334570533537895,0.758974732507384,0.0106962084386463,0.124844040951664,0.102139312766927,0,0,0,0.232121045663009,0.983357657421846
TCGA-85-8354-01A,0,0.867593328786641,0.0296399329967495,0.0265181304451759,0.076248607771434,0,0,0,0.246593771179802,0.979777154003246
TCGA-22-5483-01A,0,0.448346098185726,0.0866012931862166,0.35538997257604,0.109662636052017,0,0,0,0.51757456008491,0.855652255561351
TCGA-90-A4EE-01A,0.00232000081033799,0.296450879405862,0.0545131203867534,0.213901425599907,0.326515041260756,0.106299532536383,0,0,0.476762432679632,0.879556455684297
TCGA-34-5231-01A,0.00339268350064547,0.729750697832354,0.000923926483830667,0.230260479663927,0.0356722125192426,0,0,0,0.250663263450665,0.98169062026274
TCGA-56-8623-01A,0,0.0685504887056878,0.218625438282786,0.0607847936353013,0.601605964100228,0.0504333152759968,0,0,0.462713974782449,0.897162871464451
TCGA-66-2759-01A,0,0.573772631578233,0.0400182037620608,0.164368992998368,0.207866383936049,0.0139737877252896,0,0,0.158948926430654,1.01120449445769
TCGA-66-2770-01A,0,0.392967310681961,0.008865414841998,0.408117633206993,0.17335633397898,0.0166933072900687,0,0,0.288059411512205,0.982869537594242
TCGA-56-8307-01A,0,0.720470009351098,0.0126417524400131,0.0577466907627839,0.166460974862853,0,0.0426805725832516,0,0.189240088902531,0.997219272376765
TCGA-43-3394-01A,0.00258626166870486,0.695862614489895,0.0389106778344262,0.163071105100517,0.0995693409064567,0,0,0,0.206882094969013,0.994357123335974
TCGA-60-2695-01A,0,0.768027364220619,0.029947641607519,0.103621857050149,0.0859475598959153,0.0015330296911304,0.0109225475346676,0,0.41126846643914,0.911896877185219
TCGA-22-4593-01A,0,0.345111778271335,0,0.654888221728665,0,0,0,0,0.64120669502533,0.772349574512736
TCGA-56-7222-01A,0.00553182530011204,0.836056055676091,0.0424367315111976,0.0928987159392639,0.0230766715733352,0,0,0,0.217832042019143,0.992037809508429
TCGA-22-5491-01A,0.0438396483047108,0.804460783372854,0.0384255657821424,0.0203637053497452,0.0909050849727236,0.00200521221782406,0,0,0.106127091439696,1.03041732228634
TCGA-98-A53A-01A,0.0290147982800517,0.829010384230162,0,0.141974817489786,0,0,0,0,0.24611055707455,0.981492449886534
TCGA-85-A4PA-01A,0.397966771190012,0.00616683379532038,0.0745973112428788,0,0.123691069394624,0,0.397578014377164,0,0.525344886815428,0.862366678990151
TCGA-21-1080-01A,0,0.730396147409045,0.0326474814272902,0.108049537744481,0.124516693377141,0.00439014004204221,0,0,0.225032759306031,0.985201024146723
TCGA-18-3406-01A,0.051836828233902,0.423092379011182,0.0641126016645106,0.157171771244866,0.294540992131084,0.00924542771445497,0,0,0.129926199282982,1.02680259711302
TCGA-58-8391-01A,0,0.736356605143441,0.00657439734832425,0.144273408290405,0.112795589217829,0,0,0,0.132136652140608,1.02129852307219
TCGA-85-7696-01A,0,0.682621106857244,0.0106506632839191,0.265416591830066,0.0413116380287703,0,0,0,0.273302880717676,0.974272300837584
TCGA-22-5480-01A,0.045011003694063,0.400445664855197,0.0592836602147464,0.262514972241777,0.115889967670063,0,0.116854731324153,0,0.399248365385286,0.91757148090428
TCGA-43-8116-01A,0.0709067409729872,0.649343066433869,0,0.203388192425415,0.0648731768149034,0.0114888233528255,0,0,0.331331363077517,0.944978818681985
TCGA-22-4607-01A,0.0260099229599762,0.637795721356667,0.0519641585911542,0.173307023466569,0.110923173625633,0,0,0,0.298696187670646,0.958124348335907
TCGA-60-2726-01A,0.0065071384992252,0.731744141734107,0.0156882271715937,0.161509498784412,0.0514930014092132,0.0330579924014495,0,0,0.309587670052298,0.953566462558083
TCGA-85-7699-01A,0,0.357027689802864,0.00481318702405982,0.40071744202106,0.172779453913281,0.0397575819729561,0.0249046452657788,0,0.54864201917304,0.837000012808871
TCGA-34-5236-01A,0,0.306321762689317,0,0.572214280380077,0.121463956930606,0,0,0,0.488491768038953,0.88692985786263
TCGA-63-A5ML-01A,0,0.699901668976977,0.0121172156340877,0.208413033916856,0.0795680814720796,0,0,0,0.185891163774226,1.00526752802349
TCGA-33-AASJ-01A,0,0.982097651773379,0,0.011339403324926,0.00656294490169517,0,0,0,0.227872760283429,0.993763962807429
TCGA-56-5898-01A,0,0.523089828913187,0.0586100771350899,0.320769005711924,0.0975310882397991,0,0,0,0.244415798196318,0.994834517231718
TCGA-56-8622-01A,0.0406710703617565,0.360131739083727,0.0470388784795635,0.478919617581623,0.0732386944933301,0,0,0,0.309474626936046,0.990534310775979
TCGA-66-2800-01A,0.00566002578226969,0.528300967031284,0.0732955702732718,0.150254160240897,0.242489276672277,0,0,0,0.416010418105199,0.909636773672618
TCGA-77-7335-01A,0,0.120686845512282,0.0650255382642838,0.564736714671711,0.189520745879705,0.0600301556720184,0,0,0.589854395584152,0.81331942318826
TCGA-43-8118-01A,0,0.400569169065884,0.0247404268843009,0.290438693670625,0.284251710379191,0,0,0,0.34002465780533,0.946400101105291
TCGA-22-4596-01A,0,0.207948376350729,0.082730284048852,0.291369900604328,0.412266182491536,0,0.00568525650455571,0,0.395314176313631,0.926446115028059
TCGA-56-7731-01A,0.0618333954390556,0.267344849139132,0.0848286567149406,0.366664974238285,0.219328124468586,0,0,0,0.398302833076505,0.925821607766575
TCGA-56-8304-01A,0.0330755896846256,0.800126042558796,0.00705788778951719,0.0581043217648485,0.0938186528994316,0.00781750530278077,0,0.01,0.0913590038654075,1.03511248060728
TCGA-85-A53L-01A,0.0162675689797371,0.685419654237582,0.0300346514240289,0.23613258923509,0.0314563318452307,0.000689204278332108,0,0,0.267689276294423,0.975175265989591
TCGA-52-7811-01A,0,0.426296758774378,0.1643228112852,0.180395209464809,0.22581255084994,0.00317266962567233,0,0,0.174063273917082,1.0231146516179
