,Mixed_N100K_segment_filtered-Mixed_N100K_segment_without_filtering,Mixed_N100K_segment_filtered_1-Mixed_N100K_segment_without_filtering,Mixed_N100K_segment_filtered_2-Mixed_N100K_segment_without_filtering,Mixed_N100K_segment_filtered_3-Mixed_N100K_segment_without_filtering,Mixed_N100K_segment_filtered_4-Mixed_N100K_segment_without_filtering,Mixed_N100K_random,Mixed_N100K_random_1,Mixed_N100K_random_2,Mixed_N100K_random_3,Mixed_N100K_random_4,Mixed_N100K_segment_filtered,Mixed_N100K_segment_filtered_1,Mixed_N100K_segment_filtered_2,Mixed_N100K_segment_filtered_3,Mixed_N100K_segment_filtered_4,Mixed_N100K_segment_without_filtering,Mixed_N100K_segment_without_filtering_1,Mixed_N100K_segment_without_filtering_2,Mixed_N100K_segment_without_filtering_3,Mixed_N100K_segment_without_filtering_4,rep_5_d1d2_mean,rep_5_d1d2_std,rep_5_d0_mean,rep_5_d0_std,rep_5_d1_mean,rep_5_d1_std,rep_5_d2_mean,rep_5_d2_std
HNSC,0.6479506797594259,0.6421359935162538,0.6358018646483965,0.6271191213520966,0.567535681309857,0.010182720008973179,0.1842115806563777,0.0037547686120799713,0.0013005937232787733,-0.0017380089408748447,0.6376296453045873,0.5679584968292496,0.6455360874114889,0.6518593639276252,0.6057034764817087,0.6122675385727729,0.5018575618738949,0.612059760264547,0.6763527899637425,0.5421651325789286,0.6241086681172059,0.03255657571939921,0.03954233081196696,0.08099139631919089,0.621737413990932,0.03491250071187424,0.5889405566507772,0.06799068405027289
ACC,0.5555619175379453,0.5847651988649136,0.7274983893309116,0.6235901567264636,0.6850305206724578,0.010704281438919912,0.000155580277182495,0.0002345129576068314,0.004233566215329034,-0.005936969350739289,0.6285539351955656,0.49285586845165946,0.607302974237621,0.5065049458589552,0.4667844596900242,0.47104963232670916,0.5301914155906933,0.4561493573187995,0.5576938170233142,0.40874635515433055,0.6352892366265384,0.0707508223491007,0.0018781943076597966,0.006127672097911731,0.5404004366867652,0.07258734594678025,0.4847661154827693,0.05951464580307237
LUAD,0.7749140828764765,0.7805814811045547,0.7803370485350667,0.7676693245773186,0.7518194725624879,0.03702107307717118,0.08840145592830358,0.00026562533091047054,0.014646904794245215,0.007130535813984035,0.7637208233398276,0.7726241779995074,0.7595339773549797,0.7704507886912886,0.7410722260099099,0.7668481418566486,0.6237809302859211,0.7072278031898803,0.7900738128821168,0.7330622319571816,0.7710642819311809,0.011971535730495081,0.029493118988922894,0.03571275626935647,0.7614803986791027,0.012549435095250099,0.7241985840343498,0.06443758103679392
CESC,0.622904969645105,0.6358991966756575,0.5926076066261041,0.6016476574392958,0.5398347696131206,0.00529822653370691,0.08851610227652022,-7.117990616105046e-05,-0.003222040382241145,-0.009679970350755972,0.597753599693797,0.5697628236624134,0.594813442398003,0.6414046133603859,0.5651794934966504,0.6319005288254974,0.48599089261103506,0.649960895667146,0.641744871079331,0.6042980982437302,0.5985788399998566,0.03701522889301324,0.016168227634213793,0.0408050305699752,0.59378279452225,0.030330574458270983,0.6027790572853479,0.0675172265347979
UCEC,0.510602216762342,0.49851107436305836,0.47966187124319565,0.5056974356451472,0.49751898561052926,0.01443001748494192,0.02479505809469762,-9.75269302047177e-05,-0.0028880240695323667,-0.003911420196556456,0.5056321218293195,0.4747913238316657,0.4619306540564534,0.519221165079652,0.49566841571246556,0.43615346675597405,0.40107240630712515,0.4050332705352776,0.370229983512143,0.4124605612200187,0.4983983167248545,0.011769161396615418,0.006465620876669199,0.012625850925911883,0.49144873610191125,0.023125032374113213,0.40498993766610775,0.023720134401448316
LIHC,0.5915344894193404,0.6559436426261868,0.34780778686501457,0.6300044538451213,0.6172767627151853,-0.0016163764018402318,0.01634524844307215,0.0,0.0011710453566817487,-0.0015308820532439176,0.662597874116963,0.6558923838389173,0.6436404419631127,0.6770394503874415,0.5748057247772038,0.47402168540709333,0.5240989737434061,0.1571168010959069,0.5413144218406934,0.26645599056423036,0.5685134270941696,0.12554282217563223,0.00287380706893395,0.007619070335008974,0.6427951750167278,0.03987365667434806,0.392601574530266,0.1713199479656068
KICH,0.6563981803440866,0.5810647956926833,0.7938369474205896,0.7279398311080051,0.7250815603748336,0.036170861917252085,0.03441838659562215,4.7395525173169826e-07,0.006418345391063461,0.0037866779457012907,0.5602896061943586,0.3209988487826651,0.4756556602500827,0.4801518989113304,0.4624027848532459,0.5526184387244871,0.3287920983407756,0.8288291652354373,0.5424797189848171,0.47939636246313877,0.6968642629880397,0.08095157318156924,0.016158949160978146,0.017627623814593662,0.4598997597983366,0.08665484264096739,0.5464231567497311,0.18142695126794187
PRAD,0.4556868445594388,0.443251814227665,0.46365485460564,0.45339931233310427,0.45154521965426103,0.02210054927878005,0.029893438660970134,-3.808438959417952e-05,0.0006327878411738523,-0.0020859012299480955,0.43559845345328757,0.45197163805819984,0.3935625140493933,0.4364138658019171,0.3726420892633562,0.39692784534440667,0.3683392745327441,0.4413749451940921,0.3996870582815585,0.3723855343848938,0.45350760907602183,0.007361380433201484,0.010100558032276354,0.014804546982243537,0.4180377121252308,0.03338177603511149,0.39574293154753903,0.029136614619054858
READ,0.5201488914843194,0.5496465965052497,0.5381684248089246,0.5726668020442858,0.5516487602519268,0.03557179307465171,0.022019043415842186,0.0004676459405753599,0.0013572293615173477,-0.0003562180891288036,0.5160777603137953,0.5316957978849709,0.5007928031130042,0.5494575122039697,0.5033298939198302,0.5754051397177364,0.6045773390664998,0.5642520903183729,0.6112807752394095,0.5722556068880068,0.5464558950189413,0.01926719147830357,0.011811898740691561,0.0162386393502146,0.520270753487114,0.020410554801959472,0.5855541902460051,0.020960512718868292
GBM,0.6146514543477114,0.5210857679966443,0.5807231751480403,0.5465132824929433,0.5568962937494473,0.010465473140831034,0.004062031034784353,0.00016287035168465508,0.020964824713175116,0.00017976749153107564,0.5813703381566406,0.5919762483791629,0.5580591910047003,0.5516519217043232,0.46665725305969147,0.501589553053455,0.5454130819250055,0.5253873593211449,0.5207357552101753,0.5798378313675655,0.5639739947469573,0.035507429762332766,0.007166993346401247,0.008786068153742544,0.5499429904609037,0.049395799836972926,0.5345927161754692,0.029707589525941068
