,Mixed_N100K_segment_filtered-Mixed_N100K_segment_without_filtering,Mixed_N100K_segment_filtered_1-Mixed_N100K_segment_without_filtering,Mixed_N100K_segment_filtered_2-Mixed_N100K_segment_without_filtering,Mixed_N100K_segment_filtered_3-Mixed_N100K_segment_without_filtering,Mixed_N100K_segment_filtered_4-Mixed_N100K_segment_without_filtering,Mixed_N100K_random,Mixed_N100K_random_1,Mixed_N100K_random_2,Mixed_N100K_random_3,Mixed_N100K_random_4,Mixed_N100K_segment_filtered,Mixed_N100K_segment_filtered_1,Mixed_N100K_segment_filtered_2,Mixed_N100K_segment_filtered_3,Mixed_N100K_segment_filtered_4,Mixed_N100K_segment_without_filtering,Mixed_N100K_segment_without_filtering_1,Mixed_N100K_segment_without_filtering_2,Mixed_N100K_segment_without_filtering_3,Mixed_N100K_segment_without_filtering_4,rep_5_d1d2_mean,rep_5_d1d2_std,rep_5_d0_mean,rep_5_d0_std,rep_5_d1_mean,rep_5_d1_std,rep_5_d2_mean,rep_5_d2_std
HNSC,0.7442036093100886,0.7417163409529307,0.7364804847279249,0.7415698305035887,0.7364578514765886,0.6373481247033215,0.701909600146691,0.7187627472685251,0.6908392703310662,0.7432700268875765,0.731861446411941,0.7323308252545236,0.7331963850882292,0.7401888738177909,0.7365578087481208,0.7126120500409008,0.722478627084971,0.7198129702659423,0.7209113723853297,0.7118338916486306,0.7400856233942242,0.003463295843291856,0.698425953867436,0.039448608418913275,0.7348270678641211,0.0035153126166654197,0.717529782285155,0.004943845274260212
ACC,0.863261227608543,0.8589689293029974,0.8554827673730014,0.8543190360445889,0.8656214257198669,0.6301904318835803,0.8178022443921703,0.8395788220565923,0.8123100638285644,0.7057104440298446,0.8655707954984998,0.8576541046606642,0.8626815637512413,0.8599634548124871,0.8613064717463176,0.7828669628929761,0.7907144833316854,0.7905286353849137,0.7516397377051827,0.8246815393469452,0.8595306772097995,0.004870230027499051,0.7611184012381504,0.08972437922576564,0.861435278093842,0.002963775443692443,0.7880862717323407,0.02601767320284579
LUAD,0.7748224756508882,0.7726302499030369,0.7690088131640933,0.7633693738132284,0.7658013728016706,0.5278668992203212,0.7262776994587304,0.7437062594134661,0.7097047730882452,0.6695277037187947,0.7566793011850069,0.7349716811503746,0.7496632635289432,0.7605871237791682,0.7562097800391222,0.7173201905647997,0.7005611268708344,0.7109518655673884,0.7225890817788557,0.7242482998042777,0.7691264570665834,0.004715273719418433,0.6754166669799115,0.08693618512197418,0.7516222299365231,0.01010033701704963,0.7151341129172313,0.009660318499210367
CESC,0.6978472325218866,0.6967889195007916,0.6955420074023196,0.7024339366552949,0.6947568917299228,0.5517065811945502,0.6684690599488492,0.6408425900468435,0.6180004335829216,0.6722160253145849,0.6957012238813447,0.6962699191287567,0.6997534575032389,0.6999357361928608,0.701826978307689,0.6662735673054104,0.6694722436619802,0.671717663931492,0.6613163656697278,0.663295750447854,0.6974737975620431,0.0030135063453655955,0.6302469380175498,0.04912526655437764,0.6986974630027781,0.002613079077212342,0.6664151182032929,0.0042781648086152495
UCEC,0.5135137981397062,0.5124374046133957,0.5066406794684891,0.5056348253089141,0.5062377834996526,0.3063844240758611,0.4597518687499189,0.4729650938443792,0.4080407104140419,0.4071286650487142,0.5082945303746684,0.4937682999023445,0.5106962131692679,0.5110821607699478,0.5083845945652659,0.4724170025786389,0.4660464177174045,0.46661316472289777,0.4876647190573718,0.47105556216376854,0.5088928982060316,0.003763422784433671,0.4108541524265831,0.06554478346763487,0.5064451597562989,0.007201694042716946,0.47275937324801626,0.00877537997429083
LIHC,0.6817471879520369,0.6745932105375595,0.6856189836992339,0.6912382243203512,0.6798207106637321,0.23198065779721155,0.569148865074025,0.6238045271842316,0.6225675242732501,0.5090076538088584,0.6735484705504735,0.638510770198268,0.6728144636303699,0.6805913302066062,0.6690661074702865,0.5886730152915779,0.608979739556181,0.5921851524420525,0.6356988237469708,0.6008389326915881,0.6826036634345827,0.006250870538990434,0.5113018456275154,0.16310178689075217,0.6669062284112008,0.016410939642999278,0.605275132745674,0.018748218882013293
KICH,0.9208089065467822,0.912721844255694,0.9078619593584493,0.9136901345047593,0.9096154344065773,0.6669921030233628,0.8696410922929512,0.8935420528925346,0.8522277243496524,0.734638227704913,0.9132798450438184,0.8901843378111348,0.9108066839264112,0.9024878588394897,0.9095622389033678,0.853068916930072,0.8677463975144095,0.8672540526177238,0.8928031452951674,0.8752387596908301,0.9129396558144525,0.004984205465665709,0.8034082400526827,0.09776619305806501,0.9052641929048443,0.009334789041970076,0.8712222544096406,0.01448481130660183
PRAD,0.5390326281825921,0.5249308326137305,0.5283947498672078,0.5300791365540577,0.5328617798364098,0.3408290133190568,0.48623336431854713,0.48537548579807505,0.4707984352095902,0.4468496702326055,0.537477623013125,0.5245762653128481,0.5200752447973921,0.5337732398888961,0.5359143458464646,0.49699779005356454,0.492618488399357,0.48604464224031124,0.4966589223937696,0.517446869153404,0.5310598254107995,0.005301923112965526,0.4460171937755749,0.06092161311038413,0.5303633437717451,0.007622159180362602,0.4979533424480813,0.01175653005170459
READ,0.6554903018760067,0.6552542343171808,0.6547716577371924,0.6577168062273471,0.6568642354150536,0.4915984759455756,0.6432347488983203,0.6438808986083697,0.6285281329909007,0.6216062116837402,0.6572006054257267,0.6507015498686658,0.6563068974260112,0.6587567954702055,0.6523397618052701,0.6457396688881473,0.6291663393488603,0.637989082806437,0.6371388750937989,0.6352978471670214,0.6560194471145561,0.0012265010058536687,0.6057696936253814,0.06453662356545327,0.6550611219991758,0.0033984929975343315,0.637066362660853,0.0059502295504957085
GBM,0.7488873998671214,0.7016758659089087,0.7536438182242247,0.7462946502768559,0.7449328049527065,0.6943766580045703,0.6397220889044953,0.7710644042013565,0.7288017110133338,0.643987057969334,0.7546614541221083,0.7069574451864947,0.7377001260002252,0.7312538773708791,0.7429333117070497,0.7459325898763826,0.7586343715527513,0.6565242481234254,0.6944816655414071,0.7190010715564458,0.7390869078459635,0.021175843586303065,0.695590384018618,0.05609136019129628,0.7347012428773514,0.01772549667416449,0.7149147893300823,0.04097917572700156
