,Mixed_N100K_segment_filtered-Mixed_N100K_segment_without_filtering,Mixed_N100K_segment_filtered_1-Mixed_N100K_segment_without_filtering,Mixed_N100K_segment_filtered_2-Mixed_N100K_segment_without_filtering,Mixed_N100K_segment_filtered_3-Mixed_N100K_segment_without_filtering,Mixed_N100K_segment_filtered_4-Mixed_N100K_segment_without_filtering,Mixed_N100K_random,Mixed_N100K_random_1,Mixed_N100K_random_2,Mixed_N100K_random_3,Mixed_N100K_random_4,Mixed_N100K_segment_filtered,Mixed_N100K_segment_filtered_1,Mixed_N100K_segment_filtered_2,Mixed_N100K_segment_filtered_3,Mixed_N100K_segment_filtered_4,Mixed_N100K_segment_without_filtering,Mixed_N100K_segment_without_filtering_1,Mixed_N100K_segment_without_filtering_2,Mixed_N100K_segment_without_filtering_3,Mixed_N100K_segment_without_filtering_4,rep_5_d1d2_mean,rep_5_d1d2_std,rep_5_d0_mean,rep_5_d0_std,rep_5_d1_mean,rep_5_d1_std,rep_5_d2_mean,rep_5_d2_std
ACC,-0.0642016855433177,-0.07985675048593792,0.0,0.0,0.0,0.106675261293883,0.028328755362099122,0.06827972440173365,0.04908487334626468,0.0201666956110064,0.0,-0.11100086975867594,-0.09274461726680722,-0.11410373715438571,-0.09146455506127216,0.0,0.0,-0.036403186506335665,0.0,0.0,-0.0720292180146278,0.011069802580842543,0.05450706200299736,0.034659673538398356,-0.10232844481028526,0.011884756555301421,-0.036403186506335665,0.0
GBM,0.19746540528680992,0.20620620375748838,0.19746540528680992,0.1974654052868099,0.19746540528680992,-0.2415809843749266,0.08162994326530865,-0.10528997054282402,-0.07164416347200861,0.03225901499443007,0.20192251415713527,0.19752045569494484,0.19746540528680992,0.20581081496689768,0.19746540528680992,0.08890499830184763,0.0,0.0,-0.04714616101111434,0.0,0.1992135649809456,0.003909003911612652,-0.060925232026004104,0.12621896476645988,0.20003691907851953,0.003756703902795232,0.020879418645366646,0.09620269733848671
LIHC,0.4355294487267044,0.4721847401158223,0.4687339437886897,0.5188706423769053,0.4614414656975685,0.05462192259513674,0.20674408760422203,0.20674053319354505,0.10821699296014503,0.12297317592862518,0.48246314450676897,0.45570000329058635,0.48835147373318927,0.48022066771869343,0.5098949280912565,0.5013083851869199,0.5752864142283807,0.4730819412369623,0.5059888094539388,0.47253518832391384,0.47135204814113807,0.030195375960758764,0.1398593424563348,0.0661408751343669,0.48332604346809893,0.019395531885720112,0.5056401476860232,0.04190901846921713
BLCA,0.5261008168421623,0.4991403225530255,0.5301756477709318,0.4829555681238869,0.5325119713052074,-0.3167810624302883,-0.1748958576599907,-0.00011863164964057279,-0.18559351020128767,-0.25274479472074446,0.47145377465575616,0.506480674509153,0.5115957809227294,0.544794353220246,0.4924320002189913,0.37067793550982897,0.29854276532102014,0.3219434816209114,0.4485145384035585,0.3032798077111779,0.5141768653190428,0.021995367627610726,-0.18602677133239034,0.11856844082644181,0.5053513167053751,0.0269813547074885,0.3485917057132994,0.0627307070374895
HNSC,0.5207489306441948,0.5161171197135721,0.5297999072986442,0.5064277402604946,0.533528119098187,-0.15107492039645956,0.00042852333201372076,0.07780653306518931,-0.01967409231123885,-0.10780793891010777,0.5480287607595826,0.5155848228343985,0.5515532898480321,0.5385642935303505,0.5419400639409457,0.4481916483826802,0.4015296523932752,0.4011958934913965,0.4836361670273744,0.37698783368144256,0.5213243634030185,0.010841152938521115,-0.040064379044120635,0.09063873489302034,0.5391342461826618,0.014107780074091527,0.4223082389952338,0.04290246371098161
READ,0.5515503505558939,0.5498660900767368,0.5695223903558208,0.55860308623182,0.557707666676025,-0.40241520817820664,-0.14026686389669193,-0.021522351328116265,-0.21785490657293768,-0.24064008761111869,0.5601180610734855,0.5278659652146858,0.5880913176594063,0.5545550120135978,0.5455599549826756,0.4932285683922394,0.4923583380250393,0.4217004723675451,0.4989928604073869,0.43745994733878163,0.5574499167792594,0.007737250191930977,-0.20453988351741428,0.1398763711496841,0.5552380621887701,0.022059662245413267,0.46874803730619846,0.036276404063719125
LGG,0.6050492165189384,0.5724559851996036,0.5943889161102913,0.48604915971547985,0.5881284552476339,-0.18708131849484963,-0.06269601409064754,-0.10770122802452098,-0.06873402066563947,-0.13040239615955632,0.7145432933753068,0.46217520254035965,0.6077552555523905,0.7241736147867621,0.7116344601877453,0.2063334076042709,0.012321707144101982,0.16902440495404433,0.11784471911670295,0.029277889096467006,0.5692143465583894,0.0479650833638852,-0.11132299548704279,0.050731815290292887,0.644056365288513,0.11219682207975126,0.10696042558311743,0.08490650510949617
COAD,0.5732233243781465,0.5619152051475722,0.6094000993874066,0.6132809297669066,0.5948710405089206,-0.214245596248667,-0.1456120704067567,0.05500024376881379,-0.14187492587084793,-0.07382268649860342,0.6175384561931803,0.589104018033915,0.6325749274400309,0.5570157008635136,0.585101086431895,0.6348600348142558,0.5984784620505231,0.5220886061487627,0.6322246386878853,0.5321388592101501,0.5905381198377906,0.022421291581425275,-0.10411100705121226,0.10187228776924553,0.596266837792507,0.029527067513538174,0.5839581201823154,0.05395501511505865
KICH,0.7087524475947924,0.6402560960864798,0.590472587476521,0.5111913830698177,0.5603996737331403,-0.38713563878178747,-0.17311459404767618,-0.12542920928611762,-0.2226933873694052,-0.2346757381754433,0.7434166692466327,0.761035734152587,0.7791605246871002,0.6856642649058167,0.6915152165428405,0.347926791576999,0.0,0.09140450564391392,0.09140450564391392,0.09140450564391392,0.6022144375921503,0.07577772979513914,-0.22860971353208592,0.09865114455690846,0.7321584819069955,0.041783434932238704,0.15553507712718517,0.12826114296654254
LUAD,0.5997377675178472,0.6516083813508504,0.6983979263277333,0.7107731090145218,0.7021033853945176,0.06442955040138033,0.1526100632711663,0.34373035034563587,0.12702539269161903,0.18691144254571748,0.6933884346830671,0.6695862223621365,0.7424973092251533,0.7002645074147709,0.7075677561334028,0.6852042683243827,0.6755447648485227,0.5948721364895881,0.7203248495353403,0.6304010248197255,0.672524113921094,0.04675118497613964,0.1749413598511038,0.10445153533517479,0.702660845963706,0.026441786760627806,0.6612694088035119,0.04905523231783224
