,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-06-5418-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.785,0.000,0.027,0.001,0.002,0.180,0.000,0.000,0.005,0.000
TCGA-19-4065-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.622,0.000,0.028,0.034,0.011,0.299,0.002,0.000,0.001,0.000
TCGA-06-0168-01A,0.000,0.000,0.001,0.001,0.005,0.003,0.614,0.000,0.059,0.002,0.039,0.271,0.001,0.000,0.003,0.000
TCGA-06-0190-01A,0.000,0.000,0.002,0.000,0.011,0.000,0.520,0.000,0.056,0.135,0.019,0.252,0.000,0.000,0.005,0.000
TCGA-19-5960-01A,0.000,0.003,0.000,0.000,0.005,0.001,0.929,0.009,0.021,0.000,0.005,0.027,0.000,0.000,0.000,0.000
TCGA-06-5414-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.705,0.000,0.071,0.002,0.006,0.212,0.000,0.000,0.003,0.000
TCGA-32-1982-01A,0.000,0.000,0.001,0.000,0.006,0.001,0.543,0.000,0.137,0.040,0.050,0.212,0.001,0.003,0.005,0.000
TCGA-06-0645-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.444,0.000,0.086,0.038,0.041,0.381,0.001,0.002,0.006,0.000
TCGA-19-2629-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.696,0.001,0.043,0.001,0.014,0.241,0.000,0.000,0.001,0.000
TCGA-06-0174-01A,0.000,0.000,0.000,0.000,0.001,0.001,0.853,0.000,0.043,0.001,0.018,0.080,0.001,0.000,0.002,0.000
TCGA-32-4213-01A,0.000,0.000,0.004,0.000,0.001,0.000,0.521,0.000,0.077,0.096,0.034,0.261,0.000,0.004,0.001,0.000
TCGA-12-0821-01A,0.000,0.000,0.000,0.000,0.003,0.000,0.818,0.000,0.066,0.002,0.032,0.077,0.001,0.000,0.001,0.000
TCGA-76-4928-01B,0.000,0.000,0.000,0.000,0.000,0.000,0.689,0.000,0.077,0.063,0.010,0.159,0.000,0.000,0.001,0.000
TCGA-02-2485-01A,0.000,0.000,0.000,0.001,0.007,0.001,0.842,0.010,0.062,0.000,0.025,0.050,0.000,0.000,0.000,0.000
TCGA-06-0138-01A,0.000,0.000,0.000,0.000,0.000,0.001,0.700,0.000,0.059,0.001,0.030,0.201,0.001,0.002,0.003,0.001
TCGA-15-1444-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.663,0.004,0.066,0.000,0.015,0.248,0.000,0.000,0.004,0.000
TCGA-06-0750-01A,0.000,0.000,0.001,0.000,0.001,0.000,0.568,0.000,0.069,0.096,0.036,0.220,0.001,0.004,0.004,0.000
TCGA-27-2526-01A,0.000,0.000,0.001,0.000,0.005,0.000,0.846,0.000,0.032,0.000,0.005,0.108,0.000,0.001,0.001,0.000
TCGA-27-2528-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.777,0.000,0.077,0.070,0.038,0.037,0.001,0.000,0.000,0.000
TCGA-06-2564-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.723,0.000,0.067,0.003,0.013,0.188,0.000,0.000,0.003,0.000
TCGA-06-0130-01A,0.000,0.000,0.003,0.009,0.027,0.000,0.239,0.004,0.041,0.266,0.001,0.406,0.001,0.000,0.001,0.000
TCGA-06-2567-01A,0.000,0.000,0.002,0.001,0.010,0.002,0.672,0.000,0.049,0.035,0.025,0.185,0.000,0.003,0.013,0.001
TCGA-12-0619-01A,0.000,0.000,0.003,0.000,0.004,0.000,0.641,0.000,0.036,0.044,0.013,0.255,0.000,0.000,0.003,0.000
TCGA-19-2620-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.817,0.000,0.047,0.003,0.019,0.112,0.000,0.000,0.001,0.000
TCGA-28-5215-01A,0.002,0.000,0.003,0.002,0.001,0.000,0.635,0.001,0.063,0.075,0.021,0.196,0.000,0.001,0.000,0.000
TCGA-06-0878-01A,0.000,0.000,0.001,0.000,0.001,0.000,0.705,0.000,0.040,0.026,0.006,0.217,0.000,0.000,0.002,0.000
TCGA-26-5134-01A,0.001,0.000,0.000,0.006,0.000,0.001,0.798,0.007,0.026,0.007,0.018,0.136,0.000,0.001,0.000,0.000
TCGA-26-5136-01B,0.000,0.000,0.001,0.002,0.009,0.000,0.676,0.000,0.047,0.004,0.017,0.241,0.001,0.000,0.001,0.000
TCGA-14-0871-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.815,0.000,0.037,0.127,0.007,0.012,0.000,0.000,0.000,0.000
TCGA-27-2523-01A,0.000,0.000,0.000,0.000,0.005,0.000,0.872,0.000,0.036,0.000,0.001,0.083,0.001,0.000,0.000,0.000
TCGA-06-5410-01A,0.001,0.000,0.004,0.000,0.000,0.001,0.285,0.000,0.068,0.046,0.019,0.558,0.000,0.007,0.012,0.001
