"","Cancer Cells","Double-neg-like T","NK","Macrophages","CD8 T","Fibroblasts","Monocytes","B Cells","CD4 T","DC","Mast Cells","Neutrophils","Endothelial Cells"
"TCGA.E8.A437.01A",0.21859389878956,0,0.0176449832583845,0,0,0.0900984081808617,0,0,0,0,0,0.459508425417867,0.214154284353327
"TCGA.DE.A69K.01A",0.100785168626693,0,0.000795118862034086,0,0,0.111895203384192,0,0,0.000435955391795258,0,0,0.613323305217986,0.172765248517299
"TCGA.DJ.A2PP.01A",0.125797427931912,0,0,0,0,0.0221459762479484,0,0,0,0,0,0.561334602426886,0.290721993393253
"TCGA.FY.A4B0.01A",0.116807198030382,0,4.57321778916702e-05,0,0,0.0361356386188898,0,0,0,0,0,0.663595401504115,0.183416029668721
"TCGA.DJ.A3UK.01A",0.0929433694712865,0,2.00213200092482e-05,0,0,0.0683798622711817,0,0,0,0,0,0.623828245402261,0.214828501535262
"TCGA.BJ.A3PT.01A",0.174377760105208,0,0.00172526687961273,0,0,0.0790189471192993,0,0,0.000526817939920753,0,6.68166327277996e-05,0.546012907037735,0.198271484285496
"TCGA.EM.A2CT.01A",0.150248959704374,0,0,0,0,0.109495764534287,0,0,0,0,0,0.484130297742574,0.256124978018766
"TCGA.EL.A3D5.01A",0.182783053752285,0,0.000988365632448698,0,0,0.0348409652392747,0,0,0,0,0,0.500785623641611,0.280601991734382
"TCGA.EL.A3GV.01A",0.0543165158305296,0,0.000400023747358832,0,0,0.0724417953307074,0,0,0.000560284983391372,0,3.88805158681285e-05,0.698375202673458,0.173867296918687
"TCGA.BJ.A45I.01A",0.095954469238863,0,0.000775909832056119,0,0,0.194560334560155,0,0,0,0,0,0.535177830136981,0.173531456231946
"TCGA.EM.A3AJ.01A",0.0756169488810883,0,0.0414676962362227,0,0,0.0583387043475383,0,0,0.000992329349400616,0,0,0.594735527056049,0.228848794129701
"TCGA.BJ.A2N9.01A",0.453378328349285,0,0.00437903430033192,0.0017639573083898,0,0.0160393211698561,0,0.0197069842222793,0.000722426137940047,0.0589990706860782,0,0.303853415107275,0.141157462718565
"TCGA.KS.A4I7.01A",0.168544186836917,0,0.000299546293075846,0,0,0.169119230027918,0,0,0,0,9.23329917221832e-06,0.527017368695472,0.135010434847446
"TCGA.KS.A4ID.01A",0.12734563371765,0,0.00204503290841264,0,0,0.038968451602685,0,0.000583527513935995,0,0,0,0.648216960888852,0.182840393368464
"TCGA.FE.A230.01A",0.0794851763957162,0,0,0,0,0.0504201655620267,0,0,0,0,0,0.705551294216392,0.164543363825865
"TCGA.DJ.A2Q5.01A",0.0702674076146471,0,0.0018819276637478,0,0,0.116687636136989,0,0,0,0,0,0.663049391180287,0.148113637404328
"TCGA.EL.A4K2.01A",0.0821508700850999,0,0.000333015512063656,0,0,0.0261401169756808,0,0,0,0,0,0.740998631236813,0.150377366190343
"TCGA.EL.A4K4.01A",0.0501232938382854,0,0.000489184478117115,0,0,0.183410929857971,0,0,0,0,0,0.601268414855283,0.164708176970343
"TCGA.EM.A22L.01A",0.103177570472823,0,0,0,0,0.0101844934675008,0,0,0,0,0,0.632095344522848,0.254542591536828
"TCGA.DE.A0XZ.01A",0.0769372171559671,0,0.001438585477834,0,0,0.0636629118487227,0,0,0.000306065445776829,0,0,0.688356210228712,0.169299009842988
"TCGA.EL.A3T7.01A",0.105506600730173,0,0,0,0,0.0845036957642789,0,0,0,0,0,0.655768576377486,0.154221127128063
"TCGA.EM.A3FR.01A",0.188210290622665,0,0,0,0,0.0554562433961482,0,0,0,0,0,0.541447987044977,0.21488547893621
"TCGA.ET.A2N0.01A",0.282324430172076,0,0.00216289421942622,0.000318625900045264,0,0.188412463503176,0,0.149044023416023,0.0423570125233708,0.120601126321099,0.080967347721889,0.0019315528940787,0.131880523328816
"TCGA.E8.A44K.01A",0.154962106026797,0,0.000843660805225431,0,0,0.089916014201745,0,0,0,0,0,0.569766878826287,0.184511340139946
"TCGA.DJ.A4UW.01A",0.10698483860532,0,0.000126731808747472,0,0,0.150044421583,0,0,0,0,8.16638393341377e-05,0.517178858150802,0.225583486012797
"TCGA.EL.A3CO.01A",0.0194452200938566,0,0.00121344954234137,0,0,0.0798006109344805,0,0,0.000988216709507149,0,0,0.735213194772055,0.163339307947759
"TCGA.DE.A4MA.01A",0.389841343208389,0,0.0167822882854403,0.00036316176042619,0,0.182425412950134,0,0.0573101909426557,0.0407245615249021,0.0560101769384026,0.00229489854113885,0.114272388430891,0.13997557741762
"TCGA.E8.A432.01A",0.0923279883202926,0,0.000279827394112357,0,0,0.116958099263924,0,0,0.000201092014642771,0,0,0.579577411791182,0.210655581215846
"TCGA.BJ.A18Y.01A",0.141274384126041,0,2.63729981402702e-05,0,0,0.042286757626531,0,0,0,0,0,0.576387623812261,0.240024861437027
"TCGA.DJ.A13X.01A",0.0536915572869527,0,0,0,0,0.0583532112807913,0,0,0,0,0,0.689914673458107,0.198040557974149
"TCGA.BJ.A190.01A",0.257475340289563,0,0,0,0,0.00533957353242966,0,0,0,0,0,0.472087973896996,0.265097112281012
"TCGA.FE.A238.01A",0.122354899456371,0,0,0,0,0.112673703415126,0,0,0,0,0,0.573812138493777,0.191159258634726
"TCGA.FK.A3SB.01A",0.0801483185282399,0,0,0,0,0.0925036497269539,0,0,0,0,4.8026917771939e-05,0.554942454790847,0.272357550036187
"TCGA.4C.A93U.01A",0.0272212267465528,0,0,0,0,0.198183028304771,0,0,0,0,0,0.616544275394308,0.158051469554369
"TCGA.EM.A3SY.01A",0.312496877883647,0,0,0,0,0.00334597703686247,0,0,0,0,0,0.495892629897339,0.188264515182152
"TCGA.EL.A4KG.01A",0.117115911974979,0,0,0,0,0.108737584755297,0,0,0,0,0,0.629532207733688,0.144614295536036
"TCGA.DJ.A2PR.01A",0.0570863988154331,0,0.00117773192093028,0,0,0.071975976539663,0,0,0.000235195919047923,0,0,0.690179338486842,0.179345358318084
