"","T Cells","NK","Macrophages","Cancer Cells","B Cells","Endothelial Cells","Fibroblasts"
"TCGA.25.2409.01A",0,0,0.0818354712649245,0.551653715102388,0,0.0884571162334784,0.278053697399209
"TCGA.24.2280.01A",0,0,0,0.248282345519492,0,0.0910376983819771,0.660679956098531
"TCGA.29.1710.01A",0,0,0.255408702827156,0.228683714827716,0,0.124540036195952,0.391367546149177
"TCGA.61.2095.01A",0,0,0.0272550801577873,0.304228342829638,0,0.268263014428013,0.400253562584562
"TCGA.13.1489.01A",0,0,0,1,0,0,0
"TCGA.23.1023.01A",0,0,0.099610706151165,0.350865810883562,0,0.234913537402808,0.314609945562464
"TCGA.29.2425.01A",0,0,0,0.874702908605789,0,0.0181788829085445,0.107118208485666
"TCGA.36.1574.01A",0,0,0.00271418534417612,0.46500156273927,0,0.106714050998259,0.425570200918296
"TCGA.30.1853.01A",0,0,0,0.945527715554022,0,0.0204072995963818,0.0340649848495959
"TCGA.04.1648.01A",0,0,0.166234027159619,0.68788515054922,0,0.134862474714617,0.0110183475765434
"TCGA.13.1409.01A",0,0,0,0.887131063424655,0,0.0494758426824566,0.0633930938928887
"TCGA.OY.A56Q.01A",0,0,0,0.911826697672734,0,0.0881733023272663,0
"TCGA.24.1471.01A",0,0,0,0.555668308319876,0.368599307517556,0.0757323841625677,0
"TCGA.59.2350.01A",0,0,0.000273456127168167,0.69737383634192,0,0.220739231482818,0.0816134760480932
"TCGA.29.1688.01A",0,0,0.137748424793282,0.567052682028739,0,0.202803331645659,0.0923955615323192
"TCGA.61.1724.01A",0,0,0,0.575993709053565,0,0.160206014461647,0.263800276484788
"TCGA.25.1628.01A",0,0,0.0344613212719197,0.269923407638761,0,0.0696425133187452,0.625972757770574
"TCGA.09.1669.01A",0,0,0,0.677761608284346,0,0.159419916503149,0.162818475212506
"TCGA.13.1405.01A",0,0,0.0276138042292503,0.415859861780392,0,0.048629172690678,0.507897161299679
"TCGA.24.2024.01A",0,0,0,0.536293124622066,0,0.0556472861469723,0.408059589230962
"TCGA.24.1422.01A",0,0,0.0477292661023755,0.269406335566203,0,0.0622782124129788,0.620586185918443
"TCGA.61.1740.01A",0,0,0.257922869799549,0.553984003035268,0,0.153618044643323,0.03447508252186
"TCGA.13.0891.01A",0,0,0.0523777567220909,0.852969893470736,0,0.0779433151089333,0.0167090346982395
"TCGA.61.1728.01A",0,0,0,0.816447469095675,0,0.130708459875604,0.0528440710287213
"TCGA.61.1733.01A",0,0,0,0.558912044308663,0,0.0237295808773148,0.417358374814022
"TCGA.13.0720.01A",0,0,0,0.813979342554031,0,0.160577275211383,0.0254433822345851
"TCGA.29.1698.01A",0,0,0,0.496735080081418,0,0.0667576767398811,0.436507243178701
"TCGA.24.2288.01A",0,0,0.0407099706535944,0.44958306880353,0,0.26396647477453,0.245740485768346
"TCGA.25.1630.01A",0,0,0.111836274268634,0.530203107877706,0,0.210618889897924,0.147341727955736
"TCGA.13.0901.01B",0,0,0,0.70970095289987,0,0.0377257338629639,0.252573313237166
"TCGA.24.1567.01A",0,0,0,0.744733617556328,0,0.118068709508623,0.137197672935049
"TCGA.23.2084.01A",0,0,0.0206653179393912,0.548448280585044,0,0.208821239983197,0.222065161492368
"TCGA.36.1576.01A",0,0,0.0941203531185424,0.298574213294186,0,0.0750856558341838,0.532219777753087
"TCGA.13.0730.01A",0,0,0,0.601660569639956,0,0.115589772231164,0.28274965812888
"TCGA.04.1517.01A",0,0,0,0.876691107683768,0,0.1008402982388,0.0224685940774329
"TCGA.29.1778.01A",0,0,0,0.741110258692991,0,0.250681436877947,0.00820830442906178
"TCGA.24.1413.01A",0,0,0,0.721396548753702,0,0.275053355266151,0.00355009598014644
"TCGA.24.2023.01A",0,0,0,0.858046388221063,0,0.0953856198383324,0.0465679919406041
"TCGA.13.0725.01A",0,0,0.104927908970597,0.676785997489312,0,0.0747561432379162,0.143529950302174
"TCGA.13.0883.01A",0,0,0,0.271679138393981,0,0.100031381627247,0.628289479978772
"TCGA.24.1555.01A",0,0,0,0.896761423788788,0,0.103238576211212,0
"TCGA.23.1029.01B",0,0,0,0.607760504979536,0,0.274541130220692,0.117698364799772
"TCGA.13.1507.01A",0,0,0.203851528860488,0.502857877151501,0,0.0247920626878574,0.268498531300154
"TCGA.61.1998.01A",0,0,0.0719838938485537,0.582473565951572,0,0.0570624956656217,0.288480044534253
"TCGA.24.1419.01A",0,0,0,0.891778846609813,0,0.108221153390188,0
"TCGA.30.1862.01A",0,0,0.00438380952458704,0.436337469453723,0,0.0743859149900969,0.484892806031594
"TCGA.09.1670.01A",0,0,0.0301060282783854,0.79566911114413,0.0032402535532627,0.163535793320456,0.0074488137037653
"TCGA.24.2281.01A",0,0,0.165533396817539,0.60537258540566,0,0.197778853900225,0.0313151638765766
"TCGA.57.1994.01A",0,0,0.16494251494126,0.565067569638977,0,0.269989915419763,0
"TCGA.24.0968.01A",0,0,0.167408695663405,0.513281971888202,0,0.0533309851690925,0.2659783472793
"TCGA.23.1113.01A",0,0,0,0.763714501412773,0,0,0.236285498587227
"TCGA.24.1548.01A",0,0,0,0.856835938200291,0,0.105792280312597,0.0373717814871117
"TCGA.24.1552.01A",0,0,0,0.901962529878221,0,0.0949112999739142,0.0031261701478649
"TCGA.24.1930.01A",0,0,0.190667113075091,0.377948852853008,0,0.162045208673651,0.269338825398251
"TCGA.10.0936.01A",0,0,0.0894408236397885,0.846951171053115,0,0.0636080053070962,0
"TCGA.61.2102.01A",0,0,0.00332669635115487,0.336837847690504,0,0.317583985343832,0.342251470614509
"TCGA.59.2352.01A",0,0,0.0381246163115468,0.501492374061781,0,0.216222338205493,0.24416067142118
"TCGA.61.1910.01A",0,0,0,0.91144040915402,0,0.0885595908459802,0
"TCGA.13.1512.01A",0,0,0.0151195286873654,0.636491253695322,0,0.110905253263807,0.237483964353505
"TCGA.29.1768.01A",0,0,0.0450536758368385,0.198805998376388,0,0.00786852725167557,0.748271798535098
"TCGA.13.0897.01A",0,0,0.101977967301863,0.616779142219631,0,0.00254106170927574,0.27870182876923
"TCGA.10.0938.01A",0,0,0,0.994761533445572,0,0.00523846655442768,0
"TCGA.13.0804.01A",0,0,0.147546439824239,0.737983232686165,0,0.114470327489596,0
"TCGA.13.0920.01A",0,0,0,0.924857834445221,0,0.0751421655547786,0
"TCGA.25.2042.01A",0,0,0,0.00138597417857737,0,0,0.998614025821423
"TCGA.13.1505.01A",0,0,0,0.486983233909071,0,0.0331622604917602,0.479854505599169
"TCGA.61.2110.01A",0,0,0,0.691396074353466,0,0.178810251950291,0.129793673696243
"TCGA.24.1849.01A",0,0,0.134749248639843,0.170426150270047,0,0.131646204736817,0.563178396353294
"TCGA.04.1341.01A",0,0,0,0.868191767350239,0,0.00366317318960619,0.128145059460155
"TCGA.24.2254.01A",0,0,0.0273803520187631,0.463368800148399,0,0.213135424365628,0.296115423467209
"TCGA.13.1488.01A",0,0,0.0297604761496879,0.687905838295091,0,0.23938161099407,0.0429520745611512
"TCGA.61.2094.01A",0,0,0.315778970031455,0.347672788027173,0,0.336548241941372,0
"TCGA.20.1683.01A",0,0,0,0.567627815251303,0,0.281631378287762,0.150740806460935
"TCGA.29.1703.01A",0,0,0,0.738500806594104,0,0.0555338585582705,0.205965334847625
"TCGA.04.1343.01A",0,0,0.0119196778215835,0.676090715195243,0,0.026572171300416,0.285417435682757
"TCGA.25.1627.01A",0,0,0.00080646529666523,0.703881398944659,0,0.178302490065273,0.117009645693403
"TCGA.61.1919.01A",0,0,0.118188170264595,0.433906035211997,0,0.00127043123233729,0.44663536329107
"TCGA.24.1565.01A",0,0,0.0978358195756265,0.681914989457836,0,0.220249190966537,0
"TCGA.31.1946.01A",0,0,0.0944451269004321,0.419258682407823,0,0.0592538698355653,0.42704232085618
"TCGA.29.1774.01A",0,0,0.00175680731332946,0.757171785969362,0,0.162995360788291,0.0780760459290178
"TCGA.36.1577.01A",0,0,0,0.79953333879575,0,0.171953198939135,0.0285134622651144
"TCGA.24.2261.01A",0,0,0.157418681957296,0.459941318869774,0,0.166802660756777,0.215837338416153
"TCGA.23.2077.01A",0,0,0.0938492003876859,0.690474215462838,0,0.113790279333189,0.101886304816287
"TCGA.36.1581.01A",0,0.00104252240496452,0.217413238256964,0.32956205879164,0,0.381591035937149,0.0703911446092822
"TCGA.09.1661.01B",0,0,0,0.80826026381069,0,0.115236398975071,0.076503337214239
"TCGA.13.1482.01A",0,0,9.05383553661861e-05,0.527741484647389,0,0.208533515007251,0.263634461989994
"TCGA.13.0924.01A",0,0,0.168085342028941,0.534700438914177,0,0.0183458797597475,0.278868339297134
"TCGA.23.1120.01A",0,0,0.12539514085342,0.485258794911739,0,0.318694841094725,0.0706512231401155
"TCGA.04.1357.01A",0,0.00487397254889276,0.343409539667513,0.365032595758653,0,0.197987865221406,0.0886960268035345
"TCGA.04.1651.01A",0,0,0,0.863206116585381,0,0.136793883414619,0
"TCGA.13.1497.01A",0,0,0,0.733780020158302,0,0.138490263526412,0.127729716315286
"TCGA.24.1557.01A",0,0,0,0.77288355203683,0,0.22711644796317,0
"TCGA.24.1562.01A",0,0,0.0374875637680564,0.518846961271719,0,0.0798585620213975,0.363806912938827
"TCGA.24.2289.01A",0,0,0.0341319402711705,0.280442260056418,0,0.0136262349091444,0.671799564763267
"TCGA.25.1871.01A",0,0,0,0.85846594688879,0,0.14153405311121,0
"TCGA.29.1777.01A",0,0,0.0213826119097911,0.535871659401362,0.00213722633682035,0.00849240067243792,0.432116101679589
"TCGA.04.1542.01A",0,0,0,1,0,0,0
"TCGA.24.1556.01A",0,0,0.06431530372358,0.60377097490055,0,0.30710034587086,0.0248133755050102
"TCGA.24.1427.01A",0,0,0.0491004121462484,0.388572289705773,0,0.113280744246539,0.449046553901439
"TCGA.13.1403.01A",0,0,0,0.635584721041491,0,0.151497016155462,0.212918262803047
"TCGA.13.0797.01A",0,0,0.0482516990370744,0.817157344999846,0,0.134590955963079,0
"TCGA.09.1668.01B",0,0,0.064825095549828,0.475704701817858,0,0.278563960198236,0.180906242434078
"TCGA.29.1694.01A",0,0,0.0327031381323256,0.498550583910799,0,0.106626784490341,0.362119493466535
"TCGA.36.1571.01A",0,0,0,0.894410430144528,0,0.0784782433583731,0.0271113264970984
"TCGA.25.1318.01A",0,0,0.054240196504623,0.614963698020806,0,0.0996111900440442,0.231184915430527
"TCGA.13.0714.01A",0,0,0,0.635426294059231,0,0.0354895217267903,0.329084184213979
"TCGA.24.1418.01A",0,0,0,0.533091738970235,0,0.055220440222673,0.411687820807092
"TCGA.25.1633.01A",0,0,0.0543568512886468,0.16703833233052,0,0.108118992151033,0.670485824229801
"TCGA.13.2060.01A",0,0,0.12422711437014,0.600855711422847,0,0.139101586155293,0.13581558805172
"TCGA.13.0905.01B",0,0,0.0264286372107892,0.733124272567322,0,0.199402124495063,0.0410449657268256
"TCGA.29.1785.01A",0,0.000982657693471578,0.242486511830253,0.474841142085322,0,0.21215816649495,0.0695315218960042
"TCGA.09.0369.01A",0,0,0.00138376781160017,0.718769491511835,0,0.0864020000899615,0.193444740586603
"TCGA.61.2088.01A",0,0,0,0.858176913549798,0,0.124266420854825,0.0175566655953773
"TCGA.13.0885.01A",0,0,0.193438120298827,0.650085253251246,0,0.135098367359114,0.0213782590908131
"TCGA.13.0726.01A",0,0,0,0.647565886434877,0,0.169394565297376,0.183039548267747
"TCGA.13.0923.01A",0,0,0.0941099589662389,0.812778620539441,0,0.0893965308912302,0.00371488960308986
"TCGA.24.1430.01A",0,0,0,0.787214879118843,0,0.144223853595194,0.068561267285963
"TCGA.24.1549.01A",0,0,0.0958169687819213,0.540808371951968,0,0.314359532095615,0.0490151271704957
"TCGA.24.1467.01A",0,0,0,0.799639637267085,0,0.200360362732915,0
"TCGA.20.0991.01A",0,0,0.535182566991743,0.349734533607366,0,0.115082899400891,0
"TCGA.25.2401.01A",0,0,0.210576277978375,0.317605288752079,0,0.110674447484699,0.361143985784847
"TCGA.13.0919.01A",0,0,0.0735822689634212,0.482262822567234,0,0,0.444154908469345
"TCGA.13.1485.01A",0,0,0,0.251170792214609,0,0.00170710535775731,0.747122102427634
"TCGA.24.1464.01A",0,0,0.0014557054924592,0.929891579954341,0,0.0603017149412629,0.00835099961193671
"TCGA.31.1950.01A",0,0,0.15482563238021,0.653333161507691,0,0.191841206112099,0
"TCGA.24.1434.01A",0,0,0.0420342233726199,0.163300479172184,0,0,0.794665297455197
"TCGA.24.1616.01A",0,0,0,0.82127419687698,0,0.136838404631612,0.0418873984914078
"TCGA.09.1666.01A",0,0,0.0441676276405487,0.57424435578516,0,0.360536593871757,0.021051422702534
"TCGA.13.0762.01A",0,0,0,0.923056247329903,0,0.0516223502451263,0.0253214024249703
"TCGA.10.0934.01A",0,0,0,0.928376181473068,0,0.0716238185269319,0
"TCGA.09.0364.01A",0,0,0,0.933308150086984,0,0.0666918499130157,0
"TCGA.04.1331.01A",0,0,0,0.715719486425079,0,0.115237484334126,0.169043029240796
"TCGA.24.1846.01A",0,0,0.0721875581137321,0.600943758811204,0,0.120128316994827,0.206740366080237
"TCGA.24.1436.01A",0,0,0.0574959544565827,0.722098881940791,0,0.125450172409964,0.0949549911926624
"TCGA.13.1408.01A",0,0,0,0.379239174868325,0,0.020099536203633,0.600661288928042
"TCGA.24.2033.01A",0,0,0,0.576230708828734,0,0.014568024787829,0.409201266383437
"TCGA.24.1843.01A",0,0,0.0996628833287191,0.661769610549996,0,0.227883236770336,0.010684269350949
"TCGA.10.0927.01A",0,0,0,0.820234710221099,0,0.0203778300257065,0.159387459753195
"TCGA.10.0937.01A",0,0,0.0869650549530282,0.805459843172005,0,0.0786945283221204,0.0288805735528467
"TCGA.09.0367.01A",0,0,0.0449813655039089,0.874025562970137,0.0025993415229794,0.0783937300029747,0
"TCGA.24.1845.01A",0,0,0.0116344156899749,0.901468244873457,0,0.0868973394365679,0
"TCGA.24.1560.01A",0,0,0,0.711907540860586,0,0.277309770292801,0.0107826888466133
"TCGA.13.0724.01A",0,0,0,0.864716732104183,0,0.0619369431011397,0.0733463247946768
"TCGA.5X.AA5U.01A",0,0,0,0.778880897420554,0,0.1240647269902,0.0970543755892457
"TCGA.25.2393.01A",0,0,0,0.885619785918958,0,0.00819642959954464,0.106183784481497
"TCGA.25.1322.01A",0,0,0.0446963176292398,0.663692014935116,0,0.12399205962826,0.167619607807383
"TCGA.61.2009.01A",0,0,0.046279393784335,0.492889606680129,0,0.000935611113565159,0.459895388421971
"TCGA.13.1481.01A",0,0,0,0.517333499653455,0,0.00694151866508971,0.475724981681456
"TCGA.13.0799.01A",0,0,0,0.803635290132178,0,0.195489188121714,0.000875521746107872
"TCGA.13.1487.01A",0,0,0,0.6689843749291,0,0.00958510988581888,0.321430515185081
"TCGA.24.1564.01A",0,0,0.180550778435093,0.29547637413333,0,0.0869612872125781,0.437011560218999
"TCGA.61.2109.01A",0,0,0.00823735164498561,0.735255321092169,0,0.256507327262845,0
"TCGA.59.2354.01A",0,0,0.0616999923230122,0.293307108962219,0,0.0950967759501557,0.549896122764613
"TCGA.10.0926.01A",0,0,0,0.717384888793903,0,0.0459331180096026,0.236681993196494
"TCGA.04.1519.01A",0,0,0,0.81482683323208,0,0.184296927135071,0.00087623963284918
"TCGA.24.2020.01A",0,0,0,0.912629720300383,0,0.0784502058975733,0.00892007380204405
"TCGA.3P.A9WA.01A",0,0,0,0.914899470612944,0,0.0851005293870562,0
"TCGA.04.1348.01A",0,0.00053036345904709,0.265433602084771,0.573473579656346,0,0.160562454799836,0
"TCGA.13.0906.01A",0,0,0,0.895388457667798,0,0.0568623984764998,0.0477491438557028
"TCGA.30.1860.01A",0,0.00223024928436219,0.273979136451379,0.516453001484622,0,0.118259424562021,0.0890781882176155
"TCGA.36.1569.01A",0,0,0.037357171605526,0.282511616614416,0,0.0660836005892682,0.61404761119079
"TCGA.25.1319.01A",0,0,0.0938469885310344,0.553690719892976,0,0.351007963681315,0.00145432789467416
"TCGA.57.1583.01A",0,0,0,0.81678200768549,0,0.0745207877987684,0.108697204515742
"TCGA.29.1776.01A",0,0,0,0.578600153680016,0,0.0659942510441675,0.355405595275817
"TCGA.24.2271.01A",0,0,0.0392449678422328,0.370655457930906,0,0.199313635108252,0.390785939118609
"TCGA.23.1109.01A",0,0,0.0107400908189492,0.678615271900935,0,0.0812983580707776,0.229346279209338
"TCGA.61.2092.01A",0,0,0,0.884803571002292,0,0.115196428997707,0
"TCGA.13.0800.01A",0,0,0,0.882800542860551,0,0.117199457139449,0
"TCGA.24.1924.01A",0,0,0.230019201451468,0.516339450314277,0,0.229992117604912,0.0236492306293422
"TCGA.24.1563.01A",0,0,0.0225715694084117,0.317749604975969,0,0.0236187843734449,0.636060041242175
"TCGA.29.1761.01A",0,0,0.145841371096878,0.816228102817116,0.00253176140065328,0,0.0353987646853527
"TCGA.24.1423.01A",0,0,0.0172907060377603,0.590730965206976,0,0.298663611508285,0.0933147172469795
"TCGA.09.2045.01A",0,0,0,0.690922985989841,0,0.302041830741145,0.00703518326901381
"TCGA.24.0979.01A",0,0,0,0.796602482073503,0,0.18682684866638,0.0165706692601167
"TCGA.25.1314.01A",0,0,0,0.624111389126202,0,0.256844693321224,0.119043917552574
"TCGA.29.1702.01A",0,0,0,0.667059903140794,0,0.265019408751887,0.0679206881073189
"TCGA.13.0887.01A",0,0,0.0305436391620622,0.686016701721381,0,0.189912094539144,0.0935275645774125
"TCGA.61.1741.01A",0,0,0.0120596375444046,0.6931307313961,0,0.269700479809533,0.0251091512499625
"TCGA.09.2048.01A",0,0,0,0.984636241424606,0,0.00640302318285885,0.00896073539253546
"TCGA.09.1674.01A",0,0,0,0.854729714807753,0,0.134484103781963,0.010786181410284
"TCGA.61.2012.01A",0,0,0.152136682836105,0.578244893003473,0,0.1525537157755,0.117064708384921
"TCGA.24.1847.01A",0,0,0.23886485097643,0.425678134125932,0,0.20253112623675,0.132925888660888
"TCGA.10.0928.01A",0,0,0,0.854229136290722,0,0.145241721273131,0.000529142436147074
"TCGA.29.1695.01A",0,0,0.134794671684622,0.385437010309648,0,0.0984546407052881,0.381313677300442
"TCGA.61.2016.01A",0,0,0.0470024697591974,0.573476339222801,0,0.299225292278005,0.0802958987399966
"TCGA.23.2081.01A",0,0,0,0.69461855560981,0,0.0220453631298673,0.283336081260322
"TCGA.25.2397.01A",0,0,0.0474958320449223,0.752121409873789,0,0.200382758081289,0
"TCGA.13.1501.01A",0,0,0,0.70879601536208,0,0.0155453850995953,0.275658599538325
"TCGA.24.1604.01A",0,0,0.00123780007190694,0.657785215969622,0,0.288699091129319,0.0522778928291523
"TCGA.25.1626.01A",0,0,0.0244818470462715,0.0204402644865402,0,0.0251542917095994,0.929923596757589
"TCGA.13.0888.01A",0,0,0,0.874837108638403,0,0.0784453416019932,0.0467175497596043
"TCGA.25.1631.01A",0,0,0,0.686815156983093,0,0.262341602581101,0.0508432404358058
"TCGA.25.1321.01A",0,0,6.08886610462125e-05,0.842788493972819,0,0.156862580293253,0.000288037072882004
"TCGA.29.1690.01A",0,0,0.0900421305891991,0.35120974867813,0,0.0462671754800195,0.512480945252652
"TCGA.13.1511.01A",0,0,0,0.492478610471759,0,0.214128293624971,0.29339309590327
"TCGA.25.1328.01A",0,0,0,0.284193645180397,0,0.0915438398392328,0.62426251498037
"TCGA.09.1662.01A",0,0,0.03381091822966,0.657186347094969,0,0.214852319950153,0.0941504147252177
"TCGA.13.0911.01A",0,0,0.193349873352304,0.465328166212923,0,0.0068038382739422,0.334518122160831
"TCGA.13.0727.01A",0,0,0,0.796954473583102,0,0.0449003151071216,0.158145211309777
"TCGA.10.0933.01A",0,0,0,0.767055019221142,0,0.20597799222377,0.0269669885550888
"TCGA.61.2111.01A",0,0,0.0208271625644442,0.66882479279675,0,0.307357419363424,0.00299062527538117
"TCGA.29.1696.01A",0,0,0.00161238278360877,0.773267417949796,0,0.217648872226157,0.00747132704043816
"TCGA.23.1024.01A",0,0,0,0.850071588828826,0,0.149928411171174,0
"TCGA.25.1329.01A",0,0,0,0.608909686296177,0,0.0720177972164901,0.319072516487333
"TCGA.23.1110.01A",0,0,0,0.980193987848185,0,0.0198060121518147,0
"TCGA.20.1684.01A",0,0,0,0.892497823322223,0,0.107502176677777,0
"TCGA.24.1428.01A",0,0,0.171020972974663,0.667447351006067,0,0.159339387086563,0.0021922889327068
"TCGA.13.0795.01A",0,0,0.252331901510003,0.658800434071546,0,0.034616247321625,0.054251417096826
"TCGA.13.0900.01B",0,0,0,0.479084036529062,0,0.107805098250622,0.413110865220316
"TCGA.13.1410.01A",0,0,0.0241300111161926,0.605363927013178,0,0.135312319777582,0.235193742093047
"TCGA.23.1026.01B",0,0,0.0765053033950116,0.496697885935101,0,0.114438190062299,0.312358620607588
"TCGA.23.1032.01A",0,0,0,0.86099451161622,0,0.13900548838378,0
"TCGA.13.0760.01A",0,0,0.192098292913722,0.781346027946811,0,0.0265556791394673,0
"TCGA.23.1028.01A",0,0.00139496304838229,0.000851526512174977,0.778797975035277,0,0.182622608094724,0.0363329273094414
"TCGA.23.2078.01A",0,0,0,0.510816743264495,0,0.152504181022539,0.336679075712966
"TCGA.57.1584.01A",0,0,0.0411587110589324,0.761046405025998,0,0.191399402009847,0.00639548190522278
"TCGA.13.1496.01A",0,0,0.213442216962505,0.680773356142255,0,0.105682298752118,0.00010212814312167
"TCGA.04.1655.01A",0,0,0,0.833424224237154,0,0.115407830961459,0.0511679448013871
"TCGA.13.1407.01A",0,0,0,0.971145852177074,0,0.0288541478229263,0
"TCGA.36.1578.01A",0,0.00179951271012565,0.213995971630116,0.484846029614652,0.000238210158914451,0.299120275886192,0
"TCGA.61.1995.01A",0,0,0.141505778390293,0.59324249343319,0,0.264255929896677,0.000995798279839746
"TCGA.13.0908.01B",0,0,0.017445399725941,0.327812883293637,0,0.137426855506946,0.517314861473476
"TCGA.61.1900.01A",0,0,0,0.807110792073404,0,0.120141407842953,0.0727478000836427
"TCGA.61.1725.01A",0,0,0.00715131068785188,0.767816620099844,0,0.0282161575840869,0.196815911628218
"TCGA.24.2290.01A",0,0,0.0863658080536306,0.672456986928224,0,0.233431884289245,0.00774532072890063
"TCGA.24.2267.01A",0,0,0.18987307125234,0.464972221594478,0,0.291471279696266,0.0536834274569166
"TCGA.13.1477.01A",0,0,0,0.686717679565228,0,0.0740461171025229,0.239236203332249
"TCGA.61.2002.01A",0,0,0.129002170390389,0.336364748552439,0.000968746060650183,0.0917401186706176,0.441924216325903
"TCGA.25.1326.01A",0,0,0.108837435761717,0.486711918760635,0,0.049867004593905,0.354583640883743
"TCGA.61.1911.01A",0,0,0.24291683275629,0.56387777457194,0,0.155615863437623,0.0375895292341468
"TCGA.24.1103.01A",0,0,0,0.931186809000733,0,0.0688131909992665,0
"TCGA.23.1030.01A",0,0,0,0.700183994753042,0,0.213854573675591,0.0859614315713669
"TCGA.04.1332.01A",0,0,0,0.305415578170517,0,0.119439311059841,0.575145110769642
"TCGA.09.2051.01A",0,0,0.10617879347985,0.607787892560613,0,0.260185606222208,0.0258477077373293
"TCGA.04.1365.01A",0,0.00114063466467213,0.109995596753303,0.701590557003799,0,0.187273211578226,0
"TCGA.25.2399.01A",0,0,0.0528713258462405,0.432710052527351,0,0.162801795186744,0.351616826439664
"TCGA.23.1027.01A",0,0,0.0251798008154174,0.697646489079217,0,0.00254799749165813,0.274625712613707
"TCGA.25.2392.01A",0,0,0.310075755384285,0.565350234756183,0,0.0998361540751185,0.0247378557844129
"TCGA.24.2038.01A",0,0,0,0.509263575029681,0.270686929788606,0.162063175645108,0.0579863195366049
"TCGA.29.A5NZ.01A",0,0,0,0.391679792913102,0,0.0189712628900159,0.589348944196882
