"","T Cells","NK","Macrophages","Cancer Cells","B Cells","Endothelial Cells","Fibroblasts"
"TCGA.24.1104.01A",0,0,0.100562104886283,0.665594183696637,0,0.175638462879855,0.0582052485372248
"TCGA.25.1320.01A",0,0,0.0288477327704156,0.264920498410694,0,0.0212871707105417,0.684944598108349
"TCGA.24.1850.01A",0,0,0.116085557648486,0.594845592317371,0,0,0.289068850034143
"TCGA.61.2101.01A",0,0,0,0.612175947016345,0,0.0124557799414784,0.375368273042177
"TCGA.23.1111.01A",0,0,0,0.663699108107312,0,0.1348466103957,0.201454281496988
"TCGA.25.2396.01A",0,0,0.0402291801836747,0.606247498952118,0,0.228731903602666,0.124791417261541
"TCGA.30.1714.01A",0,0,0,0.965267800389061,0,0.0269426714128415,0.00778952819809739
"TCGA.04.1347.01A",0,0,0,1,0,0,0
"TCGA.59.2351.01A",0,0,0.0879292084647165,0.594648274030217,0,0.212948981441479,0.104473536063588
"TCGA.09.1659.01B",0,0,0.0369148800112133,0.684391657318983,0,0.123714091938678,0.154979370731125
"TCGA.24.1431.01A",0,0,0.00634279314125925,0.939815903685785,0.0094866162495387,0,0.0443546869234169
"TCGA.31.1951.01A",0,0,0.0714970263588822,0.239476501130734,0,0.298041495220501,0.390984977289883
"TCGA.29.1769.01A",0,0,0.0456952167520848,0.709238864454351,0,0.00773388611499396,0.23733203267857
"TCGA.13.0916.01A",0,0,0.0625845186806424,0.570760534128261,0,0.366654947191096,0
"TCGA.61.1721.01A",0,0,0,0.0616072482847268,0.0289991987637914,0.29114224971962,0.618251303231862
"TCGA.20.1687.01A",0,0,0.0694446854099062,0.647646665563916,0,0.11276222422585,0.170146424800328
"TCGA.29.2414.01A",0,0,0,0.521154658934661,0,0.0303140359359081,0.448531305129431
"TCGA.13.1411.01A",0,0,0.18836672878868,0.346322938676061,0,0.0777704322454715,0.387539900289787
"TCGA.24.1928.01A",0,0,0,0.357791631829252,0,0.125794825806144,0.516413542364604
"TCGA.31.1959.01A",0,0,0.0931754727095104,0.266961159430336,0,0.16713043523207,0.472732932628083
"TCGA.57.1586.01A",0,0,0,0.891773582986017,0,0.108226417013983,0
"TCGA.09.2044.01B",0,0,0.18420264402498,0.667211625023618,0,0.148585730951401,0
"TCGA.13.1506.01A",0,0,0,0.939036602625876,0,0.0609633973741241,0
"TCGA.25.1870.01A",0,0,0.0598717440555784,0.588629354513321,0,0.280112267241695,0.0713866341894063
"TCGA.09.0366.01A",0,0,0.484126786399918,0.376085081591801,0,0.139788132008281,0
"TCGA.30.1892.01A",0,0,0,0.45119447835275,0,0,0.54880552164725
"TCGA.13.0893.01B",0,0,0.0800355713177154,0.655057971724031,0,0.10852969432947,0.156376762628784
"TCGA.09.2056.01B",0,0,0.033609225665184,0.700258573185903,0,0.116447766337828,0.149684434811084
"TCGA.29.1781.01A",0,0,0.280495688297971,0.500002741587356,0,0.199386578773005,0.0201149913416677
"TCGA.29.1699.01A",0,0,0.147015816561705,0.587252853523167,0,0.125853187747942,0.139878142167186
"TCGA.04.1364.01A",0,0,0,0.867606669521367,0,0.132393330478633,0
"TCGA.59.2363.01A",0,0,0,0.795261720656942,0,0.143096867279565,0.061641412063492
"TCGA.24.1416.01A",0,0,0.00972287505064667,0.769575063272287,0,0.211284889283184,0.00941717239388317
"TCGA.20.1686.01A",0,0,0,0.850191557097294,0,0.125746428855706,0.0240620140470005
"TCGA.29.1697.01A",0,0,0,0.750195204649115,0,0.247517799048539,0.00228699630234607
"TCGA.29.1770.01A",0,0,0.00210977668925448,0.472566009857754,0,0.0587603177104429,0.466563895742549
"TCGA.23.1116.01A",0,0,0.0736561082351136,0.428917779105314,0,0.00865346559656472,0.488772647063008
"TCGA.29.2428.01A",0,0.00178892593578564,0.191944917123617,0.644429357337129,0,0.117225832346924,0.0446109672565438
"TCGA.24.2293.01A",0,0,0.0257354934144761,0.121427160732588,0,0.0453438741855244,0.807493471667411
"TCGA.25.1635.01A",0,0,0.0641326215985231,0.397596208898021,0,0.030375356503294,0.507895813000161
