,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-ZP-A9CZ-01A,0.011,0.000,0.013,0.001,0.001,0.000,0.008,0.037,0.048,0.032,0.113,0.001,0.000,0.000,0.001,0.735,0.735
TCGA-EP-A12J-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.054,0.024,0.044,0.018,0.000,0.001,0.000,0.000,0.857,0.857
TCGA-DD-A4NV-01A,0.000,0.000,0.005,0.000,0.001,0.000,0.000,0.071,0.103,0.052,0.053,0.000,0.001,0.000,0.000,0.713,0.713
TCGA-BC-A3KF-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.043,0.011,0.021,0.003,0.000,0.000,0.000,0.000,0.920,0.920
TCGA-XR-A8TD-01A,0.023,0.000,0.011,0.015,0.002,0.000,0.000,0.057,0.076,0.040,0.274,0.000,0.000,0.000,0.001,0.500,0.500
TCGA-DD-A4NK-01A,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.049,0.040,0.045,0.024,0.000,0.001,0.000,0.000,0.836,0.836
TCGA-DD-AACP-01A,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.012,0.058,0.017,0.030,0.000,0.000,0.000,0.000,0.877,0.877
TCGA-G3-A7M5-01A,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.026,0.007,0.036,0.018,0.000,0.003,0.000,0.000,0.907,0.907
TCGA-DD-A4NS-01A,0.000,0.000,0.008,0.000,0.018,0.001,0.005,0.077,0.215,0.069,0.114,0.001,0.001,0.000,0.000,0.491,0.491
TCGA-WX-AA46-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.048,0.181,0.025,0.019,0.000,0.001,0.000,0.000,0.725,0.725
