,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-TQ-A7RM-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.945,0.001,0.032,0.000,0.002,0.018,0.000,0.000,0.000,0.000
TCGA-DU-5849-01A,0.000,0.003,0.004,0.000,0.007,0.000,0.834,0.000,0.058,0.000,0.027,0.059,0.001,0.001,0.006,0.001
TCGA-TQ-A8XE-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.854,0.004,0.022,0.000,0.015,0.099,0.001,0.001,0.003,0.000
TCGA-S9-A6WO-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.795,0.001,0.028,0.000,0.013,0.156,0.000,0.002,0.006,0.000
TCGA-DU-A7TD-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.690,0.001,0.073,0.004,0.004,0.217,0.001,0.005,0.004,0.000
TCGA-TM-A84G-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.904,0.003,0.051,0.000,0.029,0.009,0.001,0.000,0.002,0.000
TCGA-DB-5273-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.707,0.001,0.084,0.000,0.012,0.188,0.002,0.004,0.003,0.000
TCGA-DB-A4XB-01A,0.000,0.002,0.005,0.001,0.006,0.000,0.872,0.009,0.013,0.000,0.005,0.079,0.001,0.000,0.008,0.000
TCGA-HT-7620-01A,0.000,0.002,0.000,0.000,0.000,0.000,0.855,0.001,0.045,0.000,0.014,0.077,0.001,0.001,0.003,0.000
TCGA-TM-A84B-01A,0.000,0.000,0.001,0.000,0.005,0.000,0.900,0.006,0.063,0.000,0.001,0.021,0.001,0.001,0.001,0.000
TCGA-TM-A7CF-01A,0.000,0.001,0.002,0.000,0.008,0.000,0.899,0.003,0.023,0.000,0.012,0.045,0.001,0.000,0.006,0.000
TCGA-FG-5964-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.726,0.022,0.069,0.000,0.027,0.150,0.001,0.000,0.005,0.000
