sample_id,x,y
TCGA-DK-A3IQ,0.03560063195010919,0.32637227185362133
TCGA-ZF-AA51,0.11733773946653417,0.09047351134303216
TCGA-R3-A69X,0.10482931950958115,0.19491920013952072
TCGA-BL-A13J,-0.03440528155424101,0.2054405139216262
TCGA-XF-AAMW,0.03990036318245926,-0.012766542580166445
TCGA-K4-A6FZ,0.03220734239595483,-0.012519232064147932
TCGA-DK-AA6X,0.16766851210019557,0.14128276508002724
TCGA-FD-A5BZ,-0.01521721606568152,0.24776305692146597
TCGA-XF-AAMR,-0.027442444973155265,0.4203133410069475
TCGA-XF-AAN7,-0.02261142617490301,0.08502285671621498
TCGA-UY-A8OD,-0.006813982753034998,0.14174805557180892
TCGA-FD-A3SP,0.2459945998776998,0.1692566420493184
TCGA-DK-A2HX,-0.016155638379938064,0.17841064039423943
TCGA-GV-A3JV,-0.017905573151914787,0.12656190909188902
TCGA-XF-A9SW,0.07793821070776609,0.446770836557168
TCGA-G2-A2EK,-0.044652648940607095,0.14809219039271868
TCGA-ZF-A9R9,-0.03188583184191343,0.15678446410433372
TCGA-DK-A1AB,0.12115018418059952,0.06224311819828196
TCGA-ZF-AA54,0.2369307299748063,0.08954110791455143
TCGA-DK-AA6M,0.14700912061640162,0.0070821696059871755
TCGA-BT-A3PK,0.036587118392317076,0.007546246124397346
TCGA-FD-A62P,0.07209809095887386,0.005657076924229183
TCGA-FD-A43U,0.21568692045394122,0.0808286059046541
TCGA-FD-A3B8,0.4325454517081053,0.19540111006794283
TCGA-FD-A62S,0.20094635578245912,0.1947129730705729
TCGA-FD-A3B4,0.09570939616666217,0.04301676872841104
TCGA-FD-A3SQ,0.10352373280410987,0.27741772086749994
TCGA-DK-AA6S,0.14170221493260757,0.06048711835864624
TCGA-DK-A6B2,0.1451905339744925,0.11469649079308038
TCGA-XF-A9SP,0.029294419647243868,0.20105937149531183
TCGA-DK-AA74,0.23255226892856007,0.09540982738441704
TCGA-XF-AAME,0.2919805406427126,0.34668196096217563
TCGA-FD-A5BX,0.15848725172210193,0.2126071402344867
TCGA-XF-A9SL,0.13268863928244656,0.5446271303940566
TCGA-FD-A3B7,0.3250970316287219,0.08356262315810392
TCGA-CU-A0YN,0.07413553623423513,-0.02344597998882845
TCGA-FD-A6TA,0.10320899867691621,0.11896533303701626
TCGA-FD-A43S,0.18668803445139157,0.3365923200247724
TCGA-XF-AAMJ,0.03731677578786804,0.18848040686560866
TCGA-E7-A6MD,0.08494836982067307,0.0843592136165623
TCGA-K4-A3WU,0.10108116820826792,0.2595645263738496
TCGA-FD-A3SL,0.024145639035005873,0.22303947679494887
TCGA-ZF-AA52,0.061980373815649824,0.03093355209981652
TCGA-E7-A541,0.09570530376454332,-0.029715558063089714
TCGA-ZF-AA5P,0.015047627054160741,0.477710967144694
TCGA-BT-A20W,-0.015213443969087337,0.10103078307223315
TCGA-XF-A9T3,0.05963688718544195,0.09000996147398085
TCGA-FT-A61P,0.05887978133476518,0.042146999157907414
TCGA-FD-A5BR,0.04848329561873865,0.15648765221282515
TCGA-ZF-AA56,0.04454370032572966,0.01822702885231764
TCGA-BL-A5ZZ,0.06011398462174298,0.15012658143409083
