,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-A4-8516-01A,0.000,0.000,0.001,0.002,0.000,0.000,0.816,0.001,0.024,0.000,0.002,0.153,0.001,0.000,0.000,0.000
TCGA-P4-A5E7-01A,0.000,0.000,0.002,0.000,0.001,0.000,0.791,0.009,0.029,0.048,0.002,0.111,0.006,0.000,0.001,0.000
TCGA-IA-A83T-01A,0.001,0.000,0.002,0.000,0.014,0.000,0.493,0.000,0.030,0.000,0.000,0.454,0.004,0.002,0.000,0.000
TCGA-G7-A8LC-01A,0.000,0.000,0.000,0.004,0.000,0.000,0.913,0.000,0.062,0.000,0.002,0.015,0.002,0.002,0.000,0.000
TCGA-P4-AAVO-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.945,0.000,0.006,0.000,0.001,0.046,0.000,0.000,0.000,0.000
TCGA-A4-8311-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.955,0.000,0.004,0.000,0.001,0.033,0.006,0.000,0.000,0.000
TCGA-Y8-A8RY-01A,0.000,0.000,0.002,0.000,0.012,0.000,0.720,0.000,0.010,0.000,0.000,0.231,0.022,0.002,0.000,0.000
TCGA-A4-A57E-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.813,0.000,0.021,0.001,0.026,0.139,0.001,0.000,0.000,0.000
TCGA-PJ-A5Z8-01A,0.000,0.011,0.011,0.003,0.011,0.000,0.501,0.015,0.044,0.076,0.003,0.301,0.001,0.019,0.002,0.000
TCGA-KV-A74V-01A,0.007,0.000,0.000,0.000,0.003,0.004,0.841,0.001,0.055,0.000,0.001,0.085,0.002,0.000,0.000,0.000
TCGA-2Z-A9JL-01A,0.038,0.002,0.003,0.000,0.000,0.000,0.767,0.004,0.008,0.028,0.001,0.143,0.006,0.000,0.000,0.000
