,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-XF-A8HH-01A,0.014,0.000,0.002,0.011,0.000,0.000,0.002,0.033,0.116,0.041,0.043,0.000,0.000,0.002,0.000,0.737,0.737
TCGA-XF-A9SZ-01A,0.015,0.000,0.001,0.006,0.002,0.000,0.000,0.037,0.201,0.020,0.092,0.000,0.000,0.008,0.000,0.617,0.617
TCGA-G2-A2EC-01A,0.012,0.000,0.025,0.000,0.000,0.003,0.017,0.064,0.191,0.056,0.019,0.006,0.000,0.001,0.000,0.605,0.605
TCGA-FJ-A3ZF-01A,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.016,0.000,0.003,0.006,0.000,0.000,0.006,0.000,0.957,0.957
TCGA-XF-A9SH-01A,0.007,0.000,0.000,0.001,0.000,0.001,0.004,0.022,0.009,0.007,0.016,0.001,0.000,0.000,0.000,0.933,0.933
TCGA-G2-A2EL-01A,0.000,0.000,0.008,0.000,0.011,0.000,0.000,0.010,0.000,0.007,0.000,0.000,0.000,0.002,0.000,0.961,0.961
TCGA-GU-A763-01A,0.008,0.000,0.000,0.003,0.000,0.000,0.000,0.007,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.980,0.980
TCGA-FD-A6TB-01A,0.010,0.058,0.024,0.024,0.016,0.000,0.021,0.069,0.168,0.041,0.082,0.000,0.001,0.006,0.001,0.480,0.480
TCGA-DK-A1AA-01A,0.000,0.000,0.001,0.001,0.000,0.000,0.003,0.036,0.000,0.008,0.004,0.002,0.000,0.003,0.000,0.942,0.942
TCGA-DK-A3IS-01A,0.001,0.000,0.005,0.004,0.000,0.000,0.000,0.023,0.000,0.002,0.001,0.000,0.000,0.000,0.000,0.964,0.964
TCGA-DK-A3WY-01A,0.040,0.372,0.106,0.010,0.010,0.001,0.045,0.069,0.108,0.039,0.075,0.000,0.001,0.005,0.001,0.118,0.118
TCGA-UY-A78L-01A,0.001,0.000,0.008,0.001,0.000,0.000,0.004,0.017,0.078,0.001,0.040,0.000,0.000,0.005,0.000,0.845,0.845
TCGA-FD-A3SO-01A,0.000,0.000,0.008,0.006,0.000,0.000,0.001,0.047,0.136,0.008,0.101,0.000,0.000,0.011,0.001,0.680,0.680
TCGA-4Z-AA86-01A,0.007,0.000,0.046,0.037,0.003,0.000,0.006,0.030,0.197,0.010,0.125,0.000,0.000,0.007,0.001,0.530,0.530
TCGA-G2-A2EO-01A,0.021,0.000,0.028,0.015,0.003,0.000,0.000,0.016,0.129,0.012,0.074,0.000,0.000,0.000,0.000,0.701,0.701
TCGA-XF-A9T6-01A,0.000,0.000,0.008,0.013,0.000,0.000,0.006,0.023,0.006,0.002,0.033,0.000,0.000,0.002,0.000,0.906,0.906
TCGA-GV-A40G-01A,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.049,0.000,0.009,0.007,0.000,0.000,0.004,0.000,0.917,0.917
