,k,inertias
0,1,43.703558650234044
1,2,26.440573475363152
2,3,18.929202401097456
3,4,14.676218140024316
4,5,11.726665581050401
5,6,10.209890873998319
6,7,8.641782016754624
7,8,8.059350989554822
8,9,7.054958193115614
