,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-C5-A1BE-01B,0.000,0.000,0.018,0.007,0.001,0.000,0.885,0.013,0.028,0.014,0.006,0.026,0.000,0.000,0.001,0.001
TCGA-C5-A8XK-01A,0.000,0.000,0.000,0.009,0.000,0.000,0.887,0.000,0.040,0.001,0.012,0.041,0.000,0.000,0.008,0.001
TCGA-RA-A741-01A,0.018,0.000,0.013,0.033,0.000,0.000,0.757,0.055,0.017,0.020,0.004,0.067,0.003,0.000,0.012,0.000
TCGA-VS-A958-01A,0.009,0.000,0.009,0.150,0.001,0.000,0.686,0.031,0.037,0.000,0.001,0.072,0.000,0.000,0.004,0.001
TCGA-MA-AA43-01A,0.007,0.000,0.010,0.002,0.000,0.000,0.719,0.011,0.059,0.123,0.040,0.012,0.000,0.000,0.010,0.007
TCGA-JW-A5VH-01A,0.000,0.000,0.000,0.000,0.016,0.000,0.919,0.000,0.040,0.010,0.007,0.007,0.000,0.000,0.001,0.000
TCGA-VS-A9UY-01A,0.000,0.000,0.015,0.041,0.000,0.000,0.828,0.000,0.074,0.000,0.001,0.037,0.000,0.000,0.003,0.001
TCGA-VS-A9UC-01A,0.001,0.000,0.015,0.072,0.000,0.000,0.783,0.007,0.022,0.025,0.002,0.062,0.000,0.000,0.010,0.000
TCGA-C5-A8YQ-01A,0.001,0.000,0.001,0.000,0.021,0.000,0.889,0.001,0.007,0.017,0.004,0.040,0.000,0.000,0.017,0.002
TCGA-MA-AA3Y-01A,0.008,0.000,0.027,0.051,0.001,0.000,0.719,0.014,0.062,0.014,0.002,0.058,0.000,0.000,0.014,0.029
TCGA-VS-A8EK-01A,0.012,0.000,0.007,0.008,0.012,0.000,0.893,0.003,0.033,0.000,0.005,0.021,0.000,0.000,0.003,0.004
TCGA-LP-A4AV-01A,0.013,0.000,0.032,0.018,0.000,0.000,0.742,0.022,0.020,0.051,0.007,0.089,0.001,0.000,0.004,0.000
TCGA-C5-A7CG-01A,0.009,0.021,0.036,0.098,0.071,0.000,0.571,0.057,0.026,0.027,0.004,0.073,0.001,0.000,0.002,0.003
TCGA-VS-A952-01A,0.017,0.000,0.000,0.028,0.000,0.000,0.902,0.011,0.017,0.005,0.000,0.020,0.000,0.000,0.000,0.000
TCGA-EK-A2PL-01A,0.000,0.000,0.004,0.009,0.006,0.000,0.955,0.002,0.015,0.000,0.000,0.007,0.000,0.000,0.001,0.000
TCGA-EK-A2H1-01A,0.004,0.000,0.016,0.015,0.000,0.000,0.783,0.001,0.058,0.044,0.005,0.064,0.000,0.000,0.007,0.002
TCGA-VS-A9UP-01A,0.012,0.000,0.000,0.002,0.025,0.000,0.863,0.007,0.007,0.058,0.014,0.005,0.005,0.000,0.002,0.001
TCGA-C5-A1BF-01B,0.000,0.000,0.003,0.017,0.000,0.000,0.707,0.017,0.098,0.071,0.036,0.047,0.000,0.001,0.002,0.000
TCGA-DS-A3LQ-01A,0.002,0.000,0.008,0.000,0.007,0.000,0.767,0.001,0.030,0.055,0.010,0.114,0.001,0.000,0.003,0.000
TCGA-C5-A1MP-01A,0.018,0.000,0.029,0.003,0.022,0.000,0.608,0.076,0.055,0.082,0.007,0.089,0.003,0.000,0.005,0.003
TCGA-EK-A2RA-01A,0.000,0.000,0.018,0.069,0.000,0.000,0.790,0.083,0.012,0.000,0.002,0.022,0.000,0.000,0.001,0.000
TCGA-EX-A1H5-01A,0.009,0.000,0.010,0.008,0.016,0.000,0.865,0.014,0.042,0.017,0.008,0.007,0.003,0.000,0.000,0.001
TCGA-JW-A5VI-01A,0.010,0.000,0.009,0.030,0.029,0.000,0.773,0.012,0.048,0.056,0.004,0.024,0.001,0.000,0.003,0.001
TCGA-JX-A3Q8-01A,0.008,0.000,0.000,0.058,0.000,0.000,0.823,0.015,0.025,0.002,0.004,0.065,0.000,0.000,0.000,0.000
TCGA-IR-A3LC-01A,0.000,0.000,0.000,0.009,0.000,0.000,0.905,0.009,0.039,0.002,0.007,0.020,0.001,0.007,0.001,0.000
TCGA-EK-A2H0-01A,0.000,0.000,0.000,0.019,0.000,0.000,0.947,0.003,0.015,0.000,0.000,0.015,0.000,0.000,0.001,0.000
TCGA-IR-A3LH-01A,0.021,0.000,0.022,0.070,0.014,0.000,0.473,0.031,0.039,0.123,0.004,0.200,0.000,0.000,0.003,0.001
TCGA-DS-A1OA-01A,0.010,0.000,0.016,0.022,0.001,0.000,0.749,0.041,0.046,0.051,0.008,0.055,0.000,0.000,0.001,0.001
TCGA-DS-A0VL-01A,0.000,0.000,0.010,0.039,0.000,0.000,0.857,0.017,0.042,0.004,0.004,0.026,0.000,0.000,0.001,0.000
TCGA-EA-A1QS-01A,0.004,0.000,0.005,0.003,0.002,0.000,0.474,0.020,0.083,0.324,0.041,0.037,0.005,0.000,0.001,0.000
TCGA-EA-A78R-01A,0.000,0.000,0.015,0.008,0.000,0.000,0.841,0.020,0.033,0.033,0.010,0.025,0.000,0.000,0.014,0.001
TCGA-LP-A7HU-01A,0.000,0.000,0.027,0.039,0.010,0.000,0.784,0.031,0.022,0.028,0.013,0.045,0.000,0.000,0.000,0.000
TCGA-UC-A7PI-01A,0.000,0.000,0.000,0.032,0.000,0.000,0.917,0.005,0.006,0.011,0.000,0.026,0.000,0.000,0.001,0.000
