,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-BQ-5880-01A,0.000,0.000,0.014,0.000,0.012,0.000,0.000,0.033,0.085,0.048,0.223,0.000,0.000,0.000,0.000,0.585,0.585
TCGA-MH-A856-01A,0.009,0.000,0.002,0.000,0.000,0.000,0.023,0.032,0.040,0.017,0.073,0.003,0.000,0.000,0.001,0.800,0.800
TCGA-A4-7732-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.041,0.004,0.017,0.142,0.014,0.000,0.000,0.000,0.782,0.782
TCGA-A4-8312-01A,0.000,0.000,0.009,0.000,0.000,0.000,0.002,0.060,0.000,0.039,0.074,0.007,0.000,0.000,0.000,0.808,0.808
TCGA-IZ-8195-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.016,0.019,0.012,0.116,0.000,0.000,0.000,0.000,0.835,0.835
TCGA-B9-A44B-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.044,0.016,0.036,0.040,0.000,0.000,0.000,0.000,0.863,0.863
TCGA-DW-7841-01A,0.000,0.000,0.009,0.004,0.022,0.030,0.030,0.045,0.025,0.019,0.168,0.020,0.000,0.000,0.000,0.626,0.626
TCGA-5P-A9K9-01A,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.044,0.074,0.040,0.159,0.002,0.000,0.000,0.000,0.676,0.676
TCGA-BQ-7045-01A,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.011,0.043,0.000,0.124,0.002,0.000,0.000,0.000,0.818,0.818
TCGA-BQ-7051-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.001,0.016,0.010,0.067,0.000,0.000,0.000,0.000,0.903,0.903
