,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-CZ-4854-01A,0.020,0.001,0.005,0.016,0.001,0.000,0.001,0.123,0.091,0.100,0.116,0.000,0.010,0.006,0.000,0.511,0.511
TCGA-B8-4153-01B,0.003,0.000,0.000,0.002,0.000,0.000,0.000,0.377,0.001,0.139,0.085,0.000,0.000,0.003,0.000,0.390,0.390
TCGA-B2-A4SR-01A,0.001,0.001,0.021,0.018,0.013,0.001,0.015,0.428,0.000,0.175,0.093,0.003,0.005,0.009,0.000,0.216,0.216
TCGA-CZ-5989-01A,0.000,0.000,0.000,0.032,0.019,0.000,0.001,0.340,0.000,0.151,0.182,0.018,0.000,0.015,0.000,0.240,0.240
TCGA-CZ-5470-01A,0.011,0.000,0.009,0.011,0.015,0.000,0.007,0.137,0.000,0.110,0.215,0.000,0.000,0.001,0.000,0.484,0.484
TCGA-BP-4349-01A,0.001,0.001,0.003,0.004,0.004,0.000,0.001,0.383,0.001,0.261,0.063,0.000,0.006,0.005,0.000,0.265,0.265
TCGA-A3-3307-01A,0.002,0.001,0.002,0.022,0.011,0.000,0.001,0.313,0.000,0.170,0.144,0.002,0.000,0.011,0.000,0.321,0.321
TCGA-CJ-4641-01A,0.010,0.001,0.034,0.052,0.051,0.000,0.039,0.110,0.069,0.099,0.189,0.000,0.001,0.007,0.000,0.339,0.339
TCGA-B0-5098-01A,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.035,0.049,0.032,0.012,0.001,0.000,0.003,0.000,0.865,0.865
TCGA-B0-4699-01A,0.000,0.000,0.030,0.036,0.028,0.000,0.000,0.047,0.149,0.023,0.167,0.004,0.000,0.004,0.000,0.510,0.510
TCGA-BP-5199-01A,0.004,0.001,0.027,0.023,0.078,0.000,0.012,0.210,0.085,0.265,0.124,0.002,0.003,0.006,0.000,0.161,0.161
TCGA-BP-4337-01A,0.019,0.001,0.014,0.002,0.006,0.000,0.000,0.149,0.236,0.236,0.084,0.001,0.000,0.002,0.000,0.249,0.249
TCGA-CZ-4853-01A,0.008,0.000,0.009,0.007,0.000,0.000,0.000,0.176,0.000,0.130,0.122,0.000,0.000,0.003,0.000,0.544,0.544
TCGA-B0-5115-01A,0.005,0.000,0.004,0.008,0.000,0.017,0.012,0.344,0.010,0.194,0.113,0.001,0.004,0.013,0.000,0.273,0.273
TCGA-B8-A54G-01A,0.003,0.001,0.038,0.029,0.085,0.000,0.056,0.067,0.000,0.034,0.314,0.000,0.000,0.010,0.000,0.362,0.362
TCGA-CZ-4861-01A,0.002,0.000,0.013,0.003,0.007,0.000,0.000,0.083,0.002,0.058,0.367,0.000,0.000,0.009,0.000,0.456,0.456
TCGA-B8-5545-01A,0.003,0.001,0.014,0.002,0.008,0.001,0.002,0.307,0.123,0.155,0.176,0.004,0.004,0.010,0.000,0.191,0.191
TCGA-CJ-4892-01A,0.005,0.001,0.016,0.026,0.054,0.000,0.001,0.213,0.011,0.231,0.111,0.000,0.011,0.007,0.000,0.313,0.313
TCGA-CJ-5678-01A,0.049,0.000,0.009,0.002,0.047,0.000,0.021,0.137,0.000,0.064,0.230,0.000,0.000,0.000,0.000,0.439,0.439
TCGA-AK-3433-01A,0.021,0.000,0.001,0.000,0.000,0.000,0.000,0.074,0.000,0.043,0.086,0.000,0.000,0.000,0.000,0.775,0.775
TCGA-B8-4621-01A,0.004,0.001,0.000,0.000,0.003,0.000,0.000,0.043,0.002,0.000,0.206,0.000,0.000,0.008,0.000,0.732,0.732
TCGA-BP-4967-01A,0.005,0.000,0.000,0.006,0.000,0.000,0.000,0.169,0.012,0.123,0.138,0.003,0.000,0.007,0.000,0.535,0.535
TCGA-A3-3320-01A,0.005,0.001,0.002,0.014,0.007,0.000,0.000,0.278,0.000,0.205,0.125,0.005,0.000,0.018,0.000,0.339,0.339
