"","Cancer Cells","B Cells","T Cells","Myeloid cells","Mast Cells","Fibroblasts","Endothelial Cells"
"TCGA.XF.AAN3.01A",0.206253919933561,0,0,0.0655191353303482,0,0.492912813415146,0.235314131320945
"TCGA.E7.A7DV.01A",0.0506183197085618,0,0,0.160928301642655,0,0.13136366636358,0.657089712285203
"TCGA.BT.A20O.01A",0,0,0.00365542550227759,0.236197191593679,0.00317850419267544,0.214828330386176,0.542140548325192
"TCGA.XF.AAMY.01A",0.403282539872614,0,0,0,0,0.313269489714016,0.283447970413371
"TCGA.BT.A20V.01A",0.153438834718616,0,0,0,0,0.0651018290401337,0.78145933624125
"TCGA.GC.A3BM.01A",0.39148040354512,0,0,0,0,0.102974221770009,0.50554537468487
"TCGA.K4.A4AB.01B",0.529790317380743,0,0,0,0,0.307157452218493,0.163052230400764
"TCGA.FD.A5C0.01A",0.39030898528409,0,0,0,0,0.361719971499888,0.247971043216022
"TCGA.G2.A2EK.01A",0.664624259425529,0,0,0,0,0.0970741517404184,0.238301588834053
"TCGA.CF.A1HR.01A",0.48418767489345,0,0,0.0126794823929322,0,0.124843541136705,0.378289301576912
"TCGA.GC.A3RD.01A",0.870092853008786,0,0,0,0,0.0496250514543931,0.0802820955368206
"TCGA.E7.A5KE.01A",0.875274309479934,0,0,0,0,0.00409429630227032,0.120631394217795
"TCGA.ZF.A9R9.01A",0.502015459400494,0,0,0,0,0.385414352194339,0.112570188405168
"TCGA.DK.A1AB.01A",0.0190837992362099,0,0,0.0151840101079854,0,0.722913665101323,0.242818525554482
"TCGA.GU.A42R.01A",0.481831964422774,0,0,0,0,0.0560367045244672,0.462131331052759
"TCGA.E7.A5KF.01A",0.39131128176804,0,0,0,0,0.0168520683737455,0.591836649858214
"TCGA.ZF.AA54.01A",0,0,0.00203225011512827,0.0619798845790068,0,0.418541251709503,0.517446613596362
"TCGA.CF.A3MF.01A",0.903032272469204,0,0,0,0,0.00171455052508813,0.0952531770057078
"TCGA.E7.A6ME.01A",0.219171812153836,0,0,0.0262069659306974,0,0.0738911890732136,0.680730032842253
"TCGA.DK.AA6M.01A",0.0958102323593749,0,0,0.0311826156556213,0,0.247339310608127,0.625667841376877
"TCGA.CF.A47W.01A",0.847222077644019,0,0,0,0,0.010791682017167,0.141986240338814
"TCGA.XF.A9ST.01A",0.479431025978991,0,0,0,0,0.222772216138846,0.297796757882162
"TCGA.FD.A3SN.01A",0.507221088379079,0,0,0,0,0.229998059871727,0.262780851749194
