"","Cancer Cells","B Cells","T Cells","Myeloid cells","Mast Cells","Fibroblasts","Endothelial Cells"
"TCGA.AP.A1E1.01A",0.217073124088034,0,0.00494950505520644,0,0,0.0534591614889732,0.724518209367786
"TCGA.KP.A3VZ.01A",0.32249592098178,0,0,0,0,0.157434592101057,0.520069486917163
"TCGA.BS.A0UM.01A",0.380335184252558,0,0.00369616532857641,0.0252261951144984,0,0.0780076629212618,0.512734792383105
"TCGA.AP.A0LJ.01A",0.476686937390145,0.00298721366275443,0,0,0,0.209602765465103,0.310723083481997
"TCGA.EO.A1Y8.01A",0.582009799695131,0,0,0,0,0.140510680245974,0.277479520058895
"TCGA.B5.A3FB.01A",0.345904171870769,0,0,0,0,0.0822628324274808,0.57183299570175
"TCGA.B5.A11I.01A",0.101021020180684,0,0,0.0427226005333931,0,0.10787542419339,0.748380955092533
"TCGA.EO.A3AZ.01A",0.173029928899818,0,0.037369927640852,0.0399997454660943,0,0.296380561880364,0.453219836112871
"TCGA.BG.A0YV.01A",0.697723674393576,0,0,0,0,0.0704192199455128,0.231857105660911
"TCGA.EY.A3L3.01A",0.0507235452413418,0,0,0,0,0.220852660990434,0.728423793768225
"TCGA.BK.A6W4.01A",0.217039427889282,0,0,0,0,0.273935609088014,0.509024963022704
"TCGA.AX.A1C7.01A",0.150571610101283,0.350261766676115,0,0,0,0.207793207124598,0.291373416098005
"TCGA.D1.A16D.01A",0.777267546265459,0,0,0,0,0.066018538360477,0.156713915374064
"TCGA.EO.A3KU.01A",0.260351478688016,0,0,0,0,0.202334799877281,0.537313721434703
"TCGA.D1.A1NZ.01A",0.661994457027164,0,0,0,0,0.0431689564459704,0.294836586526865
"TCGA.BK.A139.01C",0.102181532881827,0,0.00253487728543016,0.045030439984683,0,0.0795917753993942,0.770661374448666
"TCGA.AX.A3G9.01A",0.667779725145411,0,0,0,0,0.0687193311712659,0.263500943683323
"TCGA.B5.A0JR.01A",0.474354510533614,0,0,0,0,0.240953202939829,0.284692286526557
"TCGA.BG.A221.01A",0.260903757275851,0.00102860475061123,0,0.0173564417379504,0,0.226593782495315,0.494117413740272
"TCGA.FI.A2EU.01A",0.644862927061771,0,0,0,0,0.0495180249903176,0.305619047947912
"TCGA.A5.AB3J.01A",0.274579423330845,0,0,0,0,0.269029801308336,0.456390775360819
"TCGA.A5.A0G2.01A",0.261491407608047,0.00484019736978597,4.64165460664657e-05,0.00378869427951914,0,0.230409800215987,0.499423483980594
"TCGA.FI.A2D2.01A",0.818620134760051,0,0,0,0,0.067045131538927,0.114334733701022
"TCGA.AP.A056.01A",0.166908112729955,0,0.00172628175339216,0.0125065378156997,0,0.538775280839966,0.280083786860988
"TCGA.D1.A17R.01A",0.367505881245888,0,0,0,0,0.297157291444654,0.335336827309457
"TCGA.AX.A060.01A",0.633580699277772,0,0,0,0,0.123466708198069,0.242952592524159
"TCGA.BS.A0UT.01A",0.714755582884042,0,0,0,0,0.120939851930349,0.164304565185609
"TCGA.AX.A2H7.01A",0.538698292061788,0,0,0,0,0.0784939266653803,0.382807781272832
"TCGA.D1.A174.01A",0.343193034302441,0.00499193203405228,0,0,0,0.357621439347322,0.294193594316184
"TCGA.D1.A2G5.01A",0.233666644316982,0,0,0,0,0.146516332716478,0.61981702296654
"TCGA.PG.A7D5.01A",0.123723238850304,0,0,0,0,0.309045875091452,0.567230886058244
"TCGA.SJ.A6ZI.01A",0.248449821649569,0,0,0.0142847924919489,0,0.120118308949356,0.617147076909125
"TCGA.DF.A2KV.01A",0.52102065463807,0,0,0.000350903156445874,0,0.0430493389953355,0.435579103210148
"TCGA.D1.A17C.01A",0.188583914321182,0.0003435578376313,0,0,0,0.537877083253126,0.27319544458806
"TCGA.D1.A15Z.01A",0.0816086693420708,0.00170245926288098,0,0,0.00227272317472589,0.233756340578567,0.680659807641756
"TCGA.DI.A2QT.01A",0.361534646859356,0.0541966451901452,0,0,0,0.203570373023313,0.380698334927186
"TCGA.AJ.A5DW.01A",0.355250230736942,0,0,0,0,0.296813550932228,0.34793621833083
"TCGA.AP.A052.01A",0.312075998411558,0,0,0.0132315832572185,0,0.288829755558833,0.385862662772391
"TCGA.AJ.A3BH.01A",0.276935296943139,0,0,0,0,0.326554869554429,0.396509833502432
"TCGA.B5.A11G.01A",0.824823258747443,0,0,0,0,0.0553424196376605,0.119834321614897
"TCGA.BK.A56F.01A",0.392567568199014,0,0,0,0,0.336879031583107,0.270553400217879
"TCGA.B5.A0K7.01A",0.155984896049173,0.0100627927519227,0,0.00626605724297748,0,0.231388860588671,0.596297393367256
"TCGA.AX.A0J1.01A",0.311079766751028,0,0,0,0,0.261434610426334,0.427485622822637
"TCGA.AJ.A3NF.01A",0.435121873052994,0,0,0,0,0.264561623014718,0.300316503932288
"TCGA.D1.A15W.01A",0.331097694941686,0.00116000007585201,0.000376414290445991,0,0,0.145681507259047,0.52168438343297
"TCGA.AX.A2IN.01A",0.142325918610081,0,0,0.00449272965528735,0,0.372011836789313,0.481169514945319
"TCGA.D1.A2G7.01A",0.667810305521663,0,0,0,0,0.0478380676157798,0.284351626862557
"TCGA.D1.A16G.01A",0.614135694932442,0,0,0,0,0.0281722786093274,0.357692026458231
"TCGA.AP.A3K1.01A",0.733989433521901,0,0,0,0,0.0916772295038614,0.174333336974237
"TCGA.AX.A0IZ.01A",0.446968310055109,0,0,0,0,0.18359288521257,0.369438804732322
"TCGA.BK.A13C.01A",0.365443578163506,0,0,0,0,0.121417769102689,0.513138652733805
"TCGA.BG.A0M0.01A",0.436854041090445,0,0,0,0,0.131530265745795,0.43161569316376
"TCGA.D1.A179.01A",0.344253190186672,0,0,0,0,0.250460982089751,0.405285827723578
"TCGA.AX.A06H.01A",0.414629790844195,0,0,0.00482986957076426,0,0.219415997212615,0.361124342372426
"TCGA.A5.A0GN.01A",0.59109761488474,0,0,0,0,0.0621389457847957,0.346763439330465
"TCGA.A5.A0VO.01A",0.394624204391498,0.00104426567998537,0,0,0,0.250379650077136,0.35395187985138
"TCGA.B5.A1N2.01A",0.455342966567627,0,0,0,0,0.161225967874145,0.383431065558228
"TCGA.BG.A187.01A",0.498037719476357,0.00262634815406012,0,0,0,0.253806640278874,0.245529292090709
"TCGA.B5.A11Z.01A",0.373931637398038,0,0,0,0,0.24275526689863,0.383313095703332
"TCGA.DF.A2KU.01A",0.181618776588993,0.0649263245721508,0,0.0911766907786249,0,0.128225440564538,0.534052767495693
"TCGA.A5.A1OK.01A",0.249679718224655,0,0,0,0,0.247875957126133,0.502444324649212
"TCGA.B5.A11W.01A",0.746480083244602,0,0,0,0,0.0846042288554501,0.168915687899948
"TCGA.D1.A0ZQ.01A",0.315896251864379,0,0,0,0,0.29471589883535,0.389387849300271
"TCGA.DF.A2L0.01A",0.235818712473015,0.278508487902931,0,0.0147421634279519,0,0.130480682448455,0.340449953747648
"TCGA.B5.A11N.01A",0.485885356395246,0,0,0.0282974168733564,0,0.101360076829158,0.38445714990224
"TCGA.EY.A2OM.01A",0.348838288612894,0,0,0,0,0.334978594746939,0.316183116640168
"TCGA.D1.A16I.01A",0.180656670049954,0.0048231479414983,0,0,0.000134233177822707,0.287681534719011,0.526704414111714
