Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Macrophages,NK,T Cells,P-value,Correlation,RMSE
TCGA-Q1-A73S-01A,0,0.960446419235028,0,0.0254988918788943,0.0140546888860781,0,0,0,0.230424305902506,0.991182618900372
TCGA-ZJ-AAXU-01A,0,0.772444772354322,0.0453401672523393,0.0125285970728814,0.0956713996339811,0.0740150636864766,0,0.01,0.0732738837031637,1.04150044986174
TCGA-C5-A1MI-01A,0,0.826862973738373,0.0444149263786636,0.0839850922457893,0.0398015110787619,0,0.00493549655841246,0,0.354726004443325,0.935467224507607
TCGA-VS-A8QA-01A,0,0.988906356477062,0,0,0,0.0110936435229381,0,0,0.384647218721851,0.923954889085514
TCGA-EA-A5ZD-01A,0,0.569869062577269,0.09288177153975,0.0612504398193553,0.253502896388348,0,0.0224958296752778,0,0.14388424016745,1.01665687620267
TCGA-XS-A8TJ-01A,0,0.737151359529702,0.0459445766002613,0.0824358828950556,0.0832747223686447,0,0.051193458606336,0.01,0.0947512865739455,1.03295060861955
TCGA-C5-A7CO-01A,0,0.917707531292151,0,0,0.0562626714018597,0,0.0260297973059897,0.01,0.0998822962453895,1.04075302764683
TCGA-MY-A5BF-01A,0,0.766661777977076,0.00935471729681859,0,0.136294012269962,0.0644884767324032,0.0232010157237403,0.01,0.0980729563956652,1.03315384335923
TCGA-C5-A1BL-01A,0,0.822211649874858,0,0,0.109576452258551,0.0682118978665909,0,0.02,0.0657168927527526,1.04734707622306
TCGA-C5-A1M5-01A,0,0.767222999073188,0.027091342485995,0.0576559628891637,0.0873061331250338,0.0115601518260858,0.0491634106005337,0.01,0.0897133538610062,1.03442733652118
TCGA-DS-A5RQ-01A,0,0.722730475408874,0.042203440176092,0.0259336315919012,0.164315469495571,0,0.0448169833275621,0.01,0.0915815913906306,1.03274689408865
TCGA-JW-A5VG-01A,0,0.720517945962634,0.0318045047909577,0.0137652126901862,0.135427104186813,0.0984852323694088,0,0,0.177328616223188,1.00289986016036
