,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-BM-6198-01A,0.014,0.000,0.014,0.020,0.000,0.000,0.000,0.024,0.071,0.009,0.051,0.001,0.000,0.001,0.000,0.795,0.795
TCGA-AG-3728-01A,0.016,0.000,0.029,0.002,0.008,0.001,0.036,0.058,0.085,0.033,0.038,0.001,0.008,0.002,0.000,0.681,0.681
TCGA-DY-A1DC-01A,0.001,0.000,0.006,0.005,0.000,0.000,0.002,0.016,0.045,0.001,0.024,0.000,0.000,0.000,0.000,0.899,0.899
TCGA-EI-6507-01A,0.006,0.000,0.007,0.032,0.012,0.000,0.000,0.026,0.124,0.003,0.054,0.000,0.000,0.005,0.015,0.716,0.716
TCGA-DY-A1DE-01A,0.000,0.000,0.007,0.019,0.000,0.000,0.002,0.025,0.004,0.022,0.054,0.000,0.000,0.000,0.000,0.868,0.868
TCGA-AG-3594-01A,0.007,0.000,0.005,0.057,0.003,0.000,0.017,0.024,0.010,0.010,0.055,0.000,0.001,0.004,0.000,0.806,0.806
TCGA-AG-A00H-01A,0.000,0.000,0.007,0.004,0.000,0.001,0.000,0.025,0.116,0.017,0.032,0.000,0.000,0.000,0.000,0.797,0.797
TCGA-AG-A014-01A,0.000,0.000,0.005,0.002,0.000,0.000,0.000,0.018,0.027,0.001,0.020,0.000,0.000,0.001,0.000,0.926,0.926
TCGA-DY-A1DD-01A,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.021,0.022,0.029,0.007,0.000,0.000,0.000,0.000,0.916,0.916
TCGA-DC-6154-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.034,0.052,0.011,0.032,0.000,0.000,0.000,0.000,0.868,0.868
TCGA-DC-6160-01A,0.020,0.000,0.022,0.010,0.001,0.000,0.017,0.032,0.004,0.015,0.020,0.001,0.000,0.003,0.000,0.854,0.854
TCGA-AF-3913-01A,0.000,0.000,0.004,0.003,0.000,0.000,0.001,0.039,0.053,0.013,0.024,0.000,0.000,0.002,0.000,0.860,0.860
TCGA-AH-6643-01A,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.033,0.033,0.011,0.006,0.000,0.000,0.001,0.000,0.903,0.903
TCGA-AG-4007-01A,0.024,0.000,0.008,0.006,0.005,0.000,0.013,0.046,0.051,0.012,0.048,0.000,0.000,0.001,0.000,0.784,0.784
TCGA-AH-6544-01A,0.000,0.003,0.000,0.001,0.000,0.000,0.000,0.008,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.985,0.985
TCGA-AG-3882-01A,0.024,0.000,0.019,0.010,0.014,0.007,0.048,0.042,0.056,0.023,0.025,0.001,0.005,0.001,0.000,0.725,0.725
