,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-OR-A5LO-01A,0.011,0.000,0.001,0.000,0.013,0.004,0.884,0.000,0.034,0.006,0.034,0.010,0.003,0.000,0.000,0.000
TCGA-P6-A5OG-01A,0.006,0.000,0.008,0.030,0.005,0.000,0.209,0.000,0.210,0.151,0.241,0.134,0.001,0.000,0.004,0.002
TCGA-OR-A5J6-01A,0.002,0.000,0.003,0.000,0.000,0.000,0.251,0.000,0.314,0.001,0.031,0.382,0.014,0.000,0.000,0.000
TCGA-OR-A5LT-01A,0.000,0.000,0.000,0.002,0.001,0.000,0.931,0.000,0.009,0.001,0.000,0.046,0.009,0.000,0.000,0.000
TCGA-OR-A5JY-01A,0.004,0.000,0.009,0.005,0.000,0.002,0.782,0.000,0.080,0.004,0.020,0.088,0.004,0.000,0.002,0.000
TCGA-OR-A5JV-01A,0.000,0.000,0.009,0.000,0.015,0.000,0.512,0.002,0.061,0.000,0.033,0.365,0.001,0.000,0.001,0.000
TCGA-OR-A5JT-01A,0.000,0.000,0.006,0.001,0.002,0.000,0.813,0.000,0.093,0.000,0.067,0.012,0.001,0.000,0.004,0.000
TCGA-OR-A5KX-01A,0.001,0.000,0.001,0.000,0.000,0.001,0.723,0.000,0.133,0.003,0.024,0.096,0.019,0.000,0.000,0.000
TCGA-OR-A5K3-01A,0.000,0.000,0.001,0.001,0.000,0.000,0.855,0.000,0.022,0.000,0.000,0.117,0.003,0.000,0.001,0.000
TCGA-OR-A5JZ-01A,0.001,0.000,0.008,0.001,0.000,0.000,0.845,0.000,0.087,0.000,0.013,0.031,0.012,0.000,0.001,0.000
TCGA-OR-A5LC-01A,0.000,0.000,0.000,0.004,0.000,0.000,0.563,0.000,0.194,0.068,0.130,0.036,0.001,0.000,0.001,0.000
TCGA-OR-A5LH-01A,0.001,0.000,0.006,0.000,0.017,0.000,0.766,0.000,0.075,0.000,0.014,0.111,0.008,0.000,0.001,0.000
TCGA-OR-A5LM-01A,0.001,0.000,0.011,0.000,0.001,0.000,0.836,0.000,0.053,0.000,0.025,0.060,0.010,0.000,0.002,0.000
TCGA-OR-A5J5-01A,0.004,0.000,0.000,0.002,0.025,0.000,0.875,0.000,0.031,0.002,0.023,0.025,0.011,0.000,0.001,0.000
TCGA-P6-A5OF-01A,0.002,0.000,0.002,0.001,0.004,0.001,0.807,0.000,0.068,0.048,0.016,0.041,0.009,0.000,0.002,0.000
