,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-AG-3896-01A,0.011,0.000,0.007,0.000,0.000,0.000,0.818,0.017,0.045,0.051,0.024,0.025,0.000,0.000,0.000,0.000
TCGA-DC-4745-01A,0.000,0.000,0.006,0.002,0.000,0.000,0.902,0.009,0.022,0.018,0.025,0.013,0.000,0.000,0.000,0.000
TCGA-AH-6903-01A,0.003,0.000,0.006,0.001,0.000,0.000,0.950,0.009,0.007,0.007,0.011,0.006,0.001,0.000,0.000,0.000
TCGA-AG-3599-01A,0.005,0.000,0.008,0.016,0.000,0.000,0.873,0.018,0.012,0.017,0.016,0.033,0.002,0.000,0.000,0.000
TCGA-AG-3581-01A,0.012,0.000,0.008,0.002,0.000,0.001,0.843,0.015,0.028,0.039,0.017,0.033,0.001,0.000,0.001,0.000
TCGA-AG-3881-01A,0.006,0.001,0.008,0.004,0.005,0.001,0.716,0.013,0.030,0.110,0.042,0.055,0.001,0.003,0.003,0.000
TCGA-CL-5917-01A,0.000,0.000,0.002,0.002,0.000,0.000,0.895,0.003,0.016,0.070,0.003,0.008,0.001,0.000,0.000,0.000
TCGA-AG-3902-01A,0.016,0.001,0.012,0.024,0.002,0.000,0.822,0.031,0.016,0.013,0.016,0.045,0.002,0.000,0.000,0.000
TCGA-CI-6624-01C,0.014,0.000,0.013,0.001,0.005,0.000,0.767,0.019,0.048,0.073,0.015,0.042,0.003,0.000,0.000,0.000
TCGA-AF-2692-01A,0.005,0.000,0.006,0.001,0.002,0.000,0.864,0.015,0.014,0.060,0.015,0.016,0.001,0.000,0.000,0.000
TCGA-DC-6683-01A,0.000,0.000,0.003,0.002,0.000,0.000,0.893,0.000,0.009,0.049,0.006,0.036,0.001,0.000,0.000,0.000
TCGA-DC-6682-01A,0.000,0.001,0.003,0.008,0.000,0.000,0.939,0.011,0.010,0.009,0.010,0.009,0.000,0.000,0.000,0.000
TCGA-F5-6702-01A,0.005,0.000,0.008,0.001,0.000,0.000,0.488,0.010,0.041,0.357,0.021,0.064,0.003,0.000,0.000,0.000
TCGA-AF-4110-01A,0.052,0.000,0.012,0.007,0.001,0.000,0.696,0.021,0.050,0.111,0.018,0.029,0.003,0.000,0.000,0.000
TCGA-F5-6861-01A,0.000,0.000,0.003,0.008,0.000,0.000,0.896,0.006,0.013,0.035,0.019,0.018,0.001,0.000,0.000,0.000
TCGA-G5-6235-01A,0.001,0.003,0.000,0.003,0.000,0.000,0.970,0.003,0.011,0.002,0.005,0.002,0.000,0.000,0.000,0.000
