,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-CJ-4899-01A,0.011,0.000,0.021,0.009,0.009,0.000,0.064,0.005,0.320,0.068,0.265,0.201,0.019,0.005,0.002,0.000
TCGA-B0-5096-01A,0.028,0.000,0.018,0.001,0.005,0.000,0.470,0.002,0.124,0.080,0.023,0.246,0.002,0.000,0.001,0.000
TCGA-BP-4331-01A,0.002,0.000,0.025,0.013,0.012,0.000,0.335,0.027,0.225,0.033,0.083,0.237,0.004,0.003,0.002,0.000
TCGA-B0-4693-01A,0.033,0.000,0.010,0.013,0.026,0.000,0.382,0.003,0.247,0.005,0.098,0.163,0.003,0.010,0.004,0.002
TCGA-CJ-4637-01A,0.033,0.001,0.064,0.047,0.074,0.000,0.259,0.057,0.121,0.052,0.023,0.263,0.003,0.000,0.001,0.001
TCGA-CJ-4916-01A,0.016,0.000,0.032,0.060,0.089,0.000,0.097,0.028,0.232,0.007,0.101,0.333,0.001,0.001,0.001,0.001
TCGA-CW-5591-01A,0.000,0.000,0.009,0.000,0.000,0.000,0.566,0.001,0.176,0.080,0.041,0.123,0.000,0.002,0.000,0.000
TCGA-BP-5008-01A,0.006,0.003,0.013,0.012,0.030,0.025,0.229,0.024,0.240,0.090,0.169,0.147,0.006,0.001,0.005,0.001
TCGA-CJ-4903-01A,0.013,0.000,0.009,0.017,0.020,0.000,0.231,0.019,0.282,0.046,0.105,0.252,0.002,0.002,0.001,0.001
TCGA-B0-4714-01A,0.002,0.000,0.007,0.065,0.048,0.000,0.058,0.049,0.248,0.014,0.196,0.266,0.001,0.043,0.002,0.001
TCGA-B8-5550-01A,0.001,0.000,0.030,0.004,0.010,0.000,0.333,0.004,0.193,0.148,0.093,0.180,0.002,0.001,0.001,0.000
TCGA-B0-5094-01A,0.009,0.000,0.005,0.013,0.000,0.000,0.637,0.002,0.079,0.026,0.071,0.134,0.003,0.013,0.006,0.000
TCGA-CJ-4920-01A,0.008,0.000,0.021,0.009,0.000,0.000,0.334,0.007,0.263,0.077,0.122,0.146,0.005,0.006,0.002,0.000
TCGA-A3-3346-01A,0.007,0.000,0.009,0.019,0.000,0.000,0.628,0.001,0.017,0.010,0.009,0.287,0.000,0.002,0.009,0.001
TCGA-CJ-4885-01A,0.001,0.000,0.004,0.001,0.000,0.000,0.455,0.004,0.233,0.009,0.124,0.162,0.002,0.005,0.000,0.000
TCGA-B0-5707-01A,0.002,0.000,0.005,0.000,0.000,0.000,0.749,0.035,0.045,0.017,0.007,0.134,0.004,0.000,0.002,0.000
TCGA-CJ-4872-01A,0.012,0.000,0.025,0.009,0.015,0.000,0.152,0.019,0.283,0.103,0.224,0.138,0.005,0.014,0.001,0.001
TCGA-BP-5181-01A,0.001,0.000,0.027,0.003,0.000,0.000,0.324,0.007,0.305,0.034,0.148,0.141,0.001,0.008,0.001,0.000
TCGA-BP-4777-01A,0.008,0.009,0.034,0.017,0.066,0.000,0.298,0.017,0.125,0.019,0.077,0.325,0.001,0.000,0.001,0.001
TCGA-BP-4982-01A,0.003,0.000,0.020,0.019,0.012,0.000,0.079,0.010,0.354,0.087,0.201,0.198,0.006,0.007,0.003,0.001
TCGA-CZ-4857-01A,0.002,0.001,0.020,0.013,0.002,0.000,0.394,0.001,0.151,0.090,0.088,0.228,0.002,0.007,0.002,0.000
TCGA-A3-3349-01A,0.005,0.000,0.023,0.000,0.000,0.000,0.126,0.002,0.420,0.110,0.157,0.130,0.011,0.014,0.002,0.001
TCGA-B0-5711-01A,0.017,0.000,0.025,0.015,0.005,0.000,0.229,0.018,0.377,0.040,0.133,0.122,0.009,0.007,0.001,0.002
