"","T Cells","NK","Myeloid","B Cells","Endothelial Cells","Fibroblasts","Mast Cells","Cancer Cells","V9"
"TCGA.DD.AADB.01A",0,0,0.0207499134334987,0.000140434985019383,0.130995717495034,0.00965326147476483,0,0.791014496117931,0.0474461764937523
"TCGA.UB.A7MA.01A",0,0,0,0,0.138758793378425,0.0542240327206438,0,0.606233442377908,0.200783731523023
"TCGA.DD.AAD0.01A",0,0,0,0,0.0294167678410332,0.0001855554957461,0,0.969397622190598,0.00100005447262266
"TCGA.BC.4072.01B",0,0,0.0226656982714743,0,0.324790791682521,0.0292328086731297,0,0.473862956864685,0.14944774450819
"TCGA.DD.AACD.01A",0,0,0,0,0.0147347278021208,0.00606111684110617,0,0.979204155356773,0
"TCGA.DD.A3A5.01A",0,0,0,0,0.0124132597454654,0.00928873561780753,0,0.978298004636727,0
"TCGA.ZP.A9D1.01A",0,0,0,0,0.0437825650003528,0.0126326719168894,0,0.943584763082758,0
"TCGA.ZP.A9D0.01A",0,0,0,0,0.0167840750982803,0.00423041129286454,0,0.978985513608855,0
"TCGA.CC.A7IK.01A",0,0,0,0,0.128735502986687,0.00537106507698624,0,0.826345927442137,0.0395475044941902
"TCGA.WQ.AB4B.01A",0,0,0,0,0.0320284413356745,0.00480573070557257,0,0.963165827958753,0
"TCGA.FV.A4ZQ.01A",0,0,0.0609816144608731,0.0101983016486049,0.118793037377415,0.00208978107955898,0,0.757235710417034,0.050701555016514
"TCGA.G3.A25S.01A",0,0,0,0,0.0228388419305138,0.00087898878894699,0,0.971756241209005,0.00452592807153389
"TCGA.NI.A4U2.01A",0,0,0,0,0.0275220313091145,0.00558523831329526,0,0.96689273037759,0
"TCGA.RC.A7SK.01A",0,0,0,0,0.021595423326581,0.00578632793815363,0,0.966834187409401,0.00578406132586419
"TCGA.DD.AADS.01A",0,0,0,0,0.0149295470116967,0.000258678199243219,0,0.98481177478906,0
"TCGA.DD.A73F.01A",0,0,0.00302842245687959,0,0.0423596323426287,0.00502961422217647,4.769900056024e-06,0.949577561078259,0
"TCGA.DD.A11C.01A",0,0,0,0,0.0441741598396731,0.0111798907953118,0,0.944645949365015,0
