Mixture,CD4 T,CD8 T,Cancer Cells,DC,Fibroblasts,Monocytes,NK,P-value,Correlation,RMSE
TCGA-94-7943-01A,0,0.0233258318897448,0.621041169869801,0.00288233481525885,0.167422806764037,0.183059700675765,0.00226815598539395,0,0.411821469685208,0.957105565877797
TCGA-68-8251-01A,0.057129970969989,0.0293875232335456,0.361823966387864,0,0.290468363905723,0.253365025231832,0.00782515027104667,0,0.329639463860573,1.00366120727946
TCGA-33-A5GW-01A,0,0,0.82652162695317,0,0.0926213362022766,0.0766814746161351,0.00417556222841843,0,0.16733966404332,1.17591641515418
TCGA-85-8070-01A,0,0.0117369529540879,0.906515992279686,0.00710000064503534,0.0357530318625935,0.0342277946078785,0.00466622765071855,0,0.200476039293969,1.17890813343461
TCGA-85-8479-01A,0.0471464199104128,0,0.625463643703594,0.00571373441801174,0.252989970637852,0.0685234200747444,0.000162811255385451,0.01,0.0981651882066907,1.18067684924672
TCGA-22-5482-01A,0,0.00728640448798122,0.539088574680663,0.0097094326282957,0.299334443838229,0.144581144364831,0,0,0.172834167267128,1.13301132688531
TCGA-21-1077-01A,0.018742048266883,0,0.433364495189369,0,0.270430646522478,0.273312267132899,0.00415054288837008,0,0.343881365636355,1.00583950194641
TCGA-43-6773-01A,0.0355412383666853,0.0570678834204399,0.245643833326676,0.0262027361551322,0.343685945035037,0.291858363696029,0,0,0.452883397602276,0.92590358560792
TCGA-34-8455-01A,0,0.0145897916258703,0.534573676969439,0,0.347060624366824,0.103775907037867,0,0,0.307738722488223,1.05526110569631
TCGA-85-7950-01A,0.0870020208920373,0.0511897076379802,0.175222721282138,0,0.49897234678299,0.175429510776698,0.0121836926281568,0,0.354591634874523,1.03328635065281
TCGA-60-2715-01A,0.0436866231780236,0.0189764689609021,0.157503014187062,0.0519027881524524,0.406252343118042,0.316060459343926,0.00561830305959196,0,0.453352281784218,0.94408699506917
TCGA-85-A5B5-01A,0.0282444895183459,0,0.450070406411589,0.0191205119599828,0.336295160152425,0.157965850848601,0.00830358110905612,0,0.222380082061442,1.09325299902736
TCGA-33-4583-01A,0,0.0336912636536223,0.684578790190469,0.0152037683536196,0.143617427688381,0.103746445300333,0.0191623048135759,0,0.147910090174902,1.13888518502551
TCGA-60-2725-01A,0.00662288445107865,0.0396681265475991,0.246613023022365,0.0198898258431565,0.333169518692201,0.354036621443599,0,0,0.437674192495651,0.947939577328563
TCGA-85-8072-01A,0,0.0113914453632225,0.588162566376512,0.022699737709421,0.193626553326869,0.172303574667145,0.0118161225568295,0,0.316809689280913,1.02001143858467
TCGA-22-4601-01A,0,0.0153320333175907,0.681687388825165,0.00109256470143333,0.151840148285703,0.146106026024184,0.00394183884592446,0,0.452250558106093,0.934258050579026
TCGA-66-2781-01A,0,0.0219435987587154,0.473410632027894,0.0104164504344768,0.285373873402755,0.207712141555077,0.00114330382108154,0,0.319301418004539,1.02282219068785
TCGA-22-0940-01A,0,0.0615552872792368,0.389011042224665,0.0138505084735215,0.257133352220352,0.262802922508273,0.0156468872939517,0,0.317142557879875,1.00822413309607
TCGA-43-6143-01A,0,0.0112902712167355,0.584964031971009,0.0124016815974304,0.23955295668505,0.139179470221563,0.0126115883082113,0,0.316701670748892,1.02751456859774
TCGA-39-5021-01A,0.0225870761532122,0.0287569130858238,0.289625124192213,0.0242742239882922,0.31340738865469,0.315859165644872,0.0054901082808971,0,0.477060662425147,0.908422167032935
TCGA-22-1012-01A,0.00457021690804708,0.0288398606087715,0.462986585162057,0,0.250132665206454,0.249426358651464,0.00404431346320649,0,0.238976018664701,1.06957411997853
TCGA-33-AASL-01A,0,0.0289767236272516,0.770730611067115,0.0175449211689737,0.0812606930518454,0.0902189407228052,0.0112681103620091,0,0.163753425937514,1.15012371415989
TCGA-33-4533-01A,0,0.0168861236124205,0.274773674893621,0,0.547480501784622,0.160859699709336,0,0,0.441395179695243,1.00131781012962
TCGA-43-6647-01A,0.0215569628730005,0.0174220629957687,0.159594088780881,0.00146492464668474,0.527645435917094,0.272316524786572,0,0,0.438491925333158,1.0001536917779
TCGA-77-6845-01A,0,0,0.534299175245381,0,0.319035537595108,0.14579903474843,0.000866252411081372,0,0.292517407682428,1.06012378853332
TCGA-56-8504-01A,0,0.0167361884463735,0.47869716363015,0.0156557839120359,0.213444625072807,0.258910903400063,0.0165553355385709,0,0.250688692780315,1.05661553390619
TCGA-56-8629-01A,0,0.0220958766408416,0.603880243573019,0.00433702416156882,0.219384600999978,0.14277005918734,0.00753219543725228,0,0.378121223179386,0.98402351812887
TCGA-63-A5MY-01A,0,0,0.845759651095013,0.00347198084570572,0.0713838166426444,0.0793845514166369,0,0.01,0.11089447325432,1.21965798142894
TCGA-37-4130-01A,0.0236239540245259,0.127610378423201,0.221509959284049,0.0886095675858256,0.137615212924509,0.350912909313373,0.0501180184445168,0,0.154122815340834,1.0773294561039
TCGA-22-1002-01A,0.0261922397429846,0.0222603643847874,0.394128971016695,0.00693573720308122,0.350631014306028,0.198434857429418,0.00141681591700536,0,0.332926315517465,1.01876780819718
TCGA-18-3410-01A,0.10385286763953,0.0545647379391037,0.378913204443225,0.0213743265770926,0.153194013664406,0.277112360205407,0.0109884895312354,0,0.28519853294463,1.00435806349287
TCGA-39-5011-01A,0,0.0335561889433333,0.388181027862319,0.0156499181028565,0.140650007014124,0.392408888649272,0.0295539694280949,0,0.515004011480166,0.872574975847836
