,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-OR-A5JW-01A,0.000,0.000,0.001,0.000,0.002,0.000,0.001,0.074,0.000,0.001,0.061,0.008,0.000,0.000,0.000,0.852,0.852
TCGA-OR-A5JC-01A,0.000,0.000,0.001,0.000,0.005,0.000,0.013,0.040,0.039,0.060,0.052,0.011,0.000,0.000,0.000,0.778,0.778
TCGA-OR-A5LP-01A,0.000,0.000,0.002,0.000,0.009,0.000,0.001,0.071,0.025,0.087,0.128,0.005,0.000,0.000,0.000,0.672,0.672
TCGA-OR-A5J1-01A,0.000,0.000,0.000,0.000,0.004,0.000,0.006,0.036,0.000,0.075,0.075,0.000,0.000,0.000,0.000,0.804,0.804
TCGA-OR-A5K0-01A,0.001,0.000,0.000,0.004,0.000,0.000,0.001,0.027,0.001,0.001,0.033,0.006,0.000,0.000,0.000,0.925,0.925
TCGA-OR-A5K8-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.005,0.011,0.035,0.002,0.000,0.000,0.000,0.931,0.931
TCGA-OR-A5L5-01A,0.001,0.000,0.002,0.000,0.011,0.000,0.001,0.034,0.097,0.039,0.182,0.022,0.000,0.000,0.000,0.611,0.611
TCGA-OR-A5KT-01A,0.010,0.000,0.011,0.000,0.002,0.000,0.000,0.112,0.110,0.048,0.144,0.001,0.000,0.000,0.001,0.560,0.560
TCGA-OR-A5JF-01A,0.000,0.000,0.001,0.000,0.006,0.000,0.000,0.047,0.027,0.041,0.022,0.003,0.000,0.000,0.000,0.852,0.852
TCGA-OR-A5L4-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.102,0.001,0.044,0.035,0.003,0.000,0.000,0.000,0.814,0.814
TCGA-OR-A5JS-01A,0.007,0.000,0.001,0.000,0.003,0.001,0.001,0.042,0.032,0.006,0.019,0.008,0.000,0.000,0.000,0.883,0.883
TCGA-OR-A5K5-01A,0.004,0.000,0.003,0.000,0.010,0.000,0.002,0.020,0.038,0.002,0.033,0.001,0.000,0.000,0.000,0.887,0.887
TCGA-OR-A5JG-01A,0.000,0.000,0.002,0.000,0.011,0.000,0.000,0.043,0.032,0.000,0.043,0.009,0.000,0.000,0.000,0.859,0.859
TCGA-PK-A5H8-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.002,0.048,0.000,0.034,0.060,0.022,0.000,0.000,0.000,0.833,0.833
