,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-IB-A6UG-01A,0.014,0.014,0.012,0.002,0.000,0.001,0.717,0.020,0.036,0.140,0.016,0.022,0.003,0.000,0.000,0.000
TCGA-US-A779-01A,0.000,0.000,0.001,0.002,0.000,0.000,0.841,0.006,0.038,0.061,0.008,0.034,0.007,0.000,0.000,0.000
TCGA-US-A77G-01A,0.000,0.000,0.002,0.006,0.000,0.000,0.813,0.014,0.032,0.079,0.005,0.043,0.004,0.000,0.000,0.000
TCGA-FB-AAQ0-01A,0.000,0.000,0.002,0.003,0.000,0.000,0.814,0.002,0.013,0.156,0.002,0.005,0.002,0.000,0.000,0.000
TCGA-IB-7646-01A,0.000,0.000,0.001,0.008,0.000,0.000,0.426,0.000,0.047,0.361,0.000,0.149,0.003,0.000,0.003,0.000
TCGA-HZ-8636-01A,0.008,0.000,0.019,0.001,0.000,0.000,0.402,0.035,0.042,0.368,0.013,0.100,0.009,0.000,0.001,0.000
TCGA-XD-AAUI-01A,0.009,0.024,0.018,0.003,0.001,0.000,0.484,0.020,0.082,0.247,0.042,0.064,0.005,0.000,0.000,0.000
TCGA-2J-AABT-01A,0.000,0.000,0.012,0.000,0.004,0.006,0.289,0.030,0.063,0.266,0.170,0.156,0.002,0.000,0.000,0.000
TCGA-2J-AABU-01A,0.006,0.000,0.008,0.009,0.000,0.000,0.555,0.022,0.037,0.306,0.013,0.039,0.003,0.000,0.000,0.000
TCGA-HZ-8317-01A,0.004,0.000,0.004,0.000,0.000,0.000,0.469,0.011,0.105,0.257,0.092,0.050,0.006,0.000,0.002,0.000
TCGA-RB-AA9M-01A,0.005,0.000,0.004,0.001,0.005,0.000,0.545,0.024,0.101,0.245,0.033,0.031,0.006,0.000,0.000,0.000
TCGA-2J-AABE-01A,0.007,0.000,0.011,0.000,0.000,0.000,0.457,0.021,0.032,0.353,0.012,0.101,0.006,0.000,0.000,0.000
TCGA-IB-AAUP-01A,0.019,0.158,0.043,0.004,0.015,0.028,0.195,0.069,0.058,0.311,0.016,0.075,0.007,0.001,0.001,0.000
TCGA-FB-AAPZ-01A,0.001,0.000,0.014,0.007,0.001,0.001,0.545,0.023,0.056,0.253,0.010,0.081,0.005,0.000,0.000,0.000
TCGA-IB-7887-01A,0.004,0.000,0.003,0.013,0.000,0.000,0.565,0.021,0.027,0.305,0.000,0.054,0.004,0.001,0.003,0.000
TCGA-2L-AAQJ-01A,0.010,0.012,0.004,0.010,0.002,0.000,0.624,0.009,0.070,0.167,0.014,0.076,0.002,0.000,0.000,0.000
TCGA-RL-AAAS-01A,0.004,0.024,0.013,0.003,0.007,0.000,0.316,0.055,0.086,0.382,0.019,0.077,0.009,0.003,0.000,0.000
TCGA-FB-A4P5-01A,0.020,0.035,0.020,0.005,0.029,0.000,0.245,0.035,0.108,0.324,0.029,0.142,0.005,0.000,0.001,0.000
TCGA-YB-A89D-01A,0.007,0.000,0.013,0.000,0.001,0.000,0.348,0.034,0.058,0.422,0.014,0.096,0.006,0.000,0.000,0.000
TCGA-XD-AAUG-01A,0.009,0.000,0.007,0.000,0.006,0.000,0.109,0.039,0.083,0.660,0.024,0.052,0.009,0.000,0.000,0.000
TCGA-2L-AAQE-01A,0.002,0.013,0.016,0.008,0.001,0.000,0.646,0.019,0.039,0.217,0.010,0.024,0.005,0.000,0.000,0.000
TCGA-FB-AAQ2-01A,0.001,0.005,0.012,0.003,0.000,0.000,0.853,0.014,0.040,0.040,0.023,0.008,0.002,0.000,0.000,0.000
