,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-BH-A0BM-01A,0.006,0.000,0.006,0.000,0.008,0.000,0.593,0.017,0.070,0.219,0.033,0.045,0.002,0.000,0.001,0.000
TCGA-LD-A74U-01A,0.001,0.000,0.004,0.001,0.011,0.000,0.428,0.024,0.100,0.266,0.028,0.121,0.015,0.001,0.001,0.000
TCGA-BH-A0HU-01A,0.000,0.000,0.001,0.001,0.033,0.000,0.809,0.010,0.022,0.078,0.009,0.035,0.000,0.000,0.000,0.000
TCGA-E9-A243-01A,0.043,0.017,0.017,0.061,0.033,0.000,0.387,0.030,0.027,0.154,0.004,0.201,0.001,0.001,0.023,0.002
TCGA-A2-A0EQ-01A,0.043,0.027,0.060,0.008,0.050,0.000,0.549,0.065,0.032,0.086,0.002,0.073,0.000,0.000,0.003,0.000
TCGA-A8-A09R-01A,0.000,0.000,0.011,0.009,0.019,0.000,0.520,0.044,0.036,0.196,0.031,0.128,0.001,0.000,0.005,0.000
TCGA-D8-A1JG-01B,0.048,0.000,0.014,0.006,0.026,0.000,0.582,0.021,0.047,0.117,0.008,0.105,0.000,0.000,0.023,0.001
TCGA-B6-A0WT-01A,0.007,0.000,0.014,0.000,0.016,0.000,0.580,0.020,0.043,0.246,0.034,0.030,0.006,0.000,0.003,0.000
TCGA-B6-A0IN-01A,0.034,0.017,0.014,0.000,0.016,0.000,0.553,0.027,0.065,0.107,0.036,0.129,0.000,0.000,0.000,0.000
TCGA-EW-A6SC-01A,0.005,0.000,0.002,0.004,0.005,0.000,0.491,0.049,0.051,0.275,0.034,0.070,0.012,0.000,0.001,0.000
TCGA-EW-A6SA-01A,0.000,0.000,0.000,0.000,0.010,0.000,0.906,0.011,0.029,0.012,0.022,0.008,0.001,0.000,0.001,0.000
TCGA-AO-A125-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.932,0.000,0.029,0.001,0.029,0.009,0.000,0.000,0.000,0.000
TCGA-E9-A1NA-01A,0.000,0.000,0.005,0.001,0.008,0.000,0.559,0.012,0.022,0.233,0.006,0.150,0.000,0.000,0.002,0.000
TCGA-A8-A08T-01A,0.002,0.000,0.006,0.000,0.010,0.000,0.704,0.019,0.034,0.161,0.012,0.050,0.001,0.000,0.002,0.000
TCGA-BH-A0E7-01A,0.000,0.000,0.001,0.000,0.001,0.000,0.694,0.017,0.040,0.157,0.040,0.046,0.004,0.000,0.000,0.000
TCGA-LL-A73Z-01A,0.002,0.000,0.015,0.001,0.010,0.000,0.564,0.038,0.093,0.156,0.042,0.074,0.002,0.001,0.002,0.000
TCGA-A1-A0SO-01A,0.001,0.000,0.000,0.000,0.031,0.000,0.872,0.002,0.034,0.028,0.002,0.029,0.000,0.000,0.000,0.000
TCGA-BH-A201-01A,0.000,0.000,0.003,0.000,0.000,0.000,0.527,0.008,0.074,0.283,0.060,0.042,0.001,0.000,0.001,0.000
TCGA-BH-A18G-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.781,0.000,0.008,0.112,0.001,0.095,0.000,0.000,0.001,0.000
TCGA-D8-A141-01A,0.008,0.013,0.032,0.013,0.035,0.000,0.292,0.056,0.048,0.374,0.023,0.093,0.004,0.000,0.007,0.002
TCGA-A7-A0CG-01A,0.010,0.008,0.017,0.000,0.039,0.001,0.443,0.046,0.075,0.251,0.029,0.072,0.006,0.000,0.003,0.000
TCGA-AN-A041-01A,0.001,0.000,0.003,0.000,0.007,0.000,0.481,0.027,0.077,0.328,0.027,0.045,0.001,0.000,0.001,0.000
TCGA-EW-A1P4-01A,0.002,0.000,0.017,0.050,0.000,0.000,0.637,0.058,0.034,0.111,0.004,0.082,0.001,0.000,0.002,0.000
TCGA-BH-A0H6-01A,0.000,0.000,0.004,0.000,0.009,0.000,0.593,0.013,0.053,0.264,0.026,0.037,0.000,0.000,0.001,0.000
TCGA-D8-A1XU-01A,0.003,0.000,0.004,0.000,0.009,0.000,0.555,0.034,0.050,0.232,0.023,0.087,0.002,0.000,0.002,0.000
TCGA-A8-A09D-01A,0.000,0.000,0.004,0.000,0.018,0.000,0.467,0.023,0.070,0.237,0.034,0.141,0.002,0.000,0.002,0.000
TCGA-BH-A8FZ-01A,0.013,0.007,0.014,0.000,0.020,0.000,0.449,0.051,0.090,0.182,0.040,0.108,0.022,0.000,0.003,0.000
TCGA-E9-A3Q9-01A,0.024,0.000,0.005,0.000,0.014,0.000,0.574,0.024,0.102,0.072,0.053,0.123,0.005,0.000,0.003,0.000
TCGA-BH-A18R-01A,0.006,0.000,0.004,0.003,0.024,0.000,0.782,0.028,0.025,0.070,0.011,0.040,0.004,0.000,0.002,0.000
TCGA-BH-A0HK-01A,0.014,0.000,0.003,0.000,0.000,0.000,0.672,0.010,0.061,0.154,0.028,0.055,0.001,0.000,0.001,0.000
TCGA-A7-A0D9-01A,0.000,0.000,0.002,0.000,0.005,0.000,0.724,0.016,0.065,0.126,0.042,0.017,0.001,0.000,0.002,0.000
TCGA-AO-A03L-01A,0.007,0.000,0.006,0.002,0.021,0.000,0.677,0.015,0.040,0.181,0.009,0.036,0.004,0.000,0.001,0.000
TCGA-E2-A1B1-01A,0.005,0.000,0.034,0.000,0.021,0.000,0.372,0.049,0.107,0.272,0.024,0.102,0.007,0.000,0.004,0.000
TCGA-EW-A6SD-01A,0.024,0.000,0.014,0.017,0.002,0.000,0.661,0.013,0.029,0.117,0.007,0.102,0.000,0.000,0.011,0.001
TCGA-BH-A0DV-01A,0.003,0.000,0.004,0.000,0.007,0.000,0.245,0.020,0.180,0.405,0.054,0.067,0.013,0.000,0.002,0.000
TCGA-OL-A5S0-01A,0.004,0.000,0.008,0.000,0.004,0.000,0.637,0.024,0.041,0.174,0.017,0.091,0.001,0.000,0.000,0.000
TCGA-A8-A0AB-01A,0.000,0.000,0.000,0.000,0.010,0.000,0.802,0.015,0.025,0.120,0.001,0.022,0.003,0.000,0.001,0.000
TCGA-OL-A6VQ-01A,0.005,0.000,0.006,0.002,0.009,0.002,0.460,0.058,0.095,0.279,0.035,0.034,0.013,0.000,0.001,0.000
TCGA-B6-A1KF-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.845,0.000,0.051,0.055,0.035,0.012,0.000,0.000,0.002,0.000
TCGA-AO-A12E-01A,0.001,0.000,0.000,0.001,0.001,0.000,0.679,0.008,0.068,0.079,0.036,0.108,0.011,0.000,0.006,0.000
TCGA-C8-A26W-01A,0.003,0.000,0.006,0.010,0.039,0.000,0.631,0.029,0.045,0.155,0.018,0.059,0.002,0.000,0.002,0.000
TCGA-3C-AALK-01A,0.008,0.000,0.008,0.000,0.010,0.000,0.565,0.033,0.033,0.271,0.015,0.049,0.006,0.000,0.001,0.000
TCGA-C8-A12L-01A,0.003,0.000,0.004,0.008,0.019,0.000,0.795,0.008,0.032,0.077,0.005,0.044,0.002,0.000,0.002,0.001
TCGA-A2-A0YC-01A,0.000,0.000,0.003,0.010,0.009,0.000,0.602,0.032,0.061,0.152,0.032,0.090,0.005,0.000,0.002,0.000
TCGA-BH-A1EU-01A,0.001,0.037,0.024,0.000,0.044,0.000,0.327,0.058,0.106,0.233,0.047,0.105,0.011,0.000,0.006,0.000
TCGA-A8-A07Z-01A,0.001,0.000,0.000,0.012,0.012,0.000,0.774,0.038,0.034,0.039,0.018,0.067,0.001,0.000,0.001,0.000
TCGA-EW-A1P5-01A,0.000,0.000,0.013,0.015,0.008,0.000,0.672,0.026,0.020,0.103,0.014,0.119,0.005,0.000,0.003,0.000
TCGA-E9-A3X8-01A,0.026,0.000,0.009,0.000,0.021,0.000,0.545,0.027,0.036,0.259,0.016,0.057,0.003,0.000,0.001,0.000
TCGA-AC-A3QQ-01B,0.001,0.038,0.000,0.012,0.030,0.029,0.397,0.044,0.052,0.249,0.079,0.051,0.016,0.001,0.001,0.000
TCGA-S3-AA17-01A,0.044,0.018,0.042,0.016,0.038,0.001,0.552,0.083,0.032,0.086,0.009,0.077,0.000,0.000,0.002,0.001
TCGA-AN-A0XT-01A,0.001,0.000,0.001,0.000,0.010,0.000,0.630,0.014,0.138,0.085,0.091,0.018,0.011,0.000,0.000,0.000
TCGA-AO-A0J4-01A,0.014,0.036,0.027,0.010,0.016,0.000,0.583,0.037,0.049,0.156,0.025,0.044,0.000,0.001,0.001,0.001
TCGA-A8-A08O-01A,0.001,0.000,0.002,0.000,0.004,0.000,0.662,0.014,0.046,0.224,0.018,0.025,0.001,0.000,0.003,0.000
TCGA-BH-A0BF-01A,0.022,0.000,0.021,0.017,0.037,0.000,0.339,0.030,0.048,0.324,0.015,0.123,0.010,0.001,0.013,0.001
