,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-DK-A3WW-01A,0.000,0.000,0.001,0.115,0.000,0.000,0.751,0.000,0.042,0.001,0.002,0.085,0.000,0.000,0.001,0.001
TCGA-XF-A9SI-01A,0.025,0.049,0.030,0.035,0.062,0.000,0.439,0.073,0.057,0.093,0.039,0.091,0.002,0.000,0.002,0.002
TCGA-XF-AAMQ-01A,0.008,0.000,0.037,0.019,0.000,0.000,0.816,0.024,0.026,0.025,0.002,0.040,0.000,0.000,0.001,0.000
TCGA-K4-A54R-01A,0.000,0.000,0.010,0.055,0.000,0.000,0.656,0.001,0.025,0.159,0.006,0.085,0.001,0.000,0.002,0.000
TCGA-GV-A3QG-01A,0.025,0.092,0.033,0.014,0.016,0.005,0.345,0.042,0.077,0.160,0.039,0.140,0.003,0.000,0.007,0.001
TCGA-DK-A2I4-01A,0.013,0.000,0.021,0.076,0.000,0.000,0.370,0.004,0.073,0.148,0.017,0.273,0.001,0.000,0.001,0.001
TCGA-FD-A6TK-01A,0.007,0.000,0.027,0.028,0.001,0.000,0.509,0.011,0.073,0.195,0.045,0.097,0.005,0.000,0.001,0.000
TCGA-E7-A678-01A,0.019,0.000,0.001,0.000,0.000,0.001,0.939,0.000,0.019,0.000,0.004,0.017,0.000,0.000,0.000,0.000
TCGA-K4-A5RH-01A,0.005,0.000,0.013,0.104,0.050,0.000,0.279,0.035,0.075,0.182,0.023,0.231,0.000,0.000,0.001,0.000
TCGA-XF-A8HC-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.968,0.000,0.015,0.000,0.010,0.004,0.000,0.000,0.000,0.000
TCGA-BT-A20T-01A,0.000,0.000,0.017,0.018,0.000,0.000,0.715,0.020,0.031,0.130,0.010,0.057,0.000,0.000,0.001,0.000
TCGA-CU-A5W6-01A,0.012,0.000,0.003,0.003,0.000,0.000,0.889,0.003,0.025,0.007,0.012,0.032,0.000,0.000,0.013,0.000
TCGA-CF-A47Y-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.000,0.029,0.000,0.017,0.004,0.000,0.000,0.000,0.000
TCGA-UY-A78K-01A,0.018,0.063,0.043,0.021,0.001,0.001,0.660,0.037,0.024,0.008,0.029,0.092,0.000,0.000,0.003,0.001
TCGA-E7-A7DU-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.939,0.000,0.041,0.000,0.016,0.003,0.000,0.000,0.000,0.000
TCGA-XF-AAMT-01A,0.009,0.000,0.011,0.003,0.000,0.000,0.541,0.001,0.054,0.275,0.027,0.067,0.002,0.003,0.005,0.001
TCGA-FD-A3SJ-01A,0.001,0.001,0.013,0.000,0.000,0.000,0.770,0.001,0.035,0.052,0.053,0.067,0.005,0.000,0.001,0.000
TCGA-GU-A764-01A,0.027,0.000,0.012,0.017,0.000,0.000,0.664,0.017,0.037,0.115,0.028,0.070,0.001,0.000,0.011,0.001
TCGA-CF-A9FF-01A,0.001,0.032,0.001,0.001,0.000,0.000,0.878,0.000,0.038,0.002,0.036,0.011,0.000,0.000,0.000,0.000
TCGA-FD-A5BS-01A,0.143,0.001,0.038,0.056,0.022,0.000,0.174,0.052,0.030,0.249,0.012,0.216,0.000,0.000,0.005,0.002
TCGA-GD-A76B-01A,0.045,0.000,0.032,0.008,0.000,0.000,0.749,0.029,0.037,0.001,0.022,0.075,0.000,0.000,0.001,0.000
TCGA-FJ-A3Z7-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.602,0.000,0.265,0.001,0.120,0.003,0.000,0.000,0.000,0.007
TCGA-FD-A43X-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.936,0.000,0.037,0.000,0.017,0.008,0.001,0.000,0.000,0.000
TCGA-BT-A42C-01A,0.000,0.000,0.002,0.002,0.005,0.000,0.936,0.000,0.029,0.001,0.013,0.010,0.000,0.000,0.002,0.000
TCGA-K4-A3WS-01A,0.009,0.001,0.014,0.025,0.000,0.000,0.408,0.023,0.070,0.323,0.044,0.075,0.006,0.000,0.001,0.001
TCGA-E7-A3Y1-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.901,0.000,0.060,0.000,0.032,0.007,0.000,0.000,0.000,0.000
TCGA-XF-A9T2-01A,0.000,0.000,0.003,0.000,0.015,0.000,0.678,0.002,0.044,0.214,0.009,0.022,0.012,0.000,0.000,0.000
TCGA-GU-AATP-01A,0.007,0.000,0.003,0.018,0.000,0.000,0.633,0.001,0.027,0.185,0.020,0.102,0.002,0.000,0.001,0.000
TCGA-UY-A78O-01A,0.009,0.001,0.007,0.000,0.000,0.000,0.899,0.003,0.020,0.016,0.022,0.022,0.000,0.000,0.000,0.000
TCGA-ZF-A9R3-01A,0.010,0.000,0.012,0.001,0.000,0.000,0.883,0.018,0.016,0.011,0.014,0.031,0.001,0.000,0.001,0.001
TCGA-CF-A1HS-01A,0.000,0.000,0.006,0.004,0.001,0.000,0.873,0.021,0.040,0.011,0.003,0.039,0.000,0.000,0.001,0.001
TCGA-GU-A42P-01A,0.001,0.000,0.000,0.002,0.000,0.000,0.941,0.000,0.025,0.000,0.020,0.011,0.000,0.000,0.001,0.000
TCGA-YC-A9TC-01A,0.000,0.000,0.001,0.000,0.009,0.000,0.922,0.000,0.008,0.001,0.019,0.038,0.000,0.000,0.002,0.000
TCGA-XF-A9SX-01A,0.007,0.000,0.020,0.010,0.012,0.000,0.495,0.057,0.033,0.245,0.011,0.108,0.001,0.000,0.000,0.001
