"","T Cells","Fibroblasts","Macrophages","Cancer Cells","B Cells","Endothelial Cells","Mast Cells","DC"
"TCGA.C8.A138.01A",0.00181040713933034,0.506693903805188,0.0845053884183698,0.128905212733333,0,0.276838793135619,0.000549326035922348,0.000696968732237607
"TCGA.E2.A14Q.01A",0.00143955299180782,0.348643734757499,0.00450789187122047,0.274946445608304,0,0.368434937206524,0.00202743756464492,0
"TCGA.A2.A0YL.01A",0,0.54826263931573,0.0215111047450773,0.130618996196489,0,0.29752006606415,0.000716770949005053,0.00137042272954744
"TCGA.PL.A8LY.01A",0.0346853678293788,0.0412431064396525,0.000905698823618764,0.562385138075074,0.000589187032381952,0.351116751523755,0.00144933392730914,0.00762541634882979
"TCGA.GM.A2DK.01A",0.00316338035497542,0.278311668947479,0.0738369415468961,0.16212391941745,0,0.481399947938655,0.00116414179454431,0
"TCGA.B6.A0RO.01A",0.000652480246904718,0.15649055381225,0.0111292989514229,0.435143811485966,0.00132532245010651,0.394230381059257,0.00102815199409302,0
"TCGA.D8.A142.01A",0,0.627140582150202,0.0473100928533587,0.083489170985463,0,0.240618475090753,0,0.00144167892022372
"TCGA.C8.A8HP.01A",0.00233325602411416,0.28078882799886,0.166539931786807,0.281527704916159,0.00073495173344882,0.267270964774084,0.000165865867865359,0.000638496898661618
"TCGA.E9.A24A.01A",0,0.539763430931632,0.0828741935298091,0.0346107285842291,0,0.339891873188845,0.000390552285289368,0.00246922148019618
"TCGA.AO.A0JE.01A",0,0.67998872270578,0.0624131466276661,0.0578509050527429,0,0.197803405190048,7.65910724582291e-05,0.00186722935130481
"TCGA.AR.A1AU.01A",0,0.486935261564407,0.00668467652203014,0.209951262183247,0,0.295028818363013,0.00139998136730342,0
"TCGA.E9.A1QZ.01A",0,0.231440029033334,0.054083718446979,0.179552456210382,0,0.53014379670102,0.00477999960828518,0
"TCGA.AR.A1AQ.01A",0.00875173006343861,0.237865190500553,0.121368364582763,0.23018955901047,0.0545613106146868,0.347263845228089,0,0
"TCGA.A2.A25A.01A",0,0.449603339792573,0.0299974645992872,0.0606755960932755,0,0.452617103087463,0.00563891894604087,0.00146757748136094
"TCGA.E2.A10E.01A",0,0.462495881653866,0.0182910257487142,0.224910228571762,0,0.293806828691631,0.000496035334026339,0
"TCGA.C8.A3M7.01A",0.000974227507583654,0.17555245113648,0,0.164945536472962,1.25361314636985e-05,0.655295050833375,0.00322019791813494,0
"TCGA.AQ.A1H3.01A",0.000363034686703979,0.500887170887721,0.0193166674087397,0.108313787942334,0.000324059427475984,0.367941640869107,0.0018105059898823,0.00104313278803634
"TCGA.E9.A247.01A",0,0.320228535746676,0.0023458601111906,0.415648437902831,0,0.259365568381934,0.00241159785736807,0
"TCGA.AN.A0FF.01A",0.00150098848257187,0.425512506045539,0.071269240353835,0.0941693638023517,0,0.405659552494681,0.00188834882102154,0
"TCGA.A2.A0YH.01A",0.00132727161370447,0.503955350135573,0.129194429642313,0.145398521573005,0,0.218490989280952,0,0.00163343775445326
"TCGA.E9.A1RH.01A",0,0.557951013311494,0.0291693899376803,0.224881971281133,0,0.187528731681935,0.000468893787757983,0
"TCGA.AR.A2LE.01A",0,0.205258893055661,0,0.476576632679998,0,0.318164474264341,0,0
"TCGA.E9.A1N3.01A",0,0.11893038391368,0.000599911965361801,0.50894057118231,0.00111753842153385,0.368441941395087,0.00196965312202717,0
"TCGA.MS.A51U.01A",0,0.650313273918757,0.0156876150894349,0.101172606823668,0,0.231366957491598,4.61102579074908e-06,0.00145493565075136
"TCGA.A8.A07F.01A",0,0.482021125060733,0.0438519126348888,0.123990231997452,0,0.346956268042368,0.00234523402333433,0.000835228241223517
"TCGA.A8.A08A.01A",0,0.524506381752812,0.0831706567627472,0.171233465000436,0,0.213927332041904,0.000577645640588751,0.00658451880151167
"TCGA.D8.A1JE.01A",0,0.788434078322206,0.0396689453929407,0.0472434135597362,0,0.124534643896882,7.24716951718226e-05,4.64471330630363e-05
"TCGA.LL.A6FR.01A",0,0.545914509206126,0.0329433313121464,0.344238572346075,0,0.0769035871356524,0,0
"TCGA.E9.A22D.01A",0.113882406458874,0.221790703909084,0.213297633409938,0.147619791576375,0,0.301318288777096,0.00209117586863396,0
"TCGA.A2.A0SX.01A",0.00369666186093573,0.505897512001036,0.0599492534640631,0.102026707975514,0,0.327217978359195,0.000436829331672151,0.00077505700758384
"TCGA.EW.A1PH.01A",0.00393608559273638,0.191921428857708,0.00863375752804473,0.478702447430603,0.000225559701676438,0.316402548776591,0.000178172112640357,0
"TCGA.AN.A0FK.01A",0,0.371574489339239,0.00794625556154815,0.354846002346548,0.000680114335644814,0.263776160473936,0.00117697794308318,0
"TCGA.A2.A0CX.01A",0,0.540947428809443,0.0608409840372485,0.200003750010548,0,0.196425549678424,0,0.00178228746433629
"TCGA.E2.A158.01A",0.00183631695669373,0.0497758021682487,0,0.685606122676369,0.000818177291694015,0.261513371102972,0,0.000450209804022991
"TCGA.D8.A1X6.01A",0.00212883034970992,0.132685178491898,0.092812073124515,0.495438925984951,7.54087165695724e-05,0.2763601747146,0.000499408617756497,0
"TCGA.EW.A1P7.01A",0,0.334617013411497,0.0703117356066036,0.0658961799645084,0,0.477625249667943,0.00103353023685391,0.0505162911125944
"TCGA.B6.A0IG.01A",0.000599803813905952,0.382110691948904,0.00237033269972783,0.400687658900453,0.000766817246153428,0.212577425166769,0.000887270224086619,0
"TCGA.A7.A4SA.01A",0,0.482419440073291,0.0567462398969147,0.14017529721213,0,0.318733733162159,0.000586921467244997,0.00133836818825939
"TCGA.D8.A1JP.01A",0,0.614857756122978,0.0490539557422999,0.126915542749381,0,0.204764579963106,8.25360509528419e-05,0.00432562937128141
"TCGA.C8.A1HN.01A",0,0.354991262369254,0.053041960121761,0.324579258211288,0,0.266117658867589,0.00126986043010848,0
"TCGA.D8.A1XK.01A",0.00127182646501344,0.0744033108215992,0.0613356424572782,0.374544777627715,0,0.488227608096682,0.000216834531712358,0
"TCGA.E9.A22A.01A",0,0.799156858484859,0.06057784106257,0.000531885716154182,0,0.139058603295404,0,0.000674811441013433
"TCGA.AO.A12H.01A",0,0.102038482766474,0.0213024159491532,0.511112333584855,0,0.365546767699517,0,0
"TCGA.D8.A1Y2.01A",0,0.583393889262673,0.138105911152155,0.110952380641785,0,0.165026207376505,0.000146570543682411,0.00237504102319996
"TCGA.D8.A1XW.01A",0.00185829268373883,0.207128308136194,0.107253023829934,0.0501478437605648,0.000639283210279601,0.632046874783597,0.000221363546143105,0.000705010049548828
"TCGA.OL.A5RZ.01A",0,0.0856056502152357,0.00540424958262411,0.800462103954977,0,0.108527996247163,0,0
"TCGA.BH.A42V.01A",0.00275119002882822,0.333100715911689,0.00655632351466552,0.29716617324583,0,0.360113244365204,0.000312352933783674,0
"TCGA.BH.A0B7.01A",0.00106920332741667,0.421534143856217,0.0483016941267884,0.101620138130724,0,0.425877997400938,0.0012121360661094,0.000384687091807172
"TCGA.C8.A1HO.01A",0,0.19998693384569,0.00541753018156151,0.377975580321344,0,0.416619955651405,0,0
"TCGA.A8.A09A.01A",0,0.56898066736766,0.0138565100843396,0.125225347882281,0,0.289940583043476,0.00198079120309939,1.61004191436947e-05
"TCGA.AO.A129.01A",0,0.224067092926287,0.0698427492557796,0.39286528475484,0,0.313224873063093,0,0
"TCGA.AO.A03O.01A",0,0.164494991254271,0.0570547388180844,0.407197007501148,0,0.371253262426497,0,0
"TCGA.E2.A10A.01A",0,0.515665462058701,0.018400874118228,0.103355014866974,0,0.361934385102521,0.00064426385357626,0
"TCGA.A8.A09E.01A",9.5255836145342e-05,0.258071746818686,0.0136593745116655,0.426586729573485,0.000606787757015656,0.299880886286728,0.00109921921627445,0
"TCGA.AC.A3YJ.01A",0,0.0832207907240129,0.0788733394174883,0.53186907035879,0.000605295149632905,0.304633692922915,0.000797811427160571,0
"TCGA.EW.A1IX.01A",0,0.781881132366254,0.019134081287663,0.0354601027821167,0,0.163143861433311,0,0.000380822130655353
"TCGA.A8.A09N.01A",0.0010414697509651,0.435934048225812,0.0121259860871636,0.308706280389701,0,0.241064719062941,0.00112749648341773,0
"TCGA.AO.A0J6.01A",0,0.0945834357420514,0.137946400909418,0.365735118255626,0,0.401735045092905,0,0
"TCGA.AN.A0FJ.01A",0.00297453689194252,0.289812198278883,0.00532655513516912,0.313062483310041,0,0.388211936025953,0.000544586853812657,6.77035041981979e-05
"TCGA.BH.A1ES.01A",0,0.69638514328845,0,0.114585960343135,0,0.186038374440032,0.00221278297587086,0.000777738952511645
"TCGA.BH.A0E1.01A",0,0.415711131007287,5.83141342392919e-05,0.260909028580111,0,0.322052695774792,0.00126883050357084,0
"TCGA.4H.AAAK.01A",0,0.773910972833236,0.0211642897413436,0.0782166685201569,0,0.126094097142768,0,0.00061397176249546
"TCGA.EW.A6S9.01A",0,0.644122037377186,0.0156152915723192,0.169122952252112,0,0.17077190311908,0,0.000367815679302447
"TCGA.D8.A1JM.01A",0.000430425632613506,0.0130192859949637,0.00105891841866772,0.65289092582542,0,0.33173520896406,0.000865235164275311,0
"TCGA.A7.A4SF.01A",0,0.282798421732427,0.041701087822893,0.478053653708266,0,0.197446836736413,0,0
"TCGA.A8.A08R.01A",0.00398903761825638,0.337733793024056,0.0994443400619234,0.138536136372948,0,0.419657758227922,0.000109618227082503,0.000529316467811733
"TCGA.D8.A146.01A",0,0.650973752174244,0.0260289551006644,0.0664647773477504,0,0.255243286810859,0,0.00128922856648278
"TCGA.D8.A1X5.01A",0,0.546416606501675,0.0592482167197642,0.157570876677155,0,0.235598522338198,0.00116577776320818,0
"TCGA.A2.A1FV.01A",0,0.227335718826722,0.000675336807928541,0.292404212024414,0,0.475715864858511,0.00386886748242385,0
"TCGA.A2.A0CK.01A",0.00192978286589892,0.29901291626108,0.0452222731051981,0.322627637258044,0,0.326172998551698,0.00223265450226829,0.00280173745581362
"TCGA.E2.A1IL.01A",0,0.591588217455425,0,0.0937747850889939,0,0.314134483421648,0.00050251403393324,0
"TCGA.B6.A0X7.01A",0,0.570716241859736,0.00283688443736868,0.164560838173433,0,0.260688051164047,0.000804619722776493,0.000393364642639463
"TCGA.B6.A2IU.01A",0,0.244213765097397,0.010340252932408,0.426886653179255,0.000154169188444042,0.317128835652569,0.00127632394992757,0
"TCGA.B6.A0WS.01A",0.00263050113035682,0.536164647590095,0.0492648998002341,0.109002258557454,0,0.30147146135022,0.000350759635548479,0.00111547193609179
"TCGA.E2.A1IO.01A",0,0.794691944714746,0.00742097676010803,0.0181914611635303,0,0.178607292096728,0,0.00108832526488765
"TCGA.AC.A5EH.01A",0,0.679851946957972,0.0540464542041427,0.109822537711378,0,0.155107750832462,0.000138332047723393,0.00103297824632203
"TCGA.AC.A3BB.01A",0,0.637815677358432,0.0579681812142514,0.0674857607816247,0,0.227441215741395,0,0.00928916490429678
"TCGA.AR.A0TQ.01A",0.00428704665125017,0.252700424563218,0.0571771727555674,0.240911508250185,0,0.444234521638421,0.000689326141357629,0
"TCGA.D8.A1JK.01A",0.00365229488287352,0.429334296340317,0.128613298876027,0.127037675252382,0.000822924394023726,0.310021889219549,0.000264613323141144,0.000253007711687559
"TCGA.D8.A1X7.01A",0,0.360923553463425,0.00848820856680701,0.122379719443243,0.0012220739816808,0.505357521740739,0.00162892280410506,0
"TCGA.AO.A1KQ.01A",0.000994150619802019,0.332481119280914,0.0726087226989375,0.451700247110277,0.000143326002060289,0.141312107639632,0.00033069090028177,0.000429635748095266
"TCGA.PL.A8LX.01A",0,0.10172386631085,0.0457471697542327,0.356271692112802,0,0.496257271822115,0,0
"TCGA.AR.A2LH.01A",0.00255476842551036,0.195493873968768,0.121233011322527,0.184080911034105,0.000251956320235355,0.49419317143222,0.000952085642878476,0.00124022185375599
"TCGA.BH.A0B8.01A",0,0.322148200393229,0.00657616306897221,0.412804114407767,6.70086964587167e-05,0.254995397561674,0.00340911587189963,0
"TCGA.A2.A3KD.01A",0,0.266943835044995,0.0110649122777931,0.322964344699594,0.00169889993985476,0.395673590762001,0.00165441727576324,0
"TCGA.A2.A0D4.01A",0,0.128155097897528,0,0.468455994267524,0,0.401761646444987,0.00162726138996117,0
"TCGA.D8.A27R.01A",0,0.314888673548222,0.0577716114994044,0.379431497681954,0,0.24790821727042,0,0
"TCGA.E2.A1IE.01A",0,0.251480730343475,0.000888235902169146,0.411554957028506,0,0.335301060827595,0.000775015898254094,0
"TCGA.EW.A1J3.01A",0,0.347256983731555,0.0415351977107027,0.343273969676339,0,0.266850008025907,0.000633000196104819,0.000450840659391867
"TCGA.BH.A18Q.01A",0.000317997480152267,0.104832978515205,0.0323017076603866,0.337240448859465,0.000588931242624355,0.481160619280898,0.000213536670990566,0.0433437802902785
"TCGA.B6.A1KI.01A",0,0.395053891916512,0,0.153409720913382,0,0.450782411820447,0.000753975349658995,0
"TCGA.A7.A26G.01A",0,0.736651366865339,0.0360238914462833,0.00368211703408354,0,0.223012457364858,0,0.000630167289436161
"TCGA.AO.A03M.01B",0.00320605008340711,0.261744577146622,0.101773600790987,0.271427328548885,7.73814507526269e-05,0.361124291962722,0.000139649345066996,0.00050712067155637
"TCGA.A2.A0CS.01A",0,0.681740615153643,0.0404886572149856,0.138273093042703,0,0.127153201791637,0,0.0123444327970304
"TCGA.C8.A12W.01A",0,0.662646578435128,0.0464713679070269,0.113241911875589,0,0.177265256442319,0,0.000374885339937476
"TCGA.E2.A1IU.01A",0.00169398953981088,0.145299665905712,0.0147163354559421,0.463205153833663,0,0.373181907324505,0.00190294794036662,0
"TCGA.B6.A0I9.01A",0,0.18193085093002,0.0398082407485128,0.460138628761097,0,0.317969782227024,0.000152497333345344,0
"TCGA.AO.A128.01A",0.0431512255480792,0.118760462428887,0.36885055725343,0.0313633654161143,0,0.43787438935349,0,0
"TCGA.A7.A3J0.01A",0.00263839698539233,0.0675279671370237,0.0481775000300426,0.365486633408346,0.00187986918702078,0.513963587127165,0.000326046125008827,0
"TCGA.E9.A1NE.01A",0.00422471109762261,0.293855437274053,0.103927948601548,0.0918259273079724,0,0.504017481500086,0.00195646050412769,0.000192033714590157
"TCGA.AC.A2FB.01A",0,0.200437021017782,0.0531042291963481,0.197205209857606,0,0.493318736895572,0.0167531523223529,0.0391816507103388
"TCGA.AR.A5QP.01A",0,0.54010177331383,0.0230835199046158,0.241534452230277,0,0.194093540383866,0.0011867141674107,0
"TCGA.A2.A0T4.01A",0,0.566797578893534,0.0454244958242372,0.105127335521925,0,0.275488085884492,0.00491094811320705,0.00225155576260535
"TCGA.BH.A0BL.01A",0,0.686896530495438,0.0568932867282203,0.01667679667341,0,0.237838468928068,0,0.00169491717486349
"TCGA.BH.A0HY.01A",0,0.494849115877241,0,0.283113315273273,0,0.221745685957139,0.000186832569019654,0.000105050323327567
"TCGA.E9.A2JT.01A",0.211765652536672,0.131132783314741,0.062398198642287,0.0478182649317414,0,0.498366227058446,0.00210863399201064,0.0464102395241008
"TCGA.A7.A3IY.01A",0,0.26718117230839,0.103186691634264,0.170445938554519,0,0.457135063653534,0.00205113384929293,0
"TCGA.A8.A085.01A",0,0.568644764325514,0,0.173893514804773,0,0.256047554273629,0.00117750351017752,0.000236663085905971
"TCGA.AO.A12B.01A",0,0.0878864305041017,0.00217344719696582,0.531444621248151,0.00092378124782518,0.376390700505875,0.0011810192970817,0
"TCGA.A8.A06Y.01A",0,0.158153946617728,0.000598973369979991,0.480214049278583,0,0.360383574825017,0.000649455908691461,0
"TCGA.A8.A09I.01A",0.00408459886209717,0.362603738974562,0.0912396645936676,0.257567524521222,1.11976415856398e-05,0.283883579630188,0.000609695776677356,0
"TCGA.A8.A0A2.01A",0,0.47703993155741,0.0515903590431778,0.203972400251506,0,0.265418085545265,0.00118192625582926,0.000797297346811686
"TCGA.AC.A2FE.01A",0.000699754355388077,0.50031710124961,0.104308089047613,0.075307113897998,0,0.316191153902405,0.000716767379040325,0.00246002016794526
"TCGA.A7.A13D.01B",0,0.495620254534979,0.000179172333854511,0.103118121297919,0,0.400321946051349,0.000435637626146255,0.000324868155752366
"TCGA.A8.A08J.01A",0,0.536359641346356,0.0430710964535397,0.182564322040022,0,0.237541590007065,0.000463350153016889,0
"TCGA.5T.A9QA.01A",0.00144136115041512,0.0242349355420112,0.0351099815694172,0.563288734817792,0,0.375604615175637,0.000320371744727615,0
"TCGA.A1.A0SQ.01A",0.00017912838777056,0.12860966763751,0.0173669072207959,0.497894777397573,0.000703556391563285,0.351733752773581,0.00351221019120617,0
"TCGA.AC.A3QP.01A",0,0.444195831543722,0.0561685298898016,0.317506884922283,0,0.155325338395141,0.000322565381177604,0.0264808498678755
"TCGA.D8.A1JB.01A",0,0.241047975447733,0.0825940695511578,0.186013204428996,0.0087052918018584,0.47384305485307,0.00779640391718533,0
"TCGA.BH.A18S.01A",0,0.126191973516336,0.0313777037300197,0.504928860340667,0,0.336056659761695,0.00144480265128328,0
"TCGA.A2.A0CW.01A",0,0.191788478320499,0.0661482884813552,0.39168072336548,0,0.350382509832665,0,0
"TCGA.A8.A09K.01A",0,0.0561425983955506,0.0541404625234219,0.567441194637615,0,0.309042871951839,0.0132328724915738,0
"TCGA.E9.A22G.01A",0,0.0883600508202116,0.00183887553842619,0.656463185943339,0,0.253337887698023,0,0
"TCGA.E2.A573.01A",0.00474489445798559,0.169640087319829,0.0916355929621429,0.298949099165437,0,0.434795092239897,0.000235233854708777,0
"TCGA.AR.A0TP.01A",0,0.140069412620845,0.00810418239658215,0.429087009055985,0,0.422739395926587,0,0
"TCGA.AO.A1KT.01A",0,0.529597175192243,0.0544291873975187,0.213969860691203,0,0.200614616960718,0.000236596556580026,0.00115256320173712
"TCGA.BH.A203.01A",0.000154584851217511,0.330291484010496,0.0914527798405425,0.381875080178919,0,0.195845122021509,0.000380949097315478,0
"TCGA.B6.A0RM.01A",0,0.165596610104287,0.00547216402530629,0.612487056652455,0.000256764555725664,0.207772948472097,0.00841445619012925,0
"TCGA.A1.A0SP.01A",0.00162672254103797,0.232355215009126,0.0654640722522522,0.468036879378795,0.000230092227197336,0.231091063477496,0.000752934323254373,0.000443020790841631
"TCGA.A1.A0SB.01A",0,0.206537268812541,0,0.307779434423155,0,0.485350662264765,0.000257504623514149,7.51298760247276e-05
"TCGA.AC.A6IV.01A",0,0.612816235890887,0.0607739814008655,0,0,0.324448673266106,0,0.00196110944214135
"TCGA.OL.A5RY.01A",0.00374240918732391,0.47085152523963,0.106138673715328,0.102968491216978,0,0.314600055425367,0.00115109942808304,0.000547745787290575
"TCGA.LL.A7SZ.01A",0,0.188673024578847,0.154600221267346,0.370809325277848,0.185666353446325,0.100251075429635,0,0
"TCGA.AO.A03R.01A",0,0.0912937871327971,0.0380089815841368,0.552403557591495,0,0.311813517401942,0,0.0064801562896294
"TCGA.EW.A1PD.01A",0,0.577059726937751,0,0.0640443420347905,0,0.357783195793456,0.000979785929453711,0.000132949304548481
"TCGA.BH.A1FG.01A",0,0.184367336109084,0.0197504619479345,0.590374107244842,0,0.202799458642103,0.00270863605603611,0
"TCGA.AO.A0JA.01A",0,0.679188772867414,0.0511874213714332,0.0407138234395499,0,0.228087714158067,4.4868411091365e-05,0.000777399752444434
"TCGA.A2.A04T.01A",0,0.0819489573739269,0.0572397872770925,0.562285667734568,0,0.295474810736972,0,0.00305077687744112
"TCGA.BH.A0DH.01A",5.83875649672866e-05,0.255485660872576,0.0524066332749858,0.343686870112836,0.000977988328739346,0.34423465821607,0.00314980162982525,0
"TCGA.D8.A1XF.01A",0,0.124268794242851,0.000770299803503663,0.499221327947838,0,0.375739578005808,0,0
"TCGA.A8.A06T.01A",0,0.384453076116822,0.0254560267088247,0.312462019878394,0,0.27762887729596,0,0
"TCGA.LL.A50Y.01A",0.00032931017721934,0.194107858988668,0.0919987962800775,0.468925171220214,0.00118948193049808,0.234153211904002,0.000595113036535677,0.00870105646278586
"TCGA.E9.A3QA.01A",0,0.166290583765838,0.184890120857589,0.268468895103016,0,0.345514447193415,0,0.0348359530801426
"TCGA.EW.A2FW.01A",0,0.29672070428521,0.00996926221294221,0.374201151978179,0,0.319108881523669,0,0
"TCGA.AR.A2LN.01A",0,0.653110805140049,0.0153467538637809,0.0206539917552884,0,0.304450727794922,0.00536479055188114,0.00107293089407859
"TCGA.E9.A22B.01A",0,0.4424479200275,0.0162189067540835,0.268151248019733,0,0.273181925198684,0,0
"TCGA.A8.A07P.01A",0,0.394278029917261,0.0365735636182735,0.384944205654372,0,0.181676099587051,0.0025281012230429,0
"TCGA.A8.A06Z.01A",0,0.102910802689191,0.0127750214192181,0.601888332685851,0,0.2813645518457,0.00106129136004015,0
"TCGA.LL.A740.01A",0,0.622292113191213,0.0194541501962943,0.0920595053574811,0,0.264792945948928,0.000425479026657329,0.000975806279425827
"TCGA.A7.A0CE.01A",0.00203796187460985,0.156747959597921,0.00512950487868956,0.405283010777757,0,0.430056763724997,0.000744799146025649,0
"TCGA.A8.A08L.01A",0.0025585213398728,0.293766847383789,0.0555981394746072,0.293068787212633,0,0.354388879483267,0.000461399754886045,0.000157425350946079
"TCGA.A8.A06Q.01A",0.000745583837645789,0.0480874945836047,0.0126215469756658,0.691419886529955,0.00151664913777931,0.243505925827102,0.00210291310824701,0
