,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-KN-8436-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.008,0.000,0.006,0.000,0.002,0.002,0.000,0.000,0.974,0.974
TCGA-KN-8424-01A,0.000,0.001,0.009,0.000,0.000,0.000,0.000,0.046,0.000,0.009,0.148,0.004,0.001,0.000,0.000,0.782,0.782
TCGA-KO-8406-01A,0.000,0.001,0.000,0.000,0.000,0.000,0.012,0.021,0.000,0.021,0.021,0.000,0.000,0.000,0.000,0.923,0.923
TCGA-KM-8438-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.059,0.000,0.036,0.019,0.000,0.000,0.000,0.000,0.884,0.884
TCGA-KN-8418-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.003,0.016,0.000,0.017,0.018,0.002,0.001,0.000,0.000,0.942,0.942
TCGA-KL-8335-01A,0.002,0.000,0.000,0.000,0.000,0.000,0.005,0.005,0.000,0.017,0.012,0.000,0.000,0.000,0.000,0.960,0.960
TCGA-KL-8345-01A,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.016,0.000,0.028,0.004,0.000,0.000,0.000,0.000,0.948,0.948
TCGA-KO-8407-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.017,0.057,0.000,0.027,0.039,0.009,0.003,0.000,0.000,0.845,0.845
TCGA-KN-8421-01A,0.019,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.003,0.002,0.000,0.000,0.000,0.000,0.974,0.974
TCGA-KO-8415-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.006,0.000,0.012,0.039,0.000,0.005,0.000,0.000,0.937,0.937
TCGA-KM-8476-01A,0.002,0.000,0.001,0.000,0.000,0.000,0.001,0.007,0.000,0.027,0.011,0.000,0.000,0.000,0.000,0.951,0.951
TCGA-KO-8408-01A,0.000,0.000,0.003,0.000,0.000,0.000,0.001,0.013,0.000,0.049,0.023,0.002,0.000,0.000,0.000,0.909,0.909
