,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-UF-A71D-01A,0.005,0.001,0.002,0.006,0.000,0.000,0.917,0.010,0.035,0.002,0.003,0.001,0.004,0.000,0.001,0.015
TCGA-CV-A464-01A,0.004,0.000,0.019,0.006,0.005,0.000,0.607,0.028,0.089,0.156,0.051,0.028,0.004,0.000,0.001,0.001
TCGA-CV-A6JD-01A,0.000,0.000,0.017,0.026,0.000,0.000,0.767,0.085,0.021,0.029,0.002,0.049,0.001,0.000,0.002,0.000
TCGA-CQ-7071-01A,0.008,0.000,0.007,0.025,0.000,0.000,0.807,0.018,0.037,0.069,0.001,0.024,0.002,0.000,0.001,0.001
TCGA-UF-A7J9-01A,0.001,0.000,0.009,0.008,0.000,0.000,0.636,0.011,0.036,0.237,0.005,0.054,0.000,0.000,0.001,0.001
TCGA-CQ-6225-01A,0.000,0.000,0.002,0.002,0.000,0.000,0.944,0.010,0.014,0.003,0.014,0.004,0.002,0.000,0.000,0.003
TCGA-MT-A51X-01A,0.003,0.000,0.012,0.002,0.001,0.000,0.825,0.011,0.059,0.050,0.026,0.004,0.003,0.000,0.001,0.000
TCGA-BA-5152-01A,0.003,0.000,0.037,0.019,0.001,0.000,0.779,0.042,0.046,0.036,0.002,0.031,0.003,0.000,0.002,0.001
TCGA-CQ-7065-01A,0.000,0.000,0.002,0.002,0.000,0.000,0.934,0.004,0.011,0.012,0.027,0.002,0.003,0.000,0.002,0.000
TCGA-CQ-6229-01A,0.003,0.000,0.014,0.009,0.014,0.000,0.812,0.014,0.048,0.025,0.030,0.023,0.003,0.000,0.003,0.000
TCGA-CN-A63U-01A,0.000,0.000,0.002,0.005,0.000,0.000,0.960,0.005,0.018,0.005,0.001,0.001,0.002,0.000,0.001,0.000
TCGA-CV-6940-01A,0.000,0.000,0.012,0.009,0.000,0.000,0.834,0.016,0.014,0.077,0.016,0.019,0.001,0.000,0.000,0.000
TCGA-H7-8501-01A,0.000,0.000,0.015,0.083,0.003,0.000,0.673,0.012,0.049,0.043,0.001,0.115,0.001,0.000,0.003,0.000
TCGA-QK-A8ZB-01A,0.032,0.000,0.004,0.001,0.003,0.000,0.725,0.009,0.045,0.143,0.015,0.015,0.004,0.000,0.001,0.002
TCGA-CR-6481-01A,0.039,0.048,0.065,0.019,0.030,0.000,0.485,0.073,0.063,0.040,0.006,0.121,0.004,0.001,0.002,0.004
