,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-E1-A7YE-01A,0.000,0.000,0.002,0.001,0.000,0.001,0.594,0.000,0.069,0.000,0.002,0.326,0.000,0.000,0.003,0.000
TCGA-CS-5393-01A,0.000,0.001,0.000,0.000,0.001,0.002,0.766,0.017,0.049,0.000,0.019,0.142,0.000,0.000,0.002,0.000
TCGA-HT-7858-01A,0.000,0.003,0.000,0.000,0.000,0.001,0.740,0.015,0.037,0.000,0.020,0.181,0.000,0.000,0.003,0.000
TCGA-DU-A76L-01A,0.000,0.000,0.001,0.001,0.004,0.001,0.575,0.000,0.096,0.049,0.075,0.192,0.003,0.000,0.004,0.000
TCGA-FG-8188-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.837,0.000,0.046,0.000,0.013,0.104,0.000,0.000,0.001,0.000
TCGA-HT-7480-01A,0.000,0.002,0.000,0.000,0.006,0.009,0.875,0.009,0.030,0.000,0.034,0.035,0.000,0.000,0.000,0.000
TCGA-FG-5965-01B,0.000,0.000,0.000,0.000,0.001,0.006,0.765,0.013,0.055,0.000,0.050,0.100,0.000,0.000,0.009,0.000
TCGA-W9-A837-01A,0.000,0.000,0.000,0.000,0.007,0.010,0.886,0.007,0.022,0.000,0.030,0.036,0.000,0.000,0.001,0.000
TCGA-HT-7485-01A,0.000,0.002,0.000,0.000,0.002,0.000,0.844,0.000,0.016,0.000,0.004,0.128,0.000,0.000,0.001,0.000
TCGA-HT-8011-01A,0.000,0.000,0.000,0.000,0.004,0.001,0.851,0.001,0.063,0.001,0.016,0.060,0.000,0.000,0.001,0.000
TCGA-DU-A7TC-01A,0.000,0.000,0.000,0.000,0.008,0.006,0.880,0.007,0.025,0.000,0.024,0.047,0.001,0.000,0.001,0.000
TCGA-DU-A76R-01A,0.000,0.000,0.001,0.000,0.002,0.003,0.875,0.001,0.037,0.001,0.033,0.046,0.000,0.000,0.000,0.000
TCGA-DH-5140-01A,0.000,0.000,0.000,0.000,0.004,0.002,0.867,0.013,0.031,0.016,0.014,0.052,0.001,0.000,0.000,0.000
TCGA-TM-A84F-01A,0.000,0.000,0.002,0.000,0.008,0.006,0.616,0.018,0.067,0.000,0.026,0.254,0.001,0.001,0.002,0.000
