,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-86-8280-01A,0.039,0.005,0.044,0.004,0.024,0.000,0.457,0.061,0.091,0.125,0.016,0.126,0.005,0.001,0.001,0.001
TCGA-78-7166-01A,0.026,0.000,0.002,0.005,0.000,0.000,0.919,0.009,0.011,0.012,0.014,0.001,0.000,0.000,0.001,0.000
TCGA-91-8499-01A,0.014,0.001,0.021,0.018,0.010,0.000,0.764,0.002,0.024,0.044,0.013,0.085,0.002,0.000,0.001,0.000
TCGA-71-6725-01A,0.007,0.000,0.001,0.000,0.000,0.000,0.833,0.009,0.045,0.003,0.010,0.092,0.000,0.000,0.000,0.000
TCGA-69-7980-01A,0.006,0.000,0.023,0.032,0.009,0.000,0.633,0.034,0.055,0.069,0.021,0.116,0.001,0.001,0.000,0.000
TCGA-L9-A8F4-01A,0.051,0.010,0.034,0.015,0.034,0.000,0.554,0.025,0.028,0.102,0.013,0.128,0.001,0.000,0.004,0.000
TCGA-05-4433-01A,0.001,0.001,0.029,0.003,0.019,0.000,0.654,0.022,0.033,0.030,0.010,0.194,0.004,0.000,0.000,0.001
TCGA-55-A492-01A,0.036,0.000,0.006,0.000,0.000,0.000,0.825,0.022,0.030,0.005,0.037,0.035,0.000,0.000,0.003,0.000
TCGA-73-4675-01A,0.020,0.000,0.012,0.000,0.000,0.000,0.692,0.024,0.032,0.102,0.020,0.094,0.002,0.000,0.001,0.000
TCGA-50-5936-01A,0.010,0.001,0.028,0.000,0.000,0.000,0.685,0.007,0.046,0.107,0.004,0.108,0.003,0.000,0.001,0.000
TCGA-44-7662-01A,0.023,0.001,0.023,0.026,0.002,0.000,0.512,0.003,0.055,0.228,0.019,0.102,0.004,0.001,0.001,0.000
TCGA-78-7154-01A,0.001,0.000,0.013,0.006,0.001,0.000,0.814,0.014,0.057,0.042,0.012,0.037,0.003,0.000,0.000,0.000
TCGA-05-4244-01A,0.005,0.000,0.012,0.009,0.009,0.000,0.730,0.017,0.036,0.017,0.008,0.153,0.002,0.000,0.001,0.000
TCGA-73-7498-01A,0.027,0.000,0.020,0.005,0.010,0.000,0.620,0.034,0.102,0.059,0.056,0.060,0.006,0.000,0.001,0.001
TCGA-50-5933-01A,0.013,0.000,0.027,0.015,0.002,0.000,0.447,0.002,0.083,0.165,0.010,0.231,0.005,0.000,0.001,0.000
TCGA-55-8507-01A,0.014,0.000,0.009,0.006,0.001,0.000,0.738,0.001,0.060,0.034,0.032,0.092,0.002,0.000,0.009,0.000
TCGA-S2-AA1A-01A,0.114,0.028,0.044,0.010,0.017,0.000,0.360,0.064,0.089,0.193,0.011,0.058,0.007,0.002,0.003,0.001
TCGA-95-7948-01A,0.033,0.000,0.004,0.008,0.003,0.000,0.785,0.027,0.031,0.028,0.017,0.060,0.002,0.000,0.001,0.000
TCGA-67-3774-01A,0.035,0.000,0.028,0.003,0.018,0.000,0.574,0.048,0.076,0.077,0.040,0.096,0.002,0.001,0.002,0.001
TCGA-38-4628-01A,0.005,0.000,0.011,0.000,0.000,0.000,0.684,0.011,0.018,0.081,0.009,0.175,0.005,0.000,0.001,0.000
TCGA-50-6595-01A,0.006,0.001,0.026,0.016,0.000,0.000,0.507,0.007,0.110,0.196,0.027,0.097,0.003,0.001,0.001,0.000
TCGA-55-7903-01A,0.008,0.001,0.003,0.043,0.000,0.000,0.808,0.020,0.027,0.010,0.006,0.069,0.003,0.000,0.000,0.000
TCGA-50-5051-01A,0.030,0.001,0.004,0.005,0.000,0.000,0.810,0.029,0.041,0.031,0.037,0.006,0.002,0.000,0.004,0.000
TCGA-86-6851-01A,0.083,0.009,0.047,0.079,0.018,0.000,0.449,0.035,0.033,0.075,0.007,0.161,0.001,0.001,0.001,0.001
TCGA-75-6205-01A,0.014,0.005,0.034,0.014,0.027,0.000,0.368,0.086,0.079,0.135,0.010,0.217,0.008,0.000,0.001,0.001
TCGA-55-8091-01A,0.029,0.000,0.022,0.011,0.001,0.000,0.488,0.048,0.055,0.165,0.009,0.158,0.006,0.002,0.004,0.000
TCGA-44-4112-01A,0.029,0.001,0.015,0.010,0.000,0.000,0.640,0.013,0.056,0.109,0.014,0.107,0.006,0.000,0.001,0.000
TCGA-44-3917-01A,0.054,0.003,0.008,0.040,0.002,0.000,0.657,0.008,0.022,0.089,0.011,0.100,0.001,0.000,0.004,0.000
TCGA-49-4505-01A,0.033,0.000,0.025,0.001,0.018,0.000,0.547,0.099,0.069,0.057,0.020,0.119,0.009,0.001,0.001,0.001
TCGA-62-8397-01A,0.034,0.000,0.003,0.000,0.000,0.000,0.703,0.105,0.025,0.015,0.003,0.106,0.003,0.000,0.001,0.000
TCGA-50-5942-01A,0.040,0.001,0.019,0.009,0.008,0.000,0.646,0.048,0.042,0.106,0.022,0.040,0.017,0.000,0.001,0.001
TCGA-55-8206-01A,0.027,0.001,0.045,0.000,0.004,0.001,0.459,0.125,0.058,0.076,0.013,0.150,0.016,0.000,0.003,0.022
TCGA-55-8094-01A,0.011,0.000,0.003,0.000,0.000,0.000,0.935,0.001,0.020,0.002,0.023,0.003,0.000,0.000,0.001,0.000
TCGA-05-4382-01A,0.049,0.001,0.031,0.001,0.009,0.000,0.403,0.001,0.048,0.173,0.011,0.266,0.002,0.001,0.003,0.000
TCGA-05-5423-01A,0.017,0.001,0.023,0.000,0.010,0.000,0.566,0.100,0.040,0.034,0.011,0.190,0.005,0.000,0.002,0.001
TCGA-49-AAR4-01A,0.046,0.002,0.023,0.029,0.073,0.000,0.563,0.032,0.031,0.091,0.011,0.094,0.004,0.001,0.001,0.001
TCGA-97-A4M3-01A,0.008,0.000,0.006,0.001,0.001,0.000,0.739,0.028,0.073,0.052,0.051,0.039,0.000,0.000,0.001,0.000
TCGA-05-4397-01A,0.006,0.000,0.026,0.011,0.000,0.000,0.682,0.000,0.036,0.005,0.040,0.190,0.000,0.001,0.002,0.000
TCGA-55-6984-01A,0.017,0.007,0.011,0.000,0.000,0.000,0.852,0.023,0.037,0.022,0.010,0.017,0.003,0.000,0.001,0.000
TCGA-05-4427-01A,0.015,0.001,0.016,0.025,0.003,0.000,0.669,0.011,0.062,0.045,0.010,0.140,0.002,0.000,0.001,0.000
TCGA-86-8281-01A,0.044,0.000,0.012,0.002,0.003,0.000,0.745,0.020,0.053,0.044,0.023,0.048,0.003,0.000,0.002,0.000
TCGA-44-A4SU-01A,0.061,0.017,0.032,0.004,0.011,0.000,0.654,0.043,0.022,0.093,0.011,0.045,0.005,0.001,0.002,0.000
TCGA-75-5147-01A,0.041,0.002,0.034,0.011,0.009,0.000,0.634,0.028,0.026,0.079,0.015,0.108,0.004,0.001,0.006,0.000
TCGA-97-7546-01A,0.024,0.018,0.031,0.008,0.026,0.000,0.462,0.051,0.109,0.143,0.015,0.100,0.010,0.000,0.001,0.001
TCGA-86-8585-01A,0.030,0.010,0.019,0.022,0.011,0.000,0.653,0.020,0.024,0.044,0.013,0.152,0.000,0.000,0.001,0.001
TCGA-55-8301-01A,0.070,0.015,0.030,0.042,0.014,0.000,0.509,0.034,0.038,0.088,0.017,0.140,0.001,0.001,0.001,0.000
TCGA-86-6562-01A,0.015,0.001,0.026,0.002,0.004,0.000,0.574,0.007,0.060,0.150,0.010,0.146,0.004,0.000,0.001,0.000
TCGA-J2-A4AD-01A,0.010,0.000,0.002,0.002,0.000,0.000,0.804,0.005,0.023,0.086,0.018,0.047,0.001,0.000,0.001,0.000
TCGA-50-5946-01A,0.018,0.000,0.001,0.020,0.000,0.000,0.878,0.000,0.029,0.015,0.015,0.021,0.003,0.000,0.000,0.000
TCGA-55-8510-01A,0.022,0.001,0.030,0.018,0.010,0.000,0.480,0.042,0.051,0.113,0.013,0.212,0.005,0.002,0.002,0.001
TCGA-99-8033-01A,0.009,0.000,0.011,0.051,0.000,0.000,0.763,0.011,0.027,0.043,0.013,0.060,0.001,0.000,0.006,0.005
TCGA-69-7978-01A,0.036,0.005,0.033,0.029,0.030,0.000,0.420,0.035,0.053,0.130,0.010,0.211,0.005,0.000,0.002,0.001
TCGA-86-8054-01A,0.003,0.000,0.007,0.002,0.007,0.000,0.869,0.002,0.035,0.042,0.006,0.025,0.002,0.000,0.001,0.000
TCGA-44-7660-01A,0.008,0.000,0.021,0.003,0.002,0.000,0.796,0.007,0.011,0.054,0.008,0.087,0.000,0.000,0.004,0.000
TCGA-78-8662-01A,0.004,0.000,0.000,0.008,0.000,0.000,0.908,0.009,0.012,0.004,0.010,0.042,0.001,0.000,0.001,0.000
TCGA-75-7027-01A,0.020,0.000,0.021,0.000,0.000,0.000,0.695,0.007,0.040,0.160,0.008,0.045,0.002,0.000,0.000,0.000
TCGA-97-A4M6-01A,0.012,0.012,0.062,0.001,0.026,0.000,0.468,0.085,0.049,0.130,0.019,0.124,0.003,0.003,0.005,0.001
TCGA-MP-A4SV-01A,0.034,0.005,0.023,0.040,0.015,0.000,0.655,0.025,0.041,0.063,0.011,0.083,0.003,0.000,0.001,0.000
TCGA-38-4627-01A,0.014,0.000,0.025,0.000,0.006,0.000,0.239,0.029,0.095,0.395,0.029,0.160,0.005,0.000,0.001,0.001
TCGA-93-A4JO-01A,0.038,0.015,0.025,0.027,0.016,0.000,0.534,0.059,0.071,0.079,0.013,0.116,0.004,0.000,0.002,0.001
TCGA-05-4426-01A,0.003,0.000,0.022,0.012,0.003,0.000,0.748,0.008,0.035,0.031,0.002,0.132,0.002,0.001,0.001,0.000
TCGA-97-7937-01A,0.004,0.000,0.001,0.005,0.000,0.000,0.827,0.001,0.020,0.060,0.001,0.078,0.001,0.000,0.001,0.000
TCGA-75-6206-01A,0.011,0.000,0.009,0.000,0.002,0.000,0.679,0.014,0.066,0.057,0.021,0.138,0.003,0.000,0.000,0.000
TCGA-62-A472-01A,0.006,0.001,0.015,0.030,0.009,0.000,0.748,0.037,0.029,0.021,0.010,0.088,0.004,0.000,0.001,0.000
TCGA-97-8174-01A,0.022,0.000,0.029,0.003,0.009,0.000,0.519,0.049,0.120,0.115,0.059,0.065,0.005,0.001,0.002,0.000
TCGA-44-6777-01A,0.036,0.001,0.032,0.000,0.010,0.000,0.231,0.047,0.074,0.221,0.015,0.326,0.004,0.000,0.001,0.001
TCGA-62-A46P-01A,0.027,0.000,0.003,0.003,0.000,0.000,0.816,0.019,0.054,0.019,0.021,0.032,0.001,0.002,0.003,0.000
TCGA-55-8089-01A,0.029,0.005,0.033,0.085,0.000,0.000,0.439,0.026,0.062,0.088,0.008,0.217,0.004,0.002,0.001,0.000
TCGA-MN-A4N5-01A,0.015,0.001,0.025,0.049,0.001,0.000,0.724,0.018,0.046,0.026,0.013,0.079,0.002,0.000,0.001,0.000
TCGA-49-AAR9-01A,0.000,0.000,0.005,0.007,0.000,0.000,0.899,0.004,0.023,0.035,0.000,0.023,0.002,0.000,0.000,0.000
TCGA-86-8671-01A,0.028,0.042,0.064,0.018,0.044,0.000,0.235,0.086,0.097,0.161,0.018,0.196,0.005,0.003,0.003,0.001
TCGA-49-4507-01A,0.024,0.000,0.007,0.047,0.000,0.000,0.761,0.009,0.028,0.013,0.012,0.094,0.002,0.000,0.003,0.000
TCGA-62-A46V-01A,0.011,0.000,0.006,0.000,0.000,0.000,0.697,0.031,0.025,0.111,0.005,0.107,0.005,0.000,0.002,0.000
TCGA-05-4389-01A,0.009,0.000,0.029,0.006,0.020,0.000,0.685,0.047,0.021,0.027,0.013,0.133,0.005,0.000,0.004,0.000
TCGA-50-6592-01A,0.017,0.004,0.021,0.033,0.001,0.000,0.637,0.003,0.035,0.098,0.008,0.137,0.002,0.000,0.003,0.000
TCGA-91-6831-01A,0.044,0.000,0.022,0.012,0.001,0.000,0.611,0.001,0.030,0.152,0.020,0.099,0.001,0.001,0.005,0.000
TCGA-55-6987-01A,0.082,0.030,0.028,0.048,0.022,0.000,0.435,0.018,0.049,0.069,0.014,0.188,0.002,0.003,0.004,0.008
TCGA-49-4510-01A,0.046,0.000,0.006,0.000,0.000,0.000,0.775,0.025,0.053,0.017,0.031,0.044,0.001,0.002,0.001,0.000
TCGA-86-8672-01A,0.035,0.001,0.026,0.035,0.001,0.000,0.628,0.002,0.027,0.116,0.009,0.117,0.000,0.000,0.002,0.000
