,PC1,PC2
s_segment_0_1003,-55.82807527231498,22.54292594972106
s_segment_0_1004,-53.008597055989405,67.99871848789684
s_segment_0_1024,-53.634501875560936,-40.48721572695494
s_segment_0_1027,-62.62032862702546,-35.08940154240483
s_segment_0_1042,-65.98165172688375,-33.21846421673669
s_segment_0_1044,-47.53684638705344,-58.76975142676339
s_segment_0_105,-65.06763654995235,10.407927264173074
s_segment_0_1058,-47.47356041220689,62.017821673342894
s_segment_0_1061,-52.33108837464552,8.257796339212403
s_segment_0_1063,-53.02125184208513,-42.67868283379532
s_segment_0_1083,-41.44313657900118,-55.20078280858946
s_segment_0_1086,-54.13607852226916,60.28302502166465
s_segment_0_1089,-59.86921803950679,-39.146757179781254
s_segment_0_1093,-64.91432619077467,-16.556370615727815
s_segment_0_1100,-56.88440392986107,9.169554275861085
s_segment_0_111,-58.62941369145255,4.166216285874261
s_segment_0_1123,-55.19200990597767,-47.96823029269637
s_segment_0_1128,-57.09535914374009,-31.527019050787285
s_segment_0_1141,-62.489949131836,5.289570146048895
s_segment_0_1143,-56.63156380638832,26.419568819466114
s_segment_0_1160,-37.22118374586635,-49.03594613299688
s_segment_0_1167,-59.126310746575435,-19.5257152771931
s_segment_0_1194,-60.98753264707801,-3.559040707240331
s_segment_0_1203,-54.108826713793405,58.14380118927966
s_segment_0_122,-46.18226103369208,10.451348565197495
s_segment_0_1221,-60.83324055740125,45.32968356127735
s_segment_0_1224,-56.112868880357674,-15.656901700136473
s_segment_0_1242,-60.85360907892656,60.39338341971595
s_segment_0_1249,-48.157910947032576,-44.753881491757824
s_segment_0_126,-57.242703097369414,-44.047949069139065
s_segment_0_1266,-57.16881883569612,21.50571736407955
s_segment_0_1279,-54.782200520892474,26.675312736624946
s_segment_0_1283,-50.81747847542524,-53.621586111469554
s_segment_0_1284,-58.34365915415122,-33.36771610772828
s_segment_0_1285,-62.09045853355572,24.825707810979264
s_segment_0_1286,-60.873066183639466,3.915056690688548
s_segment_0_1287,-61.851126147796414,-2.4470337180275723
s_segment_0_130,-59.41883844888509,8.927711484743572
s_segment_0_1302,-61.380087550122425,-36.937395407595574
s_segment_0_1324,-42.59241448312604,76.76773640179474
s_segment_0_1337,-58.672900537892694,-46.593986412741664
s_segment_0_1341,-58.2824086087231,-11.319233104241919
s_segment_0_1343,-50.569624911724816,-22.75185186599496
s_segment_0_1345,-61.3696450486553,-33.83208239621251
s_segment_0_1359,-62.773655153663285,-25.30335274968503
s_segment_0_1362,-59.22786335864926,-23.72756476857429
s_segment_0_1376,-64.13194603541831,0.7651149043578908
s_segment_0_1385,-46.02508569202545,-27.95302835539452
s_segment_0_1398,-64.3715842093209,-21.493679979957307
s_segment_0_1408,-65.19525595267173,19.682225025882985
s_segment_0_1416,-66.61490765803131,5.828304484984097
s_segment_0_1434,-44.55720822318076,-52.40020806857256
s_segment_0_1458,-54.185777938830604,-24.970162306858576
s_segment_0_1463,-58.42600477752014,57.396817843358825
s_segment_0_1465,-51.34924474028076,-42.980342989221825
s_segment_0_1483,-55.91000653806695,-54.610324947568074
s_segment_0_150,-64.5901291224523,-22.332008541304745
s_segment_0_1501,-43.847505762753336,71.05743190193647
s_segment_0_1519,-52.78088779033565,-54.23974161599349
s_segment_0_1524,-33.53689526936044,-60.220527231143826
s_segment_0_1542,-69.71046048601241,-18.19113630838032
s_segment_0_1545,-51.451390988247255,-41.449925044314675
s_segment_0_155,-50.31850903420602,-49.39929477832672
s_segment_0_1557,-60.20569154597783,45.8516460085639
s_segment_0_1563,-49.63279716478966,56.681610136328246
s_segment_0_1564,-57.901149422657454,51.511472997212
