,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-55-8508-01A,0.168,0.005,0.015,0.008,0.000,0.000,0.624,0.000,0.036,0.070,0.015,0.046,0.001,0.003,0.009,0.001
TCGA-67-3771-01A,0.053,0.002,0.011,0.010,0.013,0.000,0.593,0.001,0.035,0.090,0.026,0.163,0.002,0.000,0.001,0.000
TCGA-55-A4DG-01A,0.050,0.035,0.011,0.007,0.021,0.006,0.657,0.037,0.026,0.046,0.017,0.076,0.008,0.000,0.001,0.000
TCGA-91-7771-01A,0.030,0.007,0.031,0.009,0.012,0.006,0.505,0.028,0.079,0.106,0.045,0.139,0.003,0.000,0.001,0.001
TCGA-91-6849-01A,0.064,0.007,0.005,0.003,0.004,0.000,0.675,0.015,0.053,0.034,0.022,0.111,0.001,0.000,0.004,0.000
TCGA-64-5781-01A,0.050,0.000,0.008,0.042,0.000,0.000,0.729,0.000,0.024,0.095,0.009,0.038,0.000,0.001,0.003,0.000
TCGA-44-6146-01B,0.006,0.005,0.014,0.002,0.000,0.023,0.669,0.027,0.027,0.175,0.032,0.011,0.007,0.000,0.003,0.000
TCGA-97-7552-01A,0.044,0.043,0.035,0.024,0.022,0.000,0.465,0.044,0.082,0.087,0.022,0.119,0.009,0.001,0.002,0.001
TCGA-80-5608-01A,0.020,0.000,0.007,0.012,0.000,0.000,0.824,0.008,0.030,0.017,0.021,0.055,0.000,0.002,0.004,0.000
TCGA-91-6829-01A,0.008,0.000,0.007,0.005,0.001,0.001,0.490,0.000,0.078,0.277,0.025,0.103,0.005,0.000,0.000,0.000
TCGA-49-AARE-01A,0.015,0.005,0.004,0.016,0.000,0.000,0.767,0.012,0.016,0.091,0.008,0.059,0.003,0.002,0.002,0.001
TCGA-97-A4M1-01A,0.005,0.000,0.006,0.002,0.009,0.000,0.559,0.054,0.126,0.059,0.025,0.139,0.011,0.004,0.001,0.000
TCGA-83-5908-01A,0.001,0.001,0.019,0.106,0.005,0.000,0.604,0.041,0.042,0.081,0.004,0.092,0.003,0.001,0.000,0.000
TCGA-97-8179-01A,0.000,0.000,0.004,0.008,0.000,0.000,0.711,0.027,0.063,0.053,0.042,0.092,0.000,0.000,0.000,0.000
TCGA-64-1680-01A,0.010,0.000,0.002,0.007,0.000,0.000,0.846,0.017,0.015,0.031,0.008,0.053,0.007,0.001,0.003,0.001
TCGA-73-4670-01A,0.018,0.000,0.000,0.004,0.000,0.000,0.804,0.000,0.024,0.092,0.015,0.038,0.000,0.000,0.004,0.000
TCGA-44-3396-01A,0.044,0.000,0.017,0.009,0.013,0.000,0.470,0.029,0.050,0.189,0.010,0.153,0.003,0.000,0.012,0.001
TCGA-80-5611-01A,0.004,0.000,0.012,0.028,0.000,0.000,0.646,0.001,0.011,0.039,0.000,0.256,0.001,0.000,0.001,0.000
TCGA-53-7624-01A,0.010,0.000,0.014,0.020,0.000,0.000,0.805,0.001,0.018,0.047,0.012,0.072,0.000,0.000,0.001,0.000
TCGA-91-6835-01A,0.003,0.039,0.037,0.015,0.038,0.006,0.424,0.054,0.062,0.096,0.023,0.198,0.004,0.000,0.002,0.000
