sample_id,cancer_type,reference_dataset,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-BA-A6DB-01A,HNSC,simu_bulk_2ds_ref,0.005,0.001,0.04,0,0.034,0.001,0.623,0.056,0.062,0.085,0.028,0.029,0.005,0.001,0.024,0.007
TCGA-CQ-5325-01A,HNSC,simu_bulk_2ds_ref,0.063,0,0.047,0.029,0.034,0,0.473,0.047,0.073,0.095,0.032,0.06,0.004,0,0.03,0.014
TCGA-CN-4731-01A,HNSC,simu_bulk_2ds_ref,0.002,0.001,0.008,0.006,0,0,0.73,0.03,0.045,0.152,0,0.008,0.003,0.003,0.012,0
TCGA-CV-7427-01A,HNSC,simu_bulk_2ds_ref,0,0.003,0.042,0.029,0.021,0,0.659,0.052,0.103,0.005,0.001,0.035,0.001,0,0.043,0.006
TCGA-CR-6467-01A,HNSC,simu_bulk_2ds_ref,0.025,0.047,0.037,0.03,0.037,0,0.658,0.056,0.046,0.025,0.004,0.028,0.001,0,0.004,0
TCGA-CV-7183-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0.004,0.004,0,0,0.847,0.005,0.071,0.032,0.011,0,0.004,0,0.011,0.008
TCGA-CV-A6JN-01A,HNSC,simu_bulk_2ds_ref,0,0,0.012,0.011,0.001,0,0.895,0.012,0.048,0,0.002,0.001,0.001,0,0.015,0.001
TCGA-D6-A6EN-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0.023,0.029,0.015,0,0.829,0.009,0.042,0,0,0.049,0.001,0,0,0.001
TCGA-CQ-A4C7-01A,HNSC,simu_bulk_2ds_ref,0,0.002,0.021,0.003,0.003,0,0.691,0.007,0.077,0.155,0.022,0.012,0.001,0,0.007,0
TCGA-CV-5435-01A,HNSC,simu_bulk_2ds_ref,0,0.005,0.005,0,0,0,0.833,0.01,0.04,0.084,0.01,0.013,0,0,0,0
TCGA-CR-7370-01A,HNSC,simu_bulk_2ds_ref,0.009,0.008,0.012,0.002,0.003,0,0.762,0.006,0.045,0.089,0.014,0.03,0.006,0,0.013,0.001
TCGA-CN-4722-01A,HNSC,simu_bulk_2ds_ref,0.01,0.01,0.015,0.001,0.01,0.003,0.705,0.008,0.1,0.074,0.033,0.002,0.005,0,0.011,0.013
TCGA-F7-8489-01A,HNSC,simu_bulk_2ds_ref,0.014,0.001,0.046,0.023,0.006,0,0.656,0.06,0.107,0.035,0.001,0.024,0,0,0.028,0
TCGA-CV-A6K2-01A,HNSC,simu_bulk_2ds_ref,0,0,0.008,0.012,0,0,0.82,0.01,0.054,0.048,0,0.025,0,0,0.022,0.001
TCGA-HD-8634-01A,HNSC,simu_bulk_2ds_ref,0,0.002,0.012,0.005,0,0,0.872,0.013,0.058,0,0.011,0.001,0.003,0,0.018,0.005
TCGA-CN-6994-01A,HNSC,simu_bulk_2ds_ref,0,0,0.014,0.004,0.001,0,0.73,0.013,0.046,0.128,0,0.043,0.003,0,0.015,0
TCGA-D6-A4Z9-01A,HNSC,simu_bulk_2ds_ref,0.001,0.002,0.012,0.009,0.001,0,0.821,0.009,0.076,0.036,0.005,0.004,0.002,0,0.016,0.006
