sample_id,cancer_type,reference_dataset,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-05-4415-01A,LUAD,simu_bulk_2ds_ref,0.008,0,0.001,0.026,0,0,0.81,0,0.054,0.03,0.003,0.06,0.003,0,0.002,0
TCGA-91-6830-01A,LUAD,simu_bulk_2ds_ref,0.014,0.006,0.016,0.001,0.014,0.001,0.512,0.01,0.108,0.126,0.044,0.116,0.011,0.003,0.018,0.001
TCGA-49-6745-01A,LUAD,simu_bulk_2ds_ref,0.001,0.001,0.031,0.015,0.012,0,0.578,0.045,0.074,0.102,0.015,0.116,0.005,0,0.004,0.001
TCGA-86-A4P7-01A,LUAD,simu_bulk_2ds_ref,0.052,0.013,0.016,0.002,0.022,0.001,0.419,0.024,0.131,0.068,0.042,0.185,0.011,0.003,0.011,0.001
TCGA-44-4112-01B,LUAD,simu_bulk_2ds_ref,0.018,0.015,0.005,0.013,0.01,0.026,0.536,0.022,0.101,0.123,0.036,0.049,0.023,0,0.02,0.001
TCGA-55-6975-01A,LUAD,simu_bulk_2ds_ref,0.032,0.001,0.014,0,0.004,0,0.508,0.007,0.104,0.236,0.04,0.033,0.006,0,0.011,0.002
TCGA-95-7039-01A,LUAD,simu_bulk_2ds_ref,0.006,0,0.008,0.008,0.013,0,0.716,0.012,0.083,0.066,0.028,0.055,0.002,0,0.003,0
TCGA-44-6147-01B,LUAD,simu_bulk_2ds_ref,0.019,0.066,0.008,0.003,0.022,0.058,0.482,0.02,0.088,0.117,0.043,0.034,0.025,0,0.015,0
TCGA-05-4432-01A,LUAD,simu_bulk_2ds_ref,0.063,0.009,0.023,0.007,0.01,0,0.633,0.02,0.042,0.067,0.029,0.089,0.003,0,0.004,0
TCGA-49-4487-01A,LUAD,simu_bulk_2ds_ref,0.047,0.063,0.028,0.021,0.03,0,0.519,0.029,0.046,0.118,0.01,0.086,0.001,0,0,0
TCGA-55-7727-01A,LUAD,simu_bulk_2ds_ref,0.012,0.05,0.039,0.012,0.001,0.002,0.697,0.036,0.039,0.031,0.006,0.062,0.006,0,0.008,0
TCGA-73-A9RS-01A,LUAD,simu_bulk_2ds_ref,0.041,0,0.005,0.012,0.003,0,0.838,0.002,0.015,0.02,0.016,0.046,0.001,0,0,0
TCGA-44-5644-01A,LUAD,simu_bulk_2ds_ref,0.029,0,0.004,0.002,0.01,0,0.844,0.007,0.031,0.037,0.013,0.014,0,0,0.008,0
TCGA-55-7914-01A,LUAD,simu_bulk_2ds_ref,0.058,0.011,0.027,0.019,0.001,0.002,0.656,0.023,0.039,0.083,0.012,0.06,0.005,0,0.003,0
TCGA-62-A46R-01A,LUAD,simu_bulk_2ds_ref,0.017,0.003,0.028,0.011,0.004,0.006,0.679,0.062,0.023,0.037,0.013,0.097,0.012,0,0.008,0
TCGA-49-AARQ-01A,LUAD,simu_bulk_2ds_ref,0.016,0,0,0.048,0.001,0,0.824,0.025,0.004,0.009,0.001,0.068,0.001,0,0.003,0
TCGA-75-6207-01A,LUAD,simu_bulk_2ds_ref,0.004,0,0.005,0.002,0.011,0.001,0.812,0.014,0.038,0.027,0.004,0.08,0.002,0,0.001,0
TCGA-53-7813-01A,LUAD,simu_bulk_2ds_ref,0.121,0.01,0.008,0.028,0,0,0.76,0.01,0.011,0.027,0.016,0.001,0,0,0.007,0
TCGA-44-3918-01B,LUAD,simu_bulk_2ds_ref,0.015,0.019,0.018,0.048,0.019,0.011,0.467,0.036,0.098,0.095,0.02,0.094,0.021,0,0.038,0.001
TCGA-64-1681-01A,LUAD,simu_bulk_2ds_ref,0.007,0.005,0.024,0,0.001,0.001,0.598,0.078,0.076,0.085,0.027,0.092,0.006,0,0,0
TCGA-05-4410-01A,LUAD,simu_bulk_2ds_ref,0.056,0.019,0.023,0.032,0.016,0.001,0.588,0.033,0.037,0.038,0.013,0.137,0.002,0,0.003,0
TCGA-55-8620-01A,LUAD,simu_bulk_2ds_ref,0.036,0.016,0.036,0.002,0.031,0,0.729,0.014,0.022,0.024,0.003,0.083,0.001,0,0.003,0
TCGA-64-5774-01A,LUAD,simu_bulk_2ds_ref,0.052,0,0.018,0.011,0.002,0,0.783,0.005,0.038,0.061,0.003,0.014,0.003,0,0.009,0
TCGA-44-6148-01A,LUAD,simu_bulk_2ds_ref,0.04,0.011,0.013,0,0.01,0.001,0.566,0.036,0.054,0.148,0.018,0.079,0.022,0,0.002,0
TCGA-MN-A4N1-01A,LUAD,simu_bulk_2ds_ref,0.008,0,0.011,0,0.002,0,0.841,0.017,0.027,0.045,0.001,0.043,0.003,0,0,0
TCGA-05-5429-01A,LUAD,simu_bulk_2ds_ref,0.008,0,0.009,0.004,0,0,0.832,0.005,0.022,0.074,0.011,0.024,0.008,0,0,0
TCGA-91-6847-01A,LUAD,simu_bulk_2ds_ref,0,0,0.002,0.015,0,0,0.944,0.004,0.021,0.008,0,0,0,0,0.006,0
TCGA-55-8511-01A,LUAD,simu_bulk_2ds_ref,0.045,0.021,0.024,0.014,0.025,0,0.506,0.035,0.061,0.124,0.007,0.111,0.002,0,0.025,0.001
TCGA-50-5944-01A,LUAD,simu_bulk_2ds_ref,0.01,0.001,0.005,0,0.005,0,0.555,0.023,0.057,0.184,0.032,0.113,0.013,0,0.001,0
TCGA-55-1592-01A,LUAD,simu_bulk_2ds_ref,0.02,0.002,0.011,0,0.008,0.001,0.63,0.015,0.04,0.055,0.018,0.183,0.008,0,0.008,0.001
TCGA-50-8457-01A,LUAD,simu_bulk_2ds_ref,0.066,0.046,0.022,0.002,0.023,0.011,0.437,0.048,0.083,0.113,0.031,0.097,0.011,0.002,0.007,0
TCGA-78-7159-01A,LUAD,simu_bulk_2ds_ref,0.065,0.004,0.012,0.007,0.003,0,0.689,0.008,0.056,0.089,0.027,0.027,0.002,0,0.01,0.001
TCGA-67-6215-01A,LUAD,simu_bulk_2ds_ref,0.001,0.001,0.008,0,0,0,0.774,0.03,0.035,0.006,0.009,0.125,0.003,0,0.007,0
TCGA-MP-A4T9-01A,LUAD,simu_bulk_2ds_ref,0.009,0.001,0.017,0,0.012,0.001,0.554,0.029,0.102,0.104,0.016,0.133,0.012,0.001,0.007,0
TCGA-97-7938-01A,LUAD,simu_bulk_2ds_ref,0.008,0.009,0.01,0.001,0.01,0.002,0.656,0.025,0.088,0.084,0.03,0.059,0.016,0,0.005,0
TCGA-05-5425-01A,LUAD,simu_bulk_2ds_ref,0.029,0,0.022,0.016,0.019,0,0.631,0.018,0.046,0.048,0.02,0.145,0.002,0,0.002,0.001
TCGA-55-7913-01B,LUAD,simu_bulk_2ds_ref,0.018,0,0.005,0.008,0.01,0,0.888,0.008,0.013,0.005,0.001,0.034,0.003,0,0.009,0
TCGA-05-4417-01A,LUAD,simu_bulk_2ds_ref,0.044,0.005,0.045,0.001,0.013,0.001,0.376,0.053,0.087,0.197,0.051,0.108,0.005,0.001,0.014,0.001
TCGA-75-6203-01A,LUAD,simu_bulk_2ds_ref,0.011,0.001,0.018,0,0.015,0.001,0.377,0.034,0.142,0.05,0.02,0.315,0.006,0.011,0.001,0
TCGA-05-4434-01A,LUAD,simu_bulk_2ds_ref,0.014,0.012,0.034,0.005,0.015,0.001,0.54,0.04,0.062,0.085,0.018,0.155,0.006,0,0.012,0
TCGA-55-8096-01A,LUAD,simu_bulk_2ds_ref,0.026,0.007,0.018,0,0.006,0.001,0.474,0.015,0.052,0.158,0.017,0.212,0.008,0.003,0.002,0
TCGA-49-6767-01A,LUAD,simu_bulk_2ds_ref,0,0.001,0.018,0.035,0.015,0,0.746,0.03,0.032,0.042,0.001,0.076,0.001,0,0.002,0
TCGA-MP-A4T6-01A,LUAD,simu_bulk_2ds_ref,0.019,0.011,0.025,0.002,0.025,0.001,0.706,0.035,0.032,0.023,0.009,0.09,0.009,0.001,0.012,0
TCGA-MP-A4TE-01A,LUAD,simu_bulk_2ds_ref,0.035,0,0.005,0.003,0,0,0.87,0.004,0.021,0.03,0.016,0.012,0,0,0.004,0
TCGA-75-5146-01A,LUAD,simu_bulk_2ds_ref,0.047,0.016,0.023,0.007,0.006,0.001,0.65,0.023,0.065,0.061,0.025,0.072,0.003,0,0,0
TCGA-78-7167-01A,LUAD,simu_bulk_2ds_ref,0.005,0,0.004,0.001,0.007,0,0.833,0.006,0.039,0.048,0.028,0.024,0.003,0,0.001,0
TCGA-J2-8194-01A,LUAD,simu_bulk_2ds_ref,0.002,0,0.012,0,0.003,0,0.663,0.019,0.088,0.09,0.052,0.051,0.001,0,0.018,0.001
TCGA-97-A4M0-01A,LUAD,simu_bulk_2ds_ref,0.011,0.002,0.02,0.009,0.03,0.002,0.616,0.091,0.02,0.035,0.013,0.134,0.008,0,0.009,0
TCGA-38-4632-01A,LUAD,simu_bulk_2ds_ref,0.013,0,0.017,0.01,0.002,0,0.664,0.048,0.049,0.034,0.012,0.141,0.008,0,0,0
TCGA-44-7661-01A,LUAD,simu_bulk_2ds_ref,0.002,0.003,0.037,0.007,0.004,0.001,0.483,0.066,0.135,0.12,0.022,0.112,0.004,0,0.002,0.001
TCGA-55-8205-01A,LUAD,simu_bulk_2ds_ref,0.011,0.015,0.027,0.04,0.026,0.001,0.463,0.012,0.078,0.055,0.016,0.245,0.004,0,0.008,0.001
TCGA-55-A48Z-01A,LUAD,simu_bulk_2ds_ref,0.029,0.001,0.014,0.017,0.013,0.001,0.609,0.026,0.028,0.126,0.008,0.121,0.006,0,0.002,0
TCGA-44-5645-01B,LUAD,simu_bulk_2ds_ref,0.006,0.032,0.029,0.005,0.003,0.036,0.598,0.053,0.049,0.089,0.02,0.04,0.022,0,0.019,0.001
TCGA-05-5428-01A,LUAD,simu_bulk_2ds_ref,0.004,0,0.002,0.006,0,0,0.792,0.001,0.016,0.044,0.008,0.115,0.01,0,0.001,0.001
TCGA-69-8255-01A,LUAD,simu_bulk_2ds_ref,0.039,0.003,0.006,0.033,0.017,0,0.769,0.013,0.013,0.007,0.008,0.093,0,0,0,0
TCGA-75-5125-01A,LUAD,simu_bulk_2ds_ref,0.013,0.001,0.025,0.028,0.026,0,0.59,0.038,0.049,0.053,0.013,0.153,0.005,0,0.004,0
TCGA-55-8097-01A,LUAD,simu_bulk_2ds_ref,0.008,0.008,0.02,0,0.006,0.006,0.655,0.05,0.072,0.058,0.034,0.069,0.009,0,0.004,0
TCGA-78-7152-01A,LUAD,simu_bulk_2ds_ref,0.018,0.03,0.018,0.013,0.005,0,0.693,0.023,0.058,0.044,0.017,0.078,0,0,0.003,0
TCGA-MP-A4TF-01A,LUAD,simu_bulk_2ds_ref,0.047,0.001,0.011,0.01,0.01,0,0.821,0.004,0.028,0.032,0.002,0.022,0.002,0,0.009,0
TCGA-67-4679-01B,LUAD,simu_bulk_2ds_ref,0.006,0,0.006,0.001,0.01,0.005,0.577,0.09,0.09,0.081,0.025,0.082,0.023,0,0.005,0.001
TCGA-91-6836-01A,LUAD,simu_bulk_2ds_ref,0.018,0.001,0.012,0.025,0.002,0,0.847,0.009,0.039,0.01,0.003,0.024,0.005,0,0.006,0
TCGA-78-8648-01A,LUAD,simu_bulk_2ds_ref,0.061,0.003,0.019,0.007,0.029,0,0.154,0.02,0.111,0.298,0.034,0.255,0.005,0.001,0.005,0
TCGA-44-A47A-01A,LUAD,simu_bulk_2ds_ref,0.011,0,0.045,0,0.001,0.003,0.607,0.101,0.027,0.042,0.013,0.133,0.005,0,0.011,0
TCGA-55-A57B-01A,LUAD,simu_bulk_2ds_ref,0.002,0.001,0.019,0,0.009,0.002,0.551,0.07,0.098,0.108,0.036,0.088,0.01,0,0.007,0
TCGA-55-8207-01A,LUAD,simu_bulk_2ds_ref,0.007,0.001,0.01,0,0.007,0.011,0.464,0.022,0.047,0.187,0.051,0.17,0.013,0,0.01,0
TCGA-55-7576-01A,LUAD,simu_bulk_2ds_ref,0.005,0.007,0.019,0.002,0.015,0.001,0.682,0.034,0.054,0.057,0.016,0.103,0.005,0,0.002,0
TCGA-NJ-A55O-01A,LUAD,simu_bulk_2ds_ref,0.008,0.001,0.015,0,0.004,0.002,0.695,0.018,0.054,0.033,0.024,0.141,0.004,0,0.001,0
TCGA-55-A494-01A,LUAD,simu_bulk_2ds_ref,0.011,0,0.002,0.006,0.01,0,0.843,0.007,0.075,0.005,0.015,0.013,0.004,0,0.009,0
TCGA-95-7043-01A,LUAD,simu_bulk_2ds_ref,0.014,0.001,0.002,0.002,0.008,0,0.843,0,0.026,0.049,0.01,0.045,0,0,0,0
TCGA-L9-A443-01A,LUAD,simu_bulk_2ds_ref,0.014,0,0.004,0.016,0.001,0.001,0.622,0.035,0.049,0.128,0.04,0.07,0.005,0,0.013,0
TCGA-69-7974-01A,LUAD,simu_bulk_2ds_ref,0.012,0.005,0.015,0.013,0.01,0.001,0.572,0.024,0.092,0.052,0.017,0.172,0.006,0,0.009,0.001
TCGA-NJ-A4YG-01A,LUAD,simu_bulk_2ds_ref,0.006,0,0.02,0.001,0.001,0.001,0.673,0.065,0.031,0.077,0.005,0.108,0.008,0,0.004,0
TCGA-69-7760-01A,LUAD,simu_bulk_2ds_ref,0.001,0,0.005,0,0,0,0.867,0.021,0.013,0.04,0.006,0.041,0.003,0,0.003,0
TCGA-49-4486-01A,LUAD,simu_bulk_2ds_ref,0.004,0,0.003,0.001,0,0,0.936,0.008,0.013,0,0.013,0.018,0.004,0,0,0
TCGA-93-A4JN-01A,LUAD,simu_bulk_2ds_ref,0.029,0.028,0.034,0.002,0.006,0.002,0.549,0.035,0.091,0.14,0.037,0.03,0.009,0,0.009,0
TCGA-86-A4D0-01A,LUAD,simu_bulk_2ds_ref,0.017,0,0.01,0.01,0,0,0.869,0.009,0.015,0.027,0.018,0.024,0,0,0.001,0
TCGA-L9-A444-01A,LUAD,simu_bulk_2ds_ref,0.071,0.011,0.024,0.056,0.024,0,0.431,0.055,0.066,0.071,0.022,0.164,0,0.001,0.001,0
TCGA-MP-A4T7-01A,LUAD,simu_bulk_2ds_ref,0.005,0.001,0.008,0.003,0.004,0,0.747,0.015,0.051,0.032,0.015,0.106,0.005,0,0.007,0
TCGA-91-A4BD-01A,LUAD,simu_bulk_2ds_ref,0.019,0,0.009,0.001,0,0,0.746,0.031,0.018,0.011,0.014,0.127,0.013,0.002,0,0.01
TCGA-05-4250-01A,LUAD,simu_bulk_2ds_ref,0.004,0,0.012,0.03,0.015,0,0.678,0.005,0.055,0.074,0.014,0.109,0.003,0,0.001,0
TCGA-55-7994-01A,LUAD,simu_bulk_2ds_ref,0.007,0.018,0.015,0.058,0.031,0,0.631,0.023,0.056,0.019,0.001,0.129,0.002,0,0.01,0
TCGA-99-8028-01A,LUAD,simu_bulk_2ds_ref,0.062,0.004,0.047,0.018,0.017,0,0.301,0.038,0.068,0.19,0.011,0.241,0.001,0.001,0,0
TCGA-97-8171-01A,LUAD,simu_bulk_2ds_ref,0.003,0.004,0.001,0.002,0,0,0.874,0.012,0.02,0.019,0.018,0.048,0,0,0,0
TCGA-67-6216-01A,LUAD,simu_bulk_2ds_ref,0.012,0.016,0.016,0.016,0,0.001,0.67,0.062,0.024,0.047,0.001,0.115,0.01,0,0.01,0
TCGA-91-6848-01A,LUAD,simu_bulk_2ds_ref,0.03,0.01,0.037,0.001,0.019,0.002,0.399,0.029,0.113,0.176,0.026,0.125,0.007,0,0.006,0.019
TCGA-44-2665-01A,LUAD,simu_bulk_2ds_ref,0.008,0,0.029,0,0.003,0.002,0.406,0.057,0.038,0.324,0.002,0.107,0.007,0,0.016,0
TCGA-86-7701-01A,LUAD,simu_bulk_2ds_ref,0.095,0.026,0.058,0.02,0.001,0.001,0.479,0.033,0.053,0.137,0.025,0.054,0.005,0.001,0.012,0
TCGA-78-7156-01A,LUAD,simu_bulk_2ds_ref,0.001,0,0.002,0,0.007,0,0.858,0.004,0.059,0.005,0.037,0.022,0.004,0,0,0
TCGA-05-5420-01A,LUAD,simu_bulk_2ds_ref,0.113,0.001,0.034,0.012,0.01,0,0.471,0.036,0.019,0.081,0.009,0.197,0.005,0.001,0.004,0.006
TCGA-55-6642-01A,LUAD,simu_bulk_2ds_ref,0.128,0.001,0.017,0.019,0.009,0,0.396,0.008,0.06,0.243,0.03,0.075,0.002,0,0.009,0
TCGA-78-7149-01A,LUAD,simu_bulk_2ds_ref,0.024,0.001,0.008,0.003,0.001,0,0.748,0.005,0.091,0.038,0.047,0.031,0.003,0.001,0,0
TCGA-05-4418-01A,LUAD,simu_bulk_2ds_ref,0.067,0,0.022,0.007,0.002,0,0.689,0.009,0.036,0.053,0.011,0.088,0.002,0,0.014,0
TCGA-05-4422-01A,LUAD,simu_bulk_2ds_ref,0.078,0.001,0.026,0.02,0.023,0,0.647,0.023,0.025,0.006,0.019,0.129,0,0,0.002,0
TCGA-78-7146-01A,LUAD,simu_bulk_2ds_ref,0.003,0,0.006,0.028,0,0,0.782,0.014,0.037,0.027,0.004,0.075,0.001,0,0.022,0
TCGA-86-A4P8-01A,LUAD,simu_bulk_2ds_ref,0.004,0.002,0.018,0,0.029,0.017,0.255,0.058,0.183,0.061,0.063,0.273,0.012,0.01,0.016,0.001
TCGA-67-6217-01A,LUAD,simu_bulk_2ds_ref,0.041,0.018,0.029,0,0.035,0.001,0.576,0.063,0.056,0.061,0.017,0.095,0.006,0,0.001,0
TCGA-78-8640-01A,LUAD,simu_bulk_2ds_ref,0.033,0.001,0.007,0.005,0.015,0,0.77,0.006,0.02,0.02,0.001,0.113,0.001,0,0.009,0
TCGA-44-7670-01A,LUAD,simu_bulk_2ds_ref,0.009,0.009,0.012,0.006,0.008,0.001,0.766,0.009,0.055,0.037,0.021,0.063,0.004,0,0.001,0
TCGA-49-AARO-01A,LUAD,simu_bulk_2ds_ref,0.02,0.019,0.026,0.011,0.014,0.001,0.471,0.081,0.075,0.119,0.02,0.13,0.006,0.002,0.003,0.001
TCGA-75-7030-01A,LUAD,simu_bulk_2ds_ref,0.024,0.012,0.024,0,0.007,0.006,0.409,0.048,0.08,0.311,0.023,0.042,0.008,0,0.005,0
TCGA-50-5941-01A,LUAD,simu_bulk_2ds_ref,0.025,0.021,0.055,0.022,0.017,0.001,0.476,0.069,0.064,0.069,0.014,0.138,0.005,0,0.022,0.001
TCGA-49-AARR-01A,LUAD,simu_bulk_2ds_ref,0.029,0.029,0.017,0.001,0.02,0.001,0.327,0.027,0.162,0.108,0.088,0.16,0.02,0.003,0.007,0.001
TCGA-J2-8192-01A,LUAD,simu_bulk_2ds_ref,0.008,0.005,0.026,0,0.006,0.002,0.419,0.058,0.042,0.24,0.013,0.156,0.011,0,0.015,0
TCGA-64-5779-01A,LUAD,simu_bulk_2ds_ref,0.128,0.026,0.04,0,0.013,0.002,0.442,0.017,0.059,0.212,0.04,0.016,0.003,0,0.002,0
TCGA-62-A46O-01A,LUAD,simu_bulk_2ds_ref,0.028,0.002,0,0.003,0,0,0.913,0,0.019,0.014,0.001,0.006,0,0,0.013,0
TCGA-50-8459-01A,LUAD,simu_bulk_2ds_ref,0.02,0.019,0.03,0,0.007,0.001,0.189,0.056,0.048,0.402,0.018,0.2,0.007,0,0.003,0
TCGA-86-A4JF-01A,LUAD,simu_bulk_2ds_ref,0.02,0.001,0.007,0.019,0.002,0,0.674,0.018,0.064,0.025,0.024,0.118,0.004,0,0.022,0
TCGA-05-4249-01A,LUAD,simu_bulk_2ds_ref,0.01,0.006,0.026,0,0.004,0.001,0.646,0.08,0.06,0.051,0.014,0.077,0.011,0,0.013,0
TCGA-J2-A4AG-01A,LUAD,simu_bulk_2ds_ref,0.01,0.029,0.029,0,0.019,0.001,0.552,0.066,0.087,0.096,0.021,0.076,0.004,0.001,0.011,0
TCGA-44-7671-01A,LUAD,simu_bulk_2ds_ref,0.007,0.001,0.004,0.002,0.001,0,0.764,0.004,0.047,0.086,0.028,0.04,0.008,0,0.01,0
TCGA-44-6774-01A,LUAD,simu_bulk_2ds_ref,0.017,0.001,0.028,0,0.002,0.001,0.257,0.01,0.087,0.437,0.036,0.109,0.006,0,0.008,0.001
TCGA-50-5066-01A,LUAD,simu_bulk_2ds_ref,0.075,0.004,0.011,0.021,0.01,0,0.551,0.001,0.036,0.105,0.014,0.161,0.006,0,0,0.006
TCGA-50-6594-01A,LUAD,simu_bulk_2ds_ref,0.013,0.001,0.024,0.007,0.003,0,0.741,0.01,0.033,0.042,0.005,0.12,0.002,0,0,0
TCGA-44-8119-01A,LUAD,simu_bulk_2ds_ref,0.04,0,0.02,0.006,0.008,0,0.522,0.003,0.056,0.224,0.022,0.092,0.001,0,0.004,0
TCGA-49-AAR2-01A,LUAD,simu_bulk_2ds_ref,0.109,0,0.011,0.01,0.004,0,0.723,0.011,0.02,0.008,0.027,0.075,0,0,0,0
TCGA-44-2666-01B,LUAD,simu_bulk_2ds_ref,0.029,0.011,0,0.017,0.005,0.012,0.628,0.019,0.075,0.075,0.045,0.02,0.05,0,0.014,0
TCGA-44-6779-01A,LUAD,simu_bulk_2ds_ref,0.006,0,0.03,0.055,0.008,0,0.547,0.005,0.08,0.086,0.002,0.166,0.004,0.003,0.009,0
TCGA-86-8669-01A,LUAD,simu_bulk_2ds_ref,0.057,0.001,0.018,0,0.012,0,0.688,0.023,0.055,0.022,0.034,0.082,0,0.001,0.007,0
TCGA-05-5715-01A,LUAD,simu_bulk_2ds_ref,0.009,0,0.015,0,0.001,0.001,0.666,0.005,0.043,0.068,0.01,0.161,0.008,0,0.011,0
TCGA-69-A59K-01A,LUAD,simu_bulk_2ds_ref,0.058,0.006,0.022,0.008,0.017,0.001,0.571,0.021,0.068,0.064,0.024,0.12,0.007,0,0.013,0
TCGA-55-A491-01A,LUAD,simu_bulk_2ds_ref,0.037,0.01,0.019,0.003,0.014,0,0.605,0.006,0.041,0.062,0.025,0.17,0.005,0,0.002,0
TCGA-71-8520-01A,LUAD,simu_bulk_2ds_ref,0.008,0,0.016,0,0.004,0.001,0.645,0.014,0.064,0.152,0.013,0.069,0.007,0,0.007,0
TCGA-91-8496-01A,LUAD,simu_bulk_2ds_ref,0,0.001,0.011,0,0.006,0,0.632,0.048,0.049,0.037,0.018,0.182,0.011,0.006,0.001,0
TCGA-69-8254-01A,LUAD,simu_bulk_2ds_ref,0.04,0.007,0.015,0,0.012,0.001,0.7,0.032,0.027,0.052,0.009,0.087,0.012,0,0.007,0
TCGA-95-A4VP-01A,LUAD,simu_bulk_2ds_ref,0.04,0.021,0.018,0.004,0.007,0,0.525,0.028,0.133,0.097,0.069,0.054,0.002,0.001,0.001,0
TCGA-95-8039-01A,LUAD,simu_bulk_2ds_ref,0.003,0.002,0.039,0,0.005,0.002,0.608,0.095,0.067,0.066,0.01,0.095,0.006,0,0.002,0
TCGA-86-8076-01A,LUAD,simu_bulk_2ds_ref,0.059,0.023,0.037,0.013,0.025,0.001,0.508,0.063,0.059,0.081,0.015,0.094,0.006,0,0.016,0
TCGA-44-2659-01A,LUAD,simu_bulk_2ds_ref,0.052,0.005,0.025,0,0.042,0.001,0.5,0.045,0.057,0.133,0.01,0.125,0.004,0.001,0.001,0
TCGA-55-8203-01A,LUAD,simu_bulk_2ds_ref,0.079,0.025,0.038,0.017,0.002,0,0.612,0.027,0.037,0.08,0.013,0.043,0.001,0,0.025,0.001
TCGA-MP-A5C7-01A,LUAD,simu_bulk_2ds_ref,0.018,0,0.007,0.006,0.001,0,0.815,0.015,0.042,0.028,0.037,0.023,0.001,0,0.007,0
TCGA-78-7220-01A,LUAD,simu_bulk_2ds_ref,0.003,0.001,0.008,0.003,0.007,0,0.82,0.002,0.051,0.032,0.028,0.034,0.002,0,0.009,0.001
TCGA-44-3917-01B,LUAD,simu_bulk_2ds_ref,0.024,0.028,0.009,0.045,0.005,0.002,0.679,0.021,0.047,0.043,0.02,0.045,0.008,0,0.023,0
TCGA-78-7153-01A,LUAD,simu_bulk_2ds_ref,0.028,0,0.006,0.002,0.011,0,0.802,0.008,0.033,0.026,0.023,0.06,0,0,0,0
TCGA-55-7910-01A,LUAD,simu_bulk_2ds_ref,0.095,0.002,0.01,0.004,0,0,0.701,0.007,0.035,0.071,0.033,0.029,0.006,0,0.006,0
TCGA-64-5778-01A,LUAD,simu_bulk_2ds_ref,0.026,0.021,0.019,0.031,0.016,0,0.675,0.029,0.026,0.028,0.007,0.121,0,0,0,0
TCGA-55-7815-01A,LUAD,simu_bulk_2ds_ref,0.011,0.016,0.043,0,0.003,0.034,0.557,0.019,0.032,0.138,0.004,0.114,0.005,0,0.021,0.005
TCGA-55-6985-01A,LUAD,simu_bulk_2ds_ref,0.023,0.009,0.024,0.014,0.015,0.001,0.561,0.043,0.063,0.122,0.018,0.085,0.009,0.001,0.011,0.001
TCGA-69-7761-01A,LUAD,simu_bulk_2ds_ref,0.052,0.009,0.033,0.015,0.033,0.001,0.554,0.038,0.03,0.079,0.011,0.128,0.008,0,0.01,0
TCGA-MN-A4N4-01A,LUAD,simu_bulk_2ds_ref,0.022,0.001,0.013,0,0.012,0,0.572,0.005,0.049,0.205,0.013,0.095,0.006,0,0.006,0.001
TCGA-55-6972-01A,LUAD,simu_bulk_2ds_ref,0.001,0,0.001,0.002,0,0,0.959,0.003,0.011,0,0.017,0.003,0.001,0.001,0,0
TCGA-49-6743-01A,LUAD,simu_bulk_2ds_ref,0.026,0.004,0.015,0.006,0.005,0.001,0.631,0.003,0.061,0.11,0.02,0.083,0.008,0,0.023,0.005
TCGA-50-6597-01A,LUAD,simu_bulk_2ds_ref,0.025,0.009,0.026,0.011,0.001,0,0.768,0.051,0.014,0.04,0.011,0.041,0.002,0,0,0
TCGA-55-A490-01A,LUAD,simu_bulk_2ds_ref,0.024,0,0.013,0.006,0.005,0.001,0.676,0.028,0.04,0.056,0.027,0.123,0.001,0,0,0
TCGA-99-8032-01A,LUAD,simu_bulk_2ds_ref,0.093,0.014,0.022,0.001,0.001,0,0.543,0.012,0.057,0.173,0.023,0.051,0.007,0,0.003,0
TCGA-55-8299-01A,LUAD,simu_bulk_2ds_ref,0.014,0.016,0.019,0.044,0.007,0,0.416,0.018,0.109,0.2,0.024,0.108,0.004,0.001,0.017,0.001
TCGA-64-1676-01A,LUAD,simu_bulk_2ds_ref,0.014,0,0.005,0.013,0.001,0,0.725,0.011,0.021,0.036,0.008,0.158,0.006,0,0.001,0.001
TCGA-86-8279-01A,LUAD,simu_bulk_2ds_ref,0.007,0,0.01,0,0.004,0.001,0.706,0.035,0.046,0.116,0.011,0.052,0.004,0,0.008,0
TCGA-97-A4M5-01A,LUAD,simu_bulk_2ds_ref,0.022,0.009,0.015,0,0.007,0.001,0.509,0.021,0.096,0.101,0.039,0.157,0.011,0.007,0.005,0.001
TCGA-78-7536-01A,LUAD,simu_bulk_2ds_ref,0.009,0.001,0.005,0.023,0.001,0,0.794,0.001,0.017,0.021,0.002,0.125,0,0,0.001,0.001
TCGA-55-8208-01A,LUAD,simu_bulk_2ds_ref,0.055,0.03,0.045,0.003,0.017,0.001,0.344,0.021,0.068,0.134,0.015,0.235,0.006,0.001,0.022,0.002
TCGA-95-7562-01A,LUAD,simu_bulk_2ds_ref,0.011,0.001,0.018,0.013,0.016,0,0.75,0.005,0.029,0.035,0.005,0.11,0.002,0,0.004,0
TCGA-MP-A4TK-01A,LUAD,simu_bulk_2ds_ref,0.041,0.013,0.025,0.002,0.008,0.001,0.419,0.03,0.054,0.233,0.02,0.149,0.003,0,0.003,0
TCGA-49-6761-01A,LUAD,simu_bulk_2ds_ref,0.012,0.005,0.015,0.032,0.001,0,0.708,0.05,0.051,0.051,0.002,0.071,0.001,0,0,0
