,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-2J-AABF-01A,0.005,0.002,0.014,0.000,0.007,0.000,0.499,0.037,0.072,0.202,0.018,0.137,0.005,0.001,0.001,0.000
TCGA-IB-7654-01A,0.006,0.008,0.004,0.000,0.001,0.000,0.474,0.015,0.062,0.343,0.007,0.075,0.005,0.001,0.000,0.000
TCGA-3A-A9I9-01A,0.007,0.000,0.003,0.000,0.007,0.000,0.635,0.023,0.034,0.160,0.001,0.124,0.004,0.002,0.000,0.000
TCGA-IB-A5ST-01A,0.021,0.102,0.028,0.001,0.006,0.017,0.202,0.028,0.110,0.324,0.040,0.108,0.002,0.002,0.008,0.000
TCGA-F2-6879-01A,0.000,0.000,0.006,0.000,0.000,0.000,0.661,0.003,0.041,0.231,0.000,0.052,0.005,0.000,0.000,0.000
TCGA-IB-A6UG-01A,0.012,0.021,0.015,0.000,0.001,0.000,0.725,0.020,0.037,0.136,0.001,0.028,0.003,0.000,0.000,0.000
TCGA-US-A779-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.852,0.006,0.036,0.055,0.002,0.042,0.005,0.000,0.000,0.000
TCGA-US-A77G-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.826,0.014,0.042,0.061,0.000,0.051,0.003,0.000,0.000,0.000
TCGA-FB-AAQ0-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.792,0.004,0.023,0.167,0.001,0.010,0.002,0.000,0.000,0.000
TCGA-IB-7646-01A,0.000,0.000,0.006,0.003,0.000,0.000,0.427,0.000,0.050,0.349,0.001,0.158,0.003,0.000,0.002,0.000
TCGA-HZ-8636-01A,0.002,0.000,0.019,0.000,0.001,0.000,0.426,0.037,0.075,0.325,0.001,0.106,0.008,0.000,0.000,0.000
TCGA-XD-AAUI-01A,0.007,0.031,0.019,0.000,0.001,0.000,0.492,0.022,0.092,0.229,0.035,0.067,0.004,0.000,0.000,0.000
TCGA-2J-AABT-01A,0.000,0.000,0.019,0.000,0.004,0.000,0.268,0.032,0.076,0.280,0.164,0.153,0.003,0.000,0.000,0.000
TCGA-2J-AABU-01A,0.003,0.003,0.009,0.004,0.001,0.000,0.546,0.023,0.044,0.294,0.017,0.051,0.004,0.000,0.000,0.000
TCGA-HZ-8317-01A,0.006,0.000,0.005,0.000,0.000,0.000,0.527,0.016,0.090,0.204,0.082,0.061,0.006,0.000,0.001,0.000
TCGA-RB-AA9M-01A,0.008,0.001,0.006,0.000,0.009,0.000,0.567,0.027,0.104,0.233,0.006,0.035,0.004,0.000,0.000,0.000
TCGA-2J-AABE-01A,0.000,0.001,0.011,0.000,0.000,0.000,0.488,0.018,0.044,0.327,0.000,0.105,0.005,0.001,0.000,0.000
TCGA-IB-AAUP-01A,0.015,0.157,0.034,0.002,0.024,0.032,0.185,0.060,0.083,0.311,0.015,0.070,0.005,0.001,0.003,0.001
TCGA-FB-AAPZ-01A,0.002,0.000,0.014,0.003,0.005,0.000,0.557,0.021,0.071,0.227,0.009,0.086,0.003,0.000,0.000,0.000
TCGA-IB-7887-01A,0.000,0.000,0.005,0.003,0.002,0.000,0.577,0.016,0.024,0.306,0.000,0.058,0.004,0.003,0.001,0.000
TCGA-2L-AAQJ-01A,0.007,0.015,0.008,0.000,0.002,0.000,0.617,0.007,0.070,0.184,0.007,0.082,0.001,0.000,0.000,0.000
TCGA-RL-AAAS-01A,0.013,0.028,0.013,0.001,0.009,0.000,0.310,0.056,0.088,0.380,0.022,0.065,0.010,0.004,0.000,0.000
TCGA-FB-A4P5-01A,0.022,0.048,0.020,0.001,0.034,0.000,0.229,0.033,0.125,0.320,0.031,0.129,0.006,0.001,0.000,0.001
TCGA-YB-A89D-01A,0.003,0.000,0.012,0.000,0.003,0.000,0.375,0.035,0.072,0.389,0.006,0.099,0.005,0.001,0.000,0.000
TCGA-XD-AAUG-01A,0.008,0.001,0.007,0.000,0.005,0.000,0.116,0.039,0.076,0.672,0.020,0.044,0.013,0.000,0.000,0.000
TCGA-2L-AAQE-01A,0.000,0.018,0.013,0.002,0.005,0.000,0.635,0.014,0.056,0.214,0.006,0.031,0.005,0.000,0.000,0.000
TCGA-FB-AAQ2-01A,0.000,0.007,0.006,0.000,0.000,0.000,0.784,0.014,0.051,0.094,0.029,0.014,0.001,0.000,0.000,0.000
