,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-AG-3896-01A,0.017,0.000,0.005,0.001,0.000,0.001,0.832,0.018,0.039,0.049,0.013,0.024,0.000,0.000,0.000,0.000
TCGA-DC-4745-01A,0.002,0.000,0.007,0.001,0.000,0.000,0.910,0.008,0.030,0.016,0.016,0.009,0.000,0.000,0.000,0.000
TCGA-AH-6903-01A,0.005,0.000,0.007,0.001,0.000,0.000,0.949,0.015,0.008,0.003,0.006,0.004,0.001,0.000,0.000,0.000
TCGA-AG-3599-01A,0.011,0.000,0.008,0.014,0.000,0.000,0.887,0.022,0.014,0.011,0.004,0.025,0.002,0.000,0.001,0.000
TCGA-AG-3581-01A,0.022,0.000,0.006,0.003,0.000,0.000,0.866,0.015,0.032,0.018,0.007,0.025,0.002,0.000,0.002,0.000
TCGA-AG-3881-01A,0.014,0.000,0.002,0.006,0.001,0.000,0.754,0.015,0.040,0.078,0.030,0.053,0.001,0.001,0.003,0.000
TCGA-CL-5917-01A,0.000,0.000,0.003,0.004,0.000,0.000,0.902,0.004,0.023,0.049,0.003,0.009,0.002,0.000,0.000,0.000
TCGA-AG-3902-01A,0.022,0.000,0.017,0.027,0.002,0.000,0.815,0.036,0.019,0.011,0.008,0.040,0.003,0.000,0.000,0.000
TCGA-CI-6624-01C,0.022,0.000,0.021,0.002,0.000,0.001,0.762,0.025,0.037,0.072,0.006,0.048,0.003,0.000,0.000,0.000
TCGA-AF-2692-01A,0.013,0.000,0.005,0.009,0.000,0.002,0.889,0.020,0.014,0.027,0.005,0.016,0.001,0.000,0.000,0.000
TCGA-DC-6683-01A,0.000,0.000,0.009,0.003,0.000,0.000,0.889,0.002,0.014,0.042,0.001,0.038,0.001,0.000,0.000,0.000
TCGA-DC-6682-01A,0.000,0.000,0.004,0.010,0.000,0.000,0.948,0.015,0.010,0.006,0.001,0.006,0.000,0.000,0.000,0.000
TCGA-F5-6702-01A,0.007,0.000,0.011,0.004,0.000,0.001,0.473,0.012,0.041,0.367,0.017,0.064,0.002,0.000,0.000,0.000
TCGA-AF-4110-01A,0.069,0.000,0.011,0.006,0.000,0.001,0.713,0.019,0.042,0.092,0.014,0.029,0.004,0.000,0.001,0.000
TCGA-F5-6861-01A,0.001,0.000,0.003,0.009,0.000,0.000,0.897,0.007,0.018,0.032,0.013,0.020,0.000,0.000,0.000,0.000
TCGA-G5-6235-01A,0.002,0.000,0.003,0.004,0.000,0.000,0.971,0.006,0.009,0.000,0.000,0.002,0.002,0.000,0.000,0.000
TCGA-AG-3999-01A,0.005,0.000,0.003,0.001,0.000,0.000,0.899,0.010,0.018,0.037,0.010,0.014,0.002,0.000,0.001,0.000
TCGA-AG-A02N-01A,0.007,0.000,0.002,0.011,0.013,0.000,0.929,0.001,0.006,0.003,0.000,0.024,0.003,0.000,0.000,0.000
TCGA-AF-6136-01A,0.011,0.000,0.007,0.002,0.000,0.000,0.897,0.014,0.037,0.013,0.003,0.011,0.003,0.000,0.000,0.000
TCGA-AG-3580-01A,0.018,0.000,0.004,0.013,0.000,0.000,0.900,0.018,0.014,0.007,0.007,0.015,0.000,0.000,0.002,0.000
TCGA-DY-A1H8-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.985,0.004,0.005,0.000,0.001,0.000,0.000,0.000,0.000,0.000
TCGA-AG-A032-01A,0.006,0.000,0.007,0.005,0.000,0.002,0.921,0.015,0.017,0.014,0.003,0.010,0.000,0.000,0.000,0.000
TCGA-EI-6512-01A,0.003,0.000,0.005,0.008,0.000,0.000,0.916,0.010,0.024,0.010,0.000,0.022,0.001,0.000,0.000,0.000
TCGA-AG-3575-01A,0.001,0.000,0.002,0.005,0.000,0.000,0.791,0.009,0.035,0.103,0.009,0.041,0.002,0.000,0.002,0.000
TCGA-AF-6672-01A,0.007,0.006,0.008,0.005,0.000,0.013,0.905,0.013,0.009,0.014,0.002,0.016,0.002,0.000,0.000,0.000
TCGA-EI-6514-01A,0.001,0.000,0.004,0.003,0.000,0.000,0.852,0.010,0.027,0.056,0.025,0.021,0.000,0.000,0.000,0.000
TCGA-AH-6644-01A,0.000,0.000,0.007,0.009,0.001,0.000,0.780,0.007,0.047,0.113,0.004,0.029,0.002,0.000,0.000,0.000
TCGA-AF-6655-01A,0.004,0.000,0.003,0.004,0.000,0.000,0.794,0.002,0.041,0.117,0.011,0.022,0.002,0.000,0.001,0.000
TCGA-AF-A56K-01A,0.009,0.000,0.007,0.006,0.000,0.000,0.770,0.013,0.067,0.082,0.017,0.028,0.000,0.000,0.000,0.000
TCGA-G5-6641-01A,0.004,0.000,0.001,0.000,0.000,0.000,0.981,0.005,0.003,0.000,0.002,0.003,0.000,0.000,0.000,0.000
TCGA-DY-A1DG-01A,0.000,0.000,0.000,0.004,0.000,0.000,0.970,0.007,0.013,0.000,0.001,0.004,0.000,0.000,0.000,0.000
TCGA-AG-4001-01A,0.006,0.000,0.009,0.005,0.000,0.000,0.701,0.013,0.042,0.145,0.016,0.063,0.000,0.000,0.000,0.000
TCGA-AG-A026-01A,0.002,0.000,0.000,0.004,0.000,0.000,0.902,0.006,0.021,0.005,0.047,0.013,0.000,0.000,0.000,0.000
TCGA-EI-7004-01A,0.005,0.003,0.008,0.004,0.000,0.001,0.441,0.009,0.127,0.302,0.030,0.065,0.004,0.000,0.001,0.000
TCGA-AG-3878-01A,0.019,0.000,0.016,0.009,0.000,0.000,0.729,0.029,0.024,0.130,0.005,0.033,0.002,0.000,0.002,0.000
TCGA-AG-3611-01A,0.018,0.000,0.001,0.000,0.000,0.001,0.923,0.010,0.008,0.009,0.000,0.024,0.003,0.000,0.001,0.000
TCGA-AF-3400-01A,0.008,0.000,0.006,0.006,0.000,0.000,0.539,0.014,0.054,0.150,0.015,0.134,0.002,0.001,0.026,0.046
TCGA-G5-6572-01A,0.000,0.000,0.001,0.001,0.000,0.003,0.788,0.007,0.039,0.134,0.013,0.014,0.000,0.000,0.000,0.000
TCGA-AG-3574-01A,0.009,0.000,0.002,0.001,0.000,0.000,0.894,0.012,0.018,0.028,0.017,0.017,0.000,0.000,0.001,0.000
TCGA-AG-3605-01A,0.010,0.000,0.003,0.002,0.000,0.001,0.944,0.007,0.013,0.002,0.006,0.010,0.000,0.000,0.001,0.000
TCGA-AG-3731-01A,0.021,0.004,0.015,0.010,0.011,0.001,0.653,0.014,0.072,0.116,0.028,0.049,0.003,0.000,0.002,0.000
TCGA-AG-A01J-01A,0.009,0.000,0.004,0.006,0.000,0.000,0.944,0.009,0.012,0.001,0.003,0.012,0.000,0.000,0.000,0.000
TCGA-AG-A01N-01A,0.002,0.000,0.002,0.002,0.000,0.000,0.938,0.008,0.017,0.015,0.007,0.007,0.000,0.000,0.001,0.000
TCGA-DT-5265-01A,0.002,0.000,0.004,0.003,0.000,0.000,0.709,0.001,0.017,0.162,0.027,0.070,0.005,0.000,0.000,0.000
TCGA-AG-A00Y-01A,0.012,0.000,0.010,0.005,0.000,0.001,0.915,0.018,0.013,0.011,0.005,0.009,0.001,0.000,0.000,0.000
TCGA-AH-6547-01A,0.060,0.020,0.019,0.004,0.013,0.000,0.589,0.025,0.065,0.090,0.016,0.088,0.010,0.000,0.001,0.000
TCGA-AH-6549-01A,0.004,0.000,0.009,0.003,0.000,0.000,0.857,0.008,0.033,0.047,0.016,0.022,0.000,0.000,0.000,0.000
TCGA-AF-A56L-01A,0.003,0.000,0.003,0.007,0.000,0.000,0.896,0.008,0.019,0.046,0.002,0.014,0.002,0.000,0.000,0.000
