,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-AA-3713-01A,0.042,0.000,0.007,0.030,0.001,0.000,0.808,0.013,0.038,0.015,0.005,0.035,0.004,0.000,0.000,0.000
TCGA-AA-3527-01A,0.011,0.000,0.003,0.015,0.000,0.000,0.862,0.018,0.015,0.036,0.012,0.026,0.001,0.000,0.001,0.000
TCGA-AA-3673-01A,0.008,0.000,0.009,0.006,0.000,0.000,0.842,0.017,0.029,0.055,0.011,0.018,0.004,0.000,0.000,0.000
TCGA-AA-3856-01A,0.027,0.000,0.016,0.006,0.002,0.001,0.816,0.048,0.023,0.016,0.006,0.035,0.002,0.000,0.001,0.000
TCGA-CM-6676-01A,0.000,0.000,0.004,0.003,0.000,0.000,0.869,0.009,0.030,0.050,0.017,0.017,0.000,0.000,0.000,0.000
TCGA-A6-2679-01A,0.061,0.000,0.010,0.005,0.006,0.011,0.832,0.012,0.019,0.021,0.003,0.015,0.002,0.001,0.000,0.000
TCGA-DM-A28M-01A,0.000,0.000,0.002,0.002,0.000,0.000,0.978,0.005,0.005,0.000,0.005,0.003,0.000,0.000,0.000,0.000
TCGA-AA-A010-01A,0.011,0.000,0.002,0.011,0.000,0.000,0.901,0.009,0.018,0.007,0.005,0.037,0.000,0.000,0.000,0.000
TCGA-AD-6548-01A,0.008,0.000,0.009,0.013,0.000,0.000,0.796,0.006,0.036,0.073,0.008,0.048,0.002,0.000,0.001,0.000
TCGA-AA-3554-01A,0.022,0.000,0.009,0.007,0.009,0.000,0.665,0.013,0.042,0.108,0.015,0.099,0.004,0.000,0.006,0.000
TCGA-CK-5913-01A,0.000,0.000,0.003,0.017,0.000,0.000,0.843,0.020,0.025,0.052,0.001,0.035,0.001,0.000,0.001,0.000
TCGA-AA-A01S-01A,0.001,0.000,0.001,0.002,0.000,0.000,0.973,0.007,0.008,0.000,0.000,0.007,0.000,0.000,0.000,0.000
TCGA-AA-3660-01A,0.011,0.000,0.005,0.004,0.000,0.000,0.869,0.013,0.020,0.042,0.009,0.024,0.002,0.000,0.001,0.000
TCGA-CM-6166-01A,0.000,0.000,0.002,0.002,0.000,0.000,0.904,0.003,0.016,0.054,0.012,0.007,0.000,0.000,0.000,0.000
TCGA-AA-A01P-01A,0.034,0.000,0.014,0.053,0.000,0.000,0.639,0.022,0.041,0.076,0.009,0.108,0.000,0.000,0.003,0.000
TCGA-DM-A28G-01A,0.009,0.000,0.000,0.006,0.000,0.000,0.954,0.010,0.006,0.005,0.001,0.007,0.000,0.000,0.000,0.000
TCGA-CA-5256-01A,0.007,0.000,0.001,0.004,0.000,0.000,0.940,0.014,0.009,0.015,0.005,0.005,0.000,0.000,0.000,0.000
TCGA-CM-6675-01A,0.000,0.000,0.003,0.024,0.000,0.000,0.875,0.001,0.011,0.047,0.000,0.035,0.002,0.000,0.000,0.000
TCGA-AA-A029-01A,0.001,0.000,0.001,0.003,0.000,0.000,0.965,0.006,0.010,0.000,0.000,0.012,0.001,0.000,0.000,0.000
TCGA-AA-3678-01A,0.026,0.000,0.007,0.005,0.000,0.000,0.857,0.026,0.020,0.027,0.010,0.019,0.000,0.000,0.002,0.000
TCGA-A6-6140-01A,0.011,0.000,0.010,0.013,0.000,0.000,0.902,0.009,0.031,0.005,0.003,0.015,0.000,0.000,0.000,0.000
TCGA-AA-3986-01A,0.058,0.000,0.020,0.010,0.000,0.008,0.747,0.048,0.022,0.040,0.009,0.032,0.003,0.000,0.001,0.000
TCGA-G4-6293-01A,0.042,0.000,0.022,0.013,0.000,0.000,0.847,0.022,0.024,0.009,0.001,0.019,0.001,0.000,0.000,0.000
TCGA-D5-6538-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.962,0.004,0.013,0.003,0.008,0.008,0.000,0.000,0.000,0.000
TCGA-AA-3941-01A,0.007,0.000,0.005,0.001,0.000,0.000,0.929,0.006,0.014,0.007,0.007,0.021,0.002,0.000,0.000,0.000
TCGA-G4-6317-01A,0.000,0.000,0.000,0.008,0.000,0.000,0.982,0.000,0.007,0.000,0.000,0.002,0.001,0.000,0.000,0.000
