,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-A5-A0GR-01A,0.163,0.005,0.021,0.004,0.019,0.000,0.011,0.067,0.016,0.013,0.047,0.003,0.002,0.000,0.001,0.628,0.628
TCGA-D1-A0ZN-01A,0.001,0.000,0.016,0.010,0.015,0.000,0.018,0.076,0.118,0.019,0.045,0.001,0.000,0.000,0.000,0.682,0.682
TCGA-BS-A0TG-01A,0.003,0.000,0.007,0.007,0.001,0.000,0.022,0.017,0.175,0.007,0.018,0.002,0.000,0.000,0.000,0.739,0.739
TCGA-BG-A0MO-01A,0.010,0.000,0.012,0.000,0.016,0.000,0.013,0.016,0.001,0.000,0.048,0.001,0.000,0.000,0.000,0.883,0.883
TCGA-D1-A15X-01A,0.024,0.000,0.013,0.063,0.001,0.000,0.011,0.008,0.000,0.000,0.034,0.014,0.000,0.000,0.000,0.832,0.832
TCGA-B5-A0K8-01A,0.003,0.002,0.003,0.013,0.012,0.000,0.006,0.019,0.033,0.011,0.018,0.000,0.000,0.000,0.000,0.880,0.880
TCGA-DI-A1BU-01A,0.001,0.000,0.005,0.013,0.011,0.000,0.005,0.009,0.067,0.003,0.025,0.000,0.000,0.000,0.000,0.859,0.859
TCGA-EY-A1GI-01A,0.015,0.000,0.006,0.012,0.001,0.000,0.003,0.029,0.080,0.001,0.034,0.000,0.000,0.000,0.000,0.818,0.818
TCGA-EY-A215-01A,0.007,0.000,0.012,0.064,0.001,0.000,0.002,0.004,0.009,0.007,0.004,0.001,0.000,0.000,0.000,0.890,0.890
TCGA-D1-A3DG-01A,0.000,0.000,0.004,0.000,0.009,0.000,0.001,0.021,0.008,0.005,0.018,0.001,0.000,0.000,0.000,0.933,0.933
TCGA-EO-A22U-01A,0.019,0.000,0.000,0.012,0.007,0.000,0.005,0.007,0.017,0.008,0.015,0.000,0.000,0.000,0.000,0.909,0.909
TCGA-AX-A3FW-01A,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.001,0.000,0.001,0.011,0.000,0.000,0.000,0.000,0.984,0.984
TCGA-AP-A1DP-01A,0.016,0.000,0.003,0.010,0.001,0.000,0.035,0.018,0.027,0.012,0.017,0.004,0.000,0.000,0.000,0.857,0.857
TCGA-A5-A0GG-01A,0.018,0.000,0.013,0.007,0.019,0.000,0.017,0.049,0.065,0.032,0.046,0.003,0.000,0.000,0.000,0.729,0.729
TCGA-AP-A05D-01A,0.001,0.000,0.005,0.015,0.002,0.000,0.036,0.003,0.027,0.004,0.087,0.006,0.000,0.000,0.000,0.812,0.812
TCGA-KP-A3W3-01A,0.006,0.000,0.013,0.000,0.014,0.000,0.023,0.030,0.035,0.006,0.062,0.002,0.000,0.000,0.000,0.809,0.809
TCGA-B5-A5OC-01A,0.027,0.002,0.027,0.032,0.027,0.000,0.036,0.088,0.092,0.024,0.078,0.002,0.000,0.000,0.000,0.565,0.565
TCGA-BG-A0MU-01A,0.029,0.000,0.004,0.002,0.013,0.000,0.011,0.013,0.001,0.009,0.053,0.002,0.000,0.000,0.000,0.864,0.864
TCGA-D1-A0ZV-01A,0.023,0.000,0.007,0.014,0.017,0.000,0.042,0.034,0.050,0.003,0.133,0.003,0.002,0.000,0.000,0.673,0.673
