,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-NK-A5CT-01A,0.001,0.000,0.005,0.011,0.002,0.000,0.006,0.040,0.001,0.000,0.012,0.002,0.000,0.013,0.000,0.907,0.907
TCGA-46-6025-01A,0.009,0.000,0.006,0.002,0.008,0.000,0.001,0.030,0.049,0.000,0.043,0.000,0.000,0.000,0.000,0.852,0.852
TCGA-NK-A7XE-01A,0.000,0.001,0.002,0.011,0.001,0.000,0.011,0.014,0.003,0.000,0.013,0.000,0.000,0.010,0.000,0.934,0.934
TCGA-33-AASI-01A,0.031,0.017,0.017,0.008,0.004,0.000,0.022,0.037,0.019,0.010,0.014,0.000,0.000,0.000,0.000,0.822,0.822
TCGA-56-A4ZJ-01A,0.001,0.001,0.015,0.000,0.005,0.000,0.027,0.081,0.194,0.027,0.125,0.002,0.001,0.008,0.001,0.511,0.511
TCGA-34-5239-01A,0.024,0.002,0.035,0.017,0.019,0.001,0.050,0.047,0.216,0.015,0.053,0.007,0.000,0.007,0.000,0.507,0.507
TCGA-66-2754-01A,0.001,0.001,0.006,0.004,0.002,0.000,0.005,0.015,0.018,0.006,0.029,0.001,0.000,0.000,0.000,0.912,0.912
TCGA-66-2756-01A,0.027,0.000,0.010,0.000,0.021,0.000,0.000,0.022,0.043,0.029,0.035,0.001,0.000,0.000,0.001,0.811,0.811
TCGA-58-8390-01A,0.007,0.001,0.021,0.000,0.009,0.001,0.026,0.030,0.188,0.000,0.024,0.000,0.000,0.008,0.002,0.682,0.682
TCGA-77-A5GB-01B,0.041,0.001,0.015,0.008,0.017,0.000,0.013,0.050,0.117,0.001,0.067,0.003,0.000,0.014,0.002,0.650,0.650
TCGA-O2-A52S-01A,0.016,0.002,0.017,0.005,0.025,0.000,0.022,0.028,0.027,0.001,0.075,0.004,0.000,0.003,0.000,0.774,0.774
TCGA-60-2713-01A,0.007,0.003,0.025,0.000,0.022,0.000,0.016,0.038,0.159,0.008,0.173,0.004,0.000,0.001,0.000,0.544,0.544
