,B Cells_marker_mean,CAFs_marker_mean,CD4 T_marker_mean,CD8 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,Monocytes_marker_mean,Myofibroblasts_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean
TCGA-OR-A5KV-01A,5.472,77.047,2.424,6.717,1.000,82.202,41.162,1.473,1.000,946.137,2.824,1.000,12.227
TCGA-OR-A5JE-01A,95.771,7.091,6.054,1.000,1.129,121.510,279.619,1.299,1.000,2185.962,2.600,1.070,13.630
TCGA-PK-A5HB-01A,2.797,13.464,86.832,1.000,1.000,383.498,65.112,3.188,1.000,2080.975,1.856,1.000,2.981
TCGA-OR-A5JM-01A,29.256,12.518,7.832,1.000,1.000,61.609,20.351,1.000,1.000,455.870,1.000,1.000,35.844
TCGA-OR-A5JD-01A,1.134,12.027,12.553,2.856,3.830,47.083,129.287,3.014,1.000,374.534,13.601,1.164,1.916
TCGA-OR-A5LN-01A,1.035,5.901,7.892,3.176,1.000,41.003,124.965,1.648,1.000,659.831,14.267,1.190,38.906
TCGA-OR-A5K6-01A,4.999,4.376,8.437,1.000,1.000,75.687,143.910,1.000,1.000,382.993,1.763,1.000,30.641
TCGA-OR-A5JR-01A,1.214,13.228,15.521,2.350,1.914,137.554,132.688,3.827,1.000,1109.755,18.492,1.421,12.409
TCGA-OR-A5L6-01A,4.781,9.158,13.430,1.000,1.000,46.875,58.516,1.234,1.000,627.231,17.387,1.000,33.796
TCGA-OR-A5JI-01A,1.216,18.770,6.373,2.030,1.575,78.298,63.976,1.544,1.000,524.504,7.863,1.000,4.152
TCGA-OR-A5J2-01A,22.353,55.421,6.252,1.570,2.283,156.469,88.139,2.254,1.136,771.843,5.430,1.000,86.645
TCGA-OR-A5LL-01A,4.651,13.063,25.465,1.000,1.000,29.525,71.492,1.000,1.000,990.821,8.264,67.974,37.653
TCGA-OR-A5K1-01A,2.144,13.549,11.846,1.000,1.914,192.583,84.025,2.502,1.492,1065.557,30.163,1.000,119.030
TCGA-PK-A5HA-01A,1.289,20.731,31.019,2.422,5.275,107.823,467.357,3.009,1.137,330.268,15.823,1.503,49.943
TCGA-OR-A5LR-01A,3.029,12.457,102.519,1.008,1.968,73.175,122.292,7.573,1.000,880.412,5.171,1.000,324.370
TCGA-OR-A5JX-01A,5.090,3.707,4.097,1.000,1.000,134.216,74.399,1.000,1.000,603.604,8.019,1.369,5.498
TCGA-OU-A5PI-01A,5.483,63.528,25.632,1.030,1.248,62.396,89.595,1.000,1.000,557.845,4.399,1.000,4.501
TCGA-OR-A5JA-01A,6.810,5.129,42.591,1.000,1.000,69.337,106.335,1.000,1.000,487.940,6.113,1.000,85.370
TCGA-OR-A5KY-01A,61.441,34.040,25.227,1.182,1.742,97.816,288.089,1.000,1.000,575.207,4.246,1.753,1.283
TCGA-OR-A5L9-01A,1.000,3.098,5.218,1.000,1.000,25.903,58.691,6.351,1.000,446.421,9.387,1.000,4.933
TCGA-PK-A5H9-01A,6.984,10.083,19.580,1.899,5.771,193.933,125.588,7.090,2.993,971.495,17.451,1.424,176.026
TCGA-OR-A5JK-01A,5.973,7.142,11.780,19.533,1.475,40.479,333.952,1.000,1.209,619.598,58.052,1.830,22.148
TCGA-OR-A5LJ-01A,16.441,18.564,6.712,8.331,1.000,44.040,93.945,1.000,1.000,582.972,16.206,1.000,37.448
TCGA-OR-A5K9-01A,7.696,20.331,17.648,1.000,1.000,85.008,58.600,1.000,1.000,636.319,1.000,1.000,2.398
TCGA-OR-A5LA-01A,1.877,8.533,14.729,1.241,2.197,94.457,246.554,132.920,1.000,646.799,18.963,1.000,31.143
TCGA-OR-A5JP-01A,11.347,35.287,15.456,1.000,1.000,100.727,98.664,1.898,1.000,526.266,2.324,1.000,52.313
TCGA-OR-A5LE-01A,79.289,1.000,1.000,1.000,1.000,77.520,16.780,1.000,1.000,14.992,1.663,1.000,45.379
TCGA-OR-A5JB-01A,12.451,12.916,48.519,36.170,3.900,36.543,1720.052,4.617,1.527,138.375,200.260,6.031,209.890
TCGA-OR-A5J3-01A,34.356,9.738,15.168,1.000,1.000,93.811,45.677,1.734,1.000,188.985,12.120,1.000,47.125
TCGA-OR-A5JQ-01A,14.026,37.965,22.761,7.447,6.321,101.496,270.871,11.509,1.000,377.455,25.871,1.087,33.202
TCGA-OR-A5J7-01A,92.118,10.101,8.337,1.000,1.000,160.557,52.802,1.000,1.000,1059.290,3.281,1.000,28.683
TCGA-OR-A5KZ-01A,6.301,237.549,7.572,1.346,4.353,247.648,141.781,1.000,1.000,954.669,14.930,1.000,35.028
TCGA-OR-A5KW-01A,3.125,11.801,4.161,1.000,1.000,66.967,60.148,1.000,1.000,172.973,19.393,1.000,2.726
TCGA-PA-A5YG-01A,1.394,18.134,20.226,5.455,5.269,164.289,247.369,94.030,1.000,595.562,39.806,1.782,12.467
TCGA-OR-A5J9-01A,14.562,37.343,6.871,1.000,1.000,195.592,40.369,1.000,3.317,748.572,14.237,1.000,2.532
TCGA-OR-A5K4-01A,2.303,7.758,63.964,1.000,1.000,39.570,28.484,1.000,1.000,1699.184,8.392,1.000,44.951
TCGA-OR-A5K2-01A,179.343,3.924,7.619,1.000,1.250,113.629,210.449,1.000,1.000,1097.323,3.097,1.000,3.886
TCGA-OR-A5JO-01A,4.190,70.194,64.165,9.648,31.203,255.545,1484.636,186.181,8.223,1230.174,186.002,2.797,179.116
TCGA-OR-A5KU-01A,19.941,14.980,4.153,1.000,1.000,47.684,44.562,1.110,1.000,399.181,4.791,1.000,3.829
TCGA-OR-A5LB-01A,12.022,6.163,3.938,1.000,1.000,144.783,34.869,1.000,1.000,22.532,2.352,1.000,7.248
TCGA-OR-A5L8-01A,21.886,175.924,6.048,1.000,1.000,37.215,43.908,1.000,1.000,284.789,5.137,1.000,20.023
TCGA-OR-A5J8-01A,11.489,1056.077,93.369,20.589,8.627,198.228,3725.470,9.731,2.497,48.516,94.084,4.492,1.000
TCGA-OR-A5LS-01A,34.327,12.336,17.769,1.000,1.000,38.421,114.992,2.497,1.000,529.175,7.363,1.000,25.736
TCGA-OR-A5JW-01A,3.110,7.590,109.374,1.000,1.017,95.560,78.037,2.925,1.000,494.112,1.859,1.471,1.187
TCGA-OR-A5JC-01A,3.752,9.940,11.253,1.000,2.279,67.473,142.270,1.691,1.000,797.325,12.629,1.000,57.455
TCGA-OR-A5LP-01A,1.660,45.510,22.862,1.387,1.909,88.658,400.134,16.104,1.000,646.805,13.874,1.545,23.872
TCGA-OR-A5J1-01A,3.410,6.911,6.565,1.000,1.834,45.066,178.562,1.610,1.000,677.652,6.143,1.371,2.537
TCGA-OR-A5K0-01A,257.135,8.195,1.679,1.000,1.000,29.634,57.465,1.000,1.000,332.280,4.691,1.000,73.241
TCGA-OR-A5K8-01A,1.618,4.152,12.496,1.000,1.000,31.330,28.645,1.000,1.000,394.500,4.355,1.000,2.005
TCGA-OR-A5L5-01A,30.112,55.603,19.837,3.119,4.419,44.708,240.145,69.591,2.337,1079.698,33.085,1.135,186.705
TCGA-OR-A5KT-01A,17.449,83.367,37.110,2.565,7.434,440.183,862.784,1.000,7.170,1577.408,26.823,6.190,10.924
TCGA-OR-A5JF-01A,8.751,5.839,48.418,1.000,1.000,61.848,29.591,1.000,1.000,662.529,2.698,1.000,11.742
TCGA-OR-A5L4-01A,1.700,5.662,21.176,1.000,1.000,154.953,98.850,1.000,1.000,656.052,5.423,1.000,6.667
TCGA-OR-A5JS-01A,45.614,3.430,4.467,1.188,1.000,75.120,37.671,1.000,1.000,977.882,12.189,1.000,17.934
TCGA-OR-A5K5-01A,117.694,3.971,1.726,1.000,1.000,95.339,97.442,1.000,1.000,808.434,4.608,1.000,34.519
TCGA-OR-A5JG-01A,4.336,10.114,54.461,1.000,1.000,80.354,145.427,3.724,1.000,661.960,2.760,1.000,1.000
TCGA-PK-A5H8-01A,1.669,5.560,18.832,1.000,1.000,75.891,227.521,1.000,1.774,1364.141,7.906,2.767,23.213
TCGA-HQ-A5NE-01A,5.369,567.179,22.747,1.836,3.487,99.538,96.702,14.072,6.587,142.636,8.992,4.193,2855.498
TCGA-FD-A5BT-01A,33.050,1542.632,50.866,23.785,12.801,91.903,2150.438,57.024,13.852,1006.377,204.480,2.683,4555.378
TCGA-DK-A3IQ-01A,16.046,3868.394,35.394,1.000,1.255,122.145,191.448,70.504,1.755,1560.723,4.659,1.081,1063.299
TCGA-ZF-AA4X-01A,6.486,23.274,7.580,1.018,3.611,24.763,11.816,6.174,1.000,7.861,3.095,2.043,2044.505
TCGA-GD-A3OQ-01A,3.788,530.561,10.916,1.525,2.414,49.792,40.682,6.449,1.669,72.860,4.425,1.880,2532.841
TCGA-ZF-AA51-01A,21.829,276.633,27.655,8.421,6.464,63.043,276.886,10.212,2.514,68.074,37.649,3.209,1274.322
TCGA-FD-A3SS-01A,5.158,172.972,6.394,1.000,1.000,25.625,33.993,3.031,1.000,147.526,2.064,10.654,2812.480
TCGA-DK-AA71-01A,4.469,120.728,5.815,3.883,1.000,62.404,104.417,1.683,1.000,62.669,12.182,1.000,5563.989
TCGA-4Z-AA83-01A,2.161,393.304,13.202,1.169,2.578,97.847,110.637,4.609,1.190,89.984,7.207,7.712,2010.287
TCGA-ZF-A9R4-01A,8.373,19.472,9.373,3.896,1.755,43.331,118.980,1.000,1.000,17.893,35.588,1.000,2958.056
TCGA-BT-A20P-01A,6.943,173.750,3.932,7.656,1.000,50.398,28.260,1.000,1.003,64.539,3.737,1.553,3829.148
TCGA-HQ-A2OE-01A,7.445,31.880,10.195,3.568,4.467,42.282,43.781,4.084,1.445,43.759,4.549,29.230,2409.772
TCGA-R3-A69X-01A,22.853,740.522,49.331,9.494,31.350,132.447,318.558,83.629,9.925,649.485,26.887,19.788,2505.051
TCGA-BT-A3PH-01A,2.986,133.589,5.880,1.000,1.000,83.199,51.721,2.903,1.000,49.797,2.873,24.602,2836.220
TCGA-UY-A9PA-01A,2.693,66.722,22.760,15.898,5.067,57.476,187.494,13.627,1.000,14.352,40.639,1.704,3057.402
TCGA-BL-A13J-01B,23.956,571.887,56.706,10.759,9.329,58.475,117.119,1.467,2.253,110.806,10.162,15.422,1091.022
TCGA-CF-A3MI-01A,1.684,31.322,3.876,1.157,1.527,61.938,19.767,10.435,1.000,37.586,6.280,1.000,1384.036
TCGA-XF-AAMW-01A,9.988,883.615,29.789,1.717,6.368,87.283,272.726,5.104,1.790,73.699,8.433,4.798,2960.126
TCGA-H4-A2HQ-01A,13.654,81.188,10.407,13.078,1.000,48.215,59.045,2.807,1.000,95.497,5.520,1.000,2816.974
TCGA-HQ-A5ND-01A,4.544,141.419,7.371,4.665,1.000,21.678,32.273,3.570,1.000,64.925,15.240,1.720,2894.585
TCGA-K4-A6FZ-01A,7.577,68.116,33.641,6.473,7.868,93.466,270.442,34.292,5.443,29.716,21.582,11.189,2947.028
TCGA-DK-A3IV-01A,26.351,49.292,45.600,13.108,15.306,42.752,203.195,21.339,1.000,22.283,37.536,3.165,1602.820
TCGA-E7-A3X6-01A,9.841,275.196,23.244,13.180,2.719,78.755,249.986,8.478,1.000,119.153,66.836,13.879,2730.529
TCGA-BT-A42F-01A,70.258,110.961,35.194,15.108,10.219,55.138,548.971,29.261,5.904,32.745,115.339,6.055,69.767
TCGA-UY-A8OB-01A,1.347,98.294,17.435,6.869,1.404,7.502,165.280,3.478,3.566,80.600,46.312,1.000,3302.767
TCGA-DK-A1A3-01A,9.510,482.605,26.614,5.362,6.508,104.171,314.039,36.919,1.278,119.839,15.739,1.413,3864.614
TCGA-DK-AA6X-01A,10.296,280.360,22.206,7.761,16.135,56.136,132.984,25.974,2.729,60.137,9.037,8.150,2364.853
TCGA-G2-A3IE-01A,10.014,63.608,8.817,1.000,1.000,32.216,46.893,13.286,1.000,25.477,4.011,1.000,1669.574
TCGA-FD-A5BU-01A,30.213,723.357,35.141,3.614,9.286,87.906,758.035,38.605,1.341,506.662,37.057,2.540,554.520
TCGA-C4-A0EZ-01A,6.021,74.127,4.907,2.205,2.098,120.380,78.581,1.808,1.000,167.067,6.749,1.000,796.156
TCGA-FD-A3B3-01A,64.919,1007.216,72.420,26.056,13.370,94.433,742.303,61.465,8.828,267.169,131.471,19.352,548.818
TCGA-FD-A5BZ-01A,21.917,2961.672,15.246,1.000,2.719,91.916,125.624,56.610,1.886,599.841,2.360,1.877,4748.814
TCGA-C4-A0F7-01A,6.386,158.143,7.021,1.085,1.416,94.058,35.938,10.629,3.052,118.961,3.402,1.000,2291.654
TCGA-XF-AAMR-01A,4.848,819.918,19.285,1.414,11.731,100.670,221.656,70.217,2.025,3382.638,11.140,5.319,1622.478
TCGA-XF-AAN7-01A,7.969,571.256,16.259,2.426,4.493,329.117,345.050,4.911,1.918,203.992,15.883,1.714,191.675
TCGA-UY-A8OD-01A,13.889,428.412,15.290,7.184,5.459,71.931,136.167,32.538,1.191,761.594,18.837,7.468,1711.415
TCGA-FD-A3SP-01A,22.040,2372.824,132.178,16.455,15.256,170.185,1067.399,52.528,14.054,699.869,117.546,8.564,1588.358
TCGA-DK-A2HX-01A,7.328,1062.269,21.300,2.168,5.768,103.666,265.003,48.213,2.559,943.696,7.230,2.255,1929.188
TCGA-CF-A8HX-01A,2.347,76.222,4.143,1.000,1.000,15.625,10.827,1.000,1.000,26.552,1.158,2.064,923.702
TCGA-E7-A85H-01A,12.992,178.065,13.277,8.958,4.752,52.825,233.426,2.307,1.000,107.202,32.717,1.182,2473.363
TCGA-ZF-A9RL-01A,3.784,62.940,14.109,1.000,1.000,19.409,5.232,1.000,1.000,15.097,1.417,2.400,2554.531
TCGA-UY-A9PB-01A,84.233,1149.854,66.697,31.813,7.644,76.043,1320.786,30.923,11.586,414.871,173.944,5.770,1197.263
TCGA-GV-A3JV-01A,19.035,220.698,27.884,11.284,5.441,100.052,201.916,13.735,1.000,88.424,37.457,1.000,1639.480
TCGA-GD-A6C6-01A,8.533,43.066,2.440,1.000,1.000,47.633,133.652,3.671,1.000,81.345,15.301,1.000,4399.813
TCGA-XF-A9SW-01A,21.582,855.533,27.496,3.156,14.362,205.692,438.110,76.381,5.355,3775.301,18.556,9.773,674.892
TCGA-GV-A3QI-01A,27.789,24.500,5.387,3.838,1.000,168.144,21.934,1.359,1.000,45.426,3.553,1.000,689.062
TCGA-UY-A9PE-01A,25.168,235.377,3.906,1.021,1.123,42.796,49.886,11.149,1.115,315.711,4.357,1.000,2997.776
TCGA-E7-A97P-01A,8.369,498.623,23.327,68.856,5.869,83.917,354.609,12.621,1.398,219.837,266.588,2.897,3055.059
TCGA-G2-AA3D-01A,11.463,54.785,5.012,1.207,3.347,23.254,21.593,9.337,1.000,13.638,4.045,2.325,2546.790
TCGA-BL-A3JM-01A,8.189,71.039,16.926,15.012,4.160,93.120,232.080,15.838,1.000,81.701,34.918,1.307,1785.922
TCGA-GV-A3JZ-01A,8.357,247.433,12.424,3.886,1.696,93.598,192.151,7.180,1.000,108.714,12.005,2.040,2395.903
TCGA-ZF-A9R5-01A,12.448,52.340,10.342,4.639,2.683,37.946,44.199,1.000,1.000,23.254,14.132,1.000,2840.229
TCGA-UY-A9PH-01A,39.658,251.486,52.548,18.724,16.033,118.278,865.584,17.413,21.302,77.100,74.637,4.953,2987.796
TCGA-E7-A7XN-01A,4.028,24.992,23.489,70.931,12.232,30.292,515.729,6.470,1.096,20.642,334.822,2.623,3912.829
TCGA-XF-A9T8-01A,7.352,294.659,48.431,31.279,7.868,102.774,758.031,27.446,2.872,85.550,140.639,44.411,2316.002
TCGA-DK-A3X1-01A,4.998,470.739,4.690,1.150,1.000,41.263,32.355,11.758,1.592,64.116,4.172,1.000,1202.178
TCGA-E5-A4TZ-01A,6.522,17.546,7.140,1.303,1.980,44.551,103.796,13.530,1.000,11.410,3.366,2.457,1299.704
TCGA-XF-AAN3-01A,6.194,597.093,31.614,2.117,11.126,26.964,161.306,22.099,2.484,204.361,8.687,3.372,1846.254
TCGA-E7-A7DV-01A,6.045,410.368,189.545,4.901,6.490,35.166,3608.055,2.065,12.636,312.104,33.549,9.564,2173.149
TCGA-BT-A20O-01A,71.597,460.018,201.111,189.200,32.229,117.898,3945.887,125.543,7.441,122.274,705.313,15.418,17.730
TCGA-XF-AAMY-01A,9.206,684.245,16.594,1.000,4.420,113.763,135.866,31.402,11.315,201.736,8.090,5.476,2286.723
TCGA-BT-A20V-01A,6.088,53.096,35.358,6.204,5.095,13.292,171.578,1.509,5.143,101.401,41.483,1.448,2430.517
TCGA-GC-A3BM-01A,9.985,228.927,10.667,7.614,2.542,82.502,93.952,2.400,1.247,48.673,7.659,1.211,2447.809
TCGA-K4-A4AB-01B,6.709,651.882,16.484,1.533,3.968,62.421,280.409,21.880,1.100,371.087,6.359,2.756,2971.242
TCGA-FD-A5C0-01A,7.232,348.728,11.865,3.134,7.058,43.040,103.226,42.431,2.726,584.408,7.003,4.553,3424.057
TCGA-G2-A2EK-01A,16.781,199.655,16.952,1.685,7.441,35.378,25.813,20.725,1.000,208.270,5.056,1.717,1645.487
TCGA-CF-A1HR-01A,10.258,170.371,10.563,5.741,5.521,89.297,72.646,20.074,1.000,108.920,16.562,7.986,2439.131
TCGA-GC-A3RD-01A,5.404,177.720,10.224,1.265,1.408,35.562,59.035,4.717,3.177,61.000,3.590,1.988,1512.441
TCGA-E7-A5KE-01A,6.715,15.434,3.559,1.000,1.000,42.969,4.789,1.210,1.000,15.775,1.304,7.656,3265.685
TCGA-ZF-A9R9-01A,12.946,558.622,7.139,1.000,1.572,37.389,74.375,20.415,1.000,390.811,5.412,1.379,459.144
TCGA-DK-A1AB-01A,16.039,952.992,40.403,4.772,6.203,48.567,302.868,32.141,1.450,388.528,26.312,4.148,912.529
TCGA-GU-A42R-01A,3.393,68.484,4.748,2.714,1.000,69.284,21.406,3.526,1.000,31.752,5.530,1.308,2529.772
TCGA-E7-A5KF-01A,5.016,102.884,5.718,1.000,1.000,39.748,6.141,1.000,1.000,8.554,1.556,1.000,4803.825
TCGA-ZF-AA54-01A,6.161,178.636,126.826,9.051,23.433,172.962,3271.005,21.367,2.299,630.203,58.986,6.839,95.863
TCGA-CF-A3MF-01A,1.174,16.450,1.630,1.000,1.000,38.355,3.298,1.092,1.000,22.289,1.027,1.000,642.047
TCGA-E7-A6ME-01A,15.317,54.554,11.162,25.154,2.044,72.665,166.650,32.400,1.896,109.169,51.026,3.477,1276.696
TCGA-DK-AA6M-01A,10.520,315.272,69.565,3.378,14.204,92.289,1357.642,85.499,1.101,157.691,57.128,6.451,2125.006
TCGA-CF-A47W-01A,4.497,67.105,7.187,1.000,1.000,53.924,22.349,2.010,1.000,62.376,6.631,1.000,3977.290
TCGA-XF-A9ST-01A,11.457,116.049,2.003,1.000,3.130,52.601,13.566,2.540,1.000,85.263,1.026,168.861,2223.164
TCGA-FD-A3SN-01A,21.380,1447.685,8.135,3.807,1.232,53.703,131.766,11.386,2.723,211.117,36.097,2.918,1717.142
TCGA-FD-A3B6-01A,9.923,270.943,43.649,26.301,10.215,75.548,840.396,5.661,6.512,65.849,189.358,9.212,3145.570
TCGA-ZF-A9R7-01A,32.569,63.923,23.493,55.032,9.756,43.533,346.312,122.745,1.000,23.672,235.790,12.726,2356.870
TCGA-BT-A3PK-01A,7.177,266.347,29.301,3.475,2.875,234.868,251.171,19.317,4.084,222.767,16.946,24.463,610.182
TCGA-FD-A62P-01A,5.860,780.533,25.387,13.042,8.655,63.691,294.218,16.814,6.642,198.142,54.487,5.183,1942.364
TCGA-LC-A66R-01A,58.910,211.397,42.268,26.577,8.300,108.697,388.236,27.356,6.236,183.135,94.110,8.380,2003.911
TCGA-DK-AA76-01A,2.893,25.203,2.467,1.000,1.000,54.768,7.572,1.447,1.000,15.181,1.000,1.000,2047.484
TCGA-DK-AA6T-01A,837.784,94.881,14.854,27.051,317.837,31.245,263.783,3.209,1.490,70.782,67.644,1.056,84.240
TCGA-XF-AAMH-01A,7.373,265.828,5.379,188.325,1.000,69.145,108.344,17.414,1.000,155.492,1.916,1.056,5263.446
TCGA-FD-A43U-01A,109.001,880.620,60.382,10.823,11.263,138.957,841.552,63.599,35.379,462.974,81.397,5.888,1796.177
TCGA-GC-A6I3-01A,82.895,332.613,25.108,14.391,10.377,41.472,412.211,28.292,5.675,165.169,100.857,2.050,3113.439
TCGA-GC-A6I1-01A,160.438,83.701,58.837,36.053,21.496,39.474,1545.990,5.387,11.203,96.809,180.268,7.660,925.870
TCGA-FD-A3B8-01A,43.245,1297.436,205.349,48.276,27.897,176.725,1712.232,137.314,22.575,1195.522,155.088,29.229,975.447
TCGA-XF-A8HD-01A,18.595,256.808,14.631,36.758,3.524,71.533,400.750,4.065,2.339,130.537,140.046,2.359,2509.077
TCGA-ZF-A9R2-01A,3.014,243.944,4.213,1.000,1.000,28.220,16.716,1.000,1.000,11.057,1.857,1.000,3332.592
TCGA-FD-A62S-01A,39.595,1735.924,85.814,5.278,19.257,109.702,770.566,51.906,2.415,629.354,30.312,5.977,855.934
TCGA-BT-A0S7-01A,15.118,91.167,14.230,28.173,4.958,149.325,119.787,7.759,1.985,93.728,7.864,17.811,1016.267
TCGA-CF-A8HY-01A,7.404,264.019,4.911,1.981,1.656,99.014,24.408,6.581,1.000,52.266,4.123,1.000,3067.447
TCGA-FD-A3B4-01A,52.410,558.340,34.554,8.458,11.137,64.556,391.427,91.526,3.267,319.380,62.899,3.484,199.875
TCGA-ZF-A9RF-01A,12.562,14.958,151.977,70.840,7.378,25.923,1527.121,8.002,1.448,52.448,277.589,6.254,1620.686
TCGA-FD-A3SQ-01A,42.426,1534.159,24.098,2.928,6.263,118.833,295.439,47.433,1.694,801.053,12.133,5.772,1540.839
TCGA-4Z-AA7Q-01A,29.625,80.120,25.290,29.135,5.720,65.440,355.799,6.999,2.190,81.394,113.097,3.501,1151.245
TCGA-DK-AA6S-01A,6.771,1638.168,23.137,5.540,5.115,67.192,204.897,24.474,5.857,297.231,36.819,1.911,3138.610
TCGA-LT-A8JT-01A,8.875,225.184,19.062,3.438,2.467,37.492,68.230,6.118,1.000,28.715,8.862,1.000,2135.821
TCGA-BT-A2LD-01A,12.176,187.130,13.721,5.521,2.535,49.241,180.767,9.530,1.607,188.867,14.257,31.094,7564.590
TCGA-DK-A6B2-01A,22.291,511.797,43.501,9.951,15.131,114.449,494.381,52.220,3.573,192.590,31.182,8.298,2121.209
TCGA-DK-A3IM-01A,7.131,38.591,6.036,1.000,1.141,18.304,38.534,1.892,1.000,20.379,2.610,1.704,266.658
TCGA-GU-A766-01A,15.614,51.840,52.787,34.829,10.692,166.827,710.010,8.395,99.879,370.308,256.228,8.607,854.097
TCGA-LT-A5Z6-01A,26.019,26.100,8.939,9.879,2.989,45.251,100.213,5.850,1.000,13.671,23.231,5.573,1127.591
TCGA-BL-A0C8-01B,14.120,26.443,11.514,1.000,1.619,126.295,44.879,1.471,1.101,76.371,3.567,38.414,802.098
TCGA-FT-A3EE-01A,9.672,129.760,9.153,1.050,12.595,70.961,57.219,10.907,1.000,31.981,2.822,2.467,1927.959
TCGA-G2-AA3C-01A,11.586,46.929,113.616,3.321,14.167,60.430,3328.617,1.955,26.824,171.381,60.967,6.548,350.840
TCGA-KQ-A41S-01A,4.386,1006.550,12.104,2.634,2.530,122.733,282.805,26.349,1.215,109.546,9.539,12.406,1221.809
TCGA-DK-A3IU-01A,121.057,584.478,98.022,71.340,30.950,70.061,1089.533,39.805,13.759,942.141,408.199,53.167,4203.673
TCGA-BT-A0YX-01A,7.995,97.383,20.153,14.335,4.455,54.853,259.512,47.067,2.002,36.154,36.443,8.628,1620.493
TCGA-2F-A9KO-01A,24.130,310.546,35.359,30.196,10.566,51.732,383.117,8.118,3.797,215.568,102.293,2.899,1887.244
TCGA-DK-AA6L-01A,8.211,207.251,41.415,3.978,7.786,38.641,294.982,18.272,2.618,72.644,25.590,6.562,3908.104
TCGA-XF-A9SP-01A,31.271,1303.292,18.587,4.610,6.793,123.372,361.039,72.353,3.044,947.218,15.938,2.123,2365.807
TCGA-E7-A4XJ-01A,4.520,79.856,3.376,1.000,3.940,50.035,8.609,5.226,1.000,37.613,1.345,1.000,2016.918
TCGA-XF-A8HB-01A,7.588,28.813,4.532,1.000,1.000,42.674,82.410,1.000,1.000,27.484,1.031,1.000,1743.943
