,B Cells_marker_mean,CAFs_marker_mean,CD4 T_marker_mean,CD8 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,Monocytes_marker_mean,Myofibroblasts_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean
TCGA-OR-A5LO-01A,9.165,11.501,11.964,1.000,1.000,88.238,18.159,1.000,1.000,229.839,5.311,1.000,7.775
TCGA-P6-A5OG-01A,10.872,88.245,23.429,15.674,8.669,447.294,996.962,2.441,7.795,210.894,137.815,70.112,30.529
TCGA-OR-A5J6-01A,1.033,2.842,20.822,1.000,11.959,95.067,546.784,1.000,2.554,1043.332,11.308,1.449,70.154
TCGA-OR-A5LT-01A,1.937,5.171,21.914,1.000,1.000,24.828,66.614,1.000,1.000,391.270,3.228,1.000,20.964
TCGA-OR-A5JY-01A,12.580,2.246,8.789,1.000,1.000,150.721,257.685,1.000,1.000,380.298,5.246,1.553,20.963
TCGA-OR-A5JV-01A,1.204,29.725,102.698,2.046,9.038,93.155,856.771,1.000,1.116,707.327,8.401,8.595,14.615
TCGA-OR-A5JT-01A,1.775,5.185,29.333,1.000,1.000,93.651,57.507,1.566,1.000,956.338,18.489,1.000,5.582
TCGA-OR-A5KX-01A,4.321,23.168,8.260,1.000,1.000,125.947,94.536,5.502,3.490,1083.466,6.471,1.000,91.084
TCGA-OR-A5K3-01A,3.568,3.130,15.746,1.000,1.000,25.463,105.658,1.000,1.000,394.410,2.348,1.000,5.354
TCGA-OR-A5JZ-01A,3.046,10.531,23.804,1.368,2.933,86.441,120.640,1.512,1.000,1388.527,11.140,1.000,133.361
TCGA-OR-A5LC-01A,18.798,29.547,3.958,1.000,1.000,88.942,211.270,1.000,1.000,486.919,4.792,1.000,42.178
TCGA-OR-A5LH-01A,3.735,4.392,5.422,2.166,1.000,70.808,211.240,1.000,1.000,509.353,24.485,1.000,92.007
TCGA-OR-A5LM-01A,1.973,5.187,8.477,1.000,1.000,56.935,141.627,1.000,1.000,421.402,5.662,1.000,5.245
TCGA-OR-A5J5-01A,3.584,13.364,7.411,1.000,1.000,47.957,43.330,1.000,1.000,292.730,5.175,1.000,10.583
TCGA-P6-A5OF-01A,7.660,18.403,14.585,1.000,1.000,97.513,133.975,1.000,1.000,219.025,3.191,2.855,10.562
TCGA-OR-A5LD-01A,37.798,4.975,1.681,1.000,1.000,37.175,9.039,1.000,1.000,599.222,2.343,1.000,3.603
TCGA-OR-A5L3-01A,5.795,1.297,1.000,1.000,1.000,18.444,30.558,1.000,1.000,467.589,1.000,1.000,1.578
TCGA-OR-A5LK-01A,3.980,10.590,17.910,4.721,5.857,55.401,223.313,61.780,1.000,213.789,18.073,1.783,122.828
TCGA-OR-A5LG-01A,3.591,22.413,12.125,2.073,1.610,59.920,484.231,1.000,1.000,1113.748,9.085,1.250,60.155
TCGA-OR-A5KO-01A,8.435,12.258,13.242,1.000,1.000,77.443,20.544,1.000,1.000,544.778,1.963,1.000,18.350
TCGA-OR-A5JJ-01A,18.415,19.688,4.290,4.015,1.000,70.516,77.885,1.054,1.000,37.729,16.218,1.000,4.121
TCGA-OR-A5JL-01A,3.512,1.733,20.340,1.000,1.660,111.818,242.639,1.000,4.303,15.675,12.458,1.000,92.430
