,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-NJ-A4YI-01A,0.002,0.000,0.012,0.000,0.003,0.000,0.027,0.027,0.085,0.018,0.137,0.000,0.000,0.012,0.001,0.677,0.677
TCGA-L4-A4E6-01A,0.009,0.001,0.020,0.001,0.009,0.002,0.032,0.163,0.073,0.040,0.429,0.007,0.006,0.013,0.001,0.194,0.194
TCGA-55-8302-01A,0.012,0.001,0.032,0.014,0.010,0.000,0.014,0.023,0.040,0.012,0.090,0.000,0.000,0.006,0.000,0.746,0.746
TCGA-05-4405-01A,0.032,0.001,0.016,0.001,0.014,0.000,0.028,0.046,0.198,0.021,0.119,0.001,0.000,0.011,0.000,0.512,0.512
TCGA-78-7147-01A,0.007,0.000,0.019,0.005,0.022,0.000,0.025,0.019,0.020,0.011,0.054,0.000,0.000,0.005,0.000,0.813,0.813
TCGA-MP-A4TD-01A,0.055,0.025,0.024,0.001,0.011,0.000,0.027,0.056,0.229,0.042,0.050,0.000,0.000,0.008,0.000,0.472,0.472
TCGA-55-6971-01A,0.082,0.028,0.051,0.044,0.014,0.001,0.028,0.056,0.139,0.019,0.145,0.002,0.001,0.023,0.003,0.364,0.364
TCGA-50-6591-01A,0.000,0.000,0.004,0.000,0.002,0.000,0.000,0.058,0.110,0.045,0.005,0.000,0.000,0.008,0.000,0.767,0.767
TCGA-95-7944-01A,0.003,0.000,0.012,0.105,0.001,0.000,0.003,0.028,0.092,0.008,0.118,0.000,0.000,0.008,0.001,0.623,0.623
TCGA-NJ-A4YF-01A,0.027,0.000,0.007,0.004,0.004,0.000,0.000,0.023,0.028,0.021,0.033,0.000,0.000,0.003,0.000,0.850,0.850
TCGA-86-8073-01A,0.006,0.002,0.022,0.003,0.011,0.000,0.015,0.053,0.121,0.023,0.143,0.001,0.001,0.009,0.000,0.590,0.590
TCGA-L9-A7SV-01A,0.012,0.002,0.002,0.016,0.004,0.001,0.006,0.043,0.015,0.027,0.045,0.000,0.000,0.006,0.000,0.822,0.822
TCGA-93-A4JP-01A,0.006,0.000,0.023,0.013,0.005,0.002,0.010,0.203,0.085,0.045,0.171,0.015,0.002,0.017,0.001,0.402,0.402
TCGA-78-7163-01A,0.015,0.000,0.015,0.006,0.008,0.000,0.004,0.012,0.000,0.000,0.011,0.000,0.000,0.006,0.000,0.923,0.923
TCGA-64-1678-01A,0.041,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.019,0.015,0.011,0.000,0.000,0.000,0.001,0.901,0.901
TCGA-NJ-A55R-01A,0.057,0.031,0.029,0.001,0.007,0.000,0.004,0.051,0.108,0.042,0.029,0.001,0.000,0.009,0.000,0.632,0.632
TCGA-97-A4M7-01A,0.046,0.008,0.050,0.003,0.022,0.001,0.091,0.063,0.135,0.022,0.077,0.009,0.001,0.016,0.001,0.458,0.458
TCGA-38-A44F-01A,0.047,0.031,0.041,0.003,0.012,0.001,0.066,0.062,0.140,0.039,0.119,0.009,0.003,0.010,0.001,0.416,0.416
TCGA-62-8399-01A,0.012,0.001,0.006,0.009,0.007,0.000,0.008,0.121,0.092,0.065,0.044,0.004,0.000,0.017,0.005,0.610,0.610
TCGA-49-4514-01A,0.031,0.000,0.007,0.011,0.003,0.000,0.009,0.022,0.010,0.010,0.036,0.000,0.000,0.001,0.000,0.860,0.860
TCGA-44-5643-01A,0.005,0.020,0.040,0.001,0.022,0.000,0.039,0.025,0.020,0.010,0.044,0.000,0.000,0.007,0.000,0.765,0.765
TCGA-J2-A4AE-01A,0.042,0.011,0.020,0.014,0.008,0.004,0.040,0.064,0.026,0.033,0.081,0.003,0.000,0.011,0.000,0.642,0.642
TCGA-05-4415-01A,0.007,0.000,0.004,0.022,0.001,0.000,0.000,0.034,0.021,0.006,0.064,0.000,0.000,0.008,0.000,0.831,0.831
TCGA-91-6830-01A,0.015,0.001,0.022,0.006,0.014,0.001,0.005,0.129,0.188,0.043,0.120,0.007,0.003,0.019,0.001,0.427,0.427
TCGA-49-6745-01A,0.001,0.001,0.040,0.021,0.011,0.000,0.039,0.045,0.135,0.017,0.150,0.001,0.000,0.009,0.000,0.528,0.528
TCGA-86-A4P7-01A,0.062,0.008,0.032,0.013,0.022,0.004,0.021,0.159,0.078,0.052,0.134,0.009,0.003,0.014,0.001,0.386,0.386
TCGA-44-4112-01B,0.034,0.023,0.032,0.055,0.004,0.017,0.016,0.135,0.177,0.051,0.054,0.020,0.001,0.043,0.003,0.336,0.336
TCGA-55-6975-01A,0.031,0.000,0.023,0.001,0.005,0.000,0.006,0.108,0.239,0.040,0.044,0.000,0.000,0.008,0.000,0.494,0.494
TCGA-95-7039-01A,0.009,0.000,0.016,0.010,0.015,0.000,0.011,0.063,0.104,0.033,0.055,0.000,0.000,0.003,0.000,0.679,0.679
TCGA-44-6147-01B,0.039,0.094,0.034,0.026,0.026,0.049,0.018,0.135,0.180,0.059,0.044,0.019,0.001,0.047,0.002,0.225,0.225
TCGA-05-4432-01A,0.046,0.002,0.034,0.004,0.008,0.000,0.011,0.038,0.061,0.035,0.101,0.000,0.000,0.013,0.000,0.647,0.647
TCGA-49-4487-01A,0.044,0.064,0.042,0.012,0.025,0.000,0.027,0.043,0.144,0.019,0.095,0.000,0.000,0.006,0.001,0.478,0.478
TCGA-55-7727-01A,0.012,0.044,0.036,0.021,0.001,0.000,0.015,0.022,0.032,0.002,0.085,0.001,0.000,0.009,0.000,0.720,0.720
TCGA-73-A9RS-01A,0.051,0.000,0.010,0.014,0.001,0.000,0.001,0.019,0.020,0.016,0.035,0.000,0.000,0.008,0.000,0.826,0.826
TCGA-44-5644-01A,0.031,0.000,0.013,0.000,0.006,0.000,0.000,0.032,0.028,0.029,0.017,0.000,0.000,0.009,0.000,0.834,0.834
TCGA-55-7914-01A,0.073,0.006,0.039,0.019,0.002,0.001,0.014,0.034,0.092,0.012,0.051,0.004,0.000,0.010,0.000,0.642,0.642
TCGA-62-A46R-01A,0.018,0.000,0.035,0.008,0.007,0.002,0.039,0.022,0.065,0.013,0.119,0.007,0.000,0.009,0.000,0.654,0.654
TCGA-49-AARQ-01A,0.011,0.000,0.006,0.049,0.005,0.000,0.017,0.006,0.011,0.003,0.061,0.000,0.000,0.002,0.000,0.828,0.828
TCGA-75-6207-01A,0.005,0.000,0.010,0.003,0.012,0.000,0.001,0.029,0.027,0.015,0.084,0.000,0.000,0.007,0.000,0.807,0.807
TCGA-53-7813-01A,0.093,0.000,0.009,0.015,0.000,0.000,0.001,0.008,0.016,0.017,0.004,0.000,0.000,0.006,0.000,0.830,0.830
TCGA-44-3918-01B,0.024,0.025,0.046,0.094,0.003,0.002,0.006,0.114,0.139,0.035,0.121,0.017,0.001,0.051,0.004,0.319,0.319
TCGA-64-1681-01A,0.010,0.001,0.027,0.001,0.003,0.000,0.057,0.054,0.094,0.032,0.094,0.000,0.000,0.006,0.000,0.620,0.620
TCGA-05-4410-01A,0.063,0.021,0.022,0.039,0.014,0.000,0.009,0.022,0.063,0.012,0.123,0.000,0.000,0.016,0.000,0.597,0.597
TCGA-55-8620-01A,0.027,0.026,0.061,0.004,0.021,0.000,0.016,0.027,0.027,0.012,0.086,0.000,0.000,0.010,0.000,0.683,0.683
TCGA-64-5774-01A,0.044,0.000,0.021,0.011,0.004,0.000,0.000,0.044,0.068,0.033,0.022,0.000,0.000,0.006,0.000,0.747,0.747
TCGA-44-6148-01A,0.043,0.013,0.012,0.001,0.011,0.001,0.044,0.074,0.212,0.027,0.070,0.022,0.001,0.016,0.000,0.453,0.453
TCGA-MN-A4N1-01A,0.013,0.000,0.025,0.000,0.007,0.000,0.012,0.024,0.080,0.009,0.036,0.000,0.000,0.001,0.000,0.792,0.792
TCGA-05-5429-01A,0.013,0.000,0.007,0.003,0.000,0.000,0.006,0.015,0.078,0.013,0.033,0.004,0.000,0.001,0.000,0.827,0.827
TCGA-91-6847-01A,0.000,0.000,0.002,0.016,0.000,0.000,0.000,0.016,0.008,0.016,0.000,0.000,0.000,0.005,0.000,0.937,0.937
TCGA-55-8511-01A,0.046,0.024,0.047,0.017,0.023,0.000,0.029,0.034,0.161,0.008,0.098,0.000,0.000,0.013,0.001,0.498,0.498
TCGA-50-5944-01A,0.014,0.000,0.004,0.000,0.004,0.000,0.002,0.040,0.212,0.026,0.124,0.005,0.000,0.008,0.000,0.561,0.561
TCGA-55-1592-01A,0.026,0.001,0.015,0.004,0.006,0.001,0.001,0.038,0.056,0.018,0.163,0.004,0.000,0.013,0.000,0.656,0.656
TCGA-50-8457-01A,0.075,0.038,0.032,0.002,0.020,0.004,0.041,0.085,0.143,0.041,0.097,0.011,0.001,0.012,0.001,0.396,0.396
TCGA-78-7159-01A,0.063,0.000,0.029,0.006,0.005,0.000,0.000,0.060,0.081,0.040,0.029,0.000,0.000,0.019,0.001,0.665,0.665
TCGA-67-6215-01A,0.004,0.000,0.009,0.000,0.000,0.000,0.017,0.025,0.006,0.009,0.121,0.000,0.000,0.010,0.000,0.798,0.798
TCGA-MP-A4T9-01A,0.011,0.001,0.028,0.010,0.012,0.002,0.036,0.112,0.133,0.026,0.120,0.008,0.001,0.011,0.001,0.489,0.489
TCGA-97-7938-01A,0.012,0.006,0.008,0.003,0.007,0.001,0.030,0.096,0.107,0.031,0.062,0.004,0.000,0.012,0.000,0.621,0.621
TCGA-05-5425-01A,0.033,0.000,0.032,0.015,0.023,0.000,0.021,0.035,0.042,0.015,0.156,0.000,0.000,0.009,0.001,0.617,0.617
TCGA-55-7913-01B,0.011,0.000,0.013,0.005,0.006,0.000,0.000,0.019,0.010,0.010,0.038,0.000,0.000,0.006,0.000,0.882,0.882
TCGA-05-4417-01A,0.045,0.001,0.051,0.001,0.015,0.000,0.042,0.070,0.207,0.058,0.117,0.000,0.000,0.013,0.001,0.379,0.379
TCGA-75-6203-01A,0.014,0.001,0.023,0.001,0.011,0.001,0.024,0.165,0.048,0.022,0.319,0.003,0.010,0.009,0.000,0.351,0.351
TCGA-05-4434-01A,0.016,0.012,0.044,0.013,0.015,0.001,0.049,0.048,0.140,0.017,0.141,0.001,0.000,0.012,0.001,0.490,0.490
TCGA-55-8096-01A,0.037,0.005,0.015,0.008,0.008,0.000,0.002,0.048,0.199,0.019,0.187,0.000,0.002,0.008,0.000,0.461,0.461
TCGA-49-6767-01A,0.000,0.000,0.026,0.037,0.017,0.000,0.017,0.017,0.064,0.004,0.098,0.000,0.000,0.002,0.000,0.717,0.717
TCGA-MP-A4T6-01A,0.026,0.019,0.050,0.009,0.023,0.002,0.029,0.034,0.020,0.013,0.056,0.004,0.001,0.012,0.000,0.702,0.702
TCGA-MP-A4TE-01A,0.037,0.000,0.014,0.000,0.000,0.000,0.000,0.016,0.020,0.018,0.014,0.000,0.000,0.010,0.000,0.871,0.871
TCGA-75-5146-01A,0.053,0.005,0.024,0.001,0.006,0.000,0.033,0.053,0.058,0.040,0.090,0.000,0.000,0.004,0.000,0.633,0.633
TCGA-78-7167-01A,0.012,0.000,0.004,0.000,0.001,0.000,0.006,0.039,0.047,0.032,0.018,0.000,0.000,0.009,0.000,0.832,0.832
TCGA-J2-8194-01A,0.004,0.000,0.020,0.000,0.001,0.000,0.031,0.104,0.085,0.048,0.068,0.000,0.000,0.020,0.001,0.619,0.619
TCGA-97-A4M0-01A,0.007,0.001,0.031,0.023,0.022,0.001,0.062,0.032,0.036,0.015,0.112,0.001,0.000,0.013,0.000,0.644,0.644
TCGA-38-4632-01A,0.021,0.000,0.031,0.013,0.009,0.000,0.055,0.021,0.048,0.016,0.124,0.001,0.000,0.001,0.001,0.657,0.657
TCGA-44-7661-01A,0.001,0.000,0.046,0.014,0.004,0.000,0.057,0.137,0.155,0.023,0.142,0.000,0.000,0.012,0.002,0.406,0.406
TCGA-55-8205-01A,0.010,0.010,0.041,0.059,0.014,0.000,0.012,0.050,0.065,0.017,0.278,0.000,0.000,0.014,0.001,0.429,0.429
TCGA-55-A48Z-01A,0.036,0.001,0.021,0.021,0.014,0.000,0.015,0.033,0.191,0.013,0.100,0.000,0.001,0.006,0.000,0.550,0.550
TCGA-44-5645-01B,0.008,0.051,0.078,0.036,0.002,0.018,0.061,0.112,0.130,0.041,0.075,0.024,0.001,0.044,0.004,0.315,0.315
TCGA-05-5428-01A,0.013,0.000,0.007,0.008,0.000,0.001,0.001,0.011,0.054,0.008,0.126,0.005,0.000,0.001,0.000,0.765,0.765
TCGA-69-8255-01A,0.057,0.000,0.013,0.044,0.024,0.000,0.012,0.017,0.003,0.007,0.096,0.000,0.000,0.005,0.000,0.723,0.723
TCGA-75-5125-01A,0.011,0.001,0.048,0.037,0.012,0.000,0.031,0.028,0.069,0.011,0.154,0.000,0.000,0.010,0.000,0.587,0.587
TCGA-55-8097-01A,0.016,0.001,0.023,0.001,0.010,0.003,0.045,0.056,0.086,0.042,0.059,0.008,0.000,0.010,0.000,0.637,0.637
TCGA-78-7152-01A,0.026,0.021,0.020,0.009,0.004,0.000,0.021,0.050,0.054,0.019,0.071,0.000,0.000,0.004,0.000,0.700,0.700
TCGA-MP-A4TF-01A,0.046,0.000,0.026,0.023,0.008,0.000,0.001,0.020,0.030,0.011,0.027,0.000,0.000,0.016,0.000,0.790,0.790
TCGA-67-4679-01B,0.011,0.000,0.004,0.001,0.001,0.003,0.046,0.073,0.083,0.035,0.099,0.027,0.000,0.013,0.000,0.603,0.603
