,loss,mae,root_mean_squared_error,val_loss,val_mae,val_root_mean_squared_error,epoch
0,0.07494180649518967,0.043257445096969604,0.11199814826250076,0.04683547839522362,0.024239283055067062,0.06953710317611694,0
1,0.04542751610279083,0.02328331582248211,0.06770852208137512,0.04188967123627663,0.020443765446543694,0.06346723437309265,1
2,0.04096509888768196,0.019994555041193962,0.06208864971995354,0.03903544321656227,0.018184108659625053,0.060045383870601654,2
3,0.03607742488384247,0.017568314447999,0.05527963116765022,0.028023816645145416,0.014259466901421547,0.04191349446773529,3
4,0.02740062028169632,0.01415738184005022,0.040827855467796326,0.028485774993896484,0.014921322464942932,0.04216216877102852,4
5,0.023540738970041275,0.012348554097115993,0.03489844128489494,0.022266441956162453,0.011158100329339504,0.03352104127407074,5
6,0.02208038792014122,0.011290459893643856,0.03303676098585129,0.020552024245262146,0.010319783352315426,0.03096011094748974,6
7,0.020721929147839546,0.010684448294341564,0.03092924878001213,0.02019583433866501,0.009922748431563377,0.03064064309000969,7
8,0.019788378849625587,0.009878367185592651,0.02988133206963539,0.019144080579280853,0.009033102542161942,0.029445843771100044,8
9,0.019431795924901962,0.009519964456558228,0.029517358168959618,0.018810274079442024,0.008902551606297493,0.028912289068102837,9
10,0.017998142167925835,0.009336856193840504,0.02690947614610195,0.01675058715045452,0.008336756378412247,0.02536936290562153,10
11,0.016705989837646484,0.00851037260144949,0.02513240836560726,0.015854807570576668,0.0074514830484986305,0.024492206051945686,11
12,0.01614505611360073,0.007981298491358757,0.024553555995225906,0.015533488243818283,0.007117117289453745,0.02419194020330906,12
13,0.015827301889657974,0.007665899116545916,0.024257035925984383,0.015427426435053349,0.006957720033824444,0.024141034111380577,13
14,0.01574516110122204,0.007552789989858866,0.024191400036215782,0.015527531504631042,0.007067418657243252,0.024228479713201523,14
15,0.015439179725944996,0.0072399927303195,0.023897359147667885,0.01525899674743414,0.006808960810303688,0.023958982899785042,15
16,0.015374426729977131,0.0071452767588198185,0.02384239062666893,0.01504959911108017,0.00654732808470726,0.023806830868124962,16
17,0.015199621208012104,0.006971207447350025,0.023693224415183067,0.015824154019355774,0.007322312798351049,0.024555491283535957,17
18,0.01508642453700304,0.0068503618240356445,0.023607082664966583,0.015263065695762634,0.006815178785473108,0.023963334038853645,18
19,0.014983944594860077,0.006735603325068951,0.02351764217019081,0.015084591694176197,0.006501583848148584,0.023919403553009033,19
20,0.01487379427999258,0.0066110314801335335,0.02342614345252514,0.015018647536635399,0.006452345289289951,0.02383994683623314,20
21,0.014772754162549973,0.006499905604869127,0.023345831781625748,0.015151443891227245,0.0065558976493775845,0.023997191339731216,21
22,0.014703846536576748,0.006420415360480547,0.02328893169760704,0.01462975051254034,0.005977942142635584,0.02354547008872032,22
23,0.014642531052231789,0.006333449389785528,0.023231567814946175,0.014585157856345177,0.005924249067902565,0.02351328171789646,23
24,0.014615385793149471,0.006310021039098501,0.02319466508924961,0.014459638856351376,0.006245612166821957,0.022926608100533485,24
25,0.009535321034491062,0.0059180594980716705,0.01336673740297556,0.008126703090965748,0.005128170363605022,0.011188897304236889,25
26,0.008370039984583855,0.005232458468526602,0.011571657843887806,0.007786237169057131,0.004809304140508175,0.010829640552401543,26
27,0.007997486740350723,0.004956705030053854,0.011107249185442924,0.007367975544184446,0.0044947718270123005,0.01032248418778181,27
28,0.007809905335307121,0.004803305026143789,0.01088700070977211,0.007322173099964857,0.004464838188141584,0.010258548893034458,28
29,0.007663323078304529,0.004693185444921255,0.010715699754655361,0.0071736532263457775,0.00432144058868289,0.010111747309565544,29
30,0.007569883018732071,0.004617865663021803,0.010594690218567848,0.007116434630006552,0.004289166070520878,0.01002911850810051,30
31,0.007071610074490309,0.004621255677193403,0.0096049839630723,0.006256959866732359,0.004378638230264187,0.00814918614923954,31
32,0.006318665575236082,0.004443087615072727,0.008213719353079796,0.005376549903303385,0.0038387260865420103,0.0069216592237353325,32
33,0.005974501837044954,0.004221055191010237,0.007743189111351967,0.005698704160749912,0.004039618652313948,0.0073670390993356705,33
34,0.005911021493375301,0.004165577702224255,0.007676351815462112,0.005333297420293093,0.003808795940130949,0.006865653675049543,34
35,0.005744899157434702,0.0040534669533371925,0.007453312166035175,0.005259441211819649,0.0036943203303962946,0.006832335144281387,35
36,0.005590657237917185,0.003944726195186377,0.007254570256918669,0.0055007669143378735,0.0038682566955685616,0.007142398506402969,36
37,0.005493892356753349,0.0038729561492800713,0.00713049853220582,0.004874298814684153,0.0034686927683651447,0.0062872665002942085,37
38,0.005434977822005749,0.003831517416983843,0.007054714486002922,0.004720858298242092,0.003368237754330039,0.006080584600567818,38
39,0.005290953908115625,0.003731322940438986,0.006862089037895203,0.005491770338267088,0.0038167114835232496,0.007175049744546413,39
40,0.0052727749571204185,0.0037113791331648827,0.006848469376564026,0.005113234277814627,0.003512527560815215,0.006723145954310894,40
41,0.005220585968345404,0.003670815611258149,0.006785597652196884,0.004808326251804829,0.003423388348892331,0.0062026469968259335,41
42,0.005200284067541361,0.00364578515291214,0.006771555170416832,0.004837751854211092,0.0033970410004258156,0.00628536194562912,42
43,0.005069810431450605,0.0035657063126564026,0.006587574258446693,0.004719011019915342,0.003262745216488838,0.0061838459223508835,43
44,0.005041527561843395,0.003539395984262228,0.006558520253747702,0.004357234574854374,0.003080529160797596,0.005641544703394175,44
45,0.0049805836752057076,0.0034968231339007616,0.006480754353106022,0.004325845278799534,0.003020935459062457,0.005639062728732824,45
46,0.004993590991944075,0.003496424062177539,0.006505550350993872,0.00453958660364151,0.0031530235428363085,0.005935160908848047,46
