	0
393	ASB1
394	ASB2
395	ASB9
396	ASCC2
397	ASCL2
398	ASF1A
399	ASF1B
400	ASIC3
401	ASL
402	ASPH
403	ASPHD1
404	ASPHD2
405	ASPM
406	ASRGL1
407	ASTN2
408	ATAD2
409	ATAD3A
410	ATAD3B
411	ATAD3C
412	ATAD5
413	ATF2
414	ATF3
415	ATF5
416	ATF6B
417	ATF7IP
418	ATG16L2
419	ATG2A
420	ATG2B
421	ATG4C
422	ATG4D
423	ATG5
424	ATG7
425	ATG9B
426	ATL1
427	ATL3
428	ATP10A
429	ATP11A
430	ATP11B
431	ATP11C
432	ATP13A2
433	ATP13A3
434	ATP1A1
435	ATP1B1
436	ATP1B3
437	ATP2A2
438	ATP2A3
439	ATP2B4
440	ATP2C1
441	ATP5C1
442	ATP5F1
443	ATP5H
444	ATP6V0A1
445	ATP6V0B
446	ATP6V0D1
447	ATP6V0E1
448	ATP6V0E2
449	ATP6V1A
450	ATP6V1B2
451	ATP6V1C1
452	ATP6V1D
453	ATP6V1F
454	ATP6V1G1
455	ATP6V1H
456	ATP7A
457	ATP8A1
458	ATP8B1
459	ATP8B2
460	ATP8B4
461	ATPAF2
462	ATXN10
463	ATXN1L
464	ATXN7L1
465	AUH
466	AUNIP
467	AURKA
468	AURKAIP1
469	AURKB
470	AUTS2
471	AVEN
472	AVIL
473	AVL9
474	AVPI1
475	AXIN2
476	AXL
477	AZIN1
478	B3GALNT1
479	B3GALT2
480	B3GALT4
481	B3GAT2
482	B3GAT3
483	B3GNT2
484	B3GNT5
485	B3GNT7
486	B3GNT8
487	B3GNT9
488	B3GNTL1
489	B4GALNT3
490	B4GALT1
491	B4GALT3
492	B4GALT4
493	B4GALT5
494	B4GALT6
495	B4GALT7
496	B9D1
497	BABAM1
498	BACE1
499	BACE2
500	BACH1
501	BACH2
502	BAD
503	BAG1
504	BAG2
505	BAIAP2
506	BAIAP2L1
507	BAIAP3
508	BAK1
509	BAMBI
510	BANF1
511	BANK1
512	BARX2
513	BASP1
514	BATF
515	BATF3
516	BAX
517	BAZ1B
518	BAZ2A
519	BBC3
520	BBS2
521	BBS4
522	BCAN
523	BCAP29
524	BCAR1
525	BCAR3
526	BCAS1
527	BCAS2
528	BCAS4
529	BCAT1
530	BCKDK
531	BCL10
532	BCL11A
533	BCL11B
534	BCL2
535	BCL2L11
536	BCL2L12
537	BCL2L13
538	BCL2L15
539	BCL6
540	BCL7A
