	0
0	A1BG
1	A2M
2	A4GALT
3	AADAT
4	AAGAB
5	AAMDC
6	AAMP
7	AARD
8	AASS
9	AATF
10	AATK
11	ABCA1
12	ABCA10
13	ABCA2
14	ABCA5
15	ABCA6
16	ABCA7
17	ABCA8
18	ABCA9
19	ABCB1
20	ABCB4
21	ABCB8
22	ABCB9
23	ABCC1
24	ABCC11
25	ABCC3
26	ABCC4
27	ABCC5
28	ABCC9
29	ABCD1
30	ABCD2
31	ABCD4
32	ABCG1
33	ABCG2
34	ABHD11
35	ABHD12
36	ABHD14A
37	ABHD14A-ACY1
38	ABHD14B
39	ABHD15
40	ABHD17A
41	ABHD17B
42	ABHD17C
43	ABHD2
44	ABHD5
45	ABHD8
46	ABI2
47	ABI3
48	ABI3BP
49	ABL1
50	ABL2
51	ABLIM1
52	ABLIM2
53	ABLIM3
54	ABR
55	ABRACL
56	ABT1
57	ABTB1
58	AC002398.9
59	AC002985.3
60	AC004381.6
61	AC004813.1
62	AC005480.1
63	AC006547.14
64	AC007906.1
65	AC008810.1
66	AC009022.1
67	AC009060.2
68	AC015688.3
69	AC016142.1
70	AC016549.1
71	AC017081.1
72	AC055733.1
73	AC068533.7
74	AC073333.1
75	AC090154.1
76	AC104532.2
77	AC104981.1
78	AC108938.5
79	AC109829.2
80	AC138969.4
81	AC241377.2
82	AC243945.1
83	AC245100.1
84	ACAA2
85	ACACA
86	ACACB
87	ACADM
88	ACADVL
89	ACAN
90	ACAP2
91	ACAP3
92	ACBD3
93	ACBD4
94	ACBD5
95	ACE
96	ACE2
97	ACER3
98	ACIN1
99	ACKR1
100	ACKR2
101	ACKR3
102	ACN9
103	ACO1
104	ACO2
105	ACOT11
106	ACOT13
107	ACOT2
108	ACOT4
109	ACOT7
110	ACOT9
111	ACOX1
112	ACOX3
113	ACOXL
114	ACP2
115	ACP5
116	ACP6
117	ACPP
118	ACR
119	ACSF2
120	ACSL1
121	ACSL4
122	ACSL6
123	ACSM1
124	ACSM3
125	ACSM5
126	ACSS1
127	ACSS3
128	ACTA1
129	ACTA2
130	ACTB
131	ACTC1
132	ACTG1
133	ACTG2
134	ACTN1
135	ACTN4
136	ACTR1B
137	ACTR2
138	ACTR3C
139	ACVR1
140	ACVR2A
141	ACVRL1
142	ACY3
143	ACYP1
144	ACYP2
145	AD000671.6
146	ADA
147	ADAM12
148	ADAM15
149	ADAM19
150	ADAM22
151	ADAM28
152	ADAM33
153	ADAM8
154	ADAM9
155	ADAMDEC1
156	ADAMTS1
157	ADAMTS10
158	ADAMTS12
159	ADAMTS14
160	ADAMTS15
161	ADAMTS16
162	ADAMTS17
163	ADAMTS2
164	ADAMTS3
165	ADAMTS4
166	ADAMTS5
167	ADAMTS6
168	ADAMTS7
169	ADAMTS8
170	ADAMTS9
171	ADAMTSL1
172	ADAMTSL2
173	ADAMTSL3
174	ADAMTSL4
175	ADAP1
176	ADAP2
177	ADAR
178	ADARB1
179	ADARB2
180	ADAT2
181	ADCK2
182	ADCY1
183	ADCY3
184	ADCY4
185	ADCY5
186	ADCY6
187	ADCY7
188	ADCY9
189	ADCYAP1
190	ADD1
191	ADD3
192	ADH1B
193	ADH5
194	ADHFE1
195	ADI1
196	ADIPOR2
197	ADK
198	ADM
199	ADM2
200	ADM5
201	ADORA1
202	ADORA2A
203	ADORA2B
204	ADORA3
205	ADPGK
206	ADPRH
207	ADPRM
208	ADRA1A
209	ADRA2A
210	ADRA2B
211	ADRB1
212	ADRB2
213	ADRB3
214	ADRBK1
215	ADRBK2
216	ADSL
217	ADSSL1
218	ADTRP
219	AEBP1
220	AEN
221	AES
222	AFAP1
223	AFAP1L1
224	AFAP1L2
225	AFF1
226	AFF2
227	AFF3
228	AFMID
229	AFTPH
230	AGA
231	AGAP1
232	AGFG1
233	AGFG2
234	AGK
235	AGMAT
236	AGO2
237	AGO4
238	AGPAT2
239	AGPAT3
240	AGPAT4
241	AGPAT9
242	AGPS
243	AGR2
244	AGR3
245	AGRN
246	AGRP
247	AGT
248	AGTPBP1
249	AGTR1
250	AGTRAP
251	AHCTF1
252	AHCY
253	AHCYL2
254	AHDC1
255	AHNAK
256	AHNAK2
257	AHR
258	AHSA1
259	AHSG
260	AHSP
261	AICDA
262	AIDA
263	AIF1
264	AIF1L
265	AIFM2
266	AIFM3
267	AIG1
268	AIM1
269	AIM2
270	AIMP1
271	AIP
272	AIPL1
273	AJAP1
274	AJUBA
275	AK1
276	AK3
277	AK4
278	AK5
279	AKAP1
280	AKAP10
281	AKAP11
282	AKAP12
283	AKAP5
284	AKAP6
285	AKAP7
286	AKIP1
287	AKIRIN1
288	AKIRIN2
289	AKNA
290	AKR1A1
291	AKR1B1
292	AKR1B10
293	AKR1C1
294	AKR1C2
295	AKR1C3
296	AKR7A2
297	AKR7A3
298	AKT1S1
299	AKT3
300	AKTIP
301	AL023806.1
302	AL133335.1
303	AL135745.1
304	AL354828.1
305	AL354828.2
306	AL356585.2
307	AL589743.1
308	AL591806.1
309	ALAS1
310	ALB
311	ALCAM
312	ALDH18A1
313	ALDH1A1
314	ALDH1A3
315	ALDH1B1
316	ALDH1L2
317	ALDH2
318	ALDH3A1
319	ALDH3A2
320	ALDH3B1
321	ALDH3B2
322	ALDH5A1
323	ALDH9A1
324	ALDOA
325	ALDOC
326	ALG1
327	ALG13
328	ALG2
329	ALG3
330	ALG5
331	ALG6
332	ALG9
333	ALKBH2
334	ALKBH5
335	ALKBH7
336	ALOX15B
337	ALOX5
338	ALOX5AP
339	ALPK1
340	ALPK3
341	ALPL
342	ALS2
343	ALS2CL
344	AMACR
345	AMBP
346	AMD1
347	AMDHD2
348	AMFR
349	AMH
350	AMHR2
351	AMICA1
352	AMN
353	AMN1
354	AMOTL1
355	AMOTL2
356	AMPD1
357	AMPD2
358	AMPD3
359	AMPH
360	ANAPC11
361	ANAPC5
362	ANG
363	ANGPT1
364	ANGPT2
365	ANGPT4
366	ANGPTL1
367	ANGPTL2
368	ANGPTL4
369	ANGPTL5
370	ANGPTL6
371	ANK1
372	ANK2
373	ANK3
374	ANKH
375	ANKHD1-EIF4EBP3
376	ANKLE1
377	ANKRD10
378	ANKRD13A
379	ANKRD13D
380	ANKRD16
381	ANKRD17
382	ANKRD20A4
383	ANKRD22
384	ANKRD27
385	ANKRD28
386	ANKRD29
387	ANKRD31
388	ANKRD32
389	ANKRD33B
390	ANKRD35
391	ANKRD36
392	ANKRD36B
393	ANKRD36C
394	ANKRD37
395	ANKRD40
396	ANKRD50
397	ANKRD53
398	ANKRD55
399	ANKRD6
400	ANKRD65
401	ANKRD9
402	ANKS1A
403	ANKS1B
404	ANKS6
405	ANLN
406	ANO1
407	ANO2
408	ANO3
409	ANO6
410	ANO7
411	ANO9
412	ANP32A
413	ANP32B
414	ANP32E
415	ANPEP
416	ANTXR1
417	ANTXR2
418	ANTXRL
419	ANXA1
420	ANXA10
421	ANXA11
422	ANXA2R
423	ANXA3
424	ANXA4
425	ANXA5
426	ANXA6
427	ANXA7
428	ANXA8L1
429	AOAH
430	AOC1
431	AOC2
432	AOC3
433	AOX1
434	AP000275.65
435	AP000295.9
436	AP000721.4
437	AP003419.11
438	AP1AR
439	AP1B1
440	AP1G2
441	AP1M1
442	AP1M2
443	AP1S1
444	AP1S2
445	AP1S3
446	AP2A2
447	AP2M1
448	AP2S1
449	AP3M2
450	AP5B1
451	APAF1
452	APBA1
453	APBA2
454	APBA3
455	APBB1IP
456	APBB2
457	APC
458	APCDD1
459	APCDD1L
460	APEH
461	APEX1
462	APH1B
463	APIP
464	APLN
465	APLNR
466	APLP1
467	APLP2
468	APMAP
469	APOA1
470	APOA1BP
471	APOA2
472	APOBEC1
473	APOBEC3A
474	APOBEC3B
475	APOBEC3C
476	APOBEC3D
477	APOBEC3F
478	APOBEC3G
479	APOBEC3H
480	APOBR
481	APOC1
482	APOC2
483	APOC3
484	APOC4
485	APOC4-APOC2
486	APOD
487	APOE
488	APOH
489	APOL1
490	APOL2
491	APOL4
492	APOLD1
493	APP
494	APPL1
495	APPL2
496	APRT
497	AQP1
498	AQP10
499	AQP11
500	AQP3
501	AQP5
502	AQP7
503	AQP8
504	AQP9
505	AR
506	ARAP1
507	ARAP2
508	ARAP3
509	ARCN1
510	AREG
511	AREL1
512	ARF3
513	ARF4
514	ARF6
515	ARFGAP3
516	ARFGEF2
517	ARFIP1
518	ARFIP2
519	ARG1
520	ARG2
521	ARGFX
522	ARGLU1
523	ARHGAP1
524	ARHGAP10
525	ARHGAP11B
526	ARHGAP12
527	ARHGAP17
528	ARHGAP18
529	ARHGAP19-SLIT1
530	ARHGAP20
531	ARHGAP21
532	ARHGAP22
533	ARHGAP23
534	ARHGAP24
535	ARHGAP25
536	ARHGAP26
537	ARHGAP27
538	ARHGAP28
539	ARHGAP29
540	ARHGAP30
541	ARHGAP31
542	ARHGAP32
543	ARHGAP35
544	ARHGAP42
545	ARHGAP44
546	ARHGAP6
547	ARHGAP8
548	ARHGAP9
549	ARHGDIA
550	ARHGDIB
551	ARHGEF1
552	ARHGEF10
553	ARHGEF10L
554	ARHGEF11
555	ARHGEF12
556	ARHGEF15
557	ARHGEF16
558	ARHGEF17
559	ARHGEF18
560	ARHGEF2
561	ARHGEF25
562	ARHGEF26
563	ARHGEF28
564	ARHGEF3
565	ARHGEF35
566	ARHGEF38
567	ARHGEF39
568	ARHGEF40
569	ARHGEF5
570	ARHGEF6
571	ARHGEF7
572	ARID1A
573	ARID1B
574	ARID3A
575	ARID3B
576	ARID5A
577	ARID5B
578	ARIH1
579	ARIH2
580	ARIH2OS
581	ARL1
582	ARL11
583	ARL14EP
584	ARL15
585	ARL2
586	ARL2-SNX15
587	ARL3
588	ARL4A
589	ARL4C
590	ARL5A
591	ARL5B
592	ARL6IP1
593	ARL6IP5
594	ARL6IP6
595	ARL8A
596	ARL8B
597	ARMC10
598	ARMC9
599	ARMCX1
600	ARMCX2
601	ARMCX3
602	ARNTL2
603	ARPC1A
604	ARPC1B
605	ARPC3
606	ARPC4-TTLL3
607	ARPC5L
608	ARPIN
609	ARPP19
610	ARRB1
611	ARRB2
612	ARRDC2
613	ARRDC3
614	ARRDC4
615	ARRDC5
616	ARSA
617	ARSB
618	ARSI
619	ARSJ
620	ARSK
621	ART4
622	ART5
623	ARTN
624	ARX
625	ASAH1
626	ASAP1
627	ASAP2
628	ASAP3
629	ASB1
630	ASB18
631	ASB2
632	ASB6
633	ASB9
634	ASCC1
635	ASCL1
636	ASCL2
637	ASF1A
638	ASF1B
639	ASGR1
640	ASGR2
641	ASIC3
642	ASIC4
643	ASIP
644	ASNA1
645	ASNS
646	ASPA
647	ASPH
648	ASPHD1
649	ASPM
650	ASPN
651	ASPSCR1
652	ASRGL1
653	ASS1
654	ASXL1
655	ASXL3
656	ATAD2
657	ATAD3A
658	ATAD3C
659	ATF3
660	ATF4
661	ATF5
662	ATF6
663	ATF6B
664	ATF7IP
665	ATF7IP2
666	ATG101
667	ATG16L2
668	ATG2A
669	ATG3
670	ATG4A
671	ATG4C
672	ATG4D
673	ATG7
674	ATG9B
675	ATHL1
676	ATIC
677	ATL1
678	ATL3
679	ATM
680	ATN1
681	ATOH8
682	ATP10A
683	ATP10B
684	ATP11B
685	ATP11C
686	ATP13A1
687	ATP13A2
688	ATP13A3
689	ATP1A1
690	ATP1A2
691	ATP1A4
692	ATP1B1
693	ATP1B2
694	ATP1B3
695	ATP1B4
696	ATP2A2
697	ATP2A3
698	ATP2B1
699	ATP2C1
700	ATP2C2
701	ATP5A1
702	ATP5B
703	ATP5C1
704	ATP5D
705	ATP5EP2
706	ATP5F1
707	ATP5G1
708	ATP5J
709	ATP5J2
710	ATP5S
711	ATP6AP1
712	ATP6AP1L
713	ATP6AP2
714	ATP6V0A1
715	ATP6V0A2
716	ATP6V0B
717	ATP6V0C
718	ATP6V0D1
719	ATP6V0D2
720	ATP6V0E1
721	ATP6V0E2
722	ATP6V1A
723	ATP6V1B2
724	ATP6V1C1
725	ATP6V1C2
726	ATP6V1E1
727	ATP6V1F
728	ATP6V1G1
729	ATP6V1G2-DDX39B
730	ATP7A
731	ATP7B
732	ATP8A1
733	ATP8B1
734	ATP8B4
735	ATPAF2
736	ATPIF1
737	ATRAID
738	ATRN
739	ATXN10
740	ATXN7
741	ATXN7L3
742	AUH
743	AUNIP
744	AUP1
745	AURKA
746	AURKAIP1
747	AURKB
748	AUTS2
749	AVEN
750	AVIL
751	AVPI1
752	AVPR1A
753	AVPR2
754	AXIN1
755	AXIN2
756	AXL
757	AZGP1
758	AZIN2
759	AZU1
760	B3GALNT1
761	B3GALNT2
762	B3GALT2
763	B3GALT5
764	B3GALTL
765	B3GAT1
766	B3GAT2
767	B3GAT3
768	B3GNT2
769	B3GNT3
770	B3GNT5
771	B3GNT7
772	B3GNT8
773	B3GNT9
774	B4GALNT3
775	B4GALNT4
776	B4GALT2
777	B4GALT3
778	B4GALT4
779	B4GALT5
780	B4GALT7
781	B9D1
782	BACE1
783	BACE2
784	BACH1
785	BACH2
786	BAG1
787	BAG2
788	BAG3
789	BAHD1
790	BAI2
791	BAI3
792	BAIAP2
793	BAIAP2L1
794	BAK1
795	BAMBI
796	BANK1
797	BARD1
798	BARX1
799	BARX2
800	BASP1
801	BATF
802	BATF3
803	BAX
804	BAZ1A
805	BAZ2A
806	BCAM
807	BCAP29
808	BCAP31
809	BCAR1
810	BCAR3
811	BCAS1
812	BCAS2
813	BCAS3
814	BCAS4
815	BCAT1
816	BCKDK
817	BCL11A
818	BCL11B
819	BCL2
820	BCL2A1
821	BCL2L11
822	BCL2L12
823	BCL2L14
824	BCL2L15
825	BCL2L2
826	BCL3
827	BCL6
828	BCL6B
829	BCL7A
830	BCL7C
831	BCL9L
832	BCO2
833	BCR
834	BDH2
835	BDKRB1
836	BDKRB2
837	BEGAIN
838	BEND2
839	BEND4
840	BEND5
841	BEND6
842	BEND7
843	BET1
844	BET1L
845	BEX2
846	BEX4
847	BEX5
848	BFSP1
849	BFSP2
850	BGN
851	BHLHE22
852	BHLHE40
853	BHLHE41
854	BHMT2
855	BICC1
856	BICD1
857	BICD2
858	BID
859	BIK
860	BIN1
861	BIN2
862	BIRC3
863	BIRC5
864	BIRC7
865	BIVM-ERCC5
866	BLK
867	BLM
868	BLNK
869	BLOC1S1
870	BLOC1S4
871	BLOC1S5-TXNDC5
872	BLOC1S6
873	BLVRA
874	BLVRB
875	BMI1
876	BMP1
877	BMP2
878	BMP2K
879	BMP4
880	BMP5
881	BMP6
882	BMP8B
883	BMPER
884	BMPR1A
885	BMPR1B
886	BMPR2
887	BNC2
888	BNIP3
889	BNIP3L
890	BOC
891	BOD1
892	BOK
893	BPGM
894	BPI
895	BPNT1
896	BRCA2
897	BRD4
898	BRD9
899	BRDT
900	BRE
901	BRINP3
902	BRMS1
903	BRMS1L
904	BRSK1
905	BRSK2
906	BRWD3
907	BSCL2
908	BSG
909	BSPRY
910	BST1
911	BTBD1
912	BTBD11
913	BTBD3
914	BTBD7
915	BTC
916	BTD
917	BTF3L4
918	BTG2
919	BTG3
920	BTK
921	BTLA
922	BTN2A1
923	BTN2A2
924	BTN3A1
925	BTN3A2
926	BTN3A3
927	BTNL8
928	BTNL9
929	BUB1
930	BUB1B
931	BUB3
932	BUD31
933	BVES
934	BZRAP1
935	BZW1
936	BZW2
937	C10orf10
938	C10orf107
939	C10orf11
940	C10orf128
941	C10orf32
942	C10orf35
943	C10orf54
944	C11orf1
945	C11orf21
946	C11orf24
947	C11orf31
948	C11orf45
949	C11orf49
950	C11orf70
951	C11orf80
952	C11orf95
953	C11orf96
954	C11orf98
955	C12orf4
956	C12orf42
957	C12orf45
958	C12orf50
959	C12orf57
960	C12orf65
961	C12orf74
962	C12orf75
963	C12orf79
964	C14orf119
965	C14orf159
966	C14orf178
967	C14orf37
968	C14orf39
969	C15orf38-AP3S2
970	C15orf39
971	C15orf48
972	C15orf52
973	C15orf53
974	C15orf65
975	C16orf45
976	C16orf52
977	C16orf59
978	C16orf72
979	C16orf74
980	C16orf86
981	C16orf89
982	C16orf95
983	C17orf107
984	C17orf62
985	C17orf85
986	C17orf89
987	C17orf96
988	C19orf12
989	C19orf25
990	C19orf33
991	C19orf35
992	C19orf38
993	C19orf43
994	C19orf48
995	C19orf60
996	C19orf66
997	C19orf81
998	C1GALT1C1
999	C1QA
1000	C1QB
1001	C1QC
1002	C1QTNF1
1003	C1QTNF2
1004	C1QTNF3
1005	C1QTNF4
