"","T Cells","Cancer Cells","Macrophages","B Cells","Fibroblasts","Endothelial Cells"
"TCGA.4T.AA8H.01A",0,0.749954373087716,0,0,0.0727482873136035,0.17729733959868
"TCGA.AA.A00Q.01A",0,0.546989739979363,0.0297980013879768,0,0.218046878631486,0.205165380001174
"TCGA.AZ.4614.01A",0.023801974712964,0.714905260841416,0,0,0.0859437954996017,0.175348968946018
"TCGA.A6.2675.01A",0,0.0874877210397581,0.106841053912692,0,0.625887477555523,0.179783747492027
"TCGA.AA.A00U.01A",0,0.566667778917418,0.0252388036934218,0,0.225398930143545,0.182694487245615
"TCGA.A6.6781.01A",0,0,0.0498959171574864,0,0.771478412688579,0.178625670153934
"TCGA.CM.6169.01A",0,0.0938736952400189,0.0453767436875329,0,0.534093350129145,0.326656210943303
"TCGA.AA.3516.01A",0.172716294615221,0.29723431045418,0.039718153277882,0,0.252785276484541,0.237545965168176
"TCGA.AA.3552.01A",0,0.328217413516767,0.111184683671088,0,0.259643814886523,0.300954087925623
"TCGA.D5.6931.01A",0,0.17489309765049,0.0535651263049184,0,0.464538278433275,0.307003497611316
"TCGA.SS.A7HO.01A",0,0.570525180164203,0,0,0.176494282592484,0.252980537243313
"TCGA.AZ.6605.01A",0.00247607136344426,0.0291763213796321,0.0363855680039315,0,0.734727023459712,0.197235015793281
"TCGA.CA.6717.01A",0,0.0978135863086753,0.0545481494424931,0,0.546823259772863,0.300815004475969
"TCGA.NH.A8F7.01A",0,0.622046673912841,0,0,0.18367755160808,0.194275774479079
"TCGA.AD.6965.01A",0,0.380085794982513,0.00234677456667583,0,0.326315654405365,0.291251776045446
"TCGA.AA.A02H.01A",0,0.471970838697073,0.00455131058665307,0,0.325997727009472,0.197480123706803
"TCGA.AA.A022.01A",0.0376564104430651,0.267086965848707,0.0541797110734567,0.00121145793658768,0.366782313633063,0.273083141065121
"TCGA.AA.3680.01A",0,0.366272469290702,0.0546231841264958,0,0.218762353922848,0.360341992659955
"TCGA.A6.6650.01A",0,0.530586492097837,0.000961836335575091,0,0.147339650567489,0.321112020999099
