"","T Cells","Cancer Cells","Macrophages","B Cells","Fibroblasts","Endothelial Cells"
"TCGA.G4.6311.01A",0,0.142462523634918,0.0668352967621766,0,0.599767575571756,0.19093460403115
"TCGA.A6.2677.01B",0,0.137764956279227,0.0167203459571881,0,0.416538720779422,0.428975976984163
"TCGA.AA.3815.01A",0.081484822933858,0.287289227374131,0.117186951296137,0.000814593719567927,0.272886910049525,0.24033749462678
"TCGA.CK.4951.01A",0,0.0838597945590163,0.0933903470778479,0,0.591180045343458,0.231569813019677
"TCGA.CK.6748.01A",0,0.202453434738518,0.030512924756222,0,0.65487561720893,0.112158023296329
"TCGA.CA.5255.01A",0,0.721024343666487,0.00538307773595777,0,0.124526994835189,0.149065583762366
"TCGA.CK.4952.01A",0,0.579287299672734,0.0244701912849495,0,0.151065905710827,0.24517660333149
"TCGA.AZ.4315.01A",0,0.56527536746511,0.0319074658874442,0,0.242718441346719,0.160098725300727
"TCGA.AA.3869.01A",0,0.300591022825751,0.163203531206917,0,0.284954150893113,0.251251295074219
"TCGA.G4.6626.01A",0,0.630939704382881,0.0204690722230302,0,0.18870966220506,0.159881561189029
"TCGA.DM.A1D7.01A",0,0.532702769343661,0.00441297266704413,0,0.201303664218251,0.261580593771044
"TCGA.AA.3531.01A",0,0.614046121176074,0,0.000623911167150984,0.168735831745998,0.216594135910776
"TCGA.A6.5662.01A",0,0.379237811337709,0.0182743849892949,0,0.356510772866858,0.245977030806138
"TCGA.CM.4744.01A",0.0822860867075861,0.679781880053316,0.0229654798734489,0,0.0674736824527114,0.147492870912938
"TCGA.D5.5540.01A",0.0436767217002734,0.801429110073732,0,0,0.110089594064449,0.0448045741615462
"TCGA.AZ.6608.01A",0.00598588254027313,0.810626869874191,0,0,0.0564212112478276,0.126966036337708
"TCGA.AA.3518.01A",0.00832911336670447,0.509281124177014,0.04170234289621,0,0.185670252637216,0.255017166922855
"TCGA.CM.5863.01A",0,0.303788275054799,0.0330058879446727,0,0.469782840062497,0.193422996938031
"TCGA.A6.5666.01A",0,0.76542955651538,0.000692767385026565,0,0.111363942183931,0.122513733915663
"TCGA.DM.A280.01A",0,0.48498756509413,0.00532272438512489,0,0.277095683141914,0.232594027378831
"TCGA.AA.3973.01A",0,0.581927123312235,0,0,0.231131727882046,0.186941148805719
"TCGA.CM.4748.01A",0,0.441632135356515,0.00604836548167346,0,0.347410282607024,0.204909216554787
"TCGA.D5.6530.01A",0,0.446479091408715,0.0512254350611583,0,0.241443545799844,0.260851927730283
"TCGA.A6.6137.01A",0,0.298411018954904,0.0579951963110622,0,0.230321833606554,0.41327195112748
"TCGA.DM.A1D6.01A",0,0.746301851963378,0,0,0.0975081963255769,0.156189951711045
"TCGA.D5.6923.01A",0,0.0931039968041441,0.0144601749405267,0,0.686172147956224,0.206263680299105
"TCGA.A6.2681.01A",0,0.331522562774115,0.0210242269793734,0,0.469874458885924,0.177578751360587
"TCGA.F4.6463.01A",0,0.158078592592905,0.0303918380899333,0,0.589906243699961,0.221623325617202
"TCGA.AZ.6599.01A",0.0349448958437742,0.623469505898212,0,0,0.0305809507794867,0.311004647478527
"TCGA.D5.6532.01A",0.00869330286317199,0.396867168728576,0.00453679637266924,0.00428549060052246,0.255205109425472,0.330412132009588
"TCGA.AA.3489.01A",0,0.0209414567900478,0.0589077283426724,0,0.636032436118256,0.284118378749024
"TCGA.CM.6171.01A",0.0139639218142577,0.170295245127284,0.0426269612630421,0,0.309345700071317,0.463768171724099
"TCGA.AA.A00R.01A",0.142364229200278,0.167345858028552,0.110252123317248,0,0.199630935455997,0.380406853997926
"TCGA.DM.A28C.01A",0,0.629918546915538,0,0,0.147792674560489,0.222288778523973
"TCGA.AA.A01T.01A",0,0.714742348608894,0,0,0.117275698222984,0.167981953168123
"TCGA.AA.A02E.01A",0,0.667046929810813,0,0,0.16735049316269,0.165602577026497
"TCGA.CM.5860.01A",0,0.224712894517205,0.0291759051338557,0,0.614615401594644,0.131495798754295
"TCGA.A6.6141.01A",0,0.328217492080596,0.0366168467701072,0,0.317138234152768,0.318027426996528
"TCGA.AA.A00D.01A",0.0381520034147373,0.212987040603618,0.108078800900064,0,0.321368084461282,0.3194140706203
"TCGA.G4.6628.01A",0.182670603163376,0.128164158187359,0.0624347450870036,0.000420383598588447,0.220198484670354,0.406111625293319
"TCGA.AA.3688.01A",0,0.504759035349149,0.0495094215703784,0,0.217829384973811,0.227902158106661
"TCGA.AA.3492.01A",0.018843111223744,0.419151208492226,0.0357568233342715,0,0.289068769248931,0.237180087700827
"TCGA.AA.3819.01A",0,0.511576454374401,0.0294637643485007,0,0.27336132111535,0.185598460161749
"TCGA.A6.2678.01A",0.115635557054251,0.27141974783091,0.0403418256634039,0,0.299108720997952,0.273494148453483
"TCGA.AA.3521.01A",0,0.558062318665719,0.0546647548222974,0,0.266388280492911,0.120884646019073
"TCGA.DM.A1DA.01A",0,0.783422163816876,0,0,0.0808551283651744,0.135722707817949
"TCGA.AA.3864.01A",0,0.356553488165225,0.0337323767510635,0,0.343019924680314,0.266694210403397
"TCGA.F4.6855.01A",0,0.187665488294118,0,0,0.697942672449219,0.114391839256663
"TCGA.F4.6856.01A",0.0157899562689224,0.350593563198301,0.0167243137864659,0,0.266750091711154,0.350142075035156
"TCGA.DM.A0X9.01A",0.0146845438060646,0.561772097824109,0.0363397640458685,0,0.18245774050269,0.204745853821268
"TCGA.A6.5659.01A",0,0.330035176358075,0.000440027547591065,0,0.323926925761638,0.345597870332696
"TCGA.AZ.6598.01A",0,0.423020806506042,0.105759422270128,0,0.26872225328389,0.20249751793994
"TCGA.AA.3519.01A",0,0.443294320865163,0.0286377862955849,0,0.284296357069938,0.243771535769315
"TCGA.DM.A1HB.01A",0,0.582611792986747,0,0,0.218553463238027,0.198834743775226
"TCGA.A6.A567.01A",0,0.462249756746112,0,0,0.332646456309931,0.205103786943957
"TCGA.AA.3970.01A",0.00018652623631693,0.350671542946102,0.149360286420894,0,0.189126141117174,0.310655503279513
"TCGA.CA.5796.01A",0.0232604583448494,0.415223851297588,0.050458490547601,0,0.079722019419939,0.431335180390022
"TCGA.5M.AAT6.01A",0,0.0727136215004281,0.0682944505764209,0,0.472001146674937,0.386990781248215
"TCGA.CM.6163.01A",0,0.328545859711903,0.0276016436437654,0,0.378871625991841,0.26498087065249
"TCGA.AD.6889.01A",0.0198821642789419,0.4847190012529,0.0105617186455798,0,0.20133507551247,0.283502040310108
"TCGA.CM.4751.01A",0,0.256199340776437,0.0687131389214819,0,0.347665602917961,0.327421917384121
"TCGA.AA.3982.01A",0,0.45811118184236,0.118406247090315,0,0.254184901914784,0.169297669152542
"TCGA.AA.A00A.01A",0.00264857157520751,0.242533343088162,0.0554264839272775,0,0.403417668707228,0.295973932702125
"TCGA.D5.6924.01A",0,0.137884032636137,0.0331416129734773,0,0.576419933230429,0.252554421159957
"TCGA.AA.3502.01A",0.0490915821428562,0.719392967901898,0.0146533893601403,0,0.0487075924901563,0.16815446810495
"TCGA.D5.7000.01A",0,0.206120957707737,0.041374968767946,0,0.405942080250096,0.346561993274221
"TCGA.D5.6540.01A",0,0.133986668322792,0.052187758098159,0,0.465354955318181,0.348470618260868
"TCGA.D5.6932.01A",0,0.461639613496193,0.0179169901762659,0,0.348073843353209,0.172369552974332
"TCGA.CK.5912.01A",0.00337453282938547,0.246504066379673,0.0148161157341325,0.00135492362192567,0.285592603630814,0.448357757804069
"TCGA.AA.3538.01A",0,0.347010818765365,0.0585660661417782,0,0.427729032502447,0.16669408259041
"TCGA.AA.3930.01A",0.0868575213221184,0.394547486047987,0.06980318066668,0,0.209912023187617,0.238879788775598
"TCGA.AA.A00W.01A",0,0.628356075711642,0.0482436283380907,0,0.0858710071945509,0.237529288755717
"TCGA.AA.3555.01A",0,0.283188248483787,0.0534919535575238,0,0.398949619682812,0.264370178275877
"TCGA.AA.3655.01A",0,0.183338807229192,0.0224526844697088,0,0.415696446981529,0.37851206131957
"TCGA.AA.3989.01A",0,0.483074704252412,0.0253726715681117,0,0.318547316033693,0.173005308145783
"TCGA.5M.AATA.01A",0,0.414534852534382,0.0239474000179937,0,0.249023546397475,0.312494201050149
"TCGA.5M.AAT4.01A",0,0.777122821789695,0,0,0.0945188731706576,0.128358305039648
"TCGA.AA.A02R.01A",0.184396227535818,0.200911330010753,0.112691545435485,0,0.233367338166254,0.26863355885169
"TCGA.A6.6649.01A",0,0.163564397805701,0.0262248266329711,0,0.412674349860587,0.397536425700741
"TCGA.A6.3809.01B",0.00115446502229318,0,0.138752514675707,0,0.449177514788378,0.410915505513622
"TCGA.AY.4070.01A",0,0.20319499667864,0.0255641251471361,0,0.431713894371043,0.339526983803181
"TCGA.G4.6299.01A",0,0.169991325445259,0.050729597256903,0,0.443886025263732,0.335393052034105
"TCGA.AA.A02O.01A",0,0.682425978334598,0.000566300984644977,0,0.171392198785801,0.145615521894956
"TCGA.AA.3972.01A",0,0.530756614040813,0.0290655137610608,0,0.257599363664977,0.182578508533149
"TCGA.NH.A50T.01A",0,0.731774147548657,0,0,0.122621897095119,0.145603955356225
"TCGA.DM.A0XD.01A",0,0.569451623805451,0.00212505082324523,0,0.272621782301685,0.155801543069619
"TCGA.AU.6004.01A",0.00169053421705021,0.0501729487180548,0.132312955219176,0,0.478295476544013,0.337528085301705
"TCGA.AA.3841.01A",0,0.464256540157659,0.015400712803634,0,0.311307370478891,0.209035376559815
"TCGA.DM.A28E.01A",0,0.783747552005238,0,0,0.0651540422617933,0.151098405732968
"TCGA.AA.A00E.01A",0,0.183359295036977,0.148071955546221,0,0.297873696908544,0.370695052508258
"TCGA.AA.3514.01A",0.00106766621417932,0.483802200680698,0,0,0.341655953651683,0.17347417945344
"TCGA.AA.A01F.01A",0,0.80397262191709,0,0,0.0693690869792702,0.126658291103639
"TCGA.A6.5665.01B",0,0,0.0928098629031488,0,0.406951913619412,0.500238223477439
"TCGA.G4.6315.01A",0,0.645112012082818,0,0,0.118388270347746,0.236499717569436
"TCGA.F4.6459.01A",0,0.056958209859119,0.0654781792686942,0,0.682483871650024,0.195079739222162
"TCGA.D5.6926.01A",0,0.0675565311359885,0.026218813362511,0,0.685175461735633,0.221049193765868
"TCGA.CK.6747.01A",0,0.34708096407323,0.00815150392513418,0,0.339706075688187,0.305061456313449
"TCGA.DM.A1D8.01A",0,0.682856079459582,0,0,0.13233719429072,0.184806726249698
"TCGA.AA.3858.01A",0,0.517548370391812,0.0317841395774174,0,0.305200355832985,0.145467134197785
"TCGA.AA.3522.01A",0.112229972142862,0.525903231197096,0.0397951078786027,0,0.123255003414314,0.198816685367125
"TCGA.G4.6314.01A",0,0.101293178792947,0.000794273359446783,0,0.696694043487848,0.201218504359758
"TCGA.AA.3544.01A",0,0.469285629337532,0.174583682524232,0,0.199372822113098,0.156757866025139
"TCGA.NH.A6GA.01A",0,0.457918550157677,0.031174227319106,0,0.256523080261484,0.254384142261734
"TCGA.D5.6537.01A",0,0.591545566890369,0.037068212572284,0,0.17504282499822,0.196343395539127
"TCGA.AZ.4684.01A",0,0.36489559228032,0.040279001223689,0,0.342251830736213,0.252573575759778
"TCGA.G4.6302.01A",0,0,0.0155537433471043,0,0.751974345589993,0.232471911062903
"TCGA.AA.3862.01A",0.0739195209742,0.461236184665537,0.0999805456467308,0,0.17585487503387,0.189008873679662
"TCGA.A6.2685.01A",0,0.143729020042686,0.0380212278560436,0,0.588523947546646,0.229725804554624
"TCGA.AA.3712.01A",0,0.26058084969038,0.0108476836693695,0,0.470606977335792,0.257964489304458
"TCGA.AA.3562.01A",0,0.488352919576586,0.0129097464249094,0,0.312932371152474,0.18580496284603
"TCGA.AA.3846.01A",0.0386243761480155,0.390437778317632,0.0630696113445804,0,0.255893047593793,0.25197518659598
"TCGA.A6.A565.01A",0,0.0269266434234109,0.043650604472256,0,0.398066821664663,0.53135593043967
"TCGA.AU.3779.01A",0,0.252373333113796,0.0308882654278939,0,0.490746548823052,0.225991852635259
"TCGA.A6.2684.01A",0,0.260372051352409,0.0279530198876044,0,0.46913869623424,0.242536232525747
"TCGA.AA.3561.01A",0.00500780781924112,0.715310178450956,0.0246852788799635,0,0.132029900528411,0.122966834321429
"TCGA.CM.5341.01A",0.0804297918835157,0.570979662816,0.0315225896740199,0.00182398185989001,0.202447552202234,0.112796421564341
"TCGA.A6.2683.01A",0,0.808346175683173,0,0,0.0970109283211467,0.0946428959956803
"TCGA.AA.A004.01A",0,0.320403788246623,0.024705872436816,0,0.368733853967911,0.286156485348649
"TCGA.AA.3529.01A",0,0.616951734026151,0.0440841274593766,0,0.200818854474763,0.138145284039709
"TCGA.AA.3861.01A",0.0302801262464793,0.53414557226499,0.102423653642009,0.0884445190978759,0.0648757583441473,0.179830370404498
"TCGA.AA.3844.01A",0.0394522811139317,0.498627417887477,0.0257863280232137,0,0.190799484962407,0.245334488012971
"TCGA.AA.3952.01A",0,0.375077598172549,0.0474602619989521,0,0.407886418990295,0.169575720838204
"TCGA.D5.5537.01A",0,0.434259489095018,0.000894871739605323,0,0.386795560494611,0.178050078670766
"TCGA.AA.3837.01A",0,0.457446478042144,0.00720951220308285,0,0.377297675663735,0.158046334091038
"TCGA.AA.3511.01A",0,0.247403123749815,0.0228756371178956,0,0.531252347078396,0.198468892053893
"TCGA.D5.6922.01A",0,0.117888908237544,0.0178464507459468,0,0.599896747048159,0.26436789396835
"TCGA.AA.3556.01A",0.00370355330314019,0.34126495654883,0.0693414099197985,0,0.253939558344922,0.331750521883309
"TCGA.CM.6674.01A",0,0.17870154796292,0.0463299004588855,0,0.490976998075907,0.283991553502288
"TCGA.AA.3939.01A",0.0114933228993109,0.557299898036633,0.0319180279972053,0,0.258127043172613,0.141161707894237
"TCGA.AA.A00K.01A",0,0.538418579335882,0.0641359446813369,0,0.25987548100999,0.137569994972791
"TCGA.DM.A28A.01A",0,0.339888373215632,0.00945687251361849,0,0.45192975560822,0.19872499866253
"TCGA.CK.5914.01A",0.0135430356805007,0.287525642789538,0.0278695221860972,0,0.381718304978555,0.289343494365309
"TCGA.G4.6320.01A",0,0.712387857422604,0,0,0.125046411852927,0.162565730724469
"TCGA.A6.A5ZU.01A",0,0.17214869513236,0.091028196214003,0,0.480352725290366,0.256470383363271
"TCGA.AA.3495.01A",0.01091830742163,0.471142006518507,0.0254414334253461,0,0.207346340850813,0.285151911783705
"TCGA.QL.A97D.01A",0.0319645705861751,0.467121863426467,0.040043516107754,0,0.133134436479745,0.327735613399859
"TCGA.CM.5868.01A",0,0.38284448872631,0.00124517263581119,0,0.422611882034408,0.19329845660347
"TCGA.AA.3534.01A",0,0.551944227031399,0.0021380640451555,0,0.249948340044854,0.195969368878592
"TCGA.AA.3693.01A",0,0.701143025487744,0.0144675363966665,0,0.123179538460911,0.161209899654678
"TCGA.AA.A02J.01A",0,0.773894096084368,0,0,0.120653698977244,0.105452204938388
"TCGA.D5.5541.01A",0,0.344211390414307,0.141452102557307,0,0.332264661115784,0.182071845912603
"TCGA.AA.3860.01A",0,0.323409777716768,0.0509940327733602,0,0.457086481788776,0.168509707721096
"TCGA.A6.5657.01A",0.00280778829496935,0.141442695688019,0.0343458687650837,0.000140209601226682,0.600450087845404,0.220813349805298
"TCGA.AA.3812.01A",0,0.411407703504751,0.00797437319076236,0.0020092626855323,0.432649612316618,0.145959048302336
"TCGA.DM.A1D4.01A",0,0.741953349407826,0.000894954297584033,0,0.0684951188796406,0.188656577414949
"TCGA.AA.3854.01A",0,0.5730547073482,0.042159591304967,0,0.186124470900151,0.198661230446683
"TCGA.CK.4950.01A",0,0.2914437410057,0.0419238660417915,0,0.321397420539954,0.345234972412554
"TCGA.D5.6541.01A",0,0.151988016292694,0.141958326095958,0,0.559183906956496,0.146869750654852
"TCGA.QG.A5YV.01A",0.00216442810507871,0.570095409744939,0,0,0.12296602084225,0.304774141307733
"TCGA.AD.6901.01A",0,0.1424738450743,0.0461213522976754,0,0.609582581548362,0.201822221079664
"TCGA.AA.3526.01A",0.00900597355571883,0.390494182508416,0.0927144306143244,0,0.324486864350409,0.183298548971132
"TCGA.DM.A1HA.01A",0,0.696662472853262,0.0623838171424763,0,0.054621619787961,0.186332090216301
"TCGA.AA.A02W.01A",0,0.600300812232599,0,0,0.210592179704564,0.189107008062838
"TCGA.AA.A00F.01A",0,0.281130274212709,0.0237119800260903,0,0.376989406235755,0.318168339525445
"TCGA.AA.A02Y.01A",0.0473063039098762,0.707499427094456,0.0366163629414836,0,0.0203908234665198,0.188187082587664
"TCGA.A6.6780.01B",0.140140359214348,0,0.204605977588618,0,0.233866742320686,0.421386920876349
"TCGA.AA.3525.01A",0.000690455122085625,0.443780130540391,0.0583937536274275,0.0763371923242071,0.157549926357449,0.26324854202844
"TCGA.A6.6650.01A.1",0,0.530586492097837,0.000961836335575091,0,0.147339650567489,0.321112020999099
"TCGA.CM.4752.01A",0.00803807182829249,0.426391930914072,0.0562011548170529,0,0.292589571970881,0.216779270469702
"TCGA.A6.3809.01A",0.0964866522994481,0.385641211698691,0.0897511851246755,0.00160550890387665,0.245728254701847,0.180787187271462
"TCGA.CM.6680.01A",0,0.204673071604335,0.0368139539769326,0,0.524360124280167,0.234152850138566
"TCGA.AD.A5EK.01A",0,0.653500149622354,0,0,0.172690146801883,0.173809703575763
"TCGA.A6.2682.01A",0,0.393170079388491,0.0260568624830097,0,0.407114970452792,0.173658087675707
"TCGA.CM.6164.01A",0,0.306217640968145,0.042526361153798,0,0.34194940685342,0.309306591024637
"TCGA.DM.A28H.01A",0,0.749859602438088,0,0,0.104291780280804,0.145848617281109
"TCGA.D5.6898.01A",0,0.242511457663077,0.102949241955182,0,0.441209780317857,0.213329520063884
"TCGA.A6.3808.01A",0.00176307428099359,0.0957042311161223,0.0387511519031604,0,0.642443404160757,0.221338138538967
"TCGA.A6.6780.01A",0.0283730720674669,0.308709225572194,0.286913724256406,0,0.121062998604479,0.254940979499455
"TCGA.AA.3662.01A",0,0.43481629778525,0.0622657297076951,0,0.269496536281645,0.23342143622541
"TCGA.CM.5864.01A",0.0230364954141257,0.603544949444251,0.00168078070609953,0,0.131826935434287,0.239910839001237
"TCGA.NH.A6GB.01A",0.00950196161146478,0.408826547624452,0.0444051708797871,0,0.246596247282687,0.290670072601609
"TCGA.NH.A8F8.01A",0,0.359456251198449,0.0198029622967346,0,0.414683121568355,0.206057664936462
"TCGA.CM.6677.01A",0,0.387709514083125,0.00645313005955829,0,0.330686464126201,0.275150891731115
"TCGA.AA.3949.01A",0.229411735732191,0.239373658136754,0.101949125008913,0.0001789444980919,0.260099575965467,0.168986960658584
"TCGA.DM.A1D9.01A",0.000737723625900242,0.534248817233774,0,0,0.214446362027153,0.250567097113172
"TCGA.D5.6930.01A",0.0373541456628841,0.175421820853552,0.051939686268465,0,0.438694071482269,0.29659027573283
"TCGA.AA.3980.01A",0.0642974031015256,0.382620288290179,0.0758441296525451,0.000481293392959958,0.184911932035877,0.291844953526913
"TCGA.CA.5797.01A",0,0.258321406097601,0.0379199971645555,0,0.430626379514847,0.273132217222997
"TCGA.AA.3494.01A",0,0.64695012790125,0.00256812765545169,0,0.178261752146579,0.172219992296719
"TCGA.D5.6531.01A",0.0359001234597929,0.325203195382105,0.0297086648919885,0,0.331264718936101,0.277923297330012
"TCGA.AZ.4615.01A",0.17729551564546,0.0644169885614275,0.158693673072053,0,0.405687518537321,0.193906304183738
"TCGA.A6.5656.01B",0,0,0.0445735556146835,0,0.561497559363675,0.393928885021642
"TCGA.A6.2684.01A.1",0,0.260372051352409,0.0279530198876044,0,0.46913869623424,0.242536232525747
"TCGA.CM.4743.01A",0,0.296351646946859,0.0375275075623584,0,0.205799438736323,0.460321406754459
"TCGA.AA.A01K.01A",0,0.261905908631075,0.0252315859065663,0,0.48071589118085,0.232146614281509
"TCGA.NH.A50U.01A",0,0.443499085444952,0.0116726563363483,0,0.288620686905668,0.256207571313032
"TCGA.D5.6928.01A",0.200021314412009,0,0.115090471985218,0.000974735968019272,0.490449569212648,0.193463908422105
"TCGA.DM.A28K.01A",0,0.718848261437951,0,0,0.089525904646419,0.19162583391563
"TCGA.AY.6196.01A",0,0,0.0967311746855582,0,0.758432004065542,0.1448368212489
"TCGA.CM.5344.01A",0,0.225207116660908,0.00156434623218824,0,0.56096484129248,0.212263695814424
"TCGA.G4.6309.01A",0,0.392224842654012,0.0316024595145895,0,0.2206243787303,0.355548319101099
"TCGA.CM.6165.01A",0,0.164707377975344,0.0434310398377814,0,0.501851225018245,0.290010357168629
"TCGA.AY.5543.01A",0,0.519761782226696,0.072843028496453,0,0.107966927349421,0.29942826192743
"TCGA.CM.6167.01A",0,0,0.00748093839740115,0,0.724352954228387,0.268166107374212
"TCGA.AA.3664.01A",0.023223050743961,0.360017425048093,0.064764595991821,0,0.210554128787402,0.341440799428723
"TCGA.AZ.4313.01A",0,0.824708407483449,0,0,0.089321044346188,0.0859705481703633
"TCGA.AA.3530.01A",0.0598908115282334,0.391104914013563,0.0283419669771676,0.0223501791080492,0.200487862154116,0.297824266218871
"TCGA.AA.3877.01A",0.00115432684899296,0.167506097172003,0.0865992018581888,0,0.402432198638261,0.342308175482554
"TCGA.D5.6535.01A",0,0.254609625710491,0.0828198536419954,0,0.352509553230298,0.310060967417216
"TCGA.CM.6678.01A",0,0.644854818535241,0,0,0.156010622146506,0.199134559318254
"TCGA.CM.4746.01A",0,0.883322041623373,0,0.000227410747597314,0.0577618173455073,0.0586887302835221
"TCGA.A6.6652.01A",0,0.563600757430531,0,0,0.196317265213562,0.240081977355907
"TCGA.A6.6781.01A.1",0,0,0.0498959171574864,0,0.771478412688579,0.178625670153934
"TCGA.AA.A01Q.01A",0.00914214926322274,0.571645909620722,0.0353431334103706,0,0.0949715687430989,0.288897238962585
"TCGA.A6.5661.01A",0.0548865108340547,0.289027323124688,0.0574691198817889,0,0.264889443548397,0.333727602611072
"TCGA.5M.AATE.01A",0,0.564683579889837,0.00863393392950941,0,0.244300365173821,0.182382121006833
"TCGA.DM.A1D0.01A",0,0.737825997630786,0.0236756205430814,0,0.0892644985314404,0.149233883294692
"TCGA.AA.3681.01A",0.0558777961562372,0.340067900488706,0.0648617414522394,0.0241182067758611,0.195567457346967,0.319506897779989
"TCGA.D5.5538.01A",0,0.237740860087946,0.0811516535240864,0,0.430997788777055,0.250109697610913
"TCGA.AA.3870.01A",0,0.262070398404898,0.0410747843537211,0,0.465713789902697,0.231141027338684
"TCGA.CM.6679.01A",0,0.0741288354836397,0.0364882581177739,0,0.656260477555549,0.233122428843038
"TCGA.T9.A92H.01A",0,0.472563997557532,0.0607568207950413,0,0.186059054983509,0.280620126663918
"TCGA.A6.3809.01A.1",0.0964866522994481,0.385641211698691,0.0897511851246755,0.00160550890387665,0.245728254701847,0.180787187271462
"TCGA.AA.3818.01A",0,0.638747332689118,0.0141870990332233,0,0.176720855773947,0.170344712503712
"TCGA.CA.5254.01A",0.00465996134628383,0.29736049862157,0.0198764115795585,0.00584927863764689,0.434262747840976,0.237991101973965
"TCGA.AA.3672.01A",0.00473498467008927,0.472061883598768,0.0415978031354902,0,0.232865107630856,0.248740220964796
"TCGA.AD.5900.01A",2.58376619875717e-05,0.307653558574356,0.0357213115764962,0,0.380459036003076,0.276140256184083
"TCGA.CA.6719.01A",0,0.178433051547289,0.0143620142993965,0,0.533184387728379,0.274020546424935
"TCGA.A6.6654.01A",0,0,0.127829221510496,0,0.693426488700901,0.178744289788602
"TCGA.CM.6161.01A",0.0621728382648258,0.354556058682935,0.0700191176853388,0.00275839880137939,0.300196482335338,0.210297104230183
"TCGA.AA.3814.01A",0,0.313058351481588,0.149793253232701,0,0.462140871151527,0.0750075241341841
"TCGA.AA.3697.01A",0,0.542252656024699,0.0738465652695203,0,0.193949915688946,0.189950863016834
"TCGA.AA.3532.01A",0,0.256622709888003,0.0804642148174349,0,0.433385182106875,0.229527893187687
"TCGA.AZ.6606.01A",0,0.46237592518549,0.00172557527603704,0,0.133272440421427,0.402626059117046
"TCGA.CK.4947.01B",0.0106961408326379,0.224118095915207,0.0387378415186699,0,0.411097247486079,0.315350674247406
"TCGA.A6.2674.01A",0,0.0171623769557937,0.0900780082766936,0,0.702885318226908,0.189874296540605
"TCGA.CA.6716.01A",0,0.385793282285566,0,0,0.383447801704157,0.230758916010277
"TCGA.NH.A6GC.01A",0,0.195227532201982,0.00290862956365727,0,0.623994227517574,0.177869610716786
"TCGA.AA.3848.01A",0,0.696082716592148,0,0,0.122171495312812,0.181745788095039
"TCGA.AA.3684.01A",0,0.237314756506609,0.0163449941343507,0,0.537874249240718,0.208466000118322
"TCGA.F4.6807.01A",0.00319721178884161,0.0872430969705651,0.0297983943181528,0.000256966970480532,0.647408165446618,0.232096164505341
"TCGA.AA.3875.01A",0,0.344307143848184,0.121048776100312,0,0.355408961355173,0.17923511869633
"TCGA.G4.6297.01A",0,0.0294107274455193,0.0572398004362452,0,0.654621451940087,0.258728020178148
"TCGA.A6.5660.01A",0,0.480601979662526,0.014452168212836,0,0.339190059744866,0.165755792379772
"TCGA.AZ.6607.01A",0,0.000913869801390658,0.022928391376276,0,0.875039785663132,0.101117953159201
"TCGA.AZ.4308.01A",0.000705459845454276,0.60256284333738,0.00047460867684701,0,0.33840483575221,0.057852252388109
"TCGA.AA.3524.01A",0,0.61418117838515,0.0269675985469769,0,0.263687981311399,0.095163241756474
"TCGA.AA.3975.01A",0,0.479217562890404,0.0618718176976924,0,0.290245606310146,0.168665013101758
"TCGA.AA.3666.01A",0.000817219255923594,0.46912505527786,0.0757816091027953,0,0.199908882000092,0.254367234363329
"TCGA.AA.3872.01A",0,0.0451496972203083,0.04598909668625,0,0.639466368256861,0.269394837836581
