,B Cells_marker_mean,CAFs_marker_mean,CD4 T_marker_mean,CD8 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,Monocytes_marker_mean,Myofibroblasts_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean
TCGA-OR-A5LO-01A,9.165,11.502,11.964,1.000,1.000,88.238,18.159,1.000,1.000,229.840,5.311,1.000,7.775
TCGA-P6-A5OG-01A,10.872,88.244,23.428,15.674,8.669,447.287,996.948,2.441,7.794,210.891,137.813,70.111,30.529
TCGA-OR-A5J6-01A,1.033,2.842,20.822,1.000,11.959,95.066,546.779,1.000,2.554,1043.323,11.308,1.449,70.153
TCGA-OR-A5LT-01A,1.937,5.172,21.914,1.000,1.000,24.829,66.615,1.000,1.000,391.275,3.228,1.000,20.964
TCGA-OR-A5JY-01A,12.580,2.246,8.789,1.000,1.000,150.724,257.690,1.000,1.000,380.307,5.247,1.553,20.964
TCGA-OR-A5JV-01A,1.204,29.725,102.698,2.046,9.038,93.155,856.772,1.000,1.116,707.328,8.401,8.595,14.615
TCGA-OR-A5JT-01A,1.775,5.185,29.333,1.000,1.000,93.651,57.507,1.566,1.000,956.345,18.490,1.000,5.582
TCGA-OR-A5KX-01A,4.321,23.168,8.260,1.000,1.000,125.950,94.539,5.503,3.490,1083.489,6.471,1.000,91.086
TCGA-OR-A5K3-01A,3.568,3.130,15.746,1.000,1.000,25.463,105.658,1.000,1.000,394.411,2.348,1.000,5.354
TCGA-OR-A5JZ-01A,3.046,10.531,23.804,1.368,2.933,86.442,120.641,1.512,1.000,1388.544,11.141,1.000,133.362
TCGA-OR-A5LC-01A,18.798,29.547,3.958,1.000,1.000,88.942,211.269,1.000,1.000,486.918,4.792,1.000,42.178
TCGA-OR-A5LH-01A,3.735,4.392,5.422,2.166,1.000,70.809,211.241,1.000,1.000,509.354,24.485,1.000,92.007
TCGA-OR-A5LM-01A,1.973,5.187,8.477,1.000,1.000,56.935,141.627,1.000,1.000,421.402,5.662,1.000,5.245
TCGA-OR-A5J5-01A,3.584,13.364,7.411,1.000,1.000,47.957,43.330,1.000,1.000,292.731,5.175,1.000,10.583
TCGA-P6-A5OF-01A,7.660,18.402,14.585,1.000,1.000,97.513,133.974,1.000,1.000,219.024,3.191,2.855,10.562
TCGA-OR-A5LD-01A,37.798,4.975,1.681,1.000,1.000,37.175,9.040,1.000,1.000,599.226,2.343,1.000,3.603
TCGA-OR-A5L3-01A,5.795,1.297,1.000,1.000,1.000,18.444,30.558,1.000,1.000,467.589,1.000,1.000,1.578
TCGA-OR-A5LK-01A,3.980,10.590,17.910,4.721,5.857,55.401,223.313,61.780,1.000,213.789,18.073,1.783,122.828
TCGA-OR-A5LG-01A,3.592,22.413,12.125,2.073,1.610,59.921,484.237,1.000,1.000,1113.761,9.085,1.250,60.156
TCGA-OR-A5KO-01A,8.435,12.258,13.242,1.000,1.000,77.443,20.544,1.000,1.000,544.779,1.963,1.000,18.350
TCGA-OR-A5JJ-01A,18.415,19.688,4.290,4.015,1.000,70.517,77.886,1.054,1.000,37.730,16.218,1.000,4.121
TCGA-OR-A5JL-01A,3.512,1.733,20.340,1.000,1.660,111.819,242.641,1.000,4.303,15.675,12.458,1.000,92.431
TCGA-OR-A5KV-01A,5.472,77.047,2.424,6.717,1.000,82.201,41.162,1.473,1.000,946.131,2.824,1.000,12.227
TCGA-OR-A5JE-01A,95.773,7.091,6.055,1.000,1.129,121.513,279.625,1.299,1.000,2186.007,2.600,1.070,13.630
TCGA-PK-A5HB-01A,2.797,13.464,86.830,1.000,1.000,383.486,65.110,3.188,1.000,2080.911,1.856,1.000,2.980
TCGA-OR-A5JM-01A,29.256,12.518,7.832,1.000,1.000,61.610,20.351,1.000,1.000,455.875,1.000,1.000,35.845
TCGA-OR-A5JD-01A,1.134,12.027,12.553,2.856,3.830,47.083,129.287,3.014,1.000,374.535,13.601,1.164,1.916
TCGA-OR-A5LN-01A,1.035,5.901,7.892,3.176,1.000,41.003,124.965,1.648,1.000,659.833,14.267,1.190,38.906
