Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,T Cells,P-value,Correlation,RMSE
TCGA-AG-3896-01A,0,0.256477182385757,0.283839631680125,0.271697843089909,0.18798534284421,0,0,0,0.228369649516696,1.05395653666045
TCGA-DC-4745-01A,0,0.153542741139862,0.318462917378627,0.360845828222532,0.167148513258978,0,0,0,0.25111969826412,1.04856502519288
TCGA-AH-6903-01A,0.0799507470962676,0.22611124064982,0.422805320292621,0.165353704059795,0.105778987901497,0,0,0.01,0.157098800744397,1.07925754402098
TCGA-AG-3599-01A,0.030463593362255,0.272388446802269,0.335616543768471,0.124243297006287,0.237288119060718,0,0,0,0.220222015998808,1.05465461721268
TCGA-AG-3581-01A,0,0.26258547419742,0.22768969113572,0.275148636308213,0.234576198358647,0,0,0,0.192831456764251,1.07733848012906
TCGA-AG-3881-01A,0,0.12765182693702,0.23376370629886,0.33676470946442,0.297101823758089,0.00471793354161071,0,0,0.298900089134466,1.02156453995674
TCGA-CL-5917-01A,0,0.333003305658328,0.235130193804336,0.343756053621714,0.0881104469156222,0,0,0.01,0.182565479830606,1.09439344130544
TCGA-AG-3902-01A,0,0.14615756086543,0.205337096452942,0.16097581386538,0.420768706394922,0,0.0667608224213257,0,0.306806918721559,1.02146608483585
TCGA-CI-6624-01C,0.0404733124741011,0.135944077283007,0.348270460467565,0.352226477561283,0.123085672214044,0,0,0,0.221897928584945,1.06166363850695
TCGA-AF-2692-01A,0.0399554876287338,0.262538027965978,0.224080012649852,0.2865074433714,0.186919028384037,0,0,0.01,0.179359045126328,1.07679611478287
TCGA-DC-6683-01A,0.0455040440613191,0.254483444148484,0.202710284857556,0.305930077959113,0.191372148973528,0,0,0,0.192397660050146,1.06931503147487
TCGA-DC-6682-01A,0.0155014412148697,0.118004313771318,0.435000326025509,0.265577703259426,0.102701359507174,0,0.0632148562217033,0,0.194262579672835,1.06845690861312
TCGA-F5-6702-01A,0.0137523842398678,0.057068787362736,0.178815192866719,0.537519207165903,0.212844428364773,0,0,0,0.259092273992769,1.0700993853748
TCGA-AF-4110-01A,0.015751918789531,0.0579685397554395,0.269786669052289,0.351758658115886,0.279361830723274,0,0.0253723835635795,0,0.342529219009266,0.993691245871949
TCGA-F5-6861-01A,0,0.199345431774594,0.291751181821089,0.390211865825975,0.118691520578343,0,0,0,0.199398820503509,1.08243188219614
TCGA-G5-6235-01A,0.0927937026883968,0.326155413581781,0.444327766897384,0.0306239269633149,0.0409091053591598,0,0.0651900845099625,0.01,0.136748187863191,1.08755356779565
TCGA-AG-3999-01A,0,0.15970240479304,0.169195060638168,0.447953105757263,0.223149428811529,0,0,0,0.214479101683687,1.07854781692932
TCGA-AG-A02N-01A,0.00379679949069739,0.360751788257505,0.248643596446297,0.0260018061051004,0.202676909085322,0,0.158129100615078,0.01,0.159591245258742,1.08350787440119
TCGA-AF-6136-01A,0.069895339674046,0.108462660076122,0.601860073973492,0.170681608743519,0.0491003175328203,0,0,0.01,0.166430400798895,1.09584616344941
TCGA-AG-3580-01A,0.0325308299210787,0.0114508705744286,0.398317002096965,0.157926486389549,0.345152833480967,0,0.0546219775370113,0,0.203411062734234,1.08495853781064
TCGA-DY-A1H8-01A,0.00835013345855372,0.242308455881272,0.411620142776633,0.13028521373872,0.121660367218848,0,0.085775686925973,0.01,0.165025772977912,1.0704571482072
TCGA-AG-A032-01A,0.0778506320167657,0.169201330445163,0.397385221530644,0.295965014272478,0.0595978017349502,0,0,0.01,0.18714130654015,1.0736542670872
TCGA-EI-6512-01A,0.0925387421019192,0.248411486136792,0.387244364667834,0.0814321492241902,0.190373257869265,0,0,0.01,0.172256125764629,1.06984698534914
TCGA-AG-3575-01A,0,0.0701225966438746,0.178952819831861,0.430790443506147,0.320134140018118,0,0,0,0.32842851267926,1.01656967873417
TCGA-AF-6672-01A,0.11209497926836,0.236781414909825,0.431448033229914,0.138940077518685,0.0807354950732163,0,0,0.01,0.174780546888528,1.06509814544665
TCGA-EI-6514-01A,0,0.250814383788755,0.27242305737522,0.394448230531152,0.0823143283048722,0,0,0,0.253568086271073,1.05132400680506
TCGA-AH-6644-01A,0.0287312233541288,0.0825652956905548,0.309687736200438,0.413166780211114,0.165848964543764,0,0,0,0.28308089470854,1.03488455735635
TCGA-AF-6655-01A,0,0.206958993145775,0.252447185679592,0.357197690214011,0.183396130960621,0,0,0,0.250992376542334,1.04508314226074
TCGA-AF-A56K-01A,0,0.144990237754089,0.343584994317351,0.342506806978876,0.168917960949684,0,0,0,0.321574638817306,1.00328492918662
TCGA-G5-6641-01A,0,0.681648039116138,0.231276661644788,0.0383070927624425,0.0429945686372089,0.00577363783942246,0,0.02,0.107500456634024,1.24799476058334
TCGA-DY-A1DG-01A,0,0.164607685670431,0.533561292295698,0.103909645184845,0.125730067871758,0,0.0721913089772685,0.01,0.147630456671132,1.08834643054812
TCGA-AG-4001-01A,0,0.154930112986307,0.1620934189648,0.383601997951232,0.292247590145348,0.00712687995231252,0,0,0.30310390926543,1.01971776922112
TCGA-AG-A026-01A,0,0.122683342096804,0.292012701341013,0.521543099682558,0.0637608568796261,0,0,0,0.221049470062559,1.09843427652544
TCGA-EI-7004-01A,0,0.0513886248447457,0.219884819073833,0.502927911936763,0.225460325064404,0.00033831908025395,0,0,0.353049131702366,1.00433300170157
TCGA-AG-3878-01A,0,0.165499020275898,0.194731077092397,0.373292711289033,0.233353263273544,0.0127149094446171,0.0204090186245113,0,0.307148267136031,1.0086091159393
TCGA-AG-3611-01A,0.0118022912862626,0.216838725759494,0.300104825724861,0.106772455387828,0.319897651769984,0,0.0445840500715692,0.01,0.170305448966283,1.08757170233167
TCGA-AF-3400-01A,0,0.0420968297909551,0.115547418697744,0.297165470400289,0.545190281111012,0,0,0,0.356530865679618,1.03461349146881
TCGA-G5-6572-01A,0.038421606456009,0.141882367553752,0.341319213652752,0.437607420466767,0.0407693918707196,0,0,0,0.310685982312833,1.02107685963757
TCGA-AG-3574-01A,0,0.140944726658277,0.385636304867131,0.33457264257916,0.138846325895432,0,0,0.01,0.180022917002666,1.0933050781583
TCGA-AG-3605-01A,0,0.141168026341313,0.322707593059076,0.101379366572755,0.434745014026856,0,0,0,0.201165722228092,1.10352375870621
TCGA-AG-3731-01A,0,0.0775636286687385,0.263994401893583,0.310275860349065,0.313999484167789,0,0.0341666249208242,0,0.319741276104318,1.00792515409446
TCGA-AG-A01J-01A,0,0.279442303780683,0.297042476743505,0.158102793208245,0.224235710129413,0,0.041176716138155,0.02,0.111063517310413,1.11358247195051
TCGA-AG-A01N-01A,0,0.185235451548001,0.420060834136857,0.348466069881319,0.0462376444338226,0,0,0.01,0.179110873930998,1.10186855217191
TCGA-DT-5265-01A,0,0.117638298286427,0.123327297381875,0.500474897709053,0.258559506622645,0,0,0,0.326607971083437,1.01568318863534
TCGA-AG-A00Y-01A,0.123731298877919,0.153566990225311,0.427723753222011,0.0824254859716124,0.212552471703147,0,0,0,0.203088810500251,1.05098764834865
TCGA-AH-6547-01A,0.00433697140463057,0.13154702456629,0.137257151024727,0.239593456033933,0.41396324978131,0.0102027034257741,0.0630994437633355,0,0.263514035557909,1.04906055571771
TCGA-AH-6549-01A,0,0.0977973491240192,0.312665812853841,0.405662060786936,0.183874777235203,0,0,0,0.260031382852123,1.05213778726827
TCGA-AF-A56L-01A,0,0.277323122796682,0.124621073817482,0.405735565673971,0.192320237711865,0,0,0.01,0.16063366729309,1.10606168830031
TCGA-AG-A036-01A,0.0582113256886305,0.22516823243824,0.356297059808181,0.233109914925601,0.127213467139348,0,0,0,0.247467571223046,1.03191398081514
TCGA-DC-4749-01A,0.0139899345307091,0.166391303302393,0.421982575410675,0.237031328457689,0.160604858298535,0,0,0,0.225461721243898,1.05483243395468
TCGA-AF-2687-01A,0,0.0553527157971976,0.145517166578842,0.46870404013471,0.326034061083341,0.00439201640590858,0,0,0.427737565367232,0.949557348697026
TCGA-AG-3883-01A,0,0.0745300464175032,0.117245031215532,0.525399247026051,0.271867904646216,0.0109577706946981,0,0,0.389557326962622,0.97705311678601
TCGA-CL-4957-01A,0.0561174669374441,0.0946063257637142,0.439390632693315,0.350340962003251,0.059544612602276,0,0,0,0.231737078481926,1.06523380937425
TCGA-AG-A01Y-01A,0,0.22836543086909,0.0933084841854183,0.228430685360303,0.449895399585189,0,0,0,0.232315548404971,1.08829116020779
TCGA-AG-3890-01A,0.109411658214103,0.115745150639733,0.299633282337468,0.242315543719417,0.232894365089279,0,0,0,0.275772929119169,1.014116772227
TCGA-AG-A011-01A,0.00777174080028797,0.217949080117722,0.236104459418502,0.286118997502328,0.239600739824741,0,0.0124549823364187,0,0.23199376545598,1.05027329226831
TCGA-AG-3592-01A,0.0312173345191111,0.132247572979403,0.338039833742347,0.212930908123976,0.285564350635164,0,0,0,0.225406898821862,1.05745695231614
TCGA-AG-3892-01A,0,0.182784092387523,0.13894511071877,0.109908131427276,0.492466766242356,0,0.0758958992240753,0,0.303620246614504,1.0430583770811
TCGA-AF-A56N-01A,0.0380412155609979,0.213244895954869,0.270261414966319,0.360551919385446,0.117900554132368,0,0,0,0.246828697435183,1.04278470800995
TCGA-EI-6513-01A,0,0.127663203935425,0.309455048295715,0.261070949837854,0.301810797931007,0,0,0,0.249891948264725,1.05044788834789
TCGA-EI-6882-01A,0.0399787956742692,0.152106039435209,0.41138420815381,0.125000715500439,0.271530241236274,0,0,0.01,0.158874091862501,1.09259467239705
TCGA-F5-6812-01A,0.0211606565808842,0.177710671902882,0.20234594006922,0.492728027786379,0.106054703660636,0,0,0,0.408185440761545,0.952773546115085
TCGA-AG-3726-01A,0,0.281987943563363,0.279837173880015,0.346409410250425,0.0917654723061965,0,0,0,0.193389996795994,1.08411219546177
TCGA-EI-6917-01A,0.0388515880569051,0,0.156348256179685,0.270752964669843,0.528832561709035,0,0.00521462938453242,0,0.440715139050681,0.963565079198117
TCGA-AG-A02X-01A,0.114137535993802,0.257133086799266,0.386786747935652,0.0887298450351604,0.15321278423612,0,0,0.01,0.139395833675778,1.08312881053693
TCGA-AG-A015-01A,0.0348824563677302,0.346494779570499,0.427090999717884,0.126367146503038,0.0651646178408493,0,0,0.02,0.123289361332989,1.11699899567888
TCGA-AF-2693-01A,0.0312355018894755,0.14932676146484,0.333496773190536,0.256344610964227,0.22556202736932,0.00403432512160219,0,0,0.218412952515429,1.05676631733176
TCGA-AG-4022-01A,0.0476033896633951,0.0587111162606144,0.25764244208141,0.334287069706906,0.293014173943605,0,0.00874180834406947,0,0.307432851787147,1.01490869759082
