Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,T Cells,P-value,Correlation,RMSE
TCGA-J9-A52C-01A,0.00828050217216253,0.631937259921679,0.11303490668065,0.208956280839264,0.0306315041504444,0.00715954623579979,0,0,0.77125438851863,0.638538230448663
TCGA-YL-A8HL-01A,0.0205572568666349,0.916913547819896,0.020332363809211,0.0341824697715639,0.00641834241001006,0.00159601932268437,0,0,0.518373007983337,1.03220529056379
TCGA-ZG-A9LZ-01A,0.0166220876889961,0.807267472332586,0.0585609840313547,0.0973599185023405,0.0180408115971508,0.00214872584757158,0,0,0.479688177694344,1.01011485748242
TCGA-J9-A8CP-01A,0,0.81769995743015,0.0691836475771931,0.0634442240599063,0.00255748157346686,0.0471146893592835,0,0,0.9370217951952,0.357725792003651
TCGA-FC-A6HD-01A,0,0.955440999251377,0.00834164308902008,0.0198067695059807,0.0113921597689162,0.00444884752211514,0.000569580862591025,0,0.721652528558156,0.81012724423022
TCGA-G9-6351-01A,0,0.909439847285919,0.0280182515554345,0.0599530667507282,0.000598190991008658,0.00128727261713887,0.000703370799771066,0,0.467967742618261,1.08066427576309
TCGA-EJ-5532-01A,0.00166398748780789,0.925052040852988,0.0189139055161143,0.0482941343050921,0.00607593183799802,0,0,0,0.909327766934332,0.46036522989546
TCGA-EJ-5525-01A,0.0317768819583542,0.729887774598009,0.0924937616777502,0.12995346032376,0.0148069890229478,0.00108113241917816,0,0,0.643285253555989,0.807777837147035
TCGA-ZG-A9L9-01A,0,0.368543503976787,0.054087049617494,0.440210243508183,0.131618682689216,0.0055405202083199,0,0,0.54971028494989,0.847658920460307
TCGA-EJ-A65F-01A,0.0201582818879224,0.859472746321677,0.0552524014688717,0.0516744018142265,0.00765875775878335,0.00578341074851894,0,0,0.918438010640516,0.412665291386942
TCGA-2A-A8VX-01A,0.0171604115481011,0.912535335939916,0.0134587519397903,0.0508942672670783,0.00412731088015882,0.00182392242495543,0,0,0.824511299224998,0.625925359898324
TCGA-KK-A8I4-01A,0.0385042255425406,0.591439238733725,0.127049297918931,0.203574774423936,0.0299155055574932,0.0095169578233736,0,0,0.468440425866283,0.937259909452834
TCGA-KK-A8IA-01A,0.0233810656951555,0.91579766813708,0.0200082958744387,0.0304506310461731,0.00874571878914202,0.00161662045801104,0,0,0.798660257109663,0.670843325308601
TCGA-Y6-A9XI-01A,0.0238419342836068,0.924691945651357,0.0214532495903978,0.0159256535877993,0.011972212111038,0.00211500477580109,0,0,0.863944049138229,0.558504065844737
TCGA-VN-A88I-01A,0.0309824260840732,0.47788455307213,0.121489733899567,0.341273964979059,0.0140304554554045,0.0143388665097672,0,0,0.358489183950758,1.00345500102206
TCGA-M7-A71Z-01A,0.0150106199801498,0.945521341319462,0.0132775357154414,0.0199101580504335,0.0041036143513689,0.00217673058314431,0,0,0.842934129997289,0.609392367641477
TCGA-EJ-A46E-01A,0,0.620914721131365,0.129557727848038,0.234360847637221,0.0124780587291688,0.00268864465420691,0,0,0.347899416197937,1.04928312159644
TCGA-CH-5788-01A,0,0.938040127432693,0.0171971698973652,0.0377011828086646,0.00706151986127755,0,0,0,0.554636502606952,1.00635980986393
TCGA-KK-A7AU-01A,0.0203202114985851,0.950003950982289,0.0162799940416252,0.00394144990728079,0.00763958281023774,0.00181481075998252,0,0,0.936398585972636,0.402737479834364
TCGA-EJ-5531-01A,0.00633328932172415,0.849922117887229,0.0430913191739809,0.072270785371228,0.0221703645849271,0.00621212366091041,0,0,0.80676038476582,0.630777062871479
TCGA-VN-A88K-01A,0.0199844418568138,0.809278347494761,0.0803400728642916,0.0750414338454627,0.0101731808772193,0.00518252306145193,0,0,0.879358996047183,0.48726517501629
TCGA-VN-A88M-01A,0.0169321341593558,0.908024835767988,0.0192944549099907,0.0413202420922667,0.00882163599262474,0.00560669707777371,0,0,0.882672661266896,0.513306935036519
TCGA-EJ-5506-01A,0,0.886808139969003,0.0141322289246733,0.0990596311063237,0,0,0,0,0.428991642470599,1.10516407931666
TCGA-XK-AAJU-01A,0.0118028087512203,0.865323112341229,0.040354486052007,0.0665724008896579,0.0111706011067694,0.00477659085911621,0,0,0.316785332854819,1.19437537244357
TCGA-YL-A8SI-01A,0.0108343489477253,0.819782241697502,0.0362063801696299,0.1112731365019,0.0189102184039645,0.00299367427927753,0,0,0.86092358906886,0.526028157963494
TCGA-G9-6499-01A,0.00895273112850532,0.899853190471454,0.0270967400100752,0.0453919292724521,0.0164840815843641,0.00222132753314909,0,0,0.791480160765086,0.675487656284784
TCGA-QU-A6IL-01A,0.0147206273987639,0.891435250432586,0.0219036296699953,0.0392729840730228,0.0279866001796269,0.00468090824600475,0,0,0.936074313961326,0.376792336292725
TCGA-J4-A67Q-01A,0,0.694072055941794,0.052496685079873,0.214149995323406,0.0155250049300152,0.0177513273005553,0.00600493142435607,0,0.653797315062733,0.790973349167917
TCGA-G9-6361-01A,0.0240645575450508,0.765581445940691,0.0798970377914366,0.121927485198708,0.00606069504940338,0.00246877847470975,0,0,0.792956461985312,0.626284539702543
TCGA-VN-A88L-01A,0.0241936241927314,0.789361192906252,0.0778791218061764,0.0965343483420882,0.00973618660189402,0.00229552615085748,0,0,0.749100009593691,0.695494363007214
TCGA-KK-A8I9-01A,0,0.709150797743082,0.0884253717996131,0.152742045579585,0.03710217513176,0.00844031715300794,0.00413929259295256,0,0.665863443166137,0.77869759363295
TCGA-V1-A9ZG-01A,0.0215639054846179,0.766728066628105,0.08389399469083,0.0918287386305725,0.0293220883577936,0.00666320620808049,0,0,0.730898821967786,0.713668656883911
TCGA-V1-A9OX-01A,0,0.871565686501971,0.0322476493400109,0.0619738453273915,0.0287706487282094,0.00331505745084165,0.00212711265157546,0,0.757295140097072,0.715609666093445
TCGA-G9-6373-01A,0.0161169912118582,0.789816187577518,0.0561591836075254,0.125227662820367,0.00895047354726799,0.0037295012354639,0,0,0.748553889964363,0.697250233311942
TCGA-VP-A878-01A,0,0.780576580744112,0.0821532246948034,0.10312313347194,0.0286979045019832,0.00544915658716068,0,0,0.707651702133984,0.749103670445037
TCGA-YL-A8SB-01A,0.0209049722025684,0.772969353161532,0.0598331267929185,0.114891163534285,0.0270908205903979,0.0043105637182981,0,0,0.231122624918281,1.20715234015193
