,B Cells_marker_mean,CAFs_marker_mean,CD4 T_marker_mean,CD8 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,Monocytes_marker_mean,Myofibroblasts_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean
TCGA-OR-A5LO-01A,9.165,11.501,11.964,1.000,1.000,88.236,18.159,1.000,1.000,229.836,5.311,1.000,7.775
TCGA-P6-A5OG-01A,10.872,88.245,23.428,15.674,8.669,447.290,996.953,2.441,7.794,210.892,137.814,70.111,30.529
TCGA-OR-A5J6-01A,1.033,2.842,20.822,1.000,11.959,95.066,546.781,1.000,2.554,1043.326,11.308,1.449,70.154
TCGA-OR-A5LT-01A,1.937,5.171,21.914,1.000,1.000,24.828,66.614,1.000,1.000,391.268,3.228,1.000,20.964
TCGA-OR-A5JY-01A,12.580,2.246,8.789,1.000,1.000,150.719,257.680,1.000,1.000,380.292,5.246,1.553,20.963
TCGA-OR-A5JV-01A,1.204,29.725,102.697,2.046,9.038,93.154,856.763,1.000,1.116,707.321,8.401,8.595,14.615
TCGA-OR-A5JT-01A,1.775,5.185,29.333,1.000,1.000,93.650,57.506,1.566,1.000,956.330,18.489,1.000,5.582
TCGA-OR-A5KX-01A,4.321,23.167,8.260,1.000,1.000,125.945,94.535,5.502,3.490,1083.452,6.471,1.000,91.083
TCGA-OR-A5K3-01A,3.568,3.130,15.746,1.000,1.000,25.463,105.658,1.000,1.000,394.410,2.348,1.000,5.354
TCGA-OR-A5JZ-01A,3.046,10.531,23.803,1.368,2.933,86.440,120.638,1.512,1.000,1388.508,11.140,1.000,133.359
TCGA-OR-A5LC-01A,18.798,29.547,3.958,1.000,1.000,88.942,211.269,1.000,1.000,486.917,4.792,1.000,42.178
TCGA-OR-A5LH-01A,3.735,4.392,5.422,2.166,1.000,70.808,211.239,1.000,1.000,509.350,24.484,1.000,92.006
TCGA-OR-A5LM-01A,1.973,5.187,8.477,1.000,1.000,56.935,141.626,1.000,1.000,421.399,5.662,1.000,5.245
TCGA-OR-A5J5-01A,3.584,13.364,7.411,1.000,1.000,47.957,43.330,1.000,1.000,292.729,5.175,1.000,10.583
TCGA-P6-A5OF-01A,7.660,18.402,14.584,1.000,1.000,97.512,133.973,1.000,1.000,219.022,3.191,2.855,10.562
TCGA-OR-A5LD-01A,37.798,4.975,1.681,1.000,1.000,37.175,9.039,1.000,1.000,599.220,2.343,1.000,3.603
TCGA-OR-A5L3-01A,5.795,1.297,1.000,1.000,1.000,18.444,30.558,1.000,1.000,467.588,1.000,1.000,1.578
TCGA-OR-A5LK-01A,3.980,10.590,17.910,4.721,5.857,55.401,223.313,61.780,1.000,213.789,18.073,1.783,122.828
TCGA-OR-A5LG-01A,3.591,22.413,12.125,2.073,1.610,59.919,484.227,1.000,1.000,1113.739,9.085,1.250,60.155
