,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-C5-A1MH-01A,0.010,0.001,0.010,0.030,0.009,0.000,0.708,0.020,0.049,0.022,0.004,0.135,0.001,0.000,0.001,0.001
TCGA-Q1-A5R2-01A,0.007,0.000,0.002,0.032,0.003,0.000,0.846,0.013,0.014,0.018,0.000,0.059,0.002,0.001,0.002,0.000
TCGA-FU-A3HY-01A,0.000,0.000,0.004,0.008,0.000,0.000,0.923,0.005,0.030,0.020,0.004,0.002,0.002,0.000,0.001,0.001
TCGA-EA-A439-01A,0.001,0.000,0.000,0.048,0.000,0.000,0.761,0.010,0.014,0.145,0.002,0.017,0.000,0.000,0.000,0.000
TCGA-C5-A7UH-01A,0.019,0.000,0.001,0.026,0.001,0.000,0.860,0.002,0.049,0.007,0.009,0.024,0.000,0.000,0.000,0.001
TCGA-C5-A1M7-01A,0.016,0.004,0.010,0.023,0.000,0.000,0.845,0.036,0.041,0.011,0.000,0.000,0.003,0.001,0.010,0.001
TCGA-EA-A50E-01A,0.001,0.000,0.000,0.007,0.001,0.000,0.734,0.002,0.063,0.111,0.016,0.063,0.001,0.000,0.000,0.001
TCGA-VS-A9V5-01A,0.011,0.000,0.000,0.027,0.000,0.000,0.870,0.008,0.030,0.043,0.001,0.008,0.000,0.000,0.000,0.000
TCGA-BI-A20A-01A,0.009,0.000,0.005,0.039,0.002,0.000,0.762,0.084,0.023,0.044,0.001,0.031,0.001,0.000,0.000,0.000
TCGA-C5-A2LV-01A,0.000,0.000,0.002,0.017,0.000,0.000,0.894,0.016,0.032,0.024,0.000,0.014,0.001,0.000,0.000,0.000
TCGA-C5-A2LZ-01A,0.009,0.000,0.002,0.052,0.000,0.000,0.864,0.026,0.030,0.001,0.000,0.011,0.003,0.001,0.001,0.000
