,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-EL-A3T1-01A,0.017,0.012,0.029,0.015,0.000,0.000,0.021,0.053,0.000,0.011,0.039,0.000,0.000,0.001,0.000,0.801,0.801
TCGA-FE-A237-01A,0.010,0.008,0.013,0.001,0.000,0.000,0.025,0.105,0.020,0.043,0.047,0.000,0.000,0.000,0.000,0.730,0.730
TCGA-EM-A3FJ-01A,0.002,0.000,0.003,0.003,0.000,0.000,0.023,0.113,0.003,0.027,0.034,0.000,0.002,0.000,0.000,0.789,0.789
TCGA-EL-A3D4-01A,0.008,0.000,0.001,0.000,0.001,0.000,0.001,0.174,0.000,0.126,0.057,0.004,0.002,0.000,0.000,0.626,0.626
TCGA-FE-A234-01A,0.003,0.000,0.015,0.000,0.000,0.000,0.032,0.071,0.001,0.019,0.046,0.001,0.000,0.000,0.000,0.811,0.811
TCGA-FY-A40M-01A,0.004,0.000,0.000,0.001,0.000,0.000,0.003,0.068,0.037,0.028,0.004,0.000,0.000,0.000,0.000,0.853,0.853
TCGA-EM-A2OX-01A,0.001,0.000,0.006,0.002,0.000,0.000,0.006,0.119,0.000,0.064,0.032,0.000,0.002,0.000,0.000,0.766,0.766
TCGA-EM-A4FR-01A,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.065,0.000,0.042,0.037,0.000,0.002,0.000,0.000,0.850,0.850
TCGA-EM-A22I-01A,0.000,0.001,0.005,0.000,0.000,0.000,0.033,0.059,0.001,0.030,0.003,0.000,0.000,0.000,0.000,0.870,0.870
TCGA-FY-A3ON-01A,0.018,0.005,0.013,0.008,0.002,0.000,0.006,0.155,0.018,0.035,0.046,0.001,0.001,0.000,0.000,0.693,0.693
TCGA-EM-A1YC-01A,0.015,0.003,0.001,0.000,0.000,0.000,0.000,0.038,0.000,0.037,0.002,0.001,0.002,0.000,0.000,0.901,0.901
TCGA-EL-A3TA-01A,0.017,0.002,0.015,0.002,0.008,0.001,0.023,0.139,0.009,0.073,0.097,0.006,0.003,0.000,0.000,0.604,0.604
TCGA-CE-A27D-01A,0.044,0.053,0.036,0.013,0.028,0.001,0.075,0.119,0.059,0.040,0.042,0.000,0.003,0.000,0.000,0.488,0.488
TCGA-ET-A3BT-01A,0.004,0.007,0.013,0.002,0.000,0.000,0.024,0.086,0.001,0.022,0.024,0.000,0.001,0.000,0.000,0.818,0.818
TCGA-DJ-A13U-01A,0.001,0.003,0.002,0.000,0.000,0.000,0.011,0.063,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.885,0.885
TCGA-EM-A3O8-01A,0.013,0.011,0.000,0.001,0.000,0.000,0.000,0.112,0.000,0.050,0.001,0.000,0.003,0.000,0.000,0.809,0.809
TCGA-H2-A422-01A,0.009,0.001,0.001,0.001,0.000,0.000,0.010,0.048,0.000,0.018,0.015,0.000,0.000,0.000,0.000,0.896,0.896
TCGA-EL-A3CL-01A,0.015,0.004,0.001,0.005,0.000,0.000,0.001,0.085,0.001,0.027,0.039,0.001,0.002,0.000,0.000,0.819,0.819
TCGA-DJ-A13V-01A,0.005,0.002,0.006,0.004,0.000,0.000,0.001,0.109,0.001,0.046,0.024,0.000,0.008,0.000,0.000,0.794,0.794
