"","T Cells","Macrophages","NK","Cancer Cells","Endothelial Cells","Monocyte","B Cells","DC","Mast Cells","Fibroblasts"
"TCGA.KL.8325.01A",0,0.0159920657721295,0,0.535927664836035,0.307690460514268,0,0,0,0,0.140389808877567
"TCGA.KO.8411.01A",0,0.0635244291896335,0,0.579885929965325,0.246277318312842,0,0,0,0,0.1103123225322
"TCGA.KL.8331.01A",0,0.0233673985101657,0,0.643726358087092,0.157609749371893,0,0.0569961130724306,0,4.76467527724514e-05,0.118252734205646
"TCGA.KO.8409.01A",0,0.0682016599093797,0,0.718974753700778,0.147879300931938,0,0.000857539098546045,0,0,0.0640867463593581
"TCGA.KM.8439.01A",0,0.0899143023159213,0,0.607040528710274,0.20422342153329,0,0,0,0,0.098821747440515
"TCGA.KN.8423.01A",0,0.0273511687229611,0,0.514674131362643,0.290754779590351,0,0,0,0,0.167219920324045
"TCGA.KL.8339.01A",0,0.0193334745347499,0,0.689777227228079,0.166135086138985,0,0.00966800455354359,0,0,0.115086207544643
"TCGA.KN.8434.01A",0,0.0712449424663922,0,0.422408170371367,0.329508106547464,0,0,0,0,0.176838780614776
"TCGA.KL.8342.01A",0,0.0697816875706564,0,0.481522168599802,0.287954572942864,0,0,0,0,0.160741570886678
"TCGA.KN.8428.01A",0,0,0,0.596863752179266,0.173029073597677,0,0.0221262813968615,0.0158952452442215,0,0.192085647581974
"TCGA.KO.8416.01A",0,0.0571401841592852,0,0.597537833456729,0.238288592523254,0,0,0,0,0.107033389860732
"TCGA.KL.8344.01A",0,0.00964122548252523,0,0.3023729282239,0.411556638464044,0,0,0,0,0.276429207829531
"TCGA.KM.8441.01A",0,0.0761946566966506,0,0.456906357339475,0.266054033203165,0,0,0,0,0.20084495276071
"TCGA.KM.8442.01A",0,0.0175484244313932,0,0.470475174791871,0.286189349913868,0,0,0,0,0.225787050862867
"TCGA.KL.8346.01A",0,0,0,0.647551620098718,0.208506197016293,0,0,0,0,0.143942182884989
"TCGA.KL.8341.01A",0,0.000263194094801193,0,0.593147146913485,0.279713645422922,0,0,0,0,0.126876013568791
"TCGA.KL.8330.01A",0,0.00155521218721299,0,0.609451298696604,0.237952665743094,0,0,0,0,0.151040823373089
"TCGA.KN.8431.01A",0,0.0202821045340135,0,0.59720045230314,0.277571024248804,0,0,0,0,0.104946418914043
"TCGA.KO.8403.01A",0,0.149108786483684,0,0.500158639703584,0.22884550958434,0,0,0,0,0.121887064228392
"TCGA.KO.8405.01A",0,0.250146583296353,0,0.326020111585932,0.210393406628977,0,0,0,0,0.213439898488738
"TCGA.KN.8435.01A",0,0,0,0.550552749298245,0.273557877089939,0,0,0,0,0.175889373611815
"TCGA.KN.8419.01A",0,0.0802375718944825,0,0.464169145438585,0.314663418669401,0,0,0,0,0.140929863997531
"TCGA.KL.8337.01A",0,0.0183282719150786,0,0.620574597302905,0.23899794710722,0,0,0,0,0.122099183674797
"TCGA.KL.8332.01A",0,0.0487307010045174,0,0.405925815699659,0.391411719752037,0,0,0,0,0.153931763543786
"TCGA.KO.8413.01A",0,0.110688251199423,0,0.44136312423206,0.272000102069264,0,0,0,0,0.175948522499253
"TCGA.KM.8443.01A",0,0.000211244103955032,0,0.696224874030349,0.215277398781711,0,0,0,0,0.088286483083985
"TCGA.KL.8333.01A",0,0.0673168423600123,0,0.271247529423024,0.396017323885186,0,0,0.00575393079882066,0,0.259664373532957
"TCGA.KL.8334.01A",0,0.0738712906587722,0,0.511688168435874,0.243048822245524,0,0.000472306947299317,0,0,0.170919411712531
"TCGA.KN.8427.01A",0,0.0134275160403763,0,0.516920411079471,0.146472780580202,0.00361660635156384,0.000832502839779383,0.0314065504051387,0,0.287323632703468
"TCGA.KL.8338.01A",0,0.0643771705394425,0,0.625797283437696,0.19066916599867,0,0,0,0,0.119156380024192
"TCGA.KN.8432.01A",0,0.0212522745514763,0,0.498977869173321,0.322708196494071,0,0,0,0,0.157061659781133
"TCGA.KO.8410.01A",0,0.037054412600732,0,0.509108092978412,0.299854135269722,0,0,0,0,0.153983359151134
"TCGA.KN.8437.01A",0,0.057867145179553,0,0.49609555644911,0.288224562696941,0,0,0,0,0.157812735674395
"TCGA.KN.8430.01A",0,0.069910799256137,0,0.448446402514147,0.298722149716328,0,0,0,0,0.182920648513388
"TCGA.KM.8477.01A",0,0.0590442193406096,0,0.510318035704172,0.267206384844206,0,0,0,0,0.163431360111012
"TCGA.KO.8414.01A",0,0.0284409499041412,0,0.650535345457599,0.203568931939484,0,0,0,0,0.117454772698776
"TCGA.KL.8323.01A",0,0.0212081565046218,0,0.555383712234988,0.266007447241312,0,0,0,0,0.157400684019078
"TCGA.KL.8328.01A",0,0.0460127900112217,0,0.706994254100039,0.161907994455534,0,0.00242079456676097,0,0,0.0826641668664446
"TCGA.KN.8426.01A",0,0.0382919474336888,0,0.617871594101727,0.21561415610584,0,0,0,0,0.128222302358743
"TCGA.KL.8336.01A",0,0.0865658543053948,0,0.513261490910335,0.248619179152662,0,0,0,0,0.151553475631608
"TCGA.KL.8329.01A",0,0.109315726703164,0,0.483147600012891,0.243167091861302,0,0,0,0,0.164369581422644
"TCGA.KN.8429.01A",0,0.0263474071143991,0,0.529565548497404,0.254115639327857,0,0.0374920850871806,0,0,0.152479319973159
"TCGA.KL.8326.01A",0,0.0653778364203423,0,0.675152433419109,0.161983114391065,0,0,0,0,0.0974866157694837
"TCGA.KN.8425.01A",0,0.125172967019591,0,0.482175224952209,0.275706273437233,0,0,0,0,0.116945534590967
"TCGA.KL.8327.01A",0,0.0210668679955557,0.0173384833625495,0.642480013251005,0.207065521260694,0,0.029064455721386,0,0,0.0829846584088092
"TCGA.KL.8343.01A",0,0.0129874185783377,0,0.526046184975189,0.288320044807851,0,0,0,0,0.172646351638622
"TCGA.KL.8324.01A",0,0.0288744088165867,0,0.619117527287401,0.220294710633215,0,0,0,0,0.131713353262798
"TCGA.KN.8433.01A",0,0.114433975816263,0,0.575151448127722,0.184881174118021,0,0,0,0,0.125533401937994
"TCGA.KO.8417.01A",0,0.00410641874292855,0,0.59164495483872,0.266295800080972,0,0,0.00790369883277239,0,0.130049127504608
"TCGA.KM.8639.01A",0,0.0323110364312942,0,0.536758801334707,0.272287875685019,0,0,0,0,0.15864228654898
"TCGA.KL.8340.01A",0,0.0383101034460442,0,0.510688191651352,0.274810398921558,0,0,0,0,0.176191305981045
"TCGA.KO.8404.01A",0,0.241203438992707,0,0.22865177349431,0.136768072057378,0,0,0,0,0.393376715455605
"TCGA.KM.8440.01A",0,0.0169237196906699,0,0.618214606614392,0.245601584179459,0,0,0,0,0.11926008951548
"TCGA.KN.8436.01A",0,0,0,0.63771637339439,0.234095794605959,0,0.00582048914683671,0.00392958400170951,0.000260631761970419,0.118177127089134
"TCGA.KN.8424.01A",0,0.0875017122653452,0,0.428687385068019,0.302427104514663,0,0,0,0,0.181383798151972
