"","T Cells","Macrophages","NK","Cancer Cells","Endothelial Cells","Monocyte","B Cells","DC","Mast Cells","Fibroblasts"
"TCGA.BP.4766.01A",0,0.00825295046219439,0,0.405088602183603,0.367495005410687,0,0,0,0,0.219163441943516
"TCGA.A3.3352.01A",0,0.031428585918726,0,0.43378749825921,0.327646571769996,0,0,0.00040917525753075,0,0.206728168794537
"TCGA.G6.A8L7.01A",0,0,0,0.749706216881092,0.0915870492408634,0,0,0,0,0.158706733878044
"TCGA.A3.A6NN.01A",0,0.0345142011892438,0,0.330513640277257,0.396399776241642,0,0,0,0,0.238572382291858
"TCGA.T7.A92I.01A",0,0.063421546023739,0,0.434477946621659,0.263516017959411,0,0,0,0,0.238584489395191
"TCGA.B0.5713.01A",0,0.000735842419128775,0,0.392120311312762,0.401314961950972,0,0,0,0,0.205828884317138
"TCGA.CZ.4860.01A",0,0.126961714462001,0,0.679518184121679,0.0522770922926423,0,0,0,0,0.141243009123677
"TCGA.A3.3351.01A",0,0.0957094342566263,0,0.268617222176571,0.377615313954751,0,0,0,0,0.258058029612051
"TCGA.B8.4148.01A",0,0.0540363631630908,0,0.324073773013884,0.386891497880833,0,0,0.0204940101164845,0,0.214504355825707
"TCGA.BP.4345.01A",0,0.0912189946173913,0,0.13597439440841,0.357497560460131,0,0,0,0,0.415309050514068
"TCGA.BP.5010.01A",0,0,0,0.357326571119992,0.269161870024772,0,0,0,0,0.373511558855236
"TCGA.BP.4325.01A",0,0.058227495602767,0,0.502609657488889,0.274257160373409,0,0,0,0,0.164905686534935
"TCGA.B0.5102.01A",0,0.0375687593605999,0,0.587439955036155,0.205337992221946,0,0,0,0,0.169653293381299
"TCGA.BP.5185.01A",0,0.0104118192559459,0,0.740616329219812,0.0997650422896071,0,0.000746367185943344,0,0,0.148460442048691
"TCGA.CZ.5986.01A",0,0.0026610151392507,0,0.422868759987128,0.361643492763157,0,0,0,0,0.212826732110464
"TCGA.CW.5590.01A",0,0.0169369074368113,0,0.446107815190516,0.298487119676121,0,0,0,0,0.238468157696551
"TCGA.CJ.4904.01A",0,0.0320379395312056,0,0.288941038070408,0.437230086277159,0,0,0,0,0.241790936121227
"TCGA.BP.4987.01A",0,0.00105043845063841,0,0.381767474163465,0.377745455044768,0,0,0.000529049263940166,0,0.238907583077188
"TCGA.B0.4849.01A",0,0.0093195618766855,0,0.426565633897584,0.344714571089025,0,0,0.00228137701916288,0,0.217118856117543
"TCGA.BP.4329.01A",0,0.0569691405383496,0,0.448071464081757,0.27934267765556,0,0,0,0,0.215616717724333
"TCGA.A3.3328.01A",0,0.0268995877360459,0,0.574369807319967,0.244646369407431,0,0,0.0199529424897416,0,0.134131293046815
"TCGA.CJ.5672.01A",0,0.172932058548255,0,0.345084658131351,0.259717256479918,0,0,0,0,0.222266026840476
"TCGA.B0.5104.01A",0,0,0,0.469130756156853,0.335462562006497,0,0,0,0,0.19540668183665
"TCGA.CW.6097.01A",0,0.118172905263728,0,0.272833092434931,0.288408891870323,0,0,0,0,0.320585110431018
"TCGA.B0.4700.01A",0,0.128634346058654,0,0.317675287678452,0.215377954204652,0,0,0,0,0.338312412058243
"TCGA.B0.5095.01A",0,0,0,0.273670262291719,0.320815487135768,0,0,0,0,0.405514250572512
"TCGA.B0.4810.01A",0,0.0626249817178884,0,0.3319403857188,0.30505828034511,0,0,0,0,0.300376352218201
"TCGA.CJ.4901.01A",0,0.13760402427565,0.0182318969118164,0.330961434143583,0.255092990964139,0,0,0,0,0.258109653704811
"TCGA.CJ.4643.01A",0,0.0160678991517132,0,0.288603406233641,0.428010127571524,0,0,0,0,0.267318567043123
"TCGA.B8.A54H.01A",0,0,0,0.401057802399816,0.386649346276368,0,0,0,0,0.212292851323816
"TCGA.AK.3429.01A",0,0.125429279699021,0,0.497490461050603,0.232286833541247,0,0,0,0,0.144793425709129
"TCGA.B0.4834.01A",0,0.0144682704514875,0,0.412889484353541,0.372536262896132,0,0,0,0,0.200105982298839
"TCGA.B0.4843.01A",0,0,0,0.361088053558623,0.326321114722659,0,0,0,0,0.312590831718718
"TCGA.A3.3382.01A",0,0.0176496774916776,0,0.596145072149062,0.216536279915445,0,0,0.000174036755401035,0,0.169494933688414
"TCGA.BP.4338.01A",0,0.0619922938805972,0,0.700779663064001,0.105494517606241,0,0,0,0,0.131733525449161
"TCGA.B4.5832.01A",0,5.26988272237147e-05,0,0.239648734564123,0.392397022811045,0.0012979374954169,0,0.0491731135139874,0.00022235248653698,0.317208140301667
"TCGA.CW.6088.01A",0,0,0,0.256293388955284,0.500610554390788,0,0,0,0,0.243096056653929
"TCGA.A3.A6NJ.01A",0,0.104437352051266,0,0.366918555216396,0.351452947944355,0,0,0,0,0.177191144787983
"TCGA.B0.5088.01A",0,0.0710136748891208,0,0.370928922754965,0.295167643832382,0,0,0,0,0.262889758523532
"TCGA.A3.3308.01A",0,0.0129155226323885,0,0.315803780032707,0.361895086139169,0,0,0.000842952249753269,0,0.308542658945982
"TCGA.CW.5589.01A",0,0.0480411629446417,0,0.371385826989224,0.359224819927508,0,0,0,0,0.221348190138627
"TCGA.B0.5702.01A",0,0.120283953814751,0,0.605529597165307,0.0854688983199001,0.000689040827366619,0.0370927816283384,0,0.000530249074856597,0.15040547916948
"TCGA.BP.4169.01A",0,0.0554815087221359,0,0.228680365859332,0.387910730984012,0,0,0,0,0.327927394434519
"TCGA.CZ.5468.01A",0,0.0619950826095317,0,0.500488471891319,0.179088203553361,0,0,0,0,0.258428241945789
"TCGA.A3.3313.01A",0,0.0211673770556463,0,0.483555465633183,0.267505864608509,0,0,0,0,0.227771292702661
"TCGA.BP.4782.01A",0,0.0551005081740365,0,0.399406569449378,0.29676400914802,0,0,0,0,0.248728913228566
"TCGA.3Z.A93Z.01A",0,0.0192029197711265,0,0.465740930759064,0.308687720368234,0,0,0,0,0.206368429101575
"TCGA.CZ.5454.01A",0,0.248561458853418,0,0.345044471206799,0.216213340011995,0,0,0,0,0.190180729927788
"TCGA.A3.3358.01A",0,0.109904881299895,0,0.485257189990752,0.23534208883817,0,0,0,0,0.169495839871183
"TCGA.CJ.6031.01A",0,0.119960668250411,0,0.294554344262132,0.260077187224921,0,0,0,0,0.325407800262536
"TCGA.BP.4790.01A",0,0.0531288249904826,0,0.189066539273713,0.392747363364468,0,0,0,0,0.365057272371337
"TCGA.B0.5699.01A",0,0.0136204725944903,0,0.513771220109175,0.296300503537012,0,0,0.00220063084567807,0,0.174107172913645
"TCGA.CJ.4635.01A",0,0.0379331510264106,0,0.428326616841689,0.27918570665956,0,0,0,0,0.25455452547234
"TCGA.A3.A8CQ.01A",0,0,0,0.288423451720754,0.432367894879846,0,0,0,0,0.2792086533994
"TCGA.AK.3447.01A",0,0.103610881126326,0,0.71077394624364,0.025025139663733,0,0.112396299086672,0,0.0467774004802418,0.00141633339938643
"TCGA.BP.4159.01A",0,0.0475220357642605,0,0.425017038944249,0.275677878186749,0,0.0106232884070402,0,0,0.241159758697701
"TCGA.B0.5698.01A",0,0.0855450483941178,0,0.428797089691803,0.323730446338067,0.000838813907002171,0,0.00145948141809186,0,0.159629120250918
